,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,4044928322189497,High school cross country meet for today at Eureka has been cancelled. Thank you,https://facebook.com/story.php?story_fbid=4044928322189497&id=275047905844243,,0.0,High school cross country meet for today at Eureka has been cancelled. Thank you,2020-09-12 08:19:14,,
1,0.0,,0.0,,4044925768856419,Middle school softball today September 12th at Bloomington has been cancelled,https://facebook.com/story.php?story_fbid=4044925768856419&id=275047905844243,,0.0,Middle school softball today September 12th at Bloomington has been cancelled,2020-09-12 08:18:04,,
2,0.0,,0.0,,4044831432199186,The middle school cross country meet scheduled for today September 12th at Chillicothe has been cancelled.,https://facebook.com/story.php?story_fbid=4044831432199186&id=275047905844243,,0.0,The middle school cross country meet scheduled for today September 12th at Chillicothe has been cancelled.,2020-09-12 07:37:42,,
3,0.0,,0.0,https://www.olympia.org/article/306030?org=district,4042438579105138,Food Allergen Information,https://facebook.com/story.php?story_fbid=4042438579105138&id=275047905844243,"OLYMPIA.ORG
Food Allergen Information",0.0,"Food Allergen Information

OLYMPIA.ORG
Food Allergen Information",2020-09-11 14:42:18,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119205640_4041975585818104_6839397628771373898_n.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=dYBAQ6mVfJwAX8nsVMU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=15d2142595617fa118ed11a7eed3ebc5&oe=5F8468C5,4.0,,4041975582484771,Any HS student athlete who is participating in fall contact days needs to have this form filled out and turned into their coach.,,,0.0,Any HS student athlete who is participating in fall contact days needs to have this form filled out and turned into their coach.,2020-09-11 11:52:35,,
5,0.0,,0.0,https://www.olympia.org/article/305212?org=district,4039176849431311,Annual Ministerial Alliance and First Responders Meeting CANCELLED,https://facebook.com/story.php?story_fbid=4039176849431311&id=275047905844243,"OLYMPIA.ORG
Annual Ministerial Alliance and First Responder...",0.0,"Annual Ministerial Alliance and First Responders Meeting CANCELLED

OLYMPIA.ORG
Annual Ministerial Alliance and First Responder...",2020-09-10 16:33:26,,
6,0.0,,0.0,,4038591449489851,"September 10th Activities
Girls Golf is home vs. Monticello @ 4:00
Boys golf is @ Prairie Central @ 4:00
Girls Swim is @ Dunlap @ 4:30 (no fans)",https://facebook.com/story.php?story_fbid=4038591449489851&id=275047905844243,,0.0,"September 10th Activities
Girls Golf is home vs. Monticello @ 4:00
Boys golf is @ Prairie Central @ 4:00
Girls Swim is @ Dunlap @ 4:30 (no fans)",2020-09-10 12:24:42,,
7,1.0,,27.0,,4037698372912492,Congrats to the golf team!!! Oly 207 to Heyworth 220.,https://facebook.com/story.php?story_fbid=4037698372912492&id=275047905844243,,0.0,Congrats to the golf team!!! Oly 207 to Heyworth 220.,2020-09-10 06:30:01,,
8,0.0,,8.0,https://www.olympia.org/article/304024?org=district,4035597819789214,Spartan Masks Available for Purchase,https://facebook.com/story.php?story_fbid=4035597819789214&id=275047905844243,"OLYMPIA.ORG
Spartan Masks Available for Purchase",5.0,"Spartan Masks Available for Purchase

OLYMPIA.ORG
Spartan Masks Available for Purchase",2020-09-09 14:00:24,,
9,0.0,,0.0,,4035337936481869,"September 9th Activities
Boys golf @ Highland Golf Course @ 3:30
Girls golf @ Maple Lane Country Club @ 4:00
MS Softball home vs. Leroy @ 4:30",https://facebook.com/story.php?story_fbid=4035337936481869&id=275047905844243,,0.0,"September 9th Activities
Boys golf @ Highland Golf Course @ 3:30
Girls golf @ Maple Lane Country Club @ 4:00
MS Softball home vs. Leroy @ 4:30",2020-09-09 12:14:01,,
