,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119210667_1281495708870824_3524790511191629842_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=z5pZddwz0tIAX_QKeXF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=07eedf7e73a2515355b6140d38affaf6&oe=5F83E16D,3.0,,1281501705536891,"We Remember, We Honor and We Will Not Forget...#patriotday #neverforget #Honor911 #911Memorial",https://facebook.com/story.php?story_fbid=1281501705536891&id=502874756732927,,0.0,"We Remember, We Honor and We Will Not Forget...#patriotday #neverforget #Honor911 #911Memorial",2020-09-11 15:02:44,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/106178206_1222316401455422_6048608536397312729_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=e144WHHKaIIAX_frSVT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=65d7d11488a36bf42c615f9f4f4fa1d8&oe=5F826D00,8.0,,1222318034788592,Happy Independence Day! 🇺🇸🎇🎆 Acton Agua Dulce Unified School District wishes you a happy and safe 4th of July!,https://facebook.com/story.php?story_fbid=1222318034788592&id=502874756732927,,0.0,Happy Independence Day! 🇺🇸🎇🎆 Acton Agua Dulce Unified School District wishes you a happy and safe 4th of July!,2020-07-04 17:53:06,,
2,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98341326_1186911081662621_6310350926934704128_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=rt3h1lhDWjQAX9v2Lhb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5b327968507d4f03dcc0b2180091e399&oe=5F834897,34.0,,1186913994995663,"Acton Agua Dulce Unified School District wants to Congratulate the class of 2020!
#aadusdstaygold #aadusd #actonschooldistrict #actonstrong #classof2020 #seniors2020 #gomustangs",https://facebook.com/story.php?story_fbid=1186913994995663&id=502874756732927,,0.0,"Acton Agua Dulce Unified School District wants to Congratulate the class of 2020!
#aadusdstaygold #aadusd #actonschooldistrict #actonstrong #classof2020 #seniors2020 #gomustangs",2020-05-22 14:53:18,,
3,0.0,,8.0,https://youtu.be/T4JASt7fzck,1179011419119254,,https://facebook.com/story.php?story_fbid=1179011419119254&id=502874756732927,,0.0,,2020-05-12 22:39:42,,
4,23.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/96159603_1175459589474437_3194510616505090048_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=bWpCgUZ8ltkAX8qdqOI&_nc_oc=AQld8YwV0NyAI2vJQqqVsklZP5HiEhrqkpX6F7zvJe_2nfwPwPH1VR6M7IeHqVLpfBY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=729da7043dae9d582f093bc2128902d9&oe=5F83AA0A,51.0,,1175461619474234,"Acton Agua Dulce Unified School District Surprised our Vazquez High School Seniors with these beautiful banners.
We Love our Vasquez Class of 2020!
#gomustangs #vhs #SENIORSVHS #aadusdstaygold #aadusd #classof2020 #actonshcooldistrict",https://facebook.com/story.php?story_fbid=1175461619474234&id=502874756732927,,0.0,"Acton Agua Dulce Unified School District Surprised our Vazquez High School Seniors with these beautiful banners.
We Love our Vasquez Class of 2020!
#gomustangs #vhs #SENIORSVHS #aadusdstaygold #aadusd #classof2020 #actonshcooldistrict",2020-05-08 14:20:30,,
5,0.0,,4.0,https://www.youtube.com/watch?v=cuOPF-rnkSc&feature=share,1173256399694756,,https://facebook.com/story.php?story_fbid=1173256399694756&id=502874756732927,,0.0,,2020-05-05 20:59:23,,
6,1.0,,7.0,https://www.youtube.com/watch?v=xQss1fV66yE&feature=share,1167605473593182,,https://facebook.com/story.php?story_fbid=1167605473593182&id=502874756732927,,0.0,,2020-04-28 21:14:38,,
7,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/94588762_1166847833668946_8573231936632258560_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=8svaiupEDRUAX8bKxCI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=64870ae7fec9e7d859ed66df7271e264&oe=5F857A67,27.0,,1166848467002216,"Superintendent Mr. Larry King and Assistant Superintendent Business Services Ms. Lynn David presenting our cafeteria staff with a ""Stay Gold Coin” for their commitment and dedication to our community families.
#aadusd #actonschooldistrict #aadusdstaygold #staygoldcoin #dedication #lunchladys",https://facebook.com/story.php?story_fbid=1166848467002216&id=502874756732927,,0.0,"Superintendent Mr. Larry King and Assistant Superintendent Business Services Ms. Lynn David presenting our cafeteria staff with a ""Stay Gold Coin” for their commitment and dedication to our community families.
#aadusd #actonschooldistrict #aadusdstaygold #staygoldcoin #dedication #lunchladys",2020-04-27 22:10:56,,
8,0.0,,6.0,https://www.youtube.com/watch?v=Zei6BBt5T3o&feature=share,1160916624262067,"Students across the country are expressing how distance learning is working for them. Many students who at one time complained about getting out of bed to go to school, the bell schedule, and constant due dates, now realize that there was a sense of responsibility in doing those things. They have also expressed the social network that a school site enables on a daily basis. I encourage our students to continue to do their best at home by making a daily schedule and sticking to it as much as possible. This Wednesday we are also beginning our Wednesday Wellness Workouts. I will facilitate a short workout session for staff and students at 9 a.m. for Meadowlark, 9:30 a.m. for High Desert, and 10 a.m. for Vasquez High School. I hope to see and connect with many students and staff that I’ve missed seeing in school!
#aadusdstaygold #actonschooldistrict #aadusd #gohawks #gomeadowlarks #gomustangs #firesidechat",https://facebook.com/story.php?story_fbid=1160916624262067&id=502874756732927,"YOUTUBE.COM
Fireside Chat 04/20/2020",2.0,"Students across the country are expressing how distance learning is working for them. Many students who at one time complained about getting out of bed to go to school, the bell schedule, and constant due dates, now realize that there was a sense of responsibility in doing those things. They have also expressed the social network that a school site enables on a daily basis. I encourage our students to continue to do their best at home by making a daily schedule and sticking to it as much as possible. This Wednesday we are also beginning our Wednesday Wellness Workouts. I will facilitate a short workout session for staff and students at 9 a.m. for Meadowlark, 9:30 a.m. for High Desert, and 10 a.m. for Vasquez High School. I hope to see and connect with many students and staff that I’ve missed seeing in school!
#aadusdstaygold #actonschooldistrict #aadusd #gohawks #gomeadowlarks #gomustangs #firesidechat

YOUTUBE.COM
Fireside Chat 04/20/2020",2020-04-20 21:35:14,,
9,2.0,,10.0,https://www.youtube.com/watch?v=G2_jZb_FwD0&feature=share,1149382755415454,"There has been a lot of discussion about activities that normally happen during this time of the school year. In particular, seniors want to know about the prom, graduation, grad night, and so on. These are traditions, celebrations, and the rewards of working so hard throughout our students’ K-12 years. I am here to support our VHS principal, Mr. Brockway and our other site administrators to ensure these activities become a reality in one form or another. If that means events are delayed until we can do them “live” then that’s an option. At this point, all options are on the table. We want our seniors and all of our students to have a memorable and valuable end of year experiences regardless of the current situation. We are all Mustangs! #aadusd #actonschooldistrict #aadusdstaygold #weareallmustangs #firesidechat #gomustangs

Larry King

AADUSD Supertintendent",https://facebook.com/story.php?story_fbid=1149382755415454&id=502874756732927,"YOUTUBE.COM
Fireside Chat- We Are All Mustangs! AADUSD 04-06-2020",3.0,"There has been a lot of discussion about activities that normally happen during this time of the school year. In particular, seniors want to know about the prom, graduation, grad night, and so on. These are traditions, celebrations, and the rewards of working so hard throughout our students’ K-12 years. I am here to support our VHS principal, Mr. Brockway and our other site administrators to ensure these activities become a reality in one form or another. If that means events are delayed until we can do them “live” then that’s an option. At this point, all options are on the table. We want our seniors and all of our students to have a memorable and valuable end of year experiences regardless of the current situation. We are all Mustangs! #aadusd #actonschooldistrict #aadusdstaygold #weareallmustangs #firesidechat #gomustangs

Larry King

AADUSD Supertintendent

YOUTUBE.COM
Fireside Chat- We Are All Mustangs! AADUSD 04-06-2020",2020-04-06 20:15:19,,
10,0.0,,6.0,,1146247219062341,,https://facebook.com/story.php?story_fbid=1146247219062341&id=502874756732927,,0.0,,2020-04-02 21:22:34,,
11,0.0,,3.0,,1146246822395714,,https://facebook.com/story.php?story_fbid=1146246822395714&id=502874756732927,,0.0,,2020-04-02 21:21:47,,
12,0.0,,9.0,https://www.youtube.com/watch?v=S28sFaVZPMA&feature=share,1142914546062275,"Tomorrow we are excited to kick off our first day of distance learning. I am very proud of our students and parents. I appreciate everyone's patience and flexibility. Our teachers have worked very hard this past week to prepare distance learning lessons. We are here to support you through this challenging time and ensure your child's education continues.
#aadusdstaygold #actonschooldistrict #aadusd #firesidechat

Mr. Larry King

AADUSD Superintendent",https://facebook.com/story.php?story_fbid=1142914546062275&id=502874756732927,"YOUTUBE.COM
Fireside Chat AADUSD 3-29-20",4.0,"Tomorrow we are excited to kick off our first day of distance learning. I am very proud of our students and parents. I appreciate everyone's patience and flexibility. Our teachers have worked very hard this past week to prepare distance learning lessons. We are here to support you through this challenging time and ensure your child's education continues.
#aadusdstaygold #actonschooldistrict #aadusd #firesidechat

Mr. Larry King

AADUSD Superintendent

YOUTUBE.COM
Fireside Chat AADUSD 3-29-20",2020-03-29 22:49:07,,
