,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117417147_3683690635025741_7979850878971934854_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=lg9rS8U4fQgAX-78c-C&_nc_ht=scontent-atl3-1.xx&oh=1b4741865533bf84254f4a5bad87bfa7&oe=5F8547B3,28.0,https://www.youtube.com/anaheimelementary,3683692661692205,"Join us on Thursday, August 20 at 2:00 PM to learn how to support your child during distance Learning. We will review the use of Microsoft Teams for live instruction. https://www.youtube.com/anaheimelementary

Únase a nosotros el jueves 20 de agosto a las 2:00 pm para aprender cómo apoyar a su hijo durante el aprendizaje a distancia. Revisaremos el uso de Microsoft Teams para la instrucción en vivo. https://www.youtube.com/anaheimelementary",https://facebook.com/story.php?story_fbid=3683692661692205&id=119475911447249,,0.0,"Join us on Thursday, August 20 at 2:00 PM to learn how to support your child during distance Learning. We will review the use of Microsoft Teams for live instruction. https://www.youtube.com/anaheimelementary

Únase a nosotros el jueves 20 de agosto a las 2:00 pm para aprender cómo apoyar a su hijo durante el aprendizaje a distancia. Revisaremos el uso de Microsoft Teams para la instrucción en vivo. https://www.youtube.com/anaheimelementary",2020-08-17 13:31:13,,
1,0.0,,14.0,,3757039144357556,"This week we are offering a Virtual Parent Training on SeeSaw please join us on Thursday at 2:00PM
Esta semana estamos ofreciendo una capacitación virtual para padres sobre SeeSaw. Únase a nosotros el jueves a las 2:00 p.m.",https://facebook.com/story.php?story_fbid=3757039144357556&id=119475911447249,,0.0,"This week we are offering a Virtual Parent Training on SeeSaw please join us on Thursday at 2:00PM
Esta semana estamos ofreciendo una capacitación virtual para padres sobre SeeSaw. Únase a nosotros el jueves a las 2:00 p.m.",2020-09-09 14:00:57,,
2,0.0,,9.0,,3753545344706936,The Zones of Regulation,,,0.0,The Zones of Regulation,2020-09-08 12:47:21,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_1121140288281218_4243970177560049982_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=zh-WPg6WkNQAX8yiIlN&_nc_ht=video-atl3-1.xx&oh=af458d7f41c1fb702858a54ab275ab9b&oe=5F5ED485,
3,0.0,,5.0,,3727881897273281,,,,0.0,,2020-08-31 15:14:53,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118330350_959935601149789_8880147806152242539_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=tq0HXxnSOIAAX_sKPdw&_nc_ht=video-atl3-1.xx&oh=921564cab1bcc107d884881c1d1fc848&oe=5F5ED2AE,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118306039_3722294077832063_3142810164788405336_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=F8mOYVmYa8YAX-ee-EU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1d0dab95618e1cdb14cb5e9ba1971bc2&oe=5F838E5B,12.0,,3722294364498701,"Added locations for meal pick up. On Monday you can pick up meals for the entire week at these locations.

Se agregaron ubicaciones para recoger la comida. El lunes puede recoger las comidas de toda la semana en estos lugares.",https://facebook.com/story.php?story_fbid=3722294364498701&id=119475911447249,,0.0,"Added locations for meal pick up. On Monday you can pick up meals for the entire week at these locations.

Se agregaron ubicaciones para recoger la comida. El lunes puede recoger las comidas de toda la semana en estos lugares.",2020-08-29 20:56:51,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118032822_3711351378926333_927191569428985128_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=6RX4A5jZgPcAX_AsIOL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=59f13064561d616f8ab7a360fac44423&oe=5F84D7C4,9.0,https://meet.google.com/hwy-hifm-fhs,3711356155592522,"Today is Wellness Wednesday/Hoy es miércoles de bienestar
https://meet.google.com/hwy-hifm-fhs",https://facebook.com/story.php?story_fbid=3711356155592522&id=119475911447249,,0.0,"Today is Wellness Wednesday/Hoy es miércoles de bienestar
https://meet.google.com/hwy-hifm-fhs",2020-08-26 12:06:05,,
6,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117974903_3692622250799246_987169096327650821_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=-74Bmhydx6cAX8j4svC&_nc_oc=AQlG15GAsX_IcJ3oYKjHt1V5bQ0jDb6qhI7sGkf_CLKJ9sruPlAnUCpIs-soXOjMDLQ&_nc_ht=scontent-atl3-1.xx&oh=2ce3dcbadd9236262f7434cb876fcbaa&oe=5F8252E3,11.0,http://ow.ly/XwFU50B3xd9,3692622340799237,"Join us today to learn more about Microsoft Teams for daily instruction.
Únase a nosotros hoy para obtener más información sobre Microsoft Teams para la instrucción diaria. AESD YouTube: http://ow.ly/XwFU50B3xd9",https://facebook.com/story.php?story_fbid=3692622340799237&id=119475911447249,,0.0,"Join us today to learn more about Microsoft Teams for daily instruction.
Únase a nosotros hoy para obtener más información sobre Microsoft Teams para la instrucción diaria. AESD YouTube: http://ow.ly/XwFU50B3xd9",2020-08-20 11:01:49,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117767313_3690409564353848_6842688265069297416_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=3Awv6YajqnUAX-hFrfe&_nc_oc=AQk_UCezMCDxshCQ_71YBToByZu1rgJrF4iezaxv2sgU4MhkFWKg0D_ioFqhcCfYgBg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bb52dec77de9f0aec5d9d127fb052572&oe=5F85B76E,6.0,,3690411267687011,Join us today for “Wellness Wednesday”,https://facebook.com/story.php?story_fbid=3690411267687011&id=119475911447249,,0.0,Join us today for “Wellness Wednesday”,2020-08-19 17:12:45,,
8,1.0,,12.0,https://www.youtube.com/watch?v=gRMTAyYiR9c,3668928123168659,Please join us on YouTube Live for the parent training https://www.youtube.com/watch?v=gRMTAyYiR9c,https://facebook.com/story.php?story_fbid=3668928123168659&id=119475911447249,"YOUTUBE.COM
Parent Technology Training Live Stream",3.0,"Please join us on YouTube Live for the parent training https://www.youtube.com/watch?v=gRMTAyYiR9c

YOUTUBE.COM
Parent Technology Training Live Stream",2020-08-12 17:29:10,,
9,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116698520_3668608126533992_6795628041668430951_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=a0gJvnJEExsAX-SzW-z&_nc_ht=scontent-atl3-1.xx&oh=9761264d9d343854185fc702c078cd20&oe=5F85A684,14.0,https://meet.google.com/gwm-qaqy-gma,3668608246533980,"Los padres se unen a nosotros hoy a las 2:00 PM para aprender cómo apoyar el aprendizaje de su estudiante. Aquí está el enlace de Google Meet: https://meet.google.com/gwm-qaqy-gma
Interpretación español: 1 336-949-8088 PIN: 584 270 855#

Grabaremos esta sesión y la agregaremos a nuestra página de recursos de aprendizaje a distancia: https://sites.google.com/aesd.org/aesd-distance-learning/parents?authuser=0",https://facebook.com/story.php?story_fbid=3668608246533980&id=119475911447249,,0.0,"Los padres se unen a nosotros hoy a las 2:00 PM para aprender cómo apoyar el aprendizaje de su estudiante. Aquí está el enlace de Google Meet: https://meet.google.com/gwm-qaqy-gma
Interpretación español: 1 336-949-8088 PIN: 584 270 855#

Grabaremos esta sesión y la agregaremos a nuestra página de recursos de aprendizaje a distancia: https://sites.google.com/aesd.org/aesd-distance-learning/parents?authuser=0",2020-08-12 14:58:30,,
