,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118933490_4407012219371356_4506469462087528867_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=pMugDlDz9-wAX__j-3e&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7ee305a3eb6245065a84cb21828496d1&oe=5F8224B0,2.0,,4407030416036203,"We hope everyone is having a good week ""Back-to-school"" in team-building & orientation. We wanted to be sure to share that this Saturday, 9/12, is Black Joy Day! See flyer for details about a celebration taking place. Thanks to Thaddeus Miles and others for leading events. #MyBlackJoy",https://facebook.com/story.php?story_fbid=4407030416036203&id=145677595504861,,0.0,"We hope everyone is having a good week ""Back-to-school"" in team-building & orientation. We wanted to be sure to share that this Saturday, 9/12, is Black Joy Day! See flyer for details about a celebration taking place. Thanks to Thaddeus Miles and others for leading events. #MyBlackJoy",2020-09-10 15:42:48,,
1,0.0,,6.0,,4377434002329178,"Hi everyone! We look forward to welcoming back students next week for Building Community programming! Students and families, you should have already received communications from Principal Pierre-Canel and Principal Balderston with all the details. Let us know if you have questions!

Hola! ¡Esperamos darles la bienvenida a los estudiantes la próxima semana para la programación de Building Community! Estudiantes y familias, ya deberían haber recibido comunicaciones del Principal Pierre-Canel y del Principal Balderston con todos los detalles. ¡Dejanos saber si tienes preguntas!

HI tout moun! Nou gade pou pi devan pou akeyi elèv retounen semèn pwochèn pou pwogram kominote Building! Elèv yo ak fanmi yo, ou ta dwe deja resevwa kominikasyon nan men direktè lekòl Pierre-Canel ak direktè lekòl Balderston ak tout detay yo. Fè nou konnen si ou gen kesyon!",https://facebook.com/story.php?story_fbid=4377434002329178&id=145677595504861,,0.0,"Hi everyone! We look forward to welcoming back students next week for Building Community programming! Students and families, you should have already received communications from Principal Pierre-Canel and Principal Balderston with all the details. Let us know if you have questions!

Hola! ¡Esperamos darles la bienvenida a los estudiantes la próxima semana para la programación de Building Community! Estudiantes y familias, ya deberían haber recibido comunicaciones del Principal Pierre-Canel y del Principal Balderston con todos los detalles. ¡Dejanos saber si tienes preguntas!

HI tout moun! Nou gade pou pi devan pou akeyi elèv retounen semèn pwochèn pou pwogram kominote Building! Elèv yo ak fanmi yo, ou ta dwe deja resevwa kominikasyon nan men direktè lekòl Pierre-Canel ak direktè lekòl Balderston ak tout detay yo. Fè nou konnen si ou gen kesyon!",2020-09-04 17:19:07,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117414235_4263402763732303_6345439217775107857_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=q4ZZkmvwUg4AX97PQZ0&_nc_ht=scontent-atl3-1.xx&oh=e44eacd524f3d7c6967b103c95c219ec&oe=5F81EE4C,2.0,https://bit.ly/APRReopen,4263409287064984,"Hello, Hola, Bonjou!
You can find our letter to families and the community about school reopening on our website. Click the link provided here.

Puede encontrar nuestra carta para las familias y la comunidad sobre la reapertura de la escuela en nuestro sitio web. Haga clic en el enlace proporcionado aquí.

Ou ka jwenn lèt nou bay fanmi yo ak kominote a sou reouvri lekòl la sou sit entènèt nou an. Klike sou lyen yo bay la a.

https://bit.ly/APRReopen",https://facebook.com/story.php?story_fbid=4263409287064984&id=145677595504861,,0.0,"Hello, Hola, Bonjou!
You can find our letter to families and the community about school reopening on our website. Click the link provided here.

Puede encontrar nuestra carta para las familias y la comunidad sobre la reapertura de la escuela en nuestro sitio web. Haga clic en el enlace proporcionado aquí.

Ou ka jwenn lèt nou bay fanmi yo ak kominote a sou reouvri lekòl la sou sit entènèt nou an. Klike sou lyen yo bay la a.

https://bit.ly/APRReopen",2020-08-12 13:14:47,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/78223679_3305057492900173_7846529148095823872_o.jpg?_nc_cat=109&_nc_sid=dd9801&_nc_ohc=anxJAxjn7bAAX-Mokns&_nc_oc=AQnZyRWDsHHUJq5Z0xC5Ok2tnlnwTJSduika5mmTuY_Qhc8WwahZ9Ja2NawkModzcyY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5ddb6bc82b8cc1f50ab00194f8239c64&oe=5F84EED2,7.0,,4263396250399621,,,,0.0,,2020-08-12 13:11:10,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/115936741_4196522123753701_5547992662815395000_o.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=U64HQAKQTNQAX-EOPkj&_nc_ht=scontent-atl3-1.xx&oh=ca234e4d8a1b94ed4e7f8a43d355c2ed&oe=5F81FFC3,2.0,https://docs.google.com/forms/d/e/1FAIpQLSeXzAqkuRalJklT4wOkG133CPN-6NvZ_UBinBZ_ar7XcZjqxQ/viewform,4196540913751822,"Hi APR Families, We miss you! As we prepare for an unprecedented school year, we have two asks for APR families / dos preguntan para familias / De mande pou fanmi yo:
1. Take this survey (similar to the last one) by Friday, 7/31.
Realice esta encuesta (similar a la ultima) antes del viernes 7/31.
Pran sondaj sa a (menm jan ak denye a) pa vandredi, 7/31.

https://docs.google.com/forms/d/e/1FAIpQLSeXzAqkuRalJklT4wOkG133CPN-6NvZ_UBinBZ_ar7XcZjqxQ/viewform

2. Attend a Zoom Meeting with us next Tuesday night, 8/4 from 6-7pm. (invite to follow on Friday).
Asista a una reunion de Zoom con nosotros el proximo martes, 8/4 por la noche de 6-7pm. (Invita a seguir el viernes).
Patisipe nan yon reyinyon Zoom ak nou pwochen madi swa, 8/4 soti nan 6-7pm. (envite yo swiv nan vandredi).

Thank you, Gracias, Mèsi",https://facebook.com/story.php?story_fbid=4196540913751822&id=145677595504861,,0.0,"Hi APR Families, We miss you! As we prepare for an unprecedented school year, we have two asks for APR families / dos preguntan para familias / De mande pou fanmi yo:
1. Take this survey (similar to the last one) by Friday, 7/31.
Realice esta encuesta (similar a la ultima) antes del viernes 7/31.
Pran sondaj sa a (menm jan ak denye a) pa vandredi, 7/31.

https://docs.google.com/forms/d/e/1FAIpQLSeXzAqkuRalJklT4wOkG133CPN-6NvZ_UBinBZ_ar7XcZjqxQ/viewform

2. Attend a Zoom Meeting with us next Tuesday night, 8/4 from 6-7pm. (invite to follow on Friday).
Asista a una reunion de Zoom con nosotros el proximo martes, 8/4 por la noche de 6-7pm. (Invita a seguir el viernes).
Patisipe nan yon reyinyon Zoom ak nou pwochen madi swa, 8/4 soti nan 6-7pm. (envite yo swiv nan vandredi).

Thank you, Gracias, Mèsi",2020-07-29 10:27:09,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/103940809_4018584781547437_3881565793112037568_o.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=CmgBKVTd3zkAX94YfoZ&_nc_ht=scontent-atl3-1.xx&oh=f888fb16b169f37857a48b56e1453140&oe=5F81B808,5.0,http://blackboston.com/,4018587954880453,"Today, we celebrate the last day of school, and we commemorate Juneteenth, an American holiday celebrated annually on June 19th. It commemorates June 19, 1865, when Union general Gordon Granger read federal orders in Galveston, Texas, that all previously enslaved people in Texas were free. This is celebrated in 46 states, including Massachusetts. The Museum of the National Center of Afro-American Artists, Inc. is leading local celebrations in Boston, and blackboston.com has shared events going on too!",https://facebook.com/story.php?story_fbid=4018587954880453&id=145677595504861,,0.0,"Today, we celebrate the last day of school, and we commemorate Juneteenth, an American holiday celebrated annually on June 19th. It commemorates June 19, 1865, when Union general Gordon Granger read federal orders in Galveston, Texas, that all previously enslaved people in Texas were free. This is celebrated in 46 states, including Massachusetts. The Museum of the National Center of Afro-American Artists, Inc. is leading local celebrations in Boston, and blackboston.com has shared events going on too!",2020-06-19 12:24:00,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104288865_4018263104912938_9178771520959989500_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=GYlZb89WvtwAX-rJJRT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=13c11a95efac892acf346ab7b2d9d11c&oe=5F815519,2.0,https://bit.ly/EOYatAPR,4018265061579409,"Today is the last day of school! 🎉We'll celebrate our students at end of year watch parties and assembly.

Details:

For Middle School, you can access your watch-parties here: https://bit.ly/EOYatAPR

For High School, a Zoom link was sent out to you earlier in the week for the honors assembly.

Times:

5th grade - 3:30 pm

6th grade - 4:00 pm

7th grade - 4:30 pm

8th grade - 5:00 pm

9th, 10th, 11th grades - 5:30 pm

Congratulations to students and families on your Focused Minds and Big Hearts!",https://facebook.com/story.php?story_fbid=4018265061579409&id=145677595504861,,0.0,"Today is the last day of school! 🎉We'll celebrate our students at end of year watch parties and assembly.

Details:

For Middle School, you can access your watch-parties here: https://bit.ly/EOYatAPR

For High School, a Zoom link was sent out to you earlier in the week for the honors assembly.

Times:

5th grade - 3:30 pm

6th grade - 4:00 pm

7th grade - 4:30 pm

8th grade - 5:00 pm

9th, 10th, 11th grades - 5:30 pm

Congratulations to students and families on your Focused Minds and Big Hearts!",2020-06-19 10:45:53,,
7,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104840814_4015332141872701_2399233962951124151_o.jpg?_nc_cat=107&_nc_sid=e007fa&_nc_ohc=H8kmjxyvZHsAX-29ouP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ed17ee34d89c86009ffe90becf1f39d4&oe=5F84BAE6,18.0,,,,,"Academy of the Pacific Rim Charter Public School added 70 new photos — with Nicole Curran Photography.
June 12 ·

We are extremely proud of the Senior Class of 2020. We <3 you! Here are some photos from graduation. Special thanks to @nicolecurranphotography for photographing our graduates on this momentous day.",0.0,"Academy of the Pacific Rim Charter Public School added 70 new photos — with Nicole Curran Photography.
June 12 ·

We are extremely proud of the Senior Class of 2020. We <3 you! Here are some photos from graduation. Special thanks to @nicolecurranphotography for photographing our graduates on this momentous day.",2020-06-12 12:00:00,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/103494489_3989374737801775_1561179256884474894_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=Mpjz0h79xvYAX-pL1mj&_nc_ht=scontent-atl3-1.xx&oh=5d12975e158444e4cb7c8cdc8665d131&oe=5F81DA74,12.0,,3989382831134299,"Today is an important day. It's graduation day for our phenomenal Seniors! We are feeling much joy, admiration and love for them and we wanted to share where they'll start new adventures soon. Congratulations Class of 2020! 🎉😃❤️",https://facebook.com/story.php?story_fbid=3989382831134299&id=145677595504861,,0.0,"Today is an important day. It's graduation day for our phenomenal Seniors! We are feeling much joy, admiration and love for them and we wanted to share where they'll start new adventures soon. Congratulations Class of 2020! 🎉😃❤️",2020-06-12 11:58:33,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/103351340_3981818005224115_2250211004692927581_o.png?_nc_cat=102&_nc_sid=dd9801&_nc_ohc=mBTZePl9n-oAX96IkTa&_nc_ht=scontent-atl3-1.xx&oh=6b1e3b7c14c823bd85159a86f275d505&oe=5F8307B8,5.0,,3981818365224079,,,,0.0,,2020-06-10 15:16:03,,
