,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,8.0,,4735118396505746,,https://facebook.com/story.php?story_fbid=4735118396505746&id=355018504515779,,0.0,,2020-09-08 14:42:39,,
1,0.0,,20.0,,4659132887437631,,https://facebook.com/story.php?story_fbid=4659132887437631&id=355018504515779,,0.0,,2020-08-24 21:12:47,,
2,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=3031541786943718&id=186903051407620,,0.0,,2020-09-12 19:35:43.074248,,
3,18.0,,12.0,https://bit.ly/aug14letter,4608314195852834,"Bombers,

The link to the district’s Returning to School Plan and the Community Calendar are provided on this post.

The district will be Full Remote instruction for at least the first quarter. Changes to the school calendar have also occurred.

If you have any questions, email them to covid19@argenta-oreana.org.

https://bit.ly/aug14letter
https://bit.ly/aug14calendar
https://www.isbe.net/Documents/IDPH-School-FAQs.pdf",https://facebook.com/story.php?story_fbid=4608314195852834&id=355018504515779,,0.0,"Bombers,

The link to the district’s Returning to School Plan and the Community Calendar are provided on this post.

The district will be Full Remote instruction for at least the first quarter. Changes to the school calendar have also occurred.

If you have any questions, email them to covid19@argenta-oreana.org.

https://bit.ly/aug14letter
https://bit.ly/aug14calendar
https://www.isbe.net/Documents/IDPH-School-FAQs.pdf",2020-08-14 13:00:19,,
4,0.0,,3.0,,4594506350566952,"#WEareAO
#MaskupBombers",https://facebook.com/story.php?story_fbid=4594506350566952&id=355018504515779,"Argenta Oreana Elementary CUSD #1
August 11 at 2:55 PM ·

Are you an AO alum who wears a mask of some kind in your line of work (before COVID guidelines)? Firefighter, hospital staff, welder, etc. If so, please message this school Facebook account to help Mrs. Ryder with a project for our students.",0.0,"#WEareAO
#MaskupBombers

Argenta Oreana Elementary CUSD #1
August 11 at 2:55 PM ·

Are you an AO alum who wears a mask of some kind in your line of work (before COVID guidelines)? Firefighter, hospital staff, welder, etc. If so, please message this school Facebook account to help Mrs. Ryder with a project for our students.",2020-08-11 16:07:14,,
5,0.0,,0.0,,,"Are you an AO alum who wears a mask of some kind in your line of work (before COVID guidelines)? Firefighter, hospital staff, welder, etc. If so, please message this school Facebook account to help Mrs. Ryder with a project for our students.",https://facebook.com/story.php?story_fbid=3260860517286533&id=745644252141518,,0.0,"Are you an AO alum who wears a mask of some kind in your line of work (before COVID guidelines)? Firefighter, hospital staff, welder, etc. If so, please message this school Facebook account to help Mrs. Ryder with a project for our students.",2020-09-12 19:35:43.074258,,
6,3.0,,6.0,https://5il.co/jdfx,4594069727277281,"The A-O Board of Education adopted the Returning to School/Remote and Blended Learning Day Plan at the board meeting last night.

https://5il.co/jdfx",https://facebook.com/story.php?story_fbid=4594069727277281&id=355018504515779,"CORE-DOCS.S3.AMAZONAWS.COM
core-docs.s3.amazonaws.com",9.0,"The A-O Board of Education adopted the Returning to School/Remote and Blended Learning Day Plan at the board meeting last night.

https://5il.co/jdfx

CORE-DOCS.S3.AMAZONAWS.COM
core-docs.s3.amazonaws.com",2020-08-11 14:02:43,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116893693_4593546447329609_6696402549219832862_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=yg1ar2buMagAX_iwLJE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d962e2e12fd5f869eb4a33b250c5cf4b&oe=5F847674,7.0,,4593547077329546,"Board Briefs for August 2020.

To read, click on the left picture and then use the arrow to scroll to the right to review all pages.

#WEareAO",https://facebook.com/story.php?story_fbid=4593547077329546&id=355018504515779,,0.0,"Board Briefs for August 2020.

To read, click on the left picture and then use the arrow to scroll to the right to review all pages.

#WEareAO",2020-08-11 11:43:44,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117264421_4565391803478407_6259670061292886758_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=hz623CXqakgAX8hqKSn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5998e1b75185e8c1f1ff2d33eb7b2236&oe=5F8367B2,0.0,,4565393453478242,Attached are the Board Briefs for the special board of education meeting held last night.,https://facebook.com/story.php?story_fbid=4565393453478242&id=355018504515779,,0.0,Attached are the Board Briefs for the special board of education meeting held last night.,2020-08-05 15:13:10,,
9,0.0,,7.0,https://5il.co/iwmd,4539903392693915,"A link to the Draft Return to School Plan is provided below. Additional information is available on each school's Facebook page.

Please direct any questions to the applicable principal listed below.

AOES Mrs. Amanda Ryder at aryder@argenta-oreana.org
AOMS Mr. Patrick Blair at pblair@argenta-oreana.org
AOHS Mr. Sean German at sgerman@argenta-oreana.org",https://facebook.com/story.php?story_fbid=4539903392693915&id=355018504515779,"CORE-DOCS.S3.AMAZONAWS.COM
core-docs.s3.amazonaws.com",10.0,"A link to the Draft Return to School Plan is provided below. Additional information is available on each school's Facebook page.

Please direct any questions to the applicable principal listed below.

AOES Mrs. Amanda Ryder at aryder@argenta-oreana.org
AOMS Mr. Patrick Blair at pblair@argenta-oreana.org
AOHS Mr. Sean German at sgerman@argenta-oreana.org

CORE-DOCS.S3.AMAZONAWS.COM
core-docs.s3.amazonaws.com",2020-07-31 11:19:44,,
