,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,12.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119632052_4496345837074525_5712992398910643015_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=pxqU6i88WDkAX9D849W&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f3f8246880b30831e864744009d5a399&oe=5F888DA5,37.0,,4496322767076832,,https://facebook.com/story.php?story_fbid=4496322767076832&id=1035180906524386,,0.0,,2020-09-15 11:58:56,,
1,2.0,,57.0,,4487570344618741,"There have been many questions about changing learning options since we have one positive case. If you missed Friday's deadline, for now, the following may change their options:. Students who have been quarantined and their siblings only at this time. If things change since this is a fluid situation, we will look to amend this decision. I will be monitoring this situation literally hour by hour. So if circumstances change, we will immediately let you know.
Thank you,
Scott Graham",https://facebook.com/story.php?story_fbid=4487570344618741&id=1035180906524386,,0.0,"There have been many questions about changing learning options since we have one positive case. If you missed Friday's deadline, for now, the following may change their options:. Students who have been quarantined and their siblings only at this time. If things change since this is a fluid situation, we will look to amend this decision. I will be monitoring this situation literally hour by hour. So if circumstances change, we will immediately let you know.
Thank you,
Scott Graham",2020-09-13 19:28:06,,
2,12.0,,34.0,,4487103481332094,"IMPORTANT MESSAGE. PLEASE READ.

Dear BEA Community:
We have had our first confirmed Covid-19 case in the district. It was an adult at Wingate Elementary. Those students and staff that are required to quarantine have been contacted. We will continue to monitor this situation. Should others begin experiencing symptoms we will notify those parents and adults that would be affected. I have been working today with the DOH, Mr. Orichosky, and the nurses that serve Wingate Elementary.
I would like to thank them for their time and effort spent today.
Sincerely,
Scott V. Graham",https://facebook.com/story.php?story_fbid=4487103481332094&id=1035180906524386,,0.0,"IMPORTANT MESSAGE. PLEASE READ.

Dear BEA Community:
We have had our first confirmed Covid-19 case in the district. It was an adult at Wingate Elementary. Those students and staff that are required to quarantine have been contacted. We will continue to monitor this situation. Should others begin experiencing symptoms we will notify those parents and adults that would be affected. I have been working today with the DOH, Mr. Orichosky, and the nurses that serve Wingate Elementary.
I would like to thank them for their time and effort spent today.
Sincerely,
Scott V. Graham",2020-09-13 16:54:25,,
3,1.0,,4.0,https://forms.gle/2AtpwA7DLxPdTNDM9,4479826618726447,"Form is fixed! Please complete the attached form if you are a virtual student at BEA. The link has been fixed and is noted in the message from Mr. Graham. We apologize for the inconvenience.

FREE BREAKFAST AND LUNCH FOR ALL STUDENTS!

Dear Parents:

Beginning Monday, September 14, all students within the Bald Eagle Area School District, will be eligible for both free breakfast and lunch. This will last through December 2020 as an extension of a special USDA program. If your child(ren) is attending school in-person there is nothing special you need to do and there is no paperwork to fill out.

Parents of students attending virtual classes or through our Cyber Academy:
You may Pre-Order meals online available for pickup once a week for their child's virtual attendance days. The link below should be used to order meals for virtual or BEACA students.

https://forms.gle/2AtpwA7DLxPdTNDM9

I want to personally thank Laura Frye for her help in making this happen.
Scott Graham
Superintendent",https://facebook.com/story.php?story_fbid=4479826618726447&id=1035180906524386,"DOCS.GOOGLE.COM
BEA Meals for Home Order Form-Week of Sept 14",3.0,"Form is fixed! Please complete the attached form if you are a virtual student at BEA. The link has been fixed and is noted in the message from Mr. Graham. We apologize for the inconvenience.

FREE BREAKFAST AND LUNCH FOR ALL STUDENTS!

Dear Parents:

Beginning Monday, September 14, all students within the Bald Eagle Area School District, will be eligible for both free breakfast and lunch. This will last through December 2020 as an extension of a special USDA program. If your child(ren) is attending school in-person there is nothing special you need to do and there is no paperwork to fill out.

Parents of students attending virtual classes or through our Cyber Academy:
You may Pre-Order meals online available for pickup once a week for their child's virtual attendance days. The link below should be used to order meals for virtual or BEACA students.

https://forms.gle/2AtpwA7DLxPdTNDM9

I want to personally thank Laura Frye for her help in making this happen.
Scott Graham
Superintendent

DOCS.GOOGLE.COM
BEA Meals for Home Order Form-Week of Sept 14",2020-09-12 08:13:39,,
4,5.0,,61.0,https://forms.gle/2AtpwA7DLxPdTNDM9,4475742275801548,"FREE BREAKFAST AND LUNCH FOR ALL STUDENTS!

Dear Parents:

Beginning Monday, September 14, all students within the Bald Eagle Area School District, will be eligible for both free breakfast and lunch. This will last through December 2020 as an extension of a special USDA program. If your child(ren) is attending school in-person there is nothing special you need to do and there is no paperwork to fill out.

Parents of students attending virtual classes or through our Cyber Academy:
You may Pre-Order meals online available for pickup once a week for their child's virtual attendance days. The link below should be used to order meals for virtual or BEACA students.

https://forms.gle/2AtpwA7DLxPdTNDM9

I want to personally thank Laura Frye for her help in making this happen.
Scott Graham
Superintendent",https://facebook.com/story.php?story_fbid=4475742275801548&id=1035180906524386,"DOCS.GOOGLE.COM
BEA Meals for Home Order Form-Week of Sept 14",55.0,"FREE BREAKFAST AND LUNCH FOR ALL STUDENTS!

Dear Parents:

Beginning Monday, September 14, all students within the Bald Eagle Area School District, will be eligible for both free breakfast and lunch. This will last through December 2020 as an extension of a special USDA program. If your child(ren) is attending school in-person there is nothing special you need to do and there is no paperwork to fill out.

Parents of students attending virtual classes or through our Cyber Academy:
You may Pre-Order meals online available for pickup once a week for their child's virtual attendance days. The link below should be used to order meals for virtual or BEACA students.

https://forms.gle/2AtpwA7DLxPdTNDM9

I want to personally thank Laura Frye for her help in making this happen.
Scott Graham
Superintendent

DOCS.GOOGLE.COM
BEA Meals for Home Order Form-Week of Sept 14",2020-09-11 12:29:14,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119428579_4474393965936379_2709876822912570445_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=YE7x-GmDVVAAX9oodsr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=618f43e83fd07a0ea9afe0aa7148a704&oe=5F89E22C,114.0,,4474395219269587,,https://facebook.com/story.php?story_fbid=4474395219269587&id=1035180906524386,,0.0,,2020-09-11 07:22:24,,
6,0.0,,10.0,,4471417396234036,"Please read this important message from
Mr. Graham our Superintendent.

Good afternoon,

The school year is off to a good start. Thank you for being understanding as we navigate the new normal and what education looks like.

Please be advised that Friday, September 11, 2020 is the deadline for initiating any changes to student Educational Instructional Options. Please ensure that all requests are submitted no later than 5:00 PM on Friday, September 11th. This will allow time to adjust student schedules, update data systems, and provide information to classroom teachers.

The next opportunity to switch to a different Educational Instructional Option will be at the end of the first marking period. You will have from Tuesday, October 27th until Friday, October 30th to make any changes. After this date, the changes will remain in effect until the end of Marking Period 2.

Thank you for your understanding,
Scott V. Graham, Superintendent",https://facebook.com/story.php?story_fbid=4471417396234036&id=1035180906524386,,0.0,"Please read this important message from
Mr. Graham our Superintendent.

Good afternoon,

The school year is off to a good start. Thank you for being understanding as we navigate the new normal and what education looks like.

Please be advised that Friday, September 11, 2020 is the deadline for initiating any changes to student Educational Instructional Options. Please ensure that all requests are submitted no later than 5:00 PM on Friday, September 11th. This will allow time to adjust student schedules, update data systems, and provide information to classroom teachers.

The next opportunity to switch to a different Educational Instructional Option will be at the end of the first marking period. You will have from Tuesday, October 27th until Friday, October 30th to make any changes. After this date, the changes will remain in effect until the end of Marking Period 2.

Thank you for your understanding,
Scott V. Graham, Superintendent",2020-09-10 16:59:01,,
7,0.0,,7.0,https://zoom.us/webinar/register/WN_cBI1hBscQvqy-HbvOBmGLQ,4470570746318701,"Our School Board Meeting will be held virtually tonight at 7pm
To attend please register by using the link below. https://zoom.us/webinar/register/WN_cBI1hBscQvqy-HbvOBmGLQ
https://www.beasd.org/virtual-board-meetings",https://facebook.com/story.php?story_fbid=4470570746318701&id=1035180906524386,"ZOOM.US
Welcome! You are invited to join a webinar: Bald Eagle Area SD - September 10, 2020 Regular Meeting. After registering, you will receive a confirmation email about joining the webinar.",3.0,"Our School Board Meeting will be held virtually tonight at 7pm
To attend please register by using the link below. https://zoom.us/webinar/register/WN_cBI1hBscQvqy-HbvOBmGLQ
https://www.beasd.org/virtual-board-meetings

ZOOM.US
Welcome! You are invited to join a webinar: Bald Eagle Area SD - September 10, 2020 Regular Meeting. After registering, you will receive a confirmation email about joining the webinar.",2020-09-10 13:07:09,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119135914_4469306213111821_1836616884488730943_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=WgAMjYLTjgoAX_-3x_g&_nc_ht=scontent-atl3-1.xx&tp=14&oh=73f071c19168f77e4c5d7c3b2681c62c&oe=5F88A8E7,2.0,,4469309449778164,,https://facebook.com/story.php?story_fbid=4469309449778164&id=1035180906524386,,0.0,,2020-09-10 08:05:58,,
9,21.0,,169.0,,4460014644040978,,https://facebook.com/story.php?story_fbid=4460014644040978&id=1035180906524386,,0.0,,2020-09-08 14:06:14,,
