,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119191934_1415948311931585_2079060848085497049_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=a3WCaTldDYIAX-4oMu7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=899333b2c36de3040d2c71f76e259cf7&oe=5F82B25E,28.0,,1415949545264795,"BHS & BMS Cross Country at Hickory Flat Invitational Today:
Congratulations to
Ava Harvell 1st place middle school
Macie Arnold 5th place middle school
Kylee Wildmon 6th place middle school
BMS Girls Team placed 2nd in Team Points",https://facebook.com/story.php?story_fbid=1415949545264795&id=477260679133691,,0.0,"BHS & BMS Cross Country at Hickory Flat Invitational Today:
Congratulations to
Ava Harvell 1st place middle school
Macie Arnold 5th place middle school
Kylee Wildmon 6th place middle school
BMS Girls Team placed 2nd in Team Points",2020-09-12 15:06:21,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119432664_1415809875278762_3759686480193400940_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=vh5FAL723AMAX-5h6PX&_nc_oc=AQn9z_-ebS8VFDKb7zL6LTLPFe0dGXTlkvvxn8qTGh5dBXwL96M3hHuUmn0CENnkCcU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c542bb618a52e4651b6dd7ec006657c8&oe=5F833D0A,40.0,,1415811658611917,"Good luck to BHS Cross Country Team today at Hickory Flat Invitational! ❤️💙

Left to right:
Gella Brooke Raines 7th
Lillian Floyd 9th
Kylee Wildmon 7th
Katlyn Williams 7th
Anden Earnest 8th
Macie Arnold 7th
Ava Harvell 7th
Gray Earnest 7th
Coach Morgan Fisher
Assistant Coach Melody Gill",https://facebook.com/story.php?story_fbid=1415811658611917&id=477260679133691,,0.0,"Good luck to BHS Cross Country Team today at Hickory Flat Invitational! ❤️💙

Left to right:
Gella Brooke Raines 7th
Lillian Floyd 9th
Kylee Wildmon 7th
Katlyn Williams 7th
Anden Earnest 8th
Macie Arnold 7th
Ava Harvell 7th
Gray Earnest 7th
Coach Morgan Fisher
Assistant Coach Melody Gill",2020-09-12 11:24:09,,
2,0.0,,24.0,,1415044778688605,"BHS Bearcat Football Attendance Information for tonight’s game vs. Nettleton at Latimer Park:
😷 Masks are required
🏈 Kick-off at 7 pm
🍿Concessions open
💲$5 ticket admission
🎵 Ball game will be aired on 101.9 FM
Please practice social distancing in stands and at concessions. You are welcome to bring lawn chairs if you feel you need to social distance outside of stands.
Let’s go Bearcats! ❤️💙🏈",https://facebook.com/story.php?story_fbid=1415044778688605&id=477260679133691,,0.0,"BHS Bearcat Football Attendance Information for tonight’s game vs. Nettleton at Latimer Park:
😷 Masks are required
🏈 Kick-off at 7 pm
🍿Concessions open
💲$5 ticket admission
🎵 Ball game will be aired on 101.9 FM
Please practice social distancing in stands and at concessions. You are welcome to bring lawn chairs if you feel you need to social distance outside of stands.
Let’s go Bearcats! ❤️💙🏈",2020-09-11 12:45:55,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119195866_1414986678694415_1367261296597055782_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=QIIjJq29sicAX-DxdJp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6b3d2621893e9447820bcc02136ca08c&oe=5F833750,7.0,http://www.baldwynschools.com/media/43555/revised-bsd-2020-21-calendar.pdf,1414986968694386,"Reminder of REVISED School Calendar posted since July 29, 2020. (This includes ammended start dates and holiday changes from original calendar posted in spring.)

http://www.baldwynschools.com/media/43555/revised-bsd-2020-21-calendar.pdf",https://facebook.com/story.php?story_fbid=1414986968694386&id=477260679133691,,0.0,"Reminder of REVISED School Calendar posted since July 29, 2020. (This includes ammended start dates and holiday changes from original calendar posted in spring.)

http://www.baldwynschools.com/media/43555/revised-bsd-2020-21-calendar.pdf",2020-09-11 11:16:09,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119235734_1414985195361230_1492143115238725662_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=ogkIfwu9kXgAX8BI5J3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=595deb8381e3aff94da2f5a8f8c4185b&oe=5F8246CC,32.0,,1414985782027838,"This year we are faced with many changes, but change can be a good thing sometimes. BSD Cafeteria staff are excited that we were able to implement online meal applications and student meal cards/pin pads through our new software program. (Titan School Solutions)
Go Bearcats! 🍎💙❤️",https://facebook.com/story.php?story_fbid=1414985782027838&id=477260679133691,,0.0,"This year we are faced with many changes, but change can be a good thing sometimes. BSD Cafeteria staff are excited that we were able to implement online meal applications and student meal cards/pin pads through our new software program. (Titan School Solutions)
Go Bearcats! 🍎💙❤️",2020-09-11 11:14:34,,
5,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119069935_1413496818843401_3119737661615571756_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=f-8lGKmv6rIAX-LBWZk&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bb4502751aeb69eabd20134fd2ad5026&oe=5F8398E9,108.0,,1413500028843080,Thank you to New Stitch of Baldwyn for printing our district’s 1500 masks order. Each student receives 2 masks for the school year.,https://facebook.com/story.php?story_fbid=1413500028843080&id=477260679133691,,0.0,Thank you to New Stitch of Baldwyn for printing our district’s 1500 masks order. Each student receives 2 masks for the school year.,2020-09-09 17:21:49,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119049291_1411930339000049_9037355962049506028_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_aid=0&_nc_ohc=1xoyvpVyLuYAX8e6t5Q&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bcb50b6a0abbccb92bf61504b2f86560&oe=5F82ED90,17.0,,1411930842333332,,https://facebook.com/story.php?story_fbid=1411930842333332&id=477260679133691,,0.0,,2020-09-07 20:21:38,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118890106_1410065989186484_4639706178248834898_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=UceL0VS-N6EAX-q-8xw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fb92d7bf45b3fe14c18b58d47bea45f7&oe=5F826A78,17.0,http://www.baldwynschools.com/resources/lunch-program-menus,1410066139186469,"We are excited to announce that ALL students K-12 will receive free breakfast and lunch at Baldwyn Schools through December 31, 2020. This is thanks to support from the US Department of Agriculture.

If you have NOT completed a meal application through Titan website, please do so as soon as you can so your student’s name and information will be available in our computer system in the lunch line. Please do NOT add any funds or any more funds to your student Titan account. Any funds available now in the Titan account can be used to buy extra food items or use next semester.

At-Home virtual learners or students who have been or become placed in quarantine this semester can have meals picked up on weekdays from 9-10 am at the cafeteria. Breakfast and lunch meals will be given out for each day during this hour.

For instructions on how to apply through Titan website or to view September 2020 menus, visit this link http://www.baldwynschools.com/resources/lunch-program-menus

Non-Discrimination Statement
http://www.baldwynschools.com/media/42961/usda-nondiscrimination-statement-2016.pdf",https://facebook.com/story.php?story_fbid=1410066139186469&id=477260679133691,,0.0,"We are excited to announce that ALL students K-12 will receive free breakfast and lunch at Baldwyn Schools through December 31, 2020. This is thanks to support from the US Department of Agriculture.

If you have NOT completed a meal application through Titan website, please do so as soon as you can so your student’s name and information will be available in our computer system in the lunch line. Please do NOT add any funds or any more funds to your student Titan account. Any funds available now in the Titan account can be used to buy extra food items or use next semester.

At-Home virtual learners or students who have been or become placed in quarantine this semester can have meals picked up on weekdays from 9-10 am at the cafeteria. Breakfast and lunch meals will be given out for each day during this hour.

For instructions on how to apply through Titan website or to view September 2020 menus, visit this link http://www.baldwynschools.com/resources/lunch-program-menus

Non-Discrimination Statement
http://www.baldwynschools.com/media/42961/usda-nondiscrimination-statement-2016.pdf",2020-09-05 13:34:34,,
8,0.0,,17.0,,1409300799263003,,https://facebook.com/story.php?story_fbid=1409300799263003&id=477260679133691,,0.0,,2020-09-04 15:12:51,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118802305_1408484846011265_2883574193577097015_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=fKWMfERz7gYAX9zq3NG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dfe432b73f8f21504fb3bbb729b1d1ff&oe=5F84C440,12.0,,1408485399344543,"From BHS/BMS Art Teacher Mrs. Kara Courtney:

Week 2 Art students’ work! You guys are rocking it! I love seeing the different styles and personalities in your work. Great job!",https://facebook.com/story.php?story_fbid=1408485399344543&id=477260679133691,,0.0,"From BHS/BMS Art Teacher Mrs. Kara Courtney:

Week 2 Art students’ work! You guys are rocking it! I love seeing the different styles and personalities in your work. Great job!",2020-09-03 15:26:13,,
