,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119023205_3234744696615653_2530959116440933689_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=2gO4UXKrYIQAX91lxwO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bb9a2fa125c95750460141da613063fb&oe=5F85230C,4.0,https://www.forceofnatureclean.com/ref/bcswildcats/,3234746173282172,"Force of Nature
Order from:

https://www.forceofnatureclean.com/ref/bcswildcats/",https://facebook.com/story.php?story_fbid=3234746173282172&id=229695210453965,,0.0,"Force of Nature
Order from:

https://www.forceofnatureclean.com/ref/bcswildcats/",2020-09-08 14:00:43,,
1,0.0,,3.0,https://www.forceofnatureclean.com/ref/bcswildcats/,3234743786615744,"Force of Nature is a unique cleaning and disinfecting product that we are using in the school to disinfect hard surfaces and shared equipment.

It disinfects & sanitizes as effectively as bleach with no harmful fumes or residues. It also cleans & deodorizes as effectively as the leading brands.

Force of Nature is registered with the EPA 93040-1. It kills 99.9% of viruses & bacteria, including COVID-19 when used as directed.

Banner County is a registered affiliate of Force of Nature, which means, if YOU purchase a starter kit, Force of Nature will contribute $20 to our school for replacement capsules!

Go to https://www.forceofnatureclean.com/ref/bcswildcats/ to order your FofN starter kit and for more information on this amazing, safe cleaning and disinfecting product!",https://facebook.com/story.php?story_fbid=3234743786615744&id=229695210453965,"FORCEOFNATURECLEAN.COM
Force of Nature Natural Cleaner Home Page - Force of Nature",0.0,"Force of Nature is a unique cleaning and disinfecting product that we are using in the school to disinfect hard surfaces and shared equipment.

It disinfects & sanitizes as effectively as bleach with no harmful fumes or residues. It also cleans & deodorizes as effectively as the leading brands.

Force of Nature is registered with the EPA 93040-1. It kills 99.9% of viruses & bacteria, including COVID-19 when used as directed.

Banner County is a registered affiliate of Force of Nature, which means, if YOU purchase a starter kit, Force of Nature will contribute $20 to our school for replacement capsules!

Go to https://www.forceofnatureclean.com/ref/bcswildcats/ to order your FofN starter kit and for more information on this amazing, safe cleaning and disinfecting product!

FORCEOFNATURECLEAN.COM
Force of Nature Natural Cleaner Home Page - Force of Nature",2020-09-08 13:59:37,,
2,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118547082_3219271304829659_2351023806845619893_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=X1FA_HOAI7cAX-Lloxj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d427deb06b8b2186d193d9130ce5ec95&oe=5F837EEB,46.0,,3219271891496267,Our Preschoolers worked hard together this morning to build a house!,https://facebook.com/story.php?story_fbid=3219271891496267&id=229695210453965,,0.0,Our Preschoolers worked hard together this morning to build a house!,2020-09-03 15:07:03,,
3,0.0,,17.0,http://iloveps.org/films/banner-county,3216659158424207,Banner County School is on TV! We’ve been featured by @Nebraska Loves Public Schools for their new film about mental wellness. Watch what makes our school so important to us! – iloveps.org/films/banner-county #ilovepublicschools,https://facebook.com/story.php?story_fbid=3216659158424207&id=229695210453965,"ILOVEPS.ORG
Harnessing Emotions",4.0,"Banner County School is on TV! We’ve been featured by @Nebraska Loves Public Schools for their new film about mental wellness. Watch what makes our school so important to us! – iloveps.org/films/banner-county #ilovepublicschools

ILOVEPS.ORG
Harnessing Emotions",2020-09-02 19:30:56,,
4,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118763476_3213137922109664_3258583903648098906_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=mnsuQsOXYPsAX_kSl2B&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f26a2715559034b37935517067a0d6fb&oe=5F82E465,51.0,,3213139552109501,The first training project from our plasma cutter!,https://facebook.com/story.php?story_fbid=3213139552109501&id=229695210453965,,0.0,The first training project from our plasma cutter!,2020-09-01 17:58:42,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118653816_3203732376383552_3023024004586023328_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=nG8qhW_UD94AX_OkeNj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2bebe10b814104e8b5976e081ad408ad&oe=5F832B94,22.0,,3203736036383186,"This week’s OEF offered students tech, creative expression, sport, and travel! K-5 students visited the Riverside Discovery Center, while other students made discoveries right inside the schoolhouse! Our very first 1st Lego League Team is looking for a couple more team members!",https://facebook.com/story.php?story_fbid=3203736036383186&id=229695210453965,,0.0,"This week’s OEF offered students tech, creative expression, sport, and travel! K-5 students visited the Riverside Discovery Center, while other students made discoveries right inside the schoolhouse! Our very first 1st Lego League Team is looking for a couple more team members!",2020-08-29 17:30:03,,
6,0.0,,25.0,http://iloveps.org/,3203717203051736,"Banner County School is featured in the next episode of “I ❤️ Public Schools” in Nebraska! Check out the trailer. The film premieres on September 1st at iloveps.org

https://iloveps.org/films/banner-county",https://facebook.com/story.php?story_fbid=3203717203051736&id=229695210453965,"ILOVEPS.ORG
I Love Public Schools",6.0,"Banner County School is featured in the next episode of “I ❤️ Public Schools” in Nebraska! Check out the trailer. The film premieres on September 1st at iloveps.org

https://iloveps.org/films/banner-county

ILOVEPS.ORG
I Love Public Schools",2020-08-29 17:20:43,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118323819_3193490767407713_7189200180125626857_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=Ddq0SrN0TfMAX-xcPBT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=660a5abd95ee5f468a53f20bbf474f1a&oe=5F837224,23.0,,3193493054074151,"We are very proud of all the BCS students who participated in the Kimball Banner County Fair this year! What a list of accomplishments!

Alex Rundell, 3-Blue; Andie West, 4-Blue, 5-Purple, Grand Champion Breeding Heifers: Austin West, 4-Blue; Colesen Gilbert, 2-Blue, 2-Purple; Isaac Olsen, 3-Blue, 6-Purple, Reserve Champion-Breeding Heifers, Grad Champion-White Bread; Kody Carpenter, 3-Blue, 4-Purple, 1-Red, Reserve Champion-Accessory 3D Art; Kohl Krakow, 3-Blue, 7-Purple, 1-Red, 1-White, Grand Champion-All Around Horsemanship, Barrel Racing, Western Horsemanship and Reserve Champion – Western Pleasure, Dog Obedience, Dog Showmanship, Trail; Luke Olsen, 4-Purple, Grand Champion-Cookies; Mycala Jones, 1-Blue, 2-Purple, Grand Champion-Rabbit Showmanship, Reserve Champion-Fancy Breed Rabbit; Rilet Jones, 3-Purple, Reserve Champion- Rabbit Showmanship; Tate Olsen, 2-Blue, 2-Purple; Tucker Haug (Class of 2020), 2-Blue, 2-Purple",https://facebook.com/story.php?story_fbid=3193493054074151&id=229695210453965,,0.0,"We are very proud of all the BCS students who participated in the Kimball Banner County Fair this year! What a list of accomplishments!

Alex Rundell, 3-Blue; Andie West, 4-Blue, 5-Purple, Grand Champion Breeding Heifers: Austin West, 4-Blue; Colesen Gilbert, 2-Blue, 2-Purple; Isaac Olsen, 3-Blue, 6-Purple, Reserve Champion-Breeding Heifers, Grad Champion-White Bread; Kody Carpenter, 3-Blue, 4-Purple, 1-Red, Reserve Champion-Accessory 3D Art; Kohl Krakow, 3-Blue, 7-Purple, 1-Red, 1-White, Grand Champion-All Around Horsemanship, Barrel Racing, Western Horsemanship and Reserve Champion – Western Pleasure, Dog Obedience, Dog Showmanship, Trail; Luke Olsen, 4-Purple, Grand Champion-Cookies; Mycala Jones, 1-Blue, 2-Purple, Grand Champion-Rabbit Showmanship, Reserve Champion-Fancy Breed Rabbit; Rilet Jones, 3-Purple, Reserve Champion- Rabbit Showmanship; Tate Olsen, 2-Blue, 2-Purple; Tucker Haug (Class of 2020), 2-Blue, 2-Purple",2020-08-26 10:07:23,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118584339_3193352784088178_805676280601118948_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=bN6hlP02zw4AX-d30MX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ef267990581b6e79746b10ba36e8a09d&oe=5F82AA49,19.0,,3193353107421479,Students tested out their first App in Computer Science Essentials! The course is the first of the new CTE Project Lead the Way Computer Science Pathway.,https://facebook.com/story.php?story_fbid=3193353107421479&id=229695210453965,,0.0,Students tested out their first App in Computer Science Essentials! The course is the first of the new CTE Project Lead the Way Computer Science Pathway.,2020-08-26 09:14:11,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118232049_3179080778848712_2523034484296024576_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=h-K7_06uJNQAX9dTCnr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0db19d62f1b4dbb79fb0965877481cb4&oe=5F851FC4,36.0,,3179081572181966,It’s great to have our Wildcats back! Our first OEF offers a variety of enrichment and fun...socially distant and safely masked where needed!,https://facebook.com/story.php?story_fbid=3179081572181966&id=229695210453965,,0.0,It’s great to have our Wildcats back! Our first OEF offers a variety of enrichment and fun...socially distant and safely masked where needed!,2020-08-21 13:45:51,,
