,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119002937_2725335361126759_8141671564204274507_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=Yf1MqKyXkT4AX8cb0iP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5daef33f87bb6b77cffe29336b4639e3&oe=5F8456EA,20.0,,2725335624460066,A few pics from today’s tourney of our Vikings￼,https://facebook.com/story.php?story_fbid=2725335624460066&id=1466682446992063,,0.0,A few pics from today’s tourney of our Vikings￼,2020-09-12 16:00:42,,
1,34.0,,10.0,,614159105905917,,,,0.0,,2020-09-12 13:54:52,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_646250386006028_1342404746575501825_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=nB_0kPT2LGQAX8o3Zs8&_nc_ht=scontent-atl3-1.xx&oh=9e0de146bf2dd64098f25ce81f8e32d4&oe=5F817384,
2,71.0,,13.0,,706933776528612,Baraga Varsity Volleyball Invite,,,10.0,Baraga Varsity Volleyball Invite,2020-09-12 09:35:11,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_758566064979487_3607499736050133576_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=JAJ7iHPY2-IAX-EXq-K&_nc_ht=scontent-atl3-1.xx&oh=f58a7a6c5976859a0dacf02b223405bb&oe=5F819003,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119446815_2725053851154910_2730408542601535252_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=dGV7qPvB2ioAX8QQUSZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1cef2bc3b912d8c6af9ac307c5074017&oe=5F82AC7F,7.0,,2725054724488156,"Today’s Baraga varsity volleyball invite will be live streamed starting at approximately 10 o’clock.
Here is the schedule of play and the rules that we will be going by today.￼",https://facebook.com/story.php?story_fbid=2725054724488156&id=1466682446992063,,0.0,"Today’s Baraga varsity volleyball invite will be live streamed starting at approximately 10 o’clock.
Here is the schedule of play and the rules that we will be going by today.￼",2020-09-12 09:02:22,,
4,0.0,,2.0,,2723533174640311,"Sorry to let you know.....
We will not have a JRHGBB game tonight 9/10 - Chassell has postponed it - we will let you know when it is rescheduled",https://facebook.com/story.php?story_fbid=2723533174640311&id=1466682446992063,,0.0,"Sorry to let you know.....
We will not have a JRHGBB game tonight 9/10 - Chassell has postponed it - we will let you know when it is rescheduled",2020-09-10 13:42:29,,
5,0.0,,5.0,,2723470014646627,"Due circumstances beyond our control we will only have one JRH girls' basketball game tonight.
The 8th graders will play Chassell at 5:30 at Baraga.
It will be on Facebook Live at that time.",https://facebook.com/story.php?story_fbid=2723470014646627&id=1466682446992063,,0.0,"Due circumstances beyond our control we will only have one JRH girls' basketball game tonight.
The 8th graders will play Chassell at 5:30 at Baraga.
It will be on Facebook Live at that time.",2020-09-10 12:00:39,,
6,3.0,,3.0,https://www.baragaschools.org/article/304628?org=baragavikings,2723392307987731,"Please understand that while some are very frustrated by this new order yesterday - that it is the Governor's order and our school must follow it despite how many feel about it.

New Executive order specifies that a face covering must by worn at all times by athletes training for, practicing for, or competing in an organized sport",https://facebook.com/story.php?story_fbid=2723392307987731&id=1466682446992063,"BARAGASCHOOLS.ORG
New Eexecutive order specifies that a face cove...",3.0,"Please understand that while some are very frustrated by this new order yesterday - that it is the Governor's order and our school must follow it despite how many feel about it.

New Executive order specifies that a face covering must by worn at all times by athletes training for, practicing for, or competing in an organized sport

BARAGASCHOOLS.ORG
New Eexecutive order specifies that a face cove...",2020-09-10 10:01:02,,
7,0.0,,7.0,https://www.baragaschools.org/o/baragavikings/athletics?filter=104606,2722053488121613,"Just a reminder that updated Schedules & Scores are on our Athletic website.........use the filter to find a complete schedule for your child's sport.
https://www.baragaschools.org/o/baragavikings/athletics?filter=104606",https://facebook.com/story.php?story_fbid=2722053488121613&id=1466682446992063,"BARAGASCHOOLS.ORG
Vikings Athletics",2.0,"Just a reminder that updated Schedules & Scores are on our Athletic website.........use the filter to find a complete schedule for your child's sport.
https://www.baragaschools.org/o/baragavikings/athletics?filter=104606

BARAGASCHOOLS.ORG
Vikings Athletics",2020-09-08 21:07:39,,
8,0.0,,3.0,,2718971758429786,Jr High football will start Tues at 5. Parents need to be at the LA field for paperwork purposes,https://facebook.com/story.php?story_fbid=2718971758429786&id=1466682446992063,,0.0,Jr High football will start Tues at 5. Parents need to be at the LA field for paperwork purposes,2020-09-05 13:55:57,,
9,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118771056_2717414941918801_6117059084828966718_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=2bUMx5Oc2OgAX-daEAw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=44c685048f4562efe893fc51ae723b24&oe=5F83337E,88.0,,2717415268585435,"The varsity girls may have lost tonight - but this guy Officiated his first game of his
45th year of officiating￼￼!!!
CONGRATS JIM HOLM!!!",https://facebook.com/story.php?story_fbid=2717415268585435&id=1466682446992063,,0.0,"The varsity girls may have lost tonight - but this guy Officiated his first game of his
45th year of officiating￼￼!!!
CONGRATS JIM HOLM!!!",2020-09-03 20:38:03,,
