,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,5.0,http://www.bacps.net/,1407297736132420,"Tomorrow September 11, 2020, is onboarding day! Check your email for links to the practice session from your crew teachers! 9:00am- 10:00am Please email your child's crew teacher with any concerns or questions about the process. Email addresses are posted on the school website www.bacps.net. Welcome back all!
------------------------------------------------------------------------
¡Mañana 11 de septiembre de 2020 es el día de incorporación! ¡Revise su correo electrónico para ver los enlaces a la sesión de práctica de los maestros de su equipo, de 9:00 am a 10:00 am! Envíe un correo electrónico al maestro de equipo de su hijo con cualquier inquietud o pregunta sobre el proceso. Las direcciones de correo electrónico están publicadas en el sitio web de la escuela www.bacps.net. ¡Bienvenidos todos!",https://facebook.com/story.php?story_fbid=1407297736132420&id=810783782450488,"BACPS.NET
Home - Bay State Academy",3.0,"Tomorrow September 11, 2020, is onboarding day! Check your email for links to the practice session from your crew teachers! 9:00am- 10:00am Please email your child's crew teacher with any concerns or questions about the process. Email addresses are posted on the school website www.bacps.net. Welcome back all!
------------------------------------------------------------------------
¡Mañana 11 de septiembre de 2020 es el día de incorporación! ¡Revise su correo electrónico para ver los enlaces a la sesión de práctica de los maestros de su equipo, de 9:00 am a 10:00 am! Envíe un correo electrónico al maestro de equipo de su hijo con cualquier inquietud o pregunta sobre el proceso. Las direcciones de correo electrónico están publicadas en el sitio web de la escuela www.bacps.net. ¡Bienvenidos todos!

BACPS.NET
Home - Bay State Academy",2020-09-10 18:08:17,,
1,0.0,,0.0,http://bacps.net/,1407294809466046,Open House for grades 6th-7th and 10th this evening at 6:00pm. Don't miss it. All links are on bacps.net.,https://facebook.com/story.php?story_fbid=1407294809466046&id=810783782450488,,0.0,Open House for grades 6th-7th and 10th this evening at 6:00pm. Don't miss it. All links are on bacps.net.,2020-09-10 18:01:54,,
2,0.0,,3.0,,1406038766258317,"Don't forget to pick up your device (tablet/Chromebook) this week between 8:00am- 4:00pm. Scholars will need their devices for our school-wide practice day on Friday, September 11, 2020 at 9:00am.

----------------------------------------------------------------------
No olvide recoger su dispositivo (tableta / Chromebook) esta semana entre las 8:00 a.m. y las 4:00 p.m. Los estudiantes necesitarán sus dispositivos para nuestro día de práctica en toda la escuela el viernes 11 de septiembre de 2020 a las 9:00 a.m.",https://facebook.com/story.php?story_fbid=1406038766258317&id=810783782450488,,0.0,"Don't forget to pick up your device (tablet/Chromebook) this week between 8:00am- 4:00pm. Scholars will need their devices for our school-wide practice day on Friday, September 11, 2020 at 9:00am.

----------------------------------------------------------------------
No olvide recoger su dispositivo (tableta / Chromebook) esta semana entre las 8:00 a.m. y las 4:00 p.m. Los estudiantes necesitarán sus dispositivos para nuestro día de práctica en toda la escuela el viernes 11 de septiembre de 2020 a las 9:00 a.m.",2020-09-09 06:33:14,,
3,5.0,,6.0,,690820428524812,,,,3.0,,2020-09-03 17:57:39,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_2635919499963288_4256099451707343608_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=8mVD2XEN2x8AX9mL1V1&_nc_ht=scontent-atl3-1.xx&oh=330adf0f302b124cfab37b30de5c022c&oe=5F850B30,
4,0.0,,0.0,,2479305129026439,,,"WED, SEP 2
High School Virtual Open House",0.0,"WED, SEP 2
High School Virtual Open House",2020-09-02 11:10:05,,
5,0.0,,1.0,,326295065093768,,,"WED, SEP 2
Middle School Virtual Open House",0.0,"WED, SEP 2
Middle School Virtual Open House",2020-09-02 11:04:07,,
6,1.0,,2.0,http://www.bacps.net/,1376383482557179,"Due to power outages and internet loss in the community, we will reschedule our town hall meeting for Monday, August 10, 2020, at 6:00pm. The session from August 3, 2020, is posted on the school website. www.bacps.net

Registration Link: https://us02web.zoom.us/webinar/register/WN_pfbullkMQp28rfH2vKg8Rg
------------------------------------------------------------------------------
Debido a cortes de energía y pérdida de internet en la comunidad, reprogramaremos nuestra reunión del ayuntamiento para el lunes 10 de agosto de 2020 a las 6:00 pm. La sesión del 3 de agosto de 2020 se publica en el sitio web de la escuela. www.bacps.net",https://facebook.com/story.php?story_fbid=1376383482557179&id=810783782450488,"Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

See more at
bacps.net",0.0,"Due to power outages and internet loss in the community, we will reschedule our town hall meeting for Monday, August 10, 2020, at 6:00pm. The session from August 3, 2020, is posted on the school website. www.bacps.net

Registration Link: https://us02web.zoom.us/webinar/register/WN_pfbullkMQp28rfH2vKg8Rg
------------------------------------------------------------------------------
Debido a cortes de energía y pérdida de internet en la comunidad, reprogramaremos nuestra reunión del ayuntamiento para el lunes 10 de agosto de 2020 a las 6:00 pm. La sesión del 3 de agosto de 2020 se publica en el sitio web de la escuela. www.bacps.net

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

Home - Bay State Academy
We encourage our students to think critically and take active roles in their classrooms and communities while performing in an academically challenging curriculum. The results are high-achieving students with the character, habits of scholarship and ethical foundation to be inspired leaders in our c...

See more at
bacps.net",2020-08-05 13:20:41,,
7,0.0,,0.0,https://us02web.zoom.us/webinar/register/WN_pfbullkMQp28rfH2vKg8Rg,1374626702732857,"Just a reminder we will host 2 family town hall meetings to discuss school re-entry options. Meetings will be held on August 3, 2020, and August 4, 2020, at 6:00pm.
----------------------------------------------------------------------------
Solo un recordatorio que organizaremos 2 reuniones familiares del ayuntamiento para discutir las opciones de reingreso a la escuela. Las reuniones se llevarán a cabo el 3 de agosto de 2020 y el 4 de agosto de 2020 a las 6:00 p.m.

https://us02web.zoom.us/webinar/register/WN_pfbullkMQp28rfH2vKg8Rg",https://facebook.com/story.php?story_fbid=1374626702732857&id=810783782450488,"US02WEB.ZOOM.US
Welcome! You are invited to join a webinar: Baystate Academy Town Hall Meeting. After registering, you will receive a confirmation email about joining the webinar.",0.0,"Just a reminder we will host 2 family town hall meetings to discuss school re-entry options. Meetings will be held on August 3, 2020, and August 4, 2020, at 6:00pm.
----------------------------------------------------------------------------
Solo un recordatorio que organizaremos 2 reuniones familiares del ayuntamiento para discutir las opciones de reingreso a la escuela. Las reuniones se llevarán a cabo el 3 de agosto de 2020 y el 4 de agosto de 2020 a las 6:00 p.m.

https://us02web.zoom.us/webinar/register/WN_pfbullkMQp28rfH2vKg8Rg

US02WEB.ZOOM.US
Welcome! You are invited to join a webinar: Baystate Academy Town Hall Meeting. After registering, you will receive a confirmation email about joining the webinar.",2020-08-03 09:02:22,,
8,0.0,,0.0,,1372163009645893,"Greetings Baystate Families,

We are conducting individual calls July 31, 2020 - August 7, 2020, to check on families and discuss school re-entry options. We look forward to reconnecting with everyone. If you have As always if you have any questions or concerns please contact us at 413-366-5100.
------------------------------------------------------------------------------
Saludos a las familias de Baystate,

Estamos realizando llamadas individuales del 31 de julio de 2020 al 7 de agosto de 2020 para verificar a las familias y discutir las opciones de reingreso a la escuela. Esperamos volver a conectarnos con todos. Si tiene Como siempre, si tiene alguna pregunta o inquietud, contáctenos al 413-366-5100.",https://facebook.com/story.php?story_fbid=1372163009645893&id=810783782450488,,0.0,"Greetings Baystate Families,

We are conducting individual calls July 31, 2020 - August 7, 2020, to check on families and discuss school re-entry options. We look forward to reconnecting with everyone. If you have As always if you have any questions or concerns please contact us at 413-366-5100.
------------------------------------------------------------------------------
Saludos a las familias de Baystate,

Estamos realizando llamadas individuales del 31 de julio de 2020 al 7 de agosto de 2020 para verificar a las familias y discutir las opciones de reingreso a la escuela. Esperamos volver a conectarnos con todos. Si tiene Como siempre, si tiene alguna pregunta o inquietud, contáctenos al 413-366-5100.",2020-07-31 06:48:39,,
9,6.0,,11.0,,1371128103082717,Thank you for your shares and postings. Our scholar has been found safely.,https://facebook.com/story.php?story_fbid=1371128103082717&id=810783782450488,,0.0,Thank you for your shares and postings. Our scholar has been found safely.,2020-07-29 22:03:17,,
