,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119007814_1191215357902177_6546033028755369953_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=4WJhz6ri6F4AX_h3PX_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7c1f6d73b2d8e44580cdd1542c038664&oe=5F81D41C,15.0,,1191215354568844,BCMS congratulates Tyler Wetzel as our August BCMS Brave of the Month. Tyler has demonstrated maturity and responsibility since day one of becoming a BCMS student. Tyler exudes a pleasant and respectful attitude and completes all classwork assigned. CONGRATULATIONS Tyler!!,,,0.0,BCMS congratulates Tyler Wetzel as our August BCMS Brave of the Month. Tyler has demonstrated maturity and responsibility since day one of becoming a BCMS student. Tyler exudes a pleasant and respectful attitude and completes all classwork assigned. CONGRATULATIONS Tyler!!,2020-09-09 09:55:31,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118943615_1191191021237944_1108627190857729122_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=gEJhw8zOfV4AX9ZlRyF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c30b189434a5dedf6b8bc8656109b276&oe=5F823B75,7.0,,1191191011237945,"BCMS is encouraging parents and guardians to refer to Mr. McClure’s special video announcement posted on the BCMS main school web page this morning (Wednesday, September 9th).",,,0.0,"BCMS is encouraging parents and guardians to refer to Mr. McClure’s special video announcement posted on the BCMS main school web page this morning (Wednesday, September 9th).",2020-09-09 09:17:43,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117890333_1170359503321096_7452802982986000159_n.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=pDsdYEOCRNoAX9EozhD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7c97fc33e9a2fd7364dce4f2cbb520fb&oe=5F8446C6,30.0,,1170359499987763,‪Compliments to the BCMS students and staff for their purposeful efforts in observing enhanced health precautions and guidelines as we reopened for our first full week!‬,,,0.0,‪Compliments to the BCMS students and staff for their purposeful efforts in observing enhanced health precautions and guidelines as we reopened for our first full week!‬,2020-08-14 15:13:02,,
3,0.0,,9.0,,1161546864202360,"‪BCMS back-to-school Open House: today, Monday, August 3rd; tomorrow, Tuesday, August 4th; and Wednesday, August 5th. 10AM-7PM all three days.‬",,,0.0,"‪BCMS back-to-school Open House: today, Monday, August 3rd; tomorrow, Tuesday, August 4th; and Wednesday, August 5th. 10AM-7PM all three days.‬",2020-08-03 11:29:56,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/111310284_1156245381399175_1178558813040743769_o.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=IBvHFLhK0aAAX-QmQ5O&_nc_ht=scontent-atl3-1.xx&tp=14&oh=79ac5ee56b25bfcc24bd00bfb36aaaa8&oe=5F829CAD,4.0,,1156245378065842,‪2020-2021 BCMS school reopening orientation presentations are now posted on the BCMS main web page for parent and student information/consideration.‬,,,0.0,‪2020-2021 BCMS school reopening orientation presentations are now posted on the BCMS main web page for parent and student information/consideration.‬,2020-07-27 09:42:01,,
5,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/110321124_1150971658593214_4072413476147184203_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=yhpByplEMXIAX93uEPw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d82c8a8d8d1781fb3f27d497b041f06e&oe=5F845472,8.0,,1150971655259881,‪BCMS Summer mailings are in the mail and should be arriving to students homes early this week. Please be watching for this important start-of-school planning information.‬,,,0.0,‪BCMS Summer mailings are in the mail and should be arriving to students homes early this week. Please be watching for this important start-of-school planning information.‬,2020-07-20 08:59:47,,
6,0.0,,5.0,,1104915033198877,Congratulations to our BCMS Trimester 3/Year End award winners! (Virtual award presentation links can be found on the BCMS main page now!),,,0.0,Congratulations to our BCMS Trimester 3/Year End award winners! (Virtual award presentation links can be found on the BCMS main page now!),2020-05-20 12:00:18,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97179865_1100452453645135_3085669698478538752_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=kfqSoQyG9r8AX_rMg2x&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3be04286b437497725f8f4af9b7669d8&oe=5F82AE2A,9.0,,1100452450311802,"We had a very good Chromebook/Textbook/Library book return yesterday! Thank you! This reminder that BCMS students may return materials again today and tomorrow (Friday)! 8:30AM-11:00AM, 4PM-8PM.",,,0.0,"We had a very good Chromebook/Textbook/Library book return yesterday! Thank you! This reminder that BCMS students may return materials again today and tomorrow (Friday)! 8:30AM-11:00AM, 4PM-8PM.",2020-05-14 08:26:11,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95761816_1093752904315090_8772138902971482112_n.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=jQptlVfeopMAX9V1_4Q&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8478a96fdf4f2eded71491209d1c8a92&oe=5F857E76,17.0,,1093752900981757,"HAPPY TEACHER APPRECIATION DAY! BCMS Teachers, thank you for the lasting contribution you make
in the lives of our students.
You are examples.
You are mentors.
You are caregivers.
You are inspirers.
You are leaders.
You are supporters.
You are life changers.
You are teachers!",,,0.0,"HAPPY TEACHER APPRECIATION DAY! BCMS Teachers, thank you for the lasting contribution you make
in the lives of our students.
You are examples.
You are mentors.
You are caregivers.
You are inspirers.
You are leaders.
You are supporters.
You are life changers.
You are teachers!",2020-05-05 09:46:48,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95233753_1090016224688758_3397716067718529024_n.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=Yw7he_PnQbAAX-EnKWl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5f5d54727f0087b4ad139bd775890450&oe=5F81F7C6,6.0,,1090016221355425,"To prepare for 8th grade, Mrs. Gastineau's 7th grade students are being introduced to slope. Today they wrote their first names using only straight lines. Then they classified each line as having a positive, negative, zero, or undefined slope.",,,0.0,"To prepare for 8th grade, Mrs. Gastineau's 7th grade students are being introduced to slope. Today they wrote their first names using only straight lines. Then they classified each line as having a positive, negative, zero, or undefined slope.",2020-04-30 11:02:32,,
