,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119009377_3866073560121490_6456732749408021740_o.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=16P_1VI0BGEAX9OIIhQ&_nc_ht=scontent-atl3-1.xx&oh=a8180f006b1b89ef22e44097a244693f&oe=5F84A47D,1.0,,3866073553454824,Belvidere Elementary School:,,,0.0,Belvidere Elementary School:,2020-09-07 13:36:14,,
1,0.0,,4.0,https://www.belvideresd.org/backtoschool,3856581344404045,"School is almost here! Visit the Oxford Street School website for Back to School Information: https://www.belvideresd.org/backtoschool

Our teachers are ready for students on the first day which is September 8! See all of the Back to School videos for our Virtual Back to School Night at:
https://www.belvideresd.org/backtoschoolnight

If your student has a school issued device at home and they are coming in-person on the 8th, please make sure they bring the CHARGED device with them!",https://facebook.com/story.php?story_fbid=3856581344404045&id=422196551175892,,0.0,"School is almost here! Visit the Oxford Street School website for Back to School Information: https://www.belvideresd.org/backtoschool

Our teachers are ready for students on the first day which is September 8! See all of the Back to School videos for our Virtual Back to School Night at:
https://www.belvideresd.org/backtoschoolnight

If your student has a school issued device at home and they are coming in-person on the 8th, please make sure they bring the CHARGED device with them!",2020-09-04 16:43:32,,
2,0.0,,7.0,,3853372371391609,"Good evening! We hope that our BHS students are ready to return to school on Tuesday, September 8th. We wanted to send out an important reminder to all students. Please check your emails for Google Classroom invites from your teachers. It is important that you join those classrooms prior to Tuesday. We are looking forward to this school year! Thank you and have a great night!",https://facebook.com/story.php?story_fbid=3853372371391609&id=422196551175892,,0.0,"Good evening! We hope that our BHS students are ready to return to school on Tuesday, September 8th. We wanted to send out an important reminder to all students. Please check your emails for Google Classroom invites from your teachers. It is important that you join those classrooms prior to Tuesday. We are looking forward to this school year! Thank you and have a great night!",2020-09-03 17:00:43,,
3,0.0,,7.0,https://youtu.be/g_2VrlkZAzs,3852528478142665,Belvidere High School Back to School Information!,https://facebook.com/story.php?story_fbid=3852528478142665&id=422196551175892,"YOUTUBE.COM
Belvidere High School Back to School Information!",6.0,"Belvidere High School Back to School Information!

YOUTUBE.COM
Belvidere High School Back to School Information!",2020-09-03 11:24:24,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118659827_3852404571488389_5173798044294581167_n.png?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=DRB7v5XJFD0AX86J8zf&_nc_ht=scontent-atl3-1.xx&oh=c4099fccb6c62002d85c400925d40e2d&oe=5F841926,2.0,,3852404568155056,Tonight's Pre-K and K In-person Meet the Teacher is being postponed to September 10th at 6:30 due to impending weather!,,,0.0,Tonight's Pre-K and K In-person Meet the Teacher is being postponed to September 10th at 6:30 due to impending weather!,2020-09-03 10:39:34,,
5,8.0,,3.0,https://www.signupgenius.com/go/10C0E4DADA622A1FC1-device,3803067713088742,Device Curbside Pick Up Details for ALL Students PreK to 12! Schedule your time: https://www.signupgenius.com/go/10C0E4DADA622A1FC1-device,,,0.0,Device Curbside Pick Up Details for ALL Students PreK to 12! Schedule your time: https://www.signupgenius.com/go/10C0E4DADA622A1FC1-device,2020-08-19 14:56:47,,
6,0.0,,1.0,,3799676233427890,"Freshman Orientation is scheduled for August 31st. Students with the last name A-K will attend from 9-10AM, and students L-Z will attend from 11am-12noon. Please drop off and pick up the students at the gym lobby. Masks are required. The freshmen will receive their Chromebooks at this time as well. Thank You.",https://facebook.com/story.php?story_fbid=3799676233427890&id=422196551175892,,0.0,"Freshman Orientation is scheduled for August 31st. Students with the last name A-K will attend from 9-10AM, and students L-Z will attend from 11am-12noon. Please drop off and pick up the students at the gym lobby. Masks are required. The freshmen will receive their Chromebooks at this time as well. Thank You.",2020-08-18 16:00:18,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117236861_3799623700099810_8098904524098345858_n.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=WuY3Wpvud8IAX8TrxxO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=46c16f86abbf76bafe94db60fca3fdc6&oe=5F8315BC,5.0,http://www.belvideresd.org/supplylists,3799623696766477,Ready for some Back to School Shopping? School Supply Lists are now posted on our school website: www.belvideresd.org/supplylists,,,0.0,Ready for some Back to School Shopping? School Supply Lists are now posted on our school website: www.belvideresd.org/supplylists,2020-08-18 15:35:14,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117444341_3796247840437396_4139006522499432699_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=YucqDh8fFgEAX-pnPye&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a89f62fcd4dbc0af1cfe1530525f52a&oe=5F846198,6.0,,3796247837104063,"Parents: As we prepare to start the school year, please see the attached resource ""10 Things parents can do NOW to prepare for their child's return to school""!",,,0.0,"Parents: As we prepare to start the school year, please see the attached resource ""10 Things parents can do NOW to prepare for their child's return to school""!",2020-08-17 15:05:21,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117339016_3789362074459306_6022309628725983228_o.png?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=LD9nNyZSWfMAX-qAhos&_nc_ht=scontent-atl3-1.xx&oh=8572091223e4204efc49681ae384ed53&oe=5F845DD5,9.0,,3789362071125973,Chromebook Distribution Plan Coming Soon!,,,0.0,Chromebook Distribution Plan Coming Soon!,2020-08-15 10:48:11,,
10,0.0,,0.0,,3755010691227778,"Attention Parents of 2020-21 Seniors: The first meeting for the Class of 2021 Project Graduation will be Wednesday, August 5 at 7:30pm at Hrizak field in Belvidere! Hope you can join us!",https://facebook.com/story.php?story_fbid=3755010691227778&id=422196551175892,,0.0,"Attention Parents of 2020-21 Seniors: The first meeting for the Class of 2021 Project Graduation will be Wednesday, August 5 at 7:30pm at Hrizak field in Belvidere! Hope you can join us!",2020-08-04 13:03:08,,
