,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,20.0,,7.0,,3348581841851253,"Berwick Area School Board Meeting September 14,2020",,,6.0,"Berwick Area School Board Meeting September 14,2020",2020-09-14 19:05:56,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_625135064870791_7307662490323893961_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=AyJ8eTnVI6cAX9V_OgB&_nc_ht=scontent-atl3-1.xx&oh=3851381b9ea5e186c986b5f9d98e39f6&oe=5F86747A,
1,20.0,,6.0,,3796994183678608,Berwick Area School Board Committee of the Whole Meeting,,,13.0,Berwick Area School Board Committee of the Whole Meeting,2020-09-08 17:27:55,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_777286796360878_353799068883861322_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=zF9yLXw3sBQAX-FDUTb&_nc_ht=scontent-atl3-1.xx&oh=fa5a67aa94ea544d6cdc29ef9a6449f4&oe=5F87FECD,
2,0.0,,17.0,https://www.berwicksd.org/Page/3188,3306555359458544,"Follow the link to read our letter to the community about Columbia County is classified as “Substantial Risk.”
https://www.berwicksd.org/Page/3188",https://facebook.com/story.php?story_fbid=3306555359458544&id=439645192816256,"BERWICKSD.ORG
Public Notices / Letter to the community about the Substantial Risk",41.0,"Follow the link to read our letter to the community about Columbia County is classified as “Substantial Risk.”
https://www.berwicksd.org/Page/3188

BERWICKSD.ORG
Public Notices / Letter to the community about the Substantial Risk",2020-09-01 11:31:50,,
3,0.0,,13.0,,1633289500176581,Special Board Meeting of August 13th,,,12.0,Special Board Meeting of August 13th,2020-08-13 18:04:32,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/50177295_201513724665437_1264032439534842895_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=tVtvGzGcqyMAX_SYZOE&_nc_ht=scontent-atl3-1.xx&oh=cc20d20da220097f7914ed9b710e92d8&oe=5F862F4D,
4,43.0,,7.0,,927069077795306,Berwick Area School Board August 20th,,,43.0,Berwick Area School Board August 20th,2020-08-10 19:01:31,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_348349633267091_6784977353824705751_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=0sekRcIuTioAX_X4Qg4&_nc_ht=scontent-atl3-1.xx&oh=d7258ec80315b8ab1798fb11c88ccc2b&oe=5F8945FE,
5,5.0,,6.0,https://docs.google.com/forms/d/e/1FAIpQLSc18Z0UfvD3Ic1Py4Fsf-zoJrL-ICPHmhAhyL_stpkF_dN-bg/viewform,3189837034463711,"If your child is eligible for district transportation, please complete this survey by Wednesday, July 29th.",https://facebook.com/story.php?story_fbid=3189837034463711&id=439645192816256,"DOCS.GOOGLE.COM
Transportation Survey",69.0,"If your child is eligible for district transportation, please complete this survey by Wednesday, July 29th.

DOCS.GOOGLE.COM
Transportation Survey",2020-07-23 16:21:28,,
6,7.0,,31.0,,3148396935274388,"The Berwick Cyber Academy is open to all Berwick students in grades K-12. For more information please contact Wendy Daily, Director of Online Education at wdaily@berwicksd.org or call (570) 759-6400 ext. 3121 for more information.",https://facebook.com/story.php?story_fbid=3148396935274388&id=439645192816256,,0.0,"The Berwick Cyber Academy is open to all Berwick students in grades K-12. For more information please contact Wendy Daily, Director of Online Education at wdaily@berwicksd.org or call (570) 759-6400 ext. 3121 for more information.",2020-07-08 16:17:38,,
7,0.0,,16.0,http://Berwicksd.org/,3093902897390459,"Berwick Area is having sports Physicals Tuesday, June 23rd at the Varsity Gym, they are for High School and Junior High Athletes for the upcoming 2020-21 school year. Physicals are from 10:00 a.m. – 2:00 p.m.
There will be a temperature check at the door and social distancing throughout the process. All Athlete’s need a physical approved by the PIAA, and on a PIAA form, in order to participate in any activity on school grounds. These forms can be found on our website or PIAA website.

Berwicksd.org
Click Athletics,
Click PIAA comprehensive pre- Participation Evaluation
PIAA.org
Click resources
Click Forms
Click PIAA CIPPE Forms Section(s) 1-9 with Shading

The Athletes need these forms signed by their parent and brought to the physical in order to be seen by the doctor.

These physicals are good for the whole school year, especially for our Athlete’s that play multiple sports and they are at no cost, they are FREE.

Bo Orlando
Athletic Director
Berwick Area High School
1100 Fowler Avenue
Berwick, Pa. 18603
570-759-6400 ext. 3142",https://facebook.com/story.php?story_fbid=3093902897390459&id=439645192816256,,0.0,"Berwick Area is having sports Physicals Tuesday, June 23rd at the Varsity Gym, they are for High School and Junior High Athletes for the upcoming 2020-21 school year. Physicals are from 10:00 a.m. – 2:00 p.m.
There will be a temperature check at the door and social distancing throughout the process. All Athlete’s need a physical approved by the PIAA, and on a PIAA form, in order to participate in any activity on school grounds. These forms can be found on our website or PIAA website.

Berwicksd.org
Click Athletics,
Click PIAA comprehensive pre- Participation Evaluation
PIAA.org
Click resources
Click Forms
Click PIAA CIPPE Forms Section(s) 1-9 with Shading

The Athletes need these forms signed by their parent and brought to the physical in order to be seen by the doctor.

These physicals are good for the whole school year, especially for our Athlete’s that play multiple sports and they are at no cost, they are FREE.

Bo Orlando
Athletic Director
Berwick Area High School
1100 Fowler Avenue
Berwick, Pa. 18603
570-759-6400 ext. 3142",2020-06-18 20:54:58,,
8,5.0,,27.0,http://www.berwiscksd.org/,3057480724366010,"There will be a link for you to access the BHS Virtual Graduation posted on the School District Website, www.berwiscksd.org, on Friday, June 12th. There will also be a link for you to request a DVD copy of the Virtual Graduation on the website as well.",https://facebook.com/story.php?story_fbid=3057480724366010&id=439645192816256,,0.0,"There will be a link for you to access the BHS Virtual Graduation posted on the School District Website, www.berwiscksd.org, on Friday, June 12th. There will also be a link for you to request a DVD copy of the Virtual Graduation on the website as well.",2020-06-11 13:35:36,,
9,0.0,,48.0,,3010681925712557,"We are pleased to announce that The Berwick Area School District and For the Cause (Teen Center) are partnering with the Central Pennsylvania Food Bank and the USDA to distribute free meals to families throughout the summer months.

The summer meal distribution will begin Monday, June 8th. Meals will be delivered to West Berwick Elementary at 11:00 a.m., packed, and then distributed between 12:00-1:00 p.m. This will continue weekly, on Monday’s, throughout the summer, with the exception of June 29th (July 4th week).",https://facebook.com/story.php?story_fbid=3010681925712557&id=439645192816256,,0.0,"We are pleased to announce that The Berwick Area School District and For the Cause (Teen Center) are partnering with the Central Pennsylvania Food Bank and the USDA to distribute free meals to families throughout the summer months.

The summer meal distribution will begin Monday, June 8th. Meals will be delivered to West Berwick Elementary at 11:00 a.m., packed, and then distributed between 12:00-1:00 p.m. This will continue weekly, on Monday’s, throughout the summer, with the exception of June 29th (July 4th week).",2020-05-29 11:21:54,,
10,0.0,,9.0,,2948885831892167,"Mental Health Awareness Week

May 4th - 8th, 2020

Not only is our physical health and safety important right now, but we must also take care of our mental health and well-being.

Please join the Berwick Area School District as we head into Mental Health Awareness Week May 4th - 8th, 2020.

Click on the link above for more information regarding themed days, activities, and mental health help lines and resources.

If you, or someone know, is struggling please do not hesitate to reach out by using one of the resources listed or by contacting your child's school counselor.

We are all in this together and it is ok not to be ok, but please let someone know.

Thank you for your continued patience, efforts, support, and kindness.",https://facebook.com/story.php?story_fbid=2948885831892167&id=439645192816256,,0.0,"Mental Health Awareness Week

May 4th - 8th, 2020

Not only is our physical health and safety important right now, but we must also take care of our mental health and well-being.

Please join the Berwick Area School District as we head into Mental Health Awareness Week May 4th - 8th, 2020.

Click on the link above for more information regarding themed days, activities, and mental health help lines and resources.

If you, or someone know, is struggling please do not hesitate to reach out by using one of the resources listed or by contacting your child's school counselor.

We are all in this together and it is ok not to be ok, but please let someone know.

Thank you for your continued patience, efforts, support, and kindness.",2020-05-04 13:25:10,,
