,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://nfhslearn.com/courses/26/first-aid-health-and-safety,1741202552711350,"Category: Athletics/Activities/Coaching
Date Posted: 9/11/2020
Location: Skyview High School
Date of Availability: 03/14/2021
Date Closing: 09/21/2020

Track Head Coach
Skyview High School
Starts: 03/14/2021
Stipend: $5739.00

Boys and Girls Head Coach

Requires a current NFHS (National Federation of State High School Associations); NFHS ""First Aid, Health and Safety"" Certification (https://nfhslearn.com/courses/26/first-aid-health-and-safety) or Local First Aid Certification through St. Vincent or Billings Clinic; NFHS Fundamentals of Coaching Certificate; NFHS Concussion in Sports Certificate; and and MHSA (Montana High School Association) Individual Sport Rules Clinic Certification.

Go to www.billingsschools.org and click ""Departments"" and then click on ""Employment Opportunities"" for the internal application (currently employed by BPS in a regular position or a contracted long-term BEA assignment) or the online application for external applicants.

Closes: 09/21/20 at Midnight Mountain Time",https://facebook.com/story.php?story_fbid=1741202552711350&id=152840278214260,"APPLITRACK.COM
Online Employment Application | Open Positions",0.0,"Category: Athletics/Activities/Coaching
Date Posted: 9/11/2020
Location: Skyview High School
Date of Availability: 03/14/2021
Date Closing: 09/21/2020

Track Head Coach
Skyview High School
Starts: 03/14/2021
Stipend: $5739.00

Boys and Girls Head Coach

Requires a current NFHS (National Federation of State High School Associations); NFHS ""First Aid, Health and Safety"" Certification (https://nfhslearn.com/courses/26/first-aid-health-and-safety) or Local First Aid Certification through St. Vincent or Billings Clinic; NFHS Fundamentals of Coaching Certificate; NFHS Concussion in Sports Certificate; and and MHSA (Montana High School Association) Individual Sport Rules Clinic Certification.

Go to www.billingsschools.org and click ""Departments"" and then click on ""Employment Opportunities"" for the internal application (currently employed by BPS in a regular position or a contracted long-term BEA assignment) or the online application for external applicants.

Closes: 09/21/20 at Midnight Mountain Time

APPLITRACK.COM
Online Employment Application | Open Positions",2020-09-11 16:18:53,,
1,0.0,,1.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=2474#.T_8euen_VF4.facebook,1740364489461823,,https://facebook.com/story.php?story_fbid=1740364489461823&id=152840278214260,,3.0,,2020-09-10 17:58:06,,
2,0.0,,0.0,http://www.billingsschools.org/,1740145096150429,"Category: Athletics/Activities/Coaching
Date Posted: 9/10/2020
Location: Senior High School
Date of Availability: ASAP
Date Closing: OPEN UNTIL FILLED

Football Freshman Assisstant Coach
Senior High School
Starts: ASAP
Stipend: $3,919.00

Requires a current NFHS (National Federation of State High School Associations); First Aid Certificate or local certification through St. Vincent or Billings Clinic (other online certifications are not accepted); NFHS Fundamentals of Coaching Certificate; NFHS Concussion in Sports Certificate; and MHSA (Montana High School Association) Individual Sport Rules Clinic Certification

Go to www.billingsschools.org and click on ""Departments"" and then click on ""Employment Opportunities"" for the internal application (currently employed by BPS in a regular position or a contracted long-term BEA assignment) or the online application for external applicants.",https://facebook.com/story.php?story_fbid=1740145096150429&id=152840278214260,"APPLITRACK.COM
Online Employment Application | Open Positions",0.0,"Category: Athletics/Activities/Coaching
Date Posted: 9/10/2020
Location: Senior High School
Date of Availability: ASAP
Date Closing: OPEN UNTIL FILLED

Football Freshman Assisstant Coach
Senior High School
Starts: ASAP
Stipend: $3,919.00

Requires a current NFHS (National Federation of State High School Associations); First Aid Certificate or local certification through St. Vincent or Billings Clinic (other online certifications are not accepted); NFHS Fundamentals of Coaching Certificate; NFHS Concussion in Sports Certificate; and MHSA (Montana High School Association) Individual Sport Rules Clinic Certification

Go to www.billingsschools.org and click on ""Departments"" and then click on ""Employment Opportunities"" for the internal application (currently employed by BPS in a regular position or a contracted long-term BEA assignment) or the online application for external applicants.

APPLITRACK.COM
Online Employment Application | Open Positions",2020-09-10 12:18:49,,
3,7.0,,12.0,http://www.billingsschools.org/,1740134619484810,"Category: Secretarial/Clerical/Attendance Clerk
Date Posted: 9/9/2020
Location: Will James Middle School
Date of Availability: 2020-2021 School Year
Date Closing: 09/18/2020

ATTENDANCE CLERK
For the 2020-2021 School Year

9-months; 8 hours/day; Monday - Friday
$15.28/hour for 120-day probationary period; then $16.98/hour
Performs a variety of clerical work
Compiles and maintains student attendance records and reports
Considerable knowledge, skills and abilities with computers, office equipment, office practices and procedures
Skill and ability to use tact and discretion in meeting and communicating with parents and students
Requires a High School diploma or equivalent
Two years clerical experience or combination of education and experience

Go to www.billingsschools.org and click on ""Departments"" and then click on ""Employment Opportunities"" for either the online application for external applicants or the internal application for internal applicants (currently employed by BPS in a regular or temporary position).

Closes: 09/18/2020 at midnight Mountain Time",https://facebook.com/story.php?story_fbid=1740134619484810&id=152840278214260,,0.0,"Category: Secretarial/Clerical/Attendance Clerk
Date Posted: 9/9/2020
Location: Will James Middle School
Date of Availability: 2020-2021 School Year
Date Closing: 09/18/2020

ATTENDANCE CLERK
For the 2020-2021 School Year

9-months; 8 hours/day; Monday - Friday
$15.28/hour for 120-day probationary period; then $16.98/hour
Performs a variety of clerical work
Compiles and maintains student attendance records and reports
Considerable knowledge, skills and abilities with computers, office equipment, office practices and procedures
Skill and ability to use tact and discretion in meeting and communicating with parents and students
Requires a High School diploma or equivalent
Two years clerical experience or combination of education and experience

Go to www.billingsschools.org and click on ""Departments"" and then click on ""Employment Opportunities"" for either the online application for external applicants or the internal application for internal applicants (currently employed by BPS in a regular or temporary position).

Closes: 09/18/2020 at midnight Mountain Time",2020-09-10 12:05:54,,
4,0.0,,0.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=2472#.T_8euen_VF4.facebook,1740129439485328,,https://facebook.com/story.php?story_fbid=1740129439485328&id=152840278214260,,0.0,,2020-09-10 11:59:01,,
5,6.0,,10.0,,241329557190219,,,,0.0,,2020-09-08 18:00:17,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_797139044358729_7069973274981531106_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=NGfXASUYlDkAX_gCD81&_nc_ht=scontent-atl3-1.xx&oh=1263fca2f1319fac0479367d85f73c7c&oe=5F81D3D4,
6,0.0,,0.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=2405#.T_8euen_VF4.facebook,1734728226692116,,https://facebook.com/story.php?story_fbid=1734728226692116&id=152840278214260,,0.0,,2020-09-04 16:05:42,,
7,0.0,,3.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=103#.T_8euen_VF4.facebook,1734498873381718,,https://facebook.com/story.php?story_fbid=1734498873381718&id=152840278214260,,5.0,,2020-09-04 11:09:20,,
8,0.0,,0.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=2470#.T_8euen_VF4.facebook,1734497606715178,,https://facebook.com/story.php?story_fbid=1734497606715178&id=152840278214260,,0.0,,2020-09-04 11:07:52,,
9,0.0,,1.0,http://www.applitrack.com/billings/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=2426#.T_8euen_VF4.facebook,1733707903460815,,https://facebook.com/story.php?story_fbid=1733707903460815&id=152840278214260,,0.0,,2020-09-03 15:23:06,,
