,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,,7.0,https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/shared/covid-19/Boonton_Town_Reopening_Plan_8.7.20.pdf,1222750351399582,"The BPSD Reopening Plan can be found at:

https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/shared/covid-19/Boonton_Town_Reopening_Plan_8.7.20.pdf",https://facebook.com/story.php?story_fbid=1222750351399582&id=303051620036131,"BOONTONSCHOOLS.ORG
www.boontonschools.org",5.0,"The BPSD Reopening Plan can be found at:

https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/shared/covid-19/Boonton_Town_Reopening_Plan_8.7.20.pdf

BOONTONSCHOOLS.ORG
www.boontonschools.org",2020-08-11 12:51:29,,
1,0.0,,0.0,https://docs.google.com/document/d/1ZK1eydbtk8um21QVulOGCUTtW2-gbTcBEttiIdWPJd0/edit?usp=sharing,1249039088770708,"BPSD Weekly Update 9.11.20

https://docs.google.com/document/d/1ZK1eydbtk8um21QVulOGCUTtW2-gbTcBEttiIdWPJd0/edit?usp=sharing",https://facebook.com/story.php?story_fbid=1249039088770708&id=303051620036131,"DOCS.GOOGLE.COM
BPSD_Weekly_Update_9.11.20",0.0,"BPSD Weekly Update 9.11.20

https://docs.google.com/document/d/1ZK1eydbtk8um21QVulOGCUTtW2-gbTcBEttiIdWPJd0/edit?usp=sharing

DOCS.GOOGLE.COM
BPSD_Weekly_Update_9.11.20",2020-09-12 07:53:26,,
2,0.0,,1.0,https://www.state.nj.us/education/reopening/virtuallearning/,1245720112435939,"NJDOE has a great resource for parents regarding virtual learning:

https://www.state.nj.us/education/reopening/virtuallearning/",https://facebook.com/story.php?story_fbid=1245720112435939&id=303051620036131,"STATE.NJ.US
Virtual Learning Toolkit: Resources for Families and Schools",0.0,"NJDOE has a great resource for parents regarding virtual learning:

https://www.state.nj.us/education/reopening/virtuallearning/

STATE.NJ.US
Virtual Learning Toolkit: Resources for Families and Schools",2020-09-08 07:20:45,,
3,4.0,,16.0,http://www.boontonschools.org/,1245676362440314,"Good luck to all our students starting school virtually today in Boonton.

Please see our website www.boontonschools.org for daily attendance login and Virtual Learning Portal links.",https://facebook.com/story.php?story_fbid=1245676362440314&id=303051620036131,"BOONTONSCHOOLS.ORG
Boonton Public Schools / Homepage",0.0,"Good luck to all our students starting school virtually today in Boonton.

Please see our website www.boontonschools.org for daily attendance login and Virtual Learning Portal links.

BOONTONSCHOOLS.ORG
Boonton Public Schools / Homepage",2020-09-08 06:04:53,,
4,0.0,,11.0,,1240803896260894,All schools and grades will be virtual through the first marking period. The first day of virtual school is Tuesday September 8th. Information about daily student attendance will be provided in an update later this week. There is NO school Friday September 4th.,https://facebook.com/story.php?story_fbid=1240803896260894&id=303051620036131,,0.0,All schools and grades will be virtual through the first marking period. The first day of virtual school is Tuesday September 8th. Information about daily student attendance will be provided in an update later this week. There is NO school Friday September 4th.,2020-09-02 07:41:40,,
5,0.0,,2.0,https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/Domain/9/Reopening%20Update%207.31.20.pdf,1217329995274951,"Please refer to the BPSD 7.31.20 update for the district's reopening plans for in-person teaching and learning in September:

https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/Domain/9/Reopening%20Update%207.31.20.pdf",https://facebook.com/story.php?story_fbid=1217329995274951&id=303051620036131,"BOONTONSCHOOLS.ORG
www.boontonschools.org",0.0,"Please refer to the BPSD 7.31.20 update for the district's reopening plans for in-person teaching and learning in September:

https://www.boontonschools.org/cms/lib/NJ02213307/Centricity/Domain/9/Reopening%20Update%207.31.20.pdf

BOONTONSCHOOLS.ORG
www.boontonschools.org",2020-08-04 21:01:28,,
6,0.0,,0.0,https://www.applitrack.com/boonton/onlineapp/default.aspx?Category=Boonton+High+School,1181685748839376,"Boonton HS is looking for an energetic and passionate Spanish teacher for the 2020-2021 school year.

Please apply on our Applitrack page:

https://www.applitrack.com/boonton/onlineapp/default.aspx?Category=Boonton+High+School",,,0.0,"Boonton HS is looking for an energetic and passionate Spanish teacher for the 2020-2021 school year.

Please apply on our Applitrack page:

https://www.applitrack.com/boonton/onlineapp/default.aspx?Category=Boonton+High+School",2020-06-21 07:11:25,,
7,0.0,,1.0,https://www.espn.com/nfl/story/_/id/29340499/jim-kiick-won-two-super-bowls-miami-dolphins-dies-73,1181683342172950,"BHS alum and Lincoln Park NJ native Jim Kiick passed away this weekend. Known to many for his outstanding years of NFL football with the Miami Dolphins including their 1972 team which went 17-0, we offer our condolences to the family and friends of Mr. Kiick.

https://www.espn.com/nfl/story/_/id/29340499/jim-kiick-won-two-super-bowls-miami-dolphins-dies-73",https://facebook.com/story.php?story_fbid=1181683342172950&id=303051620036131,"ESPN.COM
Ex-Dolphin Kiick, who won 2 titles, dies at 73",0.0,"BHS alum and Lincoln Park NJ native Jim Kiick passed away this weekend. Known to many for his outstanding years of NFL football with the Miami Dolphins including their 1972 team which went 17-0, we offer our condolences to the family and friends of Mr. Kiick.

https://www.espn.com/nfl/story/_/id/29340499/jim-kiick-won-two-super-bowls-miami-dolphins-dies-73

ESPN.COM
Ex-Dolphin Kiick, who won 2 titles, dies at 73",2020-06-21 07:07:17,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104437082_1634024296773522_2767225554850523049_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=o-LJsCV7e6MAX_KI6VZ&_nc_oc=AQml6ASuQNw6szp9FrVn3fheV8FunefJrrFAusq14Xg2lZyZzwgkURa-AINTXPpMjY4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8de4b20a09630bf010070cbc5f147933&oe=5F86CEFC,20.0,,1179662662375018,This is why we teach . . . simply amazing.,https://facebook.com/story.php?story_fbid=1179662662375018&id=303051620036131,"John Hill School
June 18 at 7:30 AM ·

What a wonderful message to receive at our front door! Thanks to our students, Shannon, Connell, Mark, and Matt, for so thoughtfully and creatively expressing their sentiments! #boontonstrongJHSproud",0.0,"This is why we teach . . . simply amazing.

John Hill School
June 18 at 7:30 AM ·

What a wonderful message to receive at our front door! Thanks to our students, Shannon, Connell, Mark, and Matt, for so thoughtfully and creatively expressing their sentiments! #boontonstrongJHSproud",2020-06-18 17:35:21,,
9,1.0,,7.0,https://sites.google.com/boontonschools.org/bhsartshow2020/home,1173289413012343,"Please take a moment and visit our 2020 Boonton Schools Virtual Art Show.

https://sites.google.com/boontonschools.org/bhsartshow2020/home",https://facebook.com/story.php?story_fbid=1173289413012343&id=303051620036131,"SITES.GOOGLE.COM
Virtual Art Show",2.0,"Please take a moment and visit our 2020 Boonton Schools Virtual Art Show.

https://sites.google.com/boontonschools.org/bhsartshow2020/home

SITES.GOOGLE.COM
Virtual Art Show",2020-06-10 17:05:19,,
