,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,,3248470691874234,"Watch tonight’s game....

https://www.facebook.com/hollandisd/videos/628652154746358/",https://facebook.com/story.php?story_fbid=3248470691874234&id=230547403666593,"Holland Independent School District was live.
September 4 at 7:55 PM ·",0.0,"Watch tonight’s game....

https://www.facebook.com/hollandisd/videos/628652154746358/

Holland Independent School District was live.
September 4 at 7:55 PM ·",2020-09-04 20:57:51,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_322759102379411_6686004599238580844_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=yNBTgKWBRlEAX_4Bq4F&_nc_ht=scontent-atl3-1.xx&oh=faafa189da27843e5baf72053fc978a4&oe=5F89F162,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118746528_4374422132628604_7754516203725707339_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=0CwAIrB-g0EAX9oVPsf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=64e213456b8c3b55729e29ac62dd5294&oe=5F88C5AD,2.0,,3245055482215755,UIL COVID-19 Risk Mitigation Guidelines,https://facebook.com/story.php?story_fbid=3245055482215755&id=230547403666593,"Bosqueville High School
September 3 at 4:26 PM ·

UIL COVID-19 Risk Mitigation Guidelines",0.0,"UIL COVID-19 Risk Mitigation Guidelines

Bosqueville High School
September 3 at 4:26 PM ·

UIL COVID-19 Risk Mitigation Guidelines",2020-09-03 17:32:23,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/114777975_3142769542444350_3580545508612898366_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=vUHr2Y7RRAQAX-0ym5G&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8ae73af1d9a1509d0b8fd3561d6a6443&oe=5F8A8DC6,4.0,,3142780679109903,"Updated School Calendar and Operational Plan for Re-Opening Communication. Please see the Updated Plan @
the Bosqueville ISD website",https://facebook.com/story.php?story_fbid=3142780679109903&id=230547403666593,,0.0,"Updated School Calendar and Operational Plan for Re-Opening Communication. Please see the Updated Plan @
the Bosqueville ISD website",2020-07-31 18:53:48,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/110205174_3134419539946017_3397015187302887125_o.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=aK1mSLzfWxcAX9gfc2x&_nc_ht=scontent-atl3-1.xx&oh=ad67ee468aacfae67e192af8831bcdeb&oe=5F882F80,2.0,,3134424329945538,,https://facebook.com/story.php?story_fbid=3134424329945538&id=230547403666593,,0.0,,2020-07-28 18:02:15,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/79088227_2975246129196693_8760510059974230016_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=L9qBNeO4TRcAX9hjRFp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=efcafe9dda50452dbe778046f4483a0a&oe=5F8AD10A,1.0,http://hhs.texas.gov/PEBT,2975246379196668,,https://facebook.com/story.php?story_fbid=2975246379196668&id=230547403666593,,0.0,,2020-06-01 15:34:01,,
5,2.0,,5.0,http://wacoisd.org/live,2965102046877768,"BISD High School Graduation Live Stream Info: Friday May 29th @ 7:30pm
If you have Spectrum it is Channel 17. I think Grande is the same channel. It will also be live on the internet. The link below will start shortly before the start of the program at Friday - May 29th @ 7:30pm
wacoisd.org/live",https://facebook.com/story.php?story_fbid=2965102046877768&id=230547403666593,"PLAYER.FRONTLAYER.COM
Waco ISD TV",2.0,"BISD High School Graduation Live Stream Info: Friday May 29th @ 7:30pm
If you have Spectrum it is Channel 17. I think Grande is the same channel. It will also be live on the internet. The link below will start shortly before the start of the program at Friday - May 29th @ 7:30pm
wacoisd.org/live

PLAYER.FRONTLAYER.COM
Waco ISD TV",2020-05-29 14:12:35,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/100073851_2960343947353578_4773777431343398912_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=NiS_cC21GlEAX8Qf6Wa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=91744badc99bc15ca100b7bc7bdf9ce6&oe=5F88A116,10.0,,2960344214020218,"Guidelines and Criteria for Attending Bosqueville ISD Graduation Ceremony:

1. Each graduate is allowed to have ten (10) attendees.

2. Attendees must be with the Graduate at their assigned time in order to be allowed into the Stadium.

3. Each attendee must present a COVID-19 screening form at the Graduation ceremony. These forms will be issued to each Graduate for distribution prior to the ceremony.

4. Any person arriving on their own without a screening form and not with a Graduate will be turned away and not be allowed to enter the stadium.",https://facebook.com/story.php?story_fbid=2960344214020218&id=230547403666593,,0.0,"Guidelines and Criteria for Attending Bosqueville ISD Graduation Ceremony:

1. Each graduate is allowed to have ten (10) attendees.

2. Attendees must be with the Graduate at their assigned time in order to be allowed into the Stadium.

3. Each attendee must present a COVID-19 screening form at the Graduation ceremony. These forms will be issued to each Graduate for distribution prior to the ceremony.

4. Any person arriving on their own without a screening form and not with a Graduate will be turned away and not be allowed to enter the stadium.",2020-05-26 14:49:38,,
7,12.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95172369_2907568405964466_6944804165914722304_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=woWBv5U5Iu4AX-XoCvl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=61d60a0f5d4ddc1011244acb33acf536&oe=5F87F732,38.0,,2907568802631093,"Congratulations Class of 2020 Senior - Zane Roe

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",https://facebook.com/story.php?story_fbid=2907568802631093&id=230547403666593,,0.0,"Congratulations Class of 2020 Senior - Zane Roe

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",2020-05-15 18:03:26,,
8,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95537367_2907567259297914_4139558890851270656_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=uvkrfirGAUcAX9G9IYw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=487edc2a84992847bbaa9bf11bf9c698&oe=5F8725E4,44.0,,2907567509297889,"Congratulations Class of 2020 Senior - Victor Mosqueda

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",https://facebook.com/story.php?story_fbid=2907567509297889&id=230547403666593,,0.0,"Congratulations Class of 2020 Senior - Victor Mosqueda

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",2020-05-15 09:02:44,,
9,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95615020_2907565935964713_3607274776290131968_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=huoy-7kSrs0AX_U2pYi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7c40b52fa85bd794bf52ff9de930e41e&oe=5F8721FD,37.0,,2907566409297999,"Congratulations Class of 2020 Senior - Luke Hayes

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",https://facebook.com/story.php?story_fbid=2907566409297999&id=230547403666593,,0.0,"Congratulations Class of 2020 Senior - Luke Hayes

Class of 2020! We know that the end-of-year activities and graduation are more than just a ceremony and a last farewell. They are family celebrations, community celebrations and your celebration for 12 years of hard work. While typical events make look different this year, you are no less special.

This class of 39 members is resilient, creative, bold, dedicated, smart, talented, athletic, caring and giving. We love you Class of 2020 and we are proud of you! #2020strong #bulldogpride
We will he honoring two seniors a day - stay tuned in to see all the wonderful accomplishments and activities of our 2020 Senior class.",2020-05-14 18:02:02,,
