,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,http://www.bostongreenacademy.org/,3717660818262874,"Important BGA Survey on School Reopening for All Families

BGA Families! We need to hear from you about school reopening. Please fill out this quick survey by Friday, August 21st. You can also find these links at www.bostongreenacademy.org

BGA Reopening Surveys:
English https://docs.google.com/forms/d/e/1FAIpQLSc5PIGWxy5mSJhpCYh4I1ghDxwi6qvCN0y-AmUG-TUfMEv8vQ/viewform
Spanish https://docs.google.com/forms/d/e/1FAIpQLSd98NPwYygAIXbXb-JBEKF3QrVZ8mUNUZ3tTAsiIouYK5tfrQ/viewform
Portuguese https://docs.google.com/forms/d/e/1FAIpQLScCXqr3I0MlZcfx65arphnpjzvfi7dfVvqpNR-vo_hggfWleg/viewform
Haitian Creole https://docs.google.com/forms/d/e/1FAIpQLSdoP21zJKF4KlRd7if9qhTZzIeh20h1NXlNG82ZaKzF3KOKKQ/viewform",https://facebook.com/story.php?story_fbid=3717660818262874&id=199929556702702,"BOSTONGREENACADEMY.ORG
BGASUMMER@Home Page | BGA",0.0,"Important BGA Survey on School Reopening for All Families

BGA Families! We need to hear from you about school reopening. Please fill out this quick survey by Friday, August 21st. You can also find these links at www.bostongreenacademy.org

BGA Reopening Surveys:
English https://docs.google.com/forms/d/e/1FAIpQLSc5PIGWxy5mSJhpCYh4I1ghDxwi6qvCN0y-AmUG-TUfMEv8vQ/viewform
Spanish https://docs.google.com/forms/d/e/1FAIpQLSd98NPwYygAIXbXb-JBEKF3QrVZ8mUNUZ3tTAsiIouYK5tfrQ/viewform
Portuguese https://docs.google.com/forms/d/e/1FAIpQLScCXqr3I0MlZcfx65arphnpjzvfi7dfVvqpNR-vo_hggfWleg/viewform
Haitian Creole https://docs.google.com/forms/d/e/1FAIpQLSdoP21zJKF4KlRd7if9qhTZzIeh20h1NXlNG82ZaKzF3KOKKQ/viewform

BOSTONGREENACADEMY.ORG
BGASUMMER@Home Page | BGA",2020-08-17 13:47:51,,
1,0.0,,0.0,https://vimeo.com/447580827,3711933055502317,"Check this out! Municipal Climate Action: A Fireside Chat with Dr. Atyia Martin. https://vimeo.com/447580827

Greentown Labs, a community of climatetech pioneers working to design a more sustainable world, is offering a video series that brings together leaders and policymakers from municipalities, communities, and urban planning groups to discuss their efforts to build climate change resilience, with a focus on how climatetech startups can get involved.

The first installment of this series features Dr. Atyia Martin, CEO of All Aces, Inc. and former Chief Resilience Officer for the City of Boston. Dr. Martin shares her perspectives as a city emergency management and preparedness officer and a thought leader/change agent for diversity, equity, and inclusion.",https://facebook.com/story.php?story_fbid=3711933055502317&id=199929556702702,"VIMEO.COM
Municipal Climate Action: A Fireside Chat with Dr. Atyia Martin - August 13, 2020",0.0,"Check this out! Municipal Climate Action: A Fireside Chat with Dr. Atyia Martin. https://vimeo.com/447580827

Greentown Labs, a community of climatetech pioneers working to design a more sustainable world, is offering a video series that brings together leaders and policymakers from municipalities, communities, and urban planning groups to discuss their efforts to build climate change resilience, with a focus on how climatetech startups can get involved.

The first installment of this series features Dr. Atyia Martin, CEO of All Aces, Inc. and former Chief Resilience Officer for the City of Boston. Dr. Martin shares her perspectives as a city emergency management and preparedness officer and a thought leader/change agent for diversity, equity, and inclusion.

VIMEO.COM
Municipal Climate Action: A Fireside Chat with Dr. Atyia Martin - August 13, 2020",2020-08-15 16:04:17,,
2,0.0,,5.0,https://www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/,3546150288747262,"We had a fantastic virtual graduation ceremony yesterday evening. Now, help celebrate our 8th graders with their Moving Up Ceremony at 5PM. You catch it all on our YouTube channel.

www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/",https://facebook.com/story.php?story_fbid=3546150288747262&id=199929556702702,"YOUTUBE.COM
Boston Green Academy",0.0,"We had a fantastic virtual graduation ceremony yesterday evening. Now, help celebrate our 8th graders with their Moving Up Ceremony at 5PM. You catch it all on our YouTube channel.

www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/

YOUTUBE.COM
Boston Green Academy",2020-06-19 12:49:54,,
3,2.0,,18.0,,3545888205440137,Congrats to the Class of 2020!,,,0.0,Congrats to the Class of 2020!,2020-06-19 10:49:42,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_288745615658011_767012038112428792_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=8GYhaUU3eQYAX-7bElM&_nc_oc=AQmnBhQwt3gK-2nkrqRvDHT2c0s-nIYwfAui8dXNw05AZlYzof_OrMpUKfcsX92a-cI&_nc_ht=video-atl3-1.xx&oh=6a66398071c4ae274e7ddaff18b610e3&oe=5F5DC3FF,
4,1.0,,10.0,https://www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/,3543402895688668,"Don't miss BGA's very first virtual graduation. We go live on our YouTube channel at 6PM.

https://www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/",https://facebook.com/story.php?story_fbid=3543402895688668&id=199929556702702,"YOUTUBE.COM
Boston Green Academy",7.0,"Don't miss BGA's very first virtual graduation. We go live on our YouTube channel at 6PM.

https://www.youtube.com/channel/UCNUnK_liItzsQn7nPbyYgTQ/

YOUTUBE.COM
Boston Green Academy",2020-06-18 12:52:12,,
5,0.0,,14.0,,3541090152586609,,,,0.0,,2020-06-17 16:23:38,,
6,0.0,,5.0,https://patch.com/massachusetts/somerville/somerville-resident-mentors-roxbury-youth-online,3540984569263834,"What a terrific article in the Somerville Patch on the Big Brothers Big Sisters of Eastern MA Mentor 2.0 program, featuring BGA's own 2020 graduate Andrew Thornton and his mentor Daniel Vatnick. Congratulations Andrew and Daniel and thank you Mentor 2.0! Check out the entire article! https://patch.com/massachusetts/somerville/somerville-resident-mentors-roxbury-youth-online",https://facebook.com/story.php?story_fbid=3540984569263834&id=199929556702702,"PATCH.COM
Somerville Resident Mentors Roxbury Youth Online",0.0,"What a terrific article in the Somerville Patch on the Big Brothers Big Sisters of Eastern MA Mentor 2.0 program, featuring BGA's own 2020 graduate Andrew Thornton and his mentor Daniel Vatnick. Congratulations Andrew and Daniel and thank you Mentor 2.0! Check out the entire article! https://patch.com/massachusetts/somerville/somerville-resident-mentors-roxbury-youth-online

PATCH.COM
Somerville Resident Mentors Roxbury Youth Online",2020-06-17 15:30:59,,
7,0.0,,2.0,http://www.accessportamerica.org/,3407336955961930,"Live chat with Access Sport honoree and NE Patriot safety Patrick Chung, actor & comedian Lenny Clarke and actor Zack Gottsagen, star of The Peanut Butter Falcon.",https://facebook.com/story.php?story_fbid=3407336955961930&id=199929556702702,"ACCESSPORTAMERICA.ORG
AccesSportAmerica - Adaptive Sports and Programs for People with Special Needs

AccesSportAmerica
April 27 at 5:00 PM ·

A Special Evening with AccesSportAmerica - Tuesday 4/28 at 7:30p.
Don't miss special special guests Lenny Clarke, Zack Gottsagen, Dr. Timothy Johnson, & Patrick Chung chatting with Emcee Mariellen Burns and Executive Director Ross Lilley! https://www.facebook.com/goaccess/live/",0.0,"Live chat with Access Sport honoree and NE Patriot safety Patrick Chung, actor & comedian Lenny Clarke and actor Zack Gottsagen, star of The Peanut Butter Falcon.

ACCESSPORTAMERICA.ORG
AccesSportAmerica - Adaptive Sports and Programs for People with Special Needs

AccesSportAmerica
April 27 at 5:00 PM ·

A Special Evening with AccesSportAmerica - Tuesday 4/28 at 7:30p.
Don't miss special special guests Lenny Clarke, Zack Gottsagen, Dr. Timothy Johnson, & Patrick Chung chatting with Emcee Mariellen Burns and Executive Director Ross Lilley! https://www.facebook.com/goaccess/live/",2020-04-28 08:15:35,,
8,0.0,,0.0,http://www.accessportamerica.org/,,,https://facebook.com/story.php?story_fbid=10156894458346583&id=98009511582,"AccesSportAmerica
April 27 at 5:00 PM ·

A Special Evening with AccesSportAmerica - Tuesday 4/28 at 7:30p.
Don't miss special special guests Lenny Clarke, Zack Gottsagen, Dr. Timothy Johnson, & Patrick Chung chatting with Emcee Mariellen Burns and Executive Director Ross Lilley! https://www.facebook.com/goaccess/live/",0.0,"AccesSportAmerica
April 27 at 5:00 PM ·

A Special Evening with AccesSportAmerica - Tuesday 4/28 at 7:30p.
Don't miss special special guests Lenny Clarke, Zack Gottsagen, Dr. Timothy Johnson, & Patrick Chung chatting with Emcee Mariellen Burns and Executive Director Ross Lilley! https://www.facebook.com/goaccess/live/",2020-09-13 00:05:36.011798,,
9,0.0,,6.0,https://www.youtube.com/watch?v=JyKI0WYsl0g&feature=share,3355789034450056,"BGA students! Check this out! Amazing summer opportunity to live on a Tall Ship this summer!
A life-changing experience. Watch this great video and then go to the home page on the
BGA web site and click the ""Summer on A Tall Ship: Roseway"" button for registration and more information
about the three different summer opportunities.",https://facebook.com/story.php?story_fbid=3355789034450056&id=199929556702702,"YOUTUBE.COM
World Ocean School Summer 2020 Recruitment",0.0,"BGA students! Check this out! Amazing summer opportunity to live on a Tall Ship this summer!
A life-changing experience. Watch this great video and then go to the home page on the
BGA web site and click the ""Summer on A Tall Ship: Roseway"" button for registration and more information
about the three different summer opportunities.

YOUTUBE.COM
World Ocean School Summer 2020 Recruitment",2020-04-07 09:55:44,,
