,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,1703436819825737,,https://facebook.com/story.php?story_fbid=1703436819825737&id=384091271760305,"Mountain Education Charter High School
September 10 at 9:34 AM ·

MECHS is excited to welcome students back to our campuses beginning Monday, September 14th. This video will overview our procedures and expectations as we prepare to enter our buildings in a safe and socially distanced manner.",0.0,"Mountain Education Charter High School
September 10 at 9:34 AM ·

MECHS is excited to welcome students back to our campuses beginning Monday, September 14th. This video will overview our procedures and expectations as we prepare to enter our buildings in a safe and socially distanced manner.",2020-09-11 10:23:28,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118987168_613441869353968_4860973957921446442_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=9POyvlu7MhcAX-q3Cwu&_nc_ht=video-atl3-1.xx&oh=91d23c4f096fb04aba1d253b988a397a&oe=5F5D59F8,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118813874_3076031342524978_5258431577899677849_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=Zdf8v60eBTMAX_D0nqt&_nc_ht=scontent-atl3-1.xx&oh=1e9326824a944b7af78177d4d6b841cd&oe=5F84A91B,0.0,,1701801076655978,,https://facebook.com/story.php?story_fbid=1701801076655978&id=384091271760305,"Mountain Education Charter High School
September 9 at 1:03 PM ·

Please see the attached flyer that will be presented to students who are sent home from school (for a Remote Hike). Students presenting signs or symptoms of COVID-19 or that have had a risk of exposure will be sent home to work virtually. Just becuase we send students home does not mean that the student has COVID-19 or that they should stop working in their coursework. We will always encourage the student to work from home until they can return to campus.",0.0,"Mountain Education Charter High School
September 9 at 1:03 PM ·

Please see the attached flyer that will be presented to students who are sent home from school (for a Remote Hike). Students presenting signs or symptoms of COVID-19 or that have had a risk of exposure will be sent home to work virtually. Just becuase we send students home does not mean that the student has COVID-19 or that they should stop working in their coursework. We will always encourage the student to work from home until they can return to campus.",2020-09-09 13:58:16,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119118626_1700760406760045_6940316791357509799_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=BTw-T4_H5bAAX85THiw&_nc_oc=AQlIAFDdiJkmOm1r9y7Af3DcTtRKaJvIRX9nMzGOshthPByGmy4TkI_RM37lGDaDlck&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0a1038a80c97d0deb90808301001137c&oe=5F80E783,0.0,,1700761020093317,,https://facebook.com/story.php?story_fbid=1700761020093317&id=384091271760305,,0.0,,2020-09-08 10:53:06,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118731442_1694143850755034_1019562947618899495_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=z73-zb0viRkAX96Arde&_nc_ht=scontent-atl3-1.xx&tp=14&oh=040cb98d49ee8c455c813bea248b3a63&oe=5F831D41,7.0,,1694147614087991,Congratulations to the following students who are setting goals to earn their high school diploma. Attendance is a key part. The Bowman MECHS faculty and staff are so proud of students.,https://facebook.com/story.php?story_fbid=1694147614087991&id=384091271760305,,0.0,Congratulations to the following students who are setting goals to earn their high school diploma. Attendance is a key part. The Bowman MECHS faculty and staff are so proud of students.,2020-09-01 10:59:11,,
4,0.0,,2.0,http://mymec.org/,1693171364185616,"Join us for the Bowman Site Commencement Exercises. The ceremony can also be found on the mymec.org webpage for those not on social media. We are so proud of our graduates.

https://www.youtube.com/watch?v=r1WfC0MIkLc",https://facebook.com/story.php?story_fbid=1693171364185616&id=384091271760305,"YOUTUBE.COM
Bowman Virtual Graduation",0.0,"Join us for the Bowman Site Commencement Exercises. The ceremony can also be found on the mymec.org webpage for those not on social media. We are so proud of our graduates.

https://www.youtube.com/watch?v=r1WfC0MIkLc

YOUTUBE.COM
Bowman Virtual Graduation",2020-08-31 19:00:48,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/115745075_1668417313327688_1822403028438000419_o.jpg?_nc_cat=109&_nc_sid=b386c4&_nc_ohc=017aBr-ejUgAX8n12vO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=06988dcabc55b7a1ffcc2f2ee4903ed9&oe=5F827E92,5.0,,1688185118017574,We are so excited about the upcoming Virtual Graduation Ceremony for the Class of 2020. Won’t you join us?,https://facebook.com/story.php?story_fbid=1688185118017574&id=384091271760305,"Bowman Mountain Education Charter High School updated the event cover photo in Virtual Graduation Ceremony.
August 4 at 3:45 PM ·",2.0,"We are so excited about the upcoming Virtual Graduation Ceremony for the Class of 2020. Won’t you join us?

Bowman Mountain Education Charter High School updated the event cover photo in Virtual Graduation Ceremony.
August 4 at 3:45 PM ·",2020-08-25 22:40:49,,
6,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118393597_1686646941504725_4783937209936516493_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=-MO-eIoMOs8AX-do1Gz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c000b695c796d29a7db600d59f058fd5&oe=5F81C41D,20.0,,1686651708170915,The 2020 Graduate Celebration was a success. George Fortson and family were all smiles. Continue to watch for other graduates to be recognized,https://facebook.com/story.php?story_fbid=1686651708170915&id=384091271760305,,0.0,The 2020 Graduate Celebration was a success. George Fortson and family were all smiles. Continue to watch for other graduates to be recognized,2020-08-24 07:08:27,,
7,0.0,,7.0,,1682407848595301,,https://facebook.com/story.php?story_fbid=1682407848595301&id=384091271760305,,0.0,,2020-08-19 15:33:40,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117864330_1680784015424351_4676514599674396418_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=bfRwoDM6uhwAX_wHNPi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0af9387ca644c910342a986e9fbd4566&oe=5F8265E0,4.0,,1680785215424231,We are excited about the upcoming celebration with our graduates this Wednesday at 7:00pm. Who all is coming?,https://facebook.com/story.php?story_fbid=1680785215424231&id=384091271760305,,0.0,We are excited about the upcoming celebration with our graduates this Wednesday at 7:00pm. Who all is coming?,2020-08-17 21:24:25,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117580884_1674077309428355_8386350975010693835_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=qzs3S3XtAzIAX-DQp-t&_nc_ht=scontent-atl3-1.xx&tp=14&oh=021214e5466b84a74287bc921c45f88e&oe=5F821FAF,2.0,,1674077406095012,,https://facebook.com/story.php?story_fbid=1674077406095012&id=384091271760305,,0.0,,2020-08-10 17:39:10,,
