,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,,9.0,,1273786686305495,"***Alumni Basketball Game***

We are still hosting the Alumni Basketball Game scheduled for this Friday at 6:30pm. There will be a full concession, including Arnwine's famous onion burgers. Entry fee for players is $20 and includes the tshirt.
Spectator Cost is $3 and children are free.
Those signed up to play are:

Girls Odd: Cheyenne Crase, Ashton Culwell, Megan Stroud, Christina Hensley, Kalee Kingsborough. Not playing: Rica Beam Gregory, Shawnee Gibson, Adriona Bowen

Girls Even: Kim Swindle, Kailyn Hollie Steelman, Hunter Crase, Madison Summers, Randi Saling, April Whaley, Brittney Yates, Kacie Ralls. Not playing; Marietta Blattstien, Vandelyn Ennis

Boys Odd: Johnny Traylor, Stan Orzol, Chance Crase, Drake McDonnell, Caden Waggonner, James Cox, Deltron, Trenton Sanders, Tyler Crase

Boys Even: Christian Stroup, Jacob Summers, Daniel Culwell, Ronald Ward, Cody Stroup, and Deondra Henderson.

It's not too late to be added to the list, but you will have to bring your own shirt. If you are not playing, but are on the list, please let Mrs. Bray know ASAP.",https://facebook.com/story.php?story_fbid=1273786686305495&id=135001193517389,,0.0,"***Alumni Basketball Game***

We are still hosting the Alumni Basketball Game scheduled for this Friday at 6:30pm. There will be a full concession, including Arnwine's famous onion burgers. Entry fee for players is $20 and includes the tshirt.
Spectator Cost is $3 and children are free.
Those signed up to play are:

Girls Odd: Cheyenne Crase, Ashton Culwell, Megan Stroud, Christina Hensley, Kalee Kingsborough. Not playing: Rica Beam Gregory, Shawnee Gibson, Adriona Bowen

Girls Even: Kim Swindle, Kailyn Hollie Steelman, Hunter Crase, Madison Summers, Randi Saling, April Whaley, Brittney Yates, Kacie Ralls. Not playing; Marietta Blattstien, Vandelyn Ennis

Boys Odd: Johnny Traylor, Stan Orzol, Chance Crase, Drake McDonnell, Caden Waggonner, James Cox, Deltron, Trenton Sanders, Tyler Crase

Boys Even: Christian Stroup, Jacob Summers, Daniel Culwell, Ronald Ward, Cody Stroup, and Deondra Henderson.

It's not too late to be added to the list, but you will have to bring your own shirt. If you are not playing, but are on the list, please let Mrs. Bray know ASAP.",2020-09-10 11:39:54,,
1,0.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118627431_1263094834041347_1500689055481338575_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=gacWgnT1MpgAX-ukTZS&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=6283f96e94d4f05a2d304fd70649fbab&oe=5F808F21,10.0,,1263094857374678,Please share.,https://facebook.com/story.php?story_fbid=1263094857374678&id=135001193517389,,0.0,Please share.,2020-08-29 18:00:22,,
2,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118540760_1259166497767514_3061474440456637596_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=bpixrAkgrO0AX8daBnM&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=7cce2a03d6a070f3be38478c40f808b2&oe=5F813C73,3.0,,1259166524434178,,https://facebook.com/story.php?story_fbid=1259166524434178&id=135001193517389,,0.0,,2020-08-25 10:24:16,,
3,1.0,,4.0,,1259164584434372,"*** School Pictures ***

Heritage Portrait staff will be here tomorrow to take school pictures for Pre-K through 11th grade. They will begin at 8:00 am with Pre-K. If you have a student doing virtual classes, their pictures will be taken October 21, 2020 with the retakes. Please share.",https://facebook.com/story.php?story_fbid=1259164584434372&id=135001193517389,,0.0,"*** School Pictures ***

Heritage Portrait staff will be here tomorrow to take school pictures for Pre-K through 11th grade. They will begin at 8:00 am with Pre-K. If you have a student doing virtual classes, their pictures will be taken October 21, 2020 with the retakes. Please share.",2020-08-25 10:21:10,,
4,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117807361_1258536921163805_1304584277860319907_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=RCmGxpTdOG4AX93azAG&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=5d793b9b04019bd92258a684f84f5e99&oe=5F819EFA,8.0,,1258536944497136,,https://facebook.com/story.php?story_fbid=1258536944497136&id=135001193517389,,0.0,,2020-08-24 16:20:31,,
5,0.0,,2.0,,1258520511165446,"*** Attention Parents and Guardians***

Virtual students of Bokoshe Public Schools are now eligible for a free breakfast and lunch. You will need to contact the cafeteria staff at 918-969-2266 by 9:15 am to let the cooks know if you are picking up meals that day. This will help minimize the wasting of food. The cooks cannot hand out meals unless they are ordered that morning. Meal pick up times are from 12:15 to 12:30 pm Monday through Thursday at the back door of the cafeteria. All doors are locked so you will need to call when you arrive. Again, only students enrolled in Bokoshe Public Schools are eligible to receive these meals. You can only pick up meals for your child. Please share.",https://facebook.com/story.php?story_fbid=1258520511165446&id=135001193517389,,0.0,"*** Attention Parents and Guardians***

Virtual students of Bokoshe Public Schools are now eligible for a free breakfast and lunch. You will need to contact the cafeteria staff at 918-969-2266 by 9:15 am to let the cooks know if you are picking up meals that day. This will help minimize the wasting of food. The cooks cannot hand out meals unless they are ordered that morning. Meal pick up times are from 12:15 to 12:30 pm Monday through Thursday at the back door of the cafeteria. All doors are locked so you will need to call when you arrive. Again, only students enrolled in Bokoshe Public Schools are eligible to receive these meals. You can only pick up meals for your child. Please share.",2020-08-24 15:49:26,,
6,0.0,,4.0,,1258519187832245,"A representative from Jostens will be at the High School on Wednesday, August 26th, 2020 at 1:00 pm to present letter jacket options to students.",https://facebook.com/story.php?story_fbid=1258519187832245&id=135001193517389,,0.0,"A representative from Jostens will be at the High School on Wednesday, August 26th, 2020 at 1:00 pm to present letter jacket options to students.",2020-08-24 15:47:03,,
7,0.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117947824_1255120578172106_3504465562877427521_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=ssNOZeaWVWEAX-8zjXj&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=37e0a8a4c3efea240fc1fbe9c5169b05&oe=5F8116E2,4.0,,1255120618172102,,https://facebook.com/story.php?story_fbid=1255120618172102&id=135001193517389,,0.0,,2020-08-20 16:09:32,,
8,0.0,,12.0,,1253264861691011,"*** Attention Parents and Guardians ***

Beginning August 24th, 2020 virtual students of Bokoshe Public Schools will be eligible for a free breakfast and lunch. This does not apply to EPIC students. You will need to contact the cafeteria staff at 918-969-2266 by 9:15 am to let the cooks know if you are picking up meals that day. This will help minimize the wasting of food. The cooks cannot hand out meals unless they are ordered that morning. Meal pick up times are from 12:15 to 12:30 pm Monday through Thursday at the back door of the cafeteria. All doors are locked so you will need to call when you arrive. Again, only students enrolled in Bokoshe Public Schools are eligible to receive these meals. You can only pick up meals for your child. Please share.",https://facebook.com/story.php?story_fbid=1253264861691011&id=135001193517389,,0.0,"*** Attention Parents and Guardians ***

Beginning August 24th, 2020 virtual students of Bokoshe Public Schools will be eligible for a free breakfast and lunch. This does not apply to EPIC students. You will need to contact the cafeteria staff at 918-969-2266 by 9:15 am to let the cooks know if you are picking up meals that day. This will help minimize the wasting of food. The cooks cannot hand out meals unless they are ordered that morning. Meal pick up times are from 12:15 to 12:30 pm Monday through Thursday at the back door of the cafeteria. All doors are locked so you will need to call when you arrive. Again, only students enrolled in Bokoshe Public Schools are eligible to receive these meals. You can only pick up meals for your child. Please share.",2020-08-18 14:47:40,,
9,2.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118032809_1252313031786194_39963444299786567_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=z1xBpMxby1QAX8UjyyZ&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=f8eab8fbef0f31d0e6d5b2d75e66fd58&oe=5F844ADD,7.0,,1252313061786191,,https://facebook.com/story.php?story_fbid=1252313061786191&id=135001193517389,,0.0,,2020-08-17 12:38:21,,
