,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,http://coloradopeak.force.com/PEBT,1662379947251487,"#COVID19 Pandemic EBT (P-EBT) benefits are available for Colorado families with children who are eligible for free or reduced-price meals. Families can get up to $279 per eligible child, regardless of immigration status!

Some families who received SNAP in March, April, or May got these benefits on their EBT cards automatically. All other eligible families need to apply online by the September 23rd deadline.

Learn more and apply at coloradopeak.force.com/PEBT.",https://facebook.com/story.php?story_fbid=1662379947251487&id=185684974920999,"COLORADOPEAK.FORCE.COM
coloradopeak.force.com",0.0,"#COVID19 Pandemic EBT (P-EBT) benefits are available for Colorado families with children who are eligible for free or reduced-price meals. Families can get up to $279 per eligible child, regardless of immigration status!

Some families who received SNAP in March, April, or May got these benefits on their EBT cards automatically. All other eligible families need to apply online by the September 23rd deadline.

Learn more and apply at coloradopeak.force.com/PEBT.

COLORADOPEAK.FORCE.COM
coloradopeak.force.com",2020-09-11 17:58:42,,
1,0.0,,9.0,,1659254904230658,"Just a reminder that doors will open at 7:35 AM, even if it is cold outside. If students need to arrive prior to 7:35 AM, just be prepared.

Because we have been doing so well following protocols within the school, Digger Depot will be open for lunch purchases as well. The sub sandwich and salad option for the regular/free lunch will still be available there as well.",https://facebook.com/story.php?story_fbid=1659254904230658&id=185684974920999,,0.0,"Just a reminder that doors will open at 7:35 AM, even if it is cold outside. If students need to arrive prior to 7:35 AM, just be prepared.

Because we have been doing so well following protocols within the school, Digger Depot will be open for lunch purchases as well. The sub sandwich and salad option for the regular/free lunch will still be available there as well.",2020-09-08 09:27:02,,
2,0.0,,0.0,http://edne.tw/n661747,1655037547985727,"Off-Season Open Gym Guidelines - With the change in the CHSAA Calendar, open gyms and off season workouts will look different this year. The following guidelines will be in place for all sessions. http://edne.tw/n661747",https://facebook.com/story.php?story_fbid=1655037547985727&id=185684974920999,,0.0,"Off-Season Open Gym Guidelines - With the change in the CHSAA Calendar, open gyms and off season workouts will look different this year. The following guidelines will be in place for all sessions. http://edne.tw/n661747",2020-09-03 15:44:45,,
3,0.0,,5.0,https://bit.ly/brushmyschoolbucks,1651503531672462,"Easily pay for school meals online this year! Create your free MySchoolBucks account to conveniently and securely add money to your student’s meal account online or with the mobile app.

http://bit.ly/brushmyschoolbucks",https://facebook.com/story.php?story_fbid=1651503531672462&id=185684974920999,"DOCS.GOOGLE.COM
MySchoolBucks instructions",6.0,"Easily pay for school meals online this year! Create your free MySchoolBucks account to conveniently and securely add money to your student’s meal account online or with the mobile app.

http://bit.ly/brushmyschoolbucks

DOCS.GOOGLE.COM
MySchoolBucks instructions",2020-08-30 20:16:32,,
4,0.0,,6.0,,1643219175834231,"To all seniors:
Your senior pictures along with your quotes are due no later than December 14th! This year we may be able to include landscape formatted pictures so if you have a senior picture that is landscape layout you can submit it to us, but please include a portrait picture just in case. If you have any questions, please email Mr. Hornbaker at w.hornbaker@brushschools.org.",https://facebook.com/story.php?story_fbid=1643219175834231&id=185684974920999,,0.0,"To all seniors:
Your senior pictures along with your quotes are due no later than December 14th! This year we may be able to include landscape formatted pictures so if you have a senior picture that is landscape layout you can submit it to us, but please include a portrait picture just in case. If you have any questions, please email Mr. Hornbaker at w.hornbaker@brushschools.org.",2020-08-21 13:42:05,,
5,0.0,,11.0,http://yearbookforever.com/,1643218559167626,"To all senior parents:
Our yearbook team wants to get a head start on all the pictures, quotes, and senior ads before anything gets too complicated this year. With that, if you are a parent and want to purchase a senior ad for your senior in the yearbook, go to the website yearbookforever.com . Once you get there, find Brush High School in the search bar. From there you will click ""create a personal ad"" and the rest is pretty self explanatory. If you have any questions, feel free to email Mr. Hornbaker at w.hornbaker@brushschools.org.",https://facebook.com/story.php?story_fbid=1643218559167626&id=185684974920999,,0.0,"To all senior parents:
Our yearbook team wants to get a head start on all the pictures, quotes, and senior ads before anything gets too complicated this year. With that, if you are a parent and want to purchase a senior ad for your senior in the yearbook, go to the website yearbookforever.com . Once you get there, find Brush High School in the search bar. From there you will click ""create a personal ad"" and the rest is pretty self explanatory. If you have any questions, feel free to email Mr. Hornbaker at w.hornbaker@brushschools.org.",2020-08-21 13:41:08,,
6,0.0,,2.0,http://edne.tw/n657061,1642556722567143,2nd Day of School Updates - Video update from Director Hodgson. http://edne.tw/n657061,https://facebook.com/story.php?story_fbid=1642556722567143&id=185684974920999,,0.0,2nd Day of School Updates - Video update from Director Hodgson. http://edne.tw/n657061,2020-08-20 20:15:33,,
7,0.0,,13.0,http://edne.tw/n656681,1641667102656105,1st day of school thoughts - Director Hodgson shares his thoughts on the first day of school and adjustments that will be coming. http://edne.tw/n656681,https://facebook.com/story.php?story_fbid=1641667102656105&id=185684974920999,,0.0,1st day of school thoughts - Director Hodgson shares his thoughts on the first day of school and adjustments that will be coming. http://edne.tw/n656681,2020-08-19 20:10:16,,
8,0.0,,0.0,https://sites.google.com/brushschools.org/brushhighschool/home,1640731816082967,,https://facebook.com/story.php?story_fbid=1640731816082967&id=185684974920999,"SITES.GOOGLE.COM
Brush High School Student Site",0.0,"SITES.GOOGLE.COM
Brush High School Student Site",2020-08-18 19:57:32,,
9,1.0,,4.0,,1639929142829901,"All students, please bring your chromebook and charger back with you on Wednesday for the first day of school.

New students will be assigned a device when they arrive.",https://facebook.com/story.php?story_fbid=1639929142829901&id=185684974920999,,0.0,"All students, please bring your chromebook and charger back with you on Wednesday for the first day of school.

New students will be assigned a device when they arrive.",2020-08-17 22:16:10,,
10,1.0,,8.0,,1639762556179893,"Brush High School will be hosting a tour of the building for all new 10-12th grade students at 9 am tomorrow. If you are interested in attending the tour, please email b.bass@brushschools.org",https://facebook.com/story.php?story_fbid=1639762556179893&id=185684974920999,,0.0,"Brush High School will be hosting a tour of the building for all new 10-12th grade students at 9 am tomorrow. If you are interested in attending the tour, please email b.bass@brushschools.org",2020-08-17 17:52:18,,
11,0.0,,4.0,https://bit.ly/brushhealthupdate2020,1637004349789047,"Update from Brush Schools Health Team

The school health team for the Brush Schools hopes this finds you and your families having a healthy and safe summer despite the upheaval caused by the COVID-19 pandemic. We wanted to reach out to you as a health team and let you know we are working closely with local health providers, administration, teachers and the entire Brush Schools team to keep everyone as safe and healthy as possible when we return to school later this month.

Click below for more info and guidance:
https://bit.ly/brushhealthupdate2020",https://facebook.com/story.php?story_fbid=1637004349789047&id=185684974920999,"DOCS.GOOGLE.COM
Update from Brush Schools Health Team",2.0,"Update from Brush Schools Health Team

The school health team for the Brush Schools hopes this finds you and your families having a healthy and safe summer despite the upheaval caused by the COVID-19 pandemic. We wanted to reach out to you as a health team and let you know we are working closely with local health providers, administration, teachers and the entire Brush Schools team to keep everyone as safe and healthy as possible when we return to school later this month.

Click below for more info and guidance:
https://bit.ly/brushhealthupdate2020

DOCS.GOOGLE.COM
Update from Brush Schools Health Team",2020-08-14 17:04:19,,
12,0.0,,2.0,https://bit.ly/brushfreeandreduced2020,1636355619853920,"We are happy to announce that our Free and Reduced Lunch application is now available.

Please read through the Information Letter to Households for all the information you need to know about how to apply for Free and Reduced Lunches: https://bit.ly/brushfreeandreduced2020",https://facebook.com/story.php?story_fbid=1636355619853920&id=185684974920999,"DOCS.GOOGLE.COM
Free and Reduced Lunch Info",2.0,"We are happy to announce that our Free and Reduced Lunch application is now available.

Please read through the Information Letter to Households for all the information you need to know about how to apply for Free and Reduced Lunches: https://bit.ly/brushfreeandreduced2020

DOCS.GOOGLE.COM
Free and Reduced Lunch Info",2020-08-13 23:54:47,,
13,0.0,,6.0,http://edne.tw/n654809,1636118713210944,"Class Schedules in progress - Our counseling staff is currently working to complete student class schedules.

The schedule reflected in Alma will not be accurate. Classes will be finalized by next week. http://edne.tw/n654809",https://facebook.com/story.php?story_fbid=1636118713210944&id=185684974920999,,0.0,"Class Schedules in progress - Our counseling staff is currently working to complete student class schedules.

The schedule reflected in Alma will not be accurate. Classes will be finalized by next week. http://edne.tw/n654809",2020-08-13 17:24:32,,
14,0.0,,5.0,http://edne.tw/n654048,1634483376707811,"Freshman Orientation - Freshman Orientation is Friday, August 14th from 8 am to 11:30 am in the Middle School Gym.

If you have any questions please email b.gibbs@brushschools.org or call 842-5171 ext 1413 http://edne.tw/n654048",https://facebook.com/story.php?story_fbid=1634483376707811&id=185684974920999,,0.0,"Freshman Orientation - Freshman Orientation is Friday, August 14th from 8 am to 11:30 am in the Middle School Gym.

If you have any questions please email b.gibbs@brushschools.org or call 842-5171 ext 1413 http://edne.tw/n654048",2020-08-11 19:25:50,,
15,0.0,,0.0,http://edne.tw/n652865,1629962487159900,"BHS Online Registration Information - Instructions for online registration can be found here. ALL students, new and returning need to complete the process. http://edne.tw/n652865",https://facebook.com/story.php?story_fbid=1629962487159900&id=185684974920999,,0.0,"BHS Online Registration Information - Instructions for online registration can be found here. ALL students, new and returning need to complete the process. http://edne.tw/n652865",2020-08-06 15:42:30,,
16,0.0,,8.0,https://youtu.be/NLbSR8WCwMI,1629773020512180,"Dr. Wilson's August 6th Update
Brush School District is excited and continues to prepare for in person learning, grades PK through 12 starting August 19th.

Click below for Dr. Wilson's Video.
https://youtu.be/NLbSR8WCwMI",https://facebook.com/story.php?story_fbid=1629773020512180&id=185684974920999,,0.0,"Dr. Wilson's August 6th Update
Brush School District is excited and continues to prepare for in person learning, grades PK through 12 starting August 19th.

Click below for Dr. Wilson's Video.
https://youtu.be/NLbSR8WCwMI",2020-08-06 10:58:36,,
17,2.0,,3.0,http://edne.tw/n652635,1629216880567794,August Athletic Announcement - I would like to share with you all the information we have regarding the 2020-2021 athletic seasons. Yesterday afternoon CHSAA released the athletic calendar for this year. http://edne.tw/n652635,https://facebook.com/story.php?story_fbid=1629216880567794&id=185684974920999,,0.0,August Athletic Announcement - I would like to share with you all the information we have regarding the 2020-2021 athletic seasons. Yesterday afternoon CHSAA released the athletic calendar for this year. http://edne.tw/n652635,2020-08-05 18:57:31,,
18,0.0,,0.0,http://edne.tw/n651616,1624845417671607,"Alma SIS - Parent Letter - Click here for information on Brush School Districts switch to a new SIS, Alma. http://edne.tw/n651616",https://facebook.com/story.php?story_fbid=1624845417671607&id=185684974920999,,0.0,"Alma SIS - Parent Letter - Click here for information on Brush School Districts switch to a new SIS, Alma. http://edne.tw/n651616",2020-07-31 16:17:58,,
