,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,,25.0,http://www.bryanisd.org/bond,10158687827322258,"As you likely know, #ElectionDay is Nov. 3. Before you vote, we'd like to let you know about another item on the ballot – the 2020 Bryan ISD Bond Election. SFA Middle School in Bryan ISD 7th-grade student Mileigh Barrera is here to tell you all about it.

Learn More: www.bryanisd.org/bond",,,0.0,"As you likely know, #ElectionDay is Nov. 3. Before you vote, we'd like to let you know about another item on the ballot – the 2020 Bryan ISD Bond Election. SFA Middle School in Bryan ISD 7th-grade student Mileigh Barrera is here to tell you all about it.

Learn More: www.bryanisd.org/bond",2020-09-16 18:00:03,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119309431_665103301078534_2174075400076215967_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=skpE4-EgkTwAX_anb9H&_nc_ht=video-atl3-1.xx&oh=54a3172684c22f1f60f601863590a9ee&oe=5F637C6B,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119632080_10158684967417258_8044687750227018769_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=OJlkiHKD8zEAX9AzrOM&_nc_ht=scontent-atl3-1.xx&oh=e6910afb2038963f3216f3c01af40a94&oe=5F892090,58.0,,10158684974407258,Thanks to H-E-B for donating water bottles to Bonham Elementary in Bryan ISD! Your act of kindness goes a long way while water fountains are out of action due to COVID-19 protection measures. #ThankYou,https://facebook.com/story.php?story_fbid=10158684974407258&id=95619192257,,0.0,Thanks to H-E-B for donating water bottles to Bonham Elementary in Bryan ISD! Your act of kindness goes a long way while water fountains are out of action due to COVID-19 protection measures. #ThankYou,2020-09-16 13:00:02,,
2,4.0,,23.0,https://www.kbtx.com/2020/09/12/bryan-students-learn-design-teamwork-to-create-anklefoot-braces-for-cerebral-palsy/,10158682626132258,"In Case You Missed It: KBTX recently told the story of SFA Middle School in Bryan ISD engineering students designing & creating an ankle/foot braces that would be used for children with #cerebralpalsy. The project involved team-building, problem-solving & education about the disease.

Learn More:",https://facebook.com/story.php?story_fbid=10158682626132258&id=95619192257,"KBTX.COM
Bryan students learn design, teamwork to create ankle/foot braces for cerebral palsy",3.0,"In Case You Missed It: KBTX recently told the story of SFA Middle School in Bryan ISD engineering students designing & creating an ankle/foot braces that would be used for children with #cerebralpalsy. The project involved team-building, problem-solving & education about the disease.

Learn More:

KBTX.COM
Bryan students learn design, teamwork to create ankle/foot braces for cerebral palsy",2020-09-16 10:00:50,,
3,2.0,,41.0,,10158685145032258,35 years! That's how long Ms. Ruby Haliburton has provided transportation service to Bryan ISD. Learn more about her story & all her accomplishments in this surprise recognition yesterday:,https://facebook.com/story.php?story_fbid=10158685145032258&id=95619192257,"Bryan ISD Transportation
September 14 at 9:35 AM ·

Today we are celebrating Ms. Ruby Haliburton and the 35 years of dedicated service she has given to Bryan ISD. When she started here Bo Jackson had won the Heisman and Back to the Future was the number one movie. We are the World was the number one “record” of the year. Ms. Haliburton says Lester Banks was not bad but he was at the back of the bus. If you see Ms. Haliburton thank her for her years of service to This community.",3.0,"35 years! That's how long Ms. Ruby Haliburton has provided transportation service to Bryan ISD. Learn more about her story & all her accomplishments in this surprise recognition yesterday:

Bryan ISD Transportation
September 14 at 9:35 AM ·

Today we are celebrating Ms. Ruby Haliburton and the 35 years of dedicated service she has given to Bryan ISD. When she started here Bo Jackson had won the Heisman and Back to the Future was the number one movie. We are the World was the number one “record” of the year. Ms. Haliburton says Lester Banks was not bad but he was at the back of the bus. If you see Ms. Haliburton thank her for her years of service to This community.",2020-09-15 13:02:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119335346_343203116946032_6922120002199222471_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=qVZMPYrpBaUAX9oF8zH&_nc_ht=video-atl3-1.xx&oh=1bbb83935009b5242934bd6968a8101d&oe=5F638219,
4,0.0,,10.0,https://bisd.link/Enlighten7-12ELA,10158682579967258,"REMINDER: Enlighten continues today! Elementary online English language arts and math help is available from 3:30 to 4:30 p.m. on Tuesdays and Thursdays. Secondary online ELA and math assistance is available from 12:30 to 1:30 p.m. on both days.
---
7-12 ELA: Tuesday & Thursday from 12:30 pm-1:30 pm -- https://bisd.link/Enlighten7-12ELA
7-12 Math: Tuesday & Thursday from 12:30 pm-1:30 pm -- https://bisd.link/Enlighten7-12Math
PreK-6 ELA: Tuesday & Thursday from 3:30 pm-4:30 pm -- https://bisd.link/EnlightenPK-6ELA
PreK-6 Math: Tuesday & Thursday from 3:30 pm-4:30 pm -- https://bisd.link/EnlightenPK-6Math
---
Learn More:",https://facebook.com/story.php?story_fbid=10158682579967258&id=95619192257,"THEEAGLE.COM
Bryan ISD implements program to help answer at-home students' questions",10.0,"REMINDER: Enlighten continues today! Elementary online English language arts and math help is available from 3:30 to 4:30 p.m. on Tuesdays and Thursdays. Secondary online ELA and math assistance is available from 12:30 to 1:30 p.m. on both days.
---
7-12 ELA: Tuesday & Thursday from 12:30 pm-1:30 pm -- https://bisd.link/Enlighten7-12ELA
7-12 Math: Tuesday & Thursday from 12:30 pm-1:30 pm -- https://bisd.link/Enlighten7-12Math
PreK-6 ELA: Tuesday & Thursday from 3:30 pm-4:30 pm -- https://bisd.link/EnlightenPK-6ELA
PreK-6 Math: Tuesday & Thursday from 3:30 pm-4:30 pm -- https://bisd.link/EnlightenPK-6Math
---
Learn More:

THEEAGLE.COM
Bryan ISD implements program to help answer at-home students' questions",2020-09-15 10:00:11,,
5,10.0,,49.0,,10158670948022258,"Learn #How2CTEC by changing spark plugs with Angel Cavazos-Velarde! The Bryan High senior walks you through a basic spark plug change on a 1994 GMC pickup. Suffice to say, changing a spark plug should only be attempted by trained professionals -- trained professionals like Angel & our Bryan Career & Technical Education Complex students!

Editor's Note: Footage in this video is from a previous school year before the pandemic & current COVID-19 safety measures.",,,0.0,"Learn #How2CTEC by changing spark plugs with Angel Cavazos-Velarde! The Bryan High senior walks you through a basic spark plug change on a 1994 GMC pickup. Suffice to say, changing a spark plug should only be attempted by trained professionals -- trained professionals like Angel & our Bryan Career & Technical Education Complex students!

Editor's Note: Footage in this video is from a previous school year before the pandemic & current COVID-19 safety measures.",2020-09-14 18:00:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119024634_319929725899599_1791856383208742322_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=_lwbGP1jR3MAX-akRHG&_nc_ht=video-atl3-1.xx&oh=530690c15ee7d1cc3e59b8100034140a&oe=5F6380ED,
6,0.0,,22.0,https://theeagle.com/news/local/rudders-courtney-thurman-champions-need-for-ag-industries/article_010389ec-f251-11ea-a47a-8f808f301091.html,10158682603552258,"Throughout COVID-19, Rudder FFA student Courtney Thurman has used social media to educate people on the importance of agriculture and the jobs of farmers and ranchers.

Learn Why:",https://facebook.com/story.php?story_fbid=10158682603552258&id=95619192257,"THEEAGLE.COM
Rudder's Courtney Thurman champions need for ag industries",0.0,"Throughout COVID-19, Rudder FFA student Courtney Thurman has used social media to educate people on the importance of agriculture and the jobs of farmers and ranchers.

Learn Why:

THEEAGLE.COM
Rudder's Courtney Thurman champions need for ag industries",2020-09-14 13:00:22,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119026861_10158670727917258_8304494661434005993_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=lLARO_MDdzAAX_TlVJs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f7fa556abea482018629d471fe031eca&oe=5F8962A9,54.0,,10158670737407258,"Thanks, Brookshire Brothers, for your generous donation of maroon face coverings to help keep our Kemp-Carver Elementary in Bryan ISD Cubs safe! #Grateful",https://facebook.com/story.php?story_fbid=10158670737407258&id=95619192257,,0.0,"Thanks, Brookshire Brothers, for your generous donation of maroon face coverings to help keep our Kemp-Carver Elementary in Bryan ISD Cubs safe! #Grateful",2020-09-14 10:00:02,,
8,0.0,,6.0,,10158673192957258,"The last commitment reminder email was sent to your inbox at 5:30 p.m. today (Sept. 13). In case you missed it last time, we sent parents the commitment form one last time to select a learning model (At-Home, On-Campus, or Hybrid) for the Second Six Weeks.

NOTE: If you don't want to change your child's learning model or you've already completed the form, no action is needed.
---
If you don't respond by 11:59 p.m. Sept. 14, your child will automatically be enrolled for the learning model they chose for the First Six Weeks.
---
If you don't see the email, please check your promotion & spam folders. If you still don't see it, please contact your child's campus during school hours.",,,0.0,"The last commitment reminder email was sent to your inbox at 5:30 p.m. today (Sept. 13). In case you missed it last time, we sent parents the commitment form one last time to select a learning model (At-Home, On-Campus, or Hybrid) for the Second Six Weeks.

NOTE: If you don't want to change your child's learning model or you've already completed the form, no action is needed.
---
If you don't respond by 11:59 p.m. Sept. 14, your child will automatically be enrolled for the learning model they chose for the First Six Weeks.
---
If you don't see the email, please check your promotion & spam folders. If you still don't see it, please contact your child's campus during school hours.",2020-09-13 18:35:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118941100_1199554267093575_7127035648334326245_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=U7f6vDc_JbwAX8HGMPC&_nc_ht=video-atl3-1.xx&oh=4821e5bd22710a0a56a3ef16b80b5cfc&oe=5F638293,
9,1.0,,25.0,,10158675810957258,"The Panthers of Jones Elementary in Bryan ISD commemorated 9-11 today by recreating the ""Survivor Tree"" that survived the Sept. 11 devastation at Ground Zero in New York.
---
Jones students wrote messages of hope on leaves & then used them to create their own survivor tree. They learned about preserving through struggle and the rebirth that can await afterward, much like the & renewal of the tree.
---
Before & after creating the tree, students participated in moments of silent flag waving at the exact time the towers hit the twin towers in 2001. (8:46 a.m. & 9:03 a.m.)

Thank you to everyone involved for remembering 9-11 in such a thought-provoking & impactful way.

#BryanProud",,,0.0,"The Panthers of Jones Elementary in Bryan ISD commemorated 9-11 today by recreating the ""Survivor Tree"" that survived the Sept. 11 devastation at Ground Zero in New York.
---
Jones students wrote messages of hope on leaves & then used them to create their own survivor tree. They learned about preserving through struggle and the rebirth that can await afterward, much like the & renewal of the tree.
---
Before & after creating the tree, students participated in moments of silent flag waving at the exact time the towers hit the twin towers in 2001. (8:46 a.m. & 9:03 a.m.)

Thank you to everyone involved for remembering 9-11 in such a thought-provoking & impactful way.

#BryanProud",2020-09-11 19:07:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119284011_256158535510401_2420808470712152106_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=IvUNG-mkEF8AX8CeNaT&_nc_ht=video-atl3-1.xx&oh=b574e3e009bb3da91ecd07041b97144e&oe=5F637E3C,
