,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119538536_3266460933401247_2333155718609534160_o.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=mwl095MzrGgAX-ymFkc&_nc_ht=scontent-atl3-1.xx&oh=3632008d4553eee776cf782a5b7739a1&oe=5F88EF1B,18.0,https://www.ccsdut.org/site/default.aspx?PageType=3&ModuleInstanceID=5044&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=53006&PageID=9,3266472070066800,"We have been so impressed and inspired with the way our educators, students, and families have worked together to keep our schools open and our community safe and healthy. Thank you!

In the spirit of collaboration and creativity, here's a virtual choir concert presented at the end of the last school year by South Cache Middle School choir director Jason Petrovich and his students. Take a minute to enjoy their hard work and talent!

Click here for a link to the virtual concert: https://www.ccsdut.org/site/default.aspx?PageType=3&ModuleInstanceID=5044&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=53006&PageID=9",https://facebook.com/story.php?story_fbid=3266472070066800&id=420677654646270,,0.0,"We have been so impressed and inspired with the way our educators, students, and families have worked together to keep our schools open and our community safe and healthy. Thank you!

In the spirit of collaboration and creativity, here's a virtual choir concert presented at the end of the last school year by South Cache Middle School choir director Jason Petrovich and his students. Take a minute to enjoy their hard work and talent!

Click here for a link to the virtual concert: https://www.ccsdut.org/site/default.aspx?PageType=3&ModuleInstanceID=5044&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=53006&PageID=9",2020-09-15 16:47:17,,
1,1.0,,31.0,https://www.ccsdut.org/Page/7067,3269146526466021,,https://facebook.com/story.php?story_fbid=3269146526466021&id=420677654646270,,4.0,,2020-09-16 12:22:13,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119210664_3266611786719495_6729456780846963414_o.jpg?_nc_cat=108&_nc_sid=dd9801&_nc_ohc=hQJcYy2e9bUAX8AAa7C&_nc_ht=scontent-atl3-1.xx&tp=14&oh=628a4c516b07c516e79c5def8cd86826&oe=5F8AEDDA,10.0,,3266612176719456,,,,0.0,,2020-09-15 17:55:03,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119473697_3266445413402799_5975151930717229859_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=O4uKq10vKxsAX9OEk-i&_nc_ht=scontent-atl3-1.xx&oh=4bcd7f5c01185c05663b27ea65f3d48b&oe=5F88AB6A,3.0,,3266446243402716,,https://facebook.com/story.php?story_fbid=3266446243402716&id=420677654646270,,0.0,,2020-09-15 16:35:42,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119601194_3265538376826836_5444587103436779766_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=tUIovESeyj0AX9Wzm5M&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2505a50c8c50912210abfc3d605dbb6f&oe=5F8AE9F4,4.0,,3265538796826794,Here is Green Canyon's schedule for the week!,https://facebook.com/story.php?story_fbid=3265538796826794&id=420677654646270,,0.0,Here is Green Canyon's schedule for the week!,2020-09-15 10:21:14,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119217459_3265537013493639_4480954517521453148_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=Dsa4uyLb19kAX9ACMAY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7916386537991dc3ca12f329b72a9af4&oe=5F8B3BA6,0.0,,3265537550160252,And here is Ridgeline's schedule for the week!,https://facebook.com/story.php?story_fbid=3265537550160252&id=420677654646270,,0.0,And here is Ridgeline's schedule for the week!,2020-09-15 10:20:47,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119368178_3265535153493825_2676065890302338616_o.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=PDqTL3w7ZFgAX9sy_uL&_nc_ht=scontent-atl3-1.xx&oh=6b165a14d9946b9e39e4894858bf0925&oe=5F897EB3,5.0,,3265535316827142,Here is Mountain Crest's schedule for the week!,https://facebook.com/story.php?story_fbid=3265535316827142&id=420677654646270,,0.0,Here is Mountain Crest's schedule for the week!,2020-09-15 10:20:06,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119038648_3250161201697887_7444038951903668674_o.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=R1wqpmHXXUsAX8qRmWG&_nc_ht=scontent-atl3-1.xx&oh=e4709380f560ac42d977738d3060b752&oe=5F88BB23,4.0,,3250161678364506,Here is Sky View's schedule for the week!,https://facebook.com/story.php?story_fbid=3250161678364506&id=420677654646270,,0.0,Here is Sky View's schedule for the week!,2020-09-13 21:00:01,,
8,0.0,,7.0,https://www.mountainweststrings.com/p/logan-1st-year-registration-information.html,3253183778062296,"Today is the deadline for any interested 5th or 6th grade students to sign up for orchestra! Please watch this short video about the different instruments offered in orchestra. For more information and to register for beginning orchestra, visit the Mountain West String Academy website (https://www.mountainweststrings.com/p/logan-1st-year-registration-information.html). Instrument rentals for cello/bass will be happening on Friday, 9/11 (from 5:00 - 8:00 pm) and Saturday, 9/12 (from 8:00 - 11:00 am)!

https://youtu.be/5Nvg3pbxlHA",https://facebook.com/story.php?story_fbid=3253183778062296&id=420677654646270,"YOUTUBE.COM
Join Orchestra",0.0,"Today is the deadline for any interested 5th or 6th grade students to sign up for orchestra! Please watch this short video about the different instruments offered in orchestra. For more information and to register for beginning orchestra, visit the Mountain West String Academy website (https://www.mountainweststrings.com/p/logan-1st-year-registration-information.html). Instrument rentals for cello/bass will be happening on Friday, 9/11 (from 5:00 - 8:00 pm) and Saturday, 9/12 (from 8:00 - 11:00 am)!

https://youtu.be/5Nvg3pbxlHA

YOUTUBE.COM
Join Orchestra",2020-09-11 12:41:39,,
9,15.0,,31.0,https://www.ccsdut.org/Page/147,3250044468376227,,https://facebook.com/story.php?story_fbid=3250044468376227&id=420677654646270,,12.0,,2020-09-10 13:40:31,,
10,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119073266_3247023242011683_4339656638180733297_o.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=ubO7TlsbxhAAX-SuYwa&_nc_oc=AQlenxOz2y3bBXYB6Ki8FU3_O3lEPtd1nFpNos-hw1Nt2IjXAkkGKc9vucOU_lg73Is&_nc_ht=scontent-atl3-1.xx&oh=85b4fa0fdd319b4db22d13a247f8624a&oe=5F8B12B3,8.0,,3249527868427887,"Today is World Suicide Prevention Day. It's a great day to reach out and check in on your friends and family who might need a little extra boost! If you or someone you know is struggling, remember that the SafeUT CrisisLine is free, anonymous, and available 24/7 to all students, parents, and employees. There is a link to SafeUT on the homepage of every CCSD district and school website and it is also available as an app for smartphones. The Suicide Prevention Lifeline is also available in both English and Spanish. Each of our schools has caring counselors and/or staff who are available for students that need someone to talk to. #reachout #youmatter #wspd",https://facebook.com/story.php?story_fbid=3249527868427887&id=420677654646270,,0.0,"Today is World Suicide Prevention Day. It's a great day to reach out and check in on your friends and family who might need a little extra boost! If you or someone you know is struggling, remember that the SafeUT CrisisLine is free, anonymous, and available 24/7 to all students, parents, and employees. There is a link to SafeUT on the homepage of every CCSD district and school website and it is also available as an app for smartphones. The Suicide Prevention Lifeline is also available in both English and Spanish. Each of our schools has caring counselors and/or staff who are available for students that need someone to talk to. #reachout #youmatter #wspd",2020-09-10 10:24:15,,
11,0.0,,4.0,https://www.ccsdut.org/Page/160,3249357471778260,,https://facebook.com/story.php?story_fbid=3249357471778260&id=420677654646270,"CCSDUT.ORG
Child Nutrition Program / Free or Reduced-price Lunch Applications",0.0,"CCSDUT.ORG
Child Nutrition Program / Free or Reduced-price Lunch Applications",2020-09-10 09:20:17,,
12,0.0,,127.0,,3245995232114484,"All CCSD schools are open and running on a regular schedule today. Many thanks to everyone in the community who helped to clear debris and restore power, especially Rocky Mountain Power and Hyrum City Power, as well as city and county crews.",https://facebook.com/story.php?story_fbid=3245995232114484&id=420677654646270,,0.0,"All CCSD schools are open and running on a regular schedule today. Many thanks to everyone in the community who helped to clear debris and restore power, especially Rocky Mountain Power and Hyrum City Power, as well as city and county crews.",2020-09-09 08:17:16,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118890095_3243768879003786_2127556139497928609_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=1Q70JedRyzsAX85phqf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ac1b45044122da3096c21b190d76fbdd&oe=5F889CB5,5.0,,3243770522336955,Here is Sky View's schedule for the week!,https://facebook.com/story.php?story_fbid=3243770522336955&id=420677654646270,,0.0,Here is Sky View's schedule for the week!,2020-09-08 15:01:54,,
