,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,4.0,https://www.nfhsnetwork.com/schools/campbellsville-high-school-campbellsville-ky,3420354708026153,"Watching your favorite Campbellsville Eagles sports team just got easier! You can now purchase the LIVE streaming feeds for all home game events for both girls and boys basketball, volleyball and football (9th grade, JV and Varsity) for the 2020-2021 school year!

There are 2 packages to choose from, a $10.99 per month / cancel anytime pass or a $69.99 annual pass. You get full access to live regular season and post-season sporting events that you can watch anywhere!

To sign up go to: https://www.nfhsnetwork.com/schools/campbellsville-high-school-campbellsville-ky

If you have further questions, please contact the CHS Athletic Director at (270) 403-2671.

#eaglepride #wearecampbellsvilleeagles #changinglives",,,0.0,"Watching your favorite Campbellsville Eagles sports team just got easier! You can now purchase the LIVE streaming feeds for all home game events for both girls and boys basketball, volleyball and football (9th grade, JV and Varsity) for the 2020-2021 school year!

There are 2 packages to choose from, a $10.99 per month / cancel anytime pass or a $69.99 annual pass. You get full access to live regular season and post-season sporting events that you can watch anywhere!

To sign up go to: https://www.nfhsnetwork.com/schools/campbellsville-high-school-campbellsville-ky

If you have further questions, please contact the CHS Athletic Director at (270) 403-2671.

#eaglepride #wearecampbellsvilleeagles #changinglives",2020-09-11 21:06:34,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119103444_640296166898888_7565397224551227615_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=UVXgx55-bK4AX_l8ywA&_nc_ht=video-atl3-1.xx&oh=72b91d15fc07a82cf8c8c2f3061841a7&oe=5F5D4BAE,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119059036_3419774004750890_3909433302890741218_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=Kn2GV1Iooh4AX_xH7pZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3cb7bfbe54377204f12c90d518fe1613&oe=5F84305D,28.0,https://sites.google.com/cville.kyschools.us/cisdcovidresources/home,3419781481416809,"CISD In-Person Reopening Plan

Starting September 21, 2020, Campbellsville Independent Schools will begin a hybrid in-person / virtual school schedule! Please read the following detailed plan carefully. Additional information can be found at: https://sites.google.com/cville.kyschools.us/cisdcovidresources/home

#EaglePride #wearecampbellsvilleeagles #changinglives",https://facebook.com/story.php?story_fbid=3419781481416809&id=128018650593125,,0.0,"CISD In-Person Reopening Plan

Starting September 21, 2020, Campbellsville Independent Schools will begin a hybrid in-person / virtual school schedule! Please read the following detailed plan carefully. Additional information can be found at: https://sites.google.com/cville.kyschools.us/cisdcovidresources/home

#EaglePride #wearecampbellsvilleeagles #changinglives",2020-09-11 16:01:40,,
2,0.0,,0.0,https://collegereadiness.collegeboard.org/pdf/psat-nmsqt-student-guide.pdf,3415970541797903,"PSAT Information! Seating is very limited, reserve your spot early!

https://collegereadiness.collegeboard.org/pdf/psat-nmsqt-student-guide.pdf

#EaglePride #wearecampbellsvilleeagles #changinglives.",,,0.0,"PSAT Information! Seating is very limited, reserve your spot early!

https://collegereadiness.collegeboard.org/pdf/psat-nmsqt-student-guide.pdf

#EaglePride #wearecampbellsvilleeagles #changinglives.",2020-09-10 11:27:28,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119099944_355666745837982_8513693585792574483_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=WyL3yKmgoBQAX_Y82hL&_nc_ht=video-atl3-1.xx&oh=e386cf6059c95ba5ea2d7b218357a870&oe=5F5D4F39,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119060128_3413813888680235_2244704346462654143_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=rw68-8u8dC4AX_RiOcd&_nc_oc=AQn2504_PiaINpGhPJDRSXrlYHaCTvPmkP6yDoW1AGW9SO6FJw9eP-0BLXzY2dMh0iw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1b77ef30f41e9c0ccf6106734bbbd2f0&oe=5F83AC1E,10.0,,3413818498679774,"CISD Healthy at Sports Guidelines. These rules apply to all home games, please read carefully!

#EaglePride #wearecampbellsvilleeagles #changinglives",https://facebook.com/story.php?story_fbid=3413818498679774&id=128018650593125,,0.0,"CISD Healthy at Sports Guidelines. These rules apply to all home games, please read carefully!

#EaglePride #wearecampbellsvilleeagles #changinglives",2020-09-09 19:25:11,,
4,2.0,,20.0,,3413085218753102,"The CISD Board of Education met today and voted 5-0 to begin in-person classes using an alternating schedule beginning September 21st. A detailed plan will be shared by Friday September 11th.

#changinglives #EaglePride🦅",,,0.0,"The CISD Board of Education met today and voted 5-0 to begin in-person classes using an alternating schedule beginning September 21st. A detailed plan will be shared by Friday September 11th.

#changinglives #EaglePride🦅",2020-09-09 14:27:36,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118931814_715121742679692_6688666674180736834_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=D7byq4L5KPIAX8jcbbe&_nc_oc=AQm5UZjaSv7KSydsyW8h4TVMY_kZV1efmKBr_yhMvr8YD_kidShrlYCCupWPILl9phY&_nc_ht=video-atl3-1.xx&oh=b5427451fc84286cb5b737a92b1c24f6&oe=5F5D471A,
5,21.0,,10.0,,314229896311406,Special Called Board Meeting,,,17.0,Special Called Board Meeting,2020-09-09 12:50:27,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_239376357450181_8050979096958488065_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=rvD49XxPDXQAX9NVCwU&_nc_ht=scontent-atl3-1.xx&oh=ef2793eaaf30116b5e6153d9cfc9e092&oe=5F810202,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119055339_3410268355701455_8916638917436073299_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=GuLuPjhHjQoAX-5DEn_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a3d058fc251720d6236aa99ca9cf2d9f&oe=5F82A35E,22.0,,3410268919034732,#EaglePride #changinglives,https://facebook.com/story.php?story_fbid=3410268919034732&id=128018650593125,,0.0,#EaglePride #changinglives,2020-09-08 18:12:53,,
7,0.0,,27.0,,3406651159396508,#EaglePride #wearecampbellsvilleeagles #changinglives,,,0.0,#EaglePride #wearecampbellsvilleeagles #changinglives,2020-09-07 13:55:32,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118850970_622277521790048_8441074200860535146_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=4lZn25Du1xcAX_Cq5u2&_nc_ht=video-atl3-1.xx&oh=6e18fda9406b8ba9438dd25b3faf869a&oe=5F5D538E,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118964298_3403597919701832_8512656815510056129_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=BZIxN_1SUIQAX8Olotc&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7ba1ec5539a6ddee9c0604c5dc934446&oe=5F832A56,12.0,,3403598093035148,,https://facebook.com/story.php?story_fbid=3403598093035148&id=128018650593125,,0.0,,2020-09-06 13:03:28,,
9,0.0,,5.0,,3394849467243344,"2020 Youth Football Update

With great sadness, and heavy hearts we have all deliberated and decided as a group the best and safest decision, this year is to cancel our youth football season (5th grade and below).

Our decision was based on the Governor Beshear’s “Healthy at Work” document which issues guidelines for all youth sports 5th grade and below. This document will not allow our youth football leagues to travel and play games due to the way COVID-19 spreads. Our local Health Department also gave us guidance that we should adhere to this document as it has not been updated to fully allow “high contact” youth sports to normal play.

The KHSAA put out a document that said the “Healthy at work youth guidelines” specifically governs youth sports only (5th grade and below) and the KHSAA document governs high school and middle school sports only.
If you haven’t read these two separate documents that are being used to govern these two separate levels of football, we implore you to take some time and read the information for yourself to get the full understanding.",,,0.0,"2020 Youth Football Update

With great sadness, and heavy hearts we have all deliberated and decided as a group the best and safest decision, this year is to cancel our youth football season (5th grade and below).

Our decision was based on the Governor Beshear’s “Healthy at Work” document which issues guidelines for all youth sports 5th grade and below. This document will not allow our youth football leagues to travel and play games due to the way COVID-19 spreads. Our local Health Department also gave us guidance that we should adhere to this document as it has not been updated to fully allow “high contact” youth sports to normal play.

The KHSAA put out a document that said the “Healthy at work youth guidelines” specifically governs youth sports only (5th grade and below) and the KHSAA document governs high school and middle school sports only.
If you haven’t read these two separate documents that are being used to govern these two separate levels of football, we implore you to take some time and read the information for yourself to get the full understanding.",2020-09-03 14:57:58,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118007873_665008060787260_769648838886421912_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=eUx_UAHAoWQAX9DAxiz&_nc_ht=video-atl3-1.xx&oh=90be73204cbf204eb3199e43fda2a475&oe=5F5D4F60,
