,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,20.0,,3714934601869661,Check out this 4th grade music class. They are learning to play the cups!,,,0.0,Check out this 4th grade music class. They are learning to play the cups!,2020-09-11 08:44:44,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119318759_1406823936181235_2720299608580203772_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=XTOzlJeP6sgAX-pXcrn&_nc_ht=video-atl3-1.xx&oh=725ec7cd3af2144a5d832c7d26374e48&oe=5F5D0112,
1,0.0,,3.0,https://coronavirus.delaware.gov/wp-content/uploads/sites/177/2020/09/School-Age-Child-Care-One-Pager-For-Families-FINAL-9-1.pdf,3688263304536791,"Looking for childcare for your school-aged children? Check out this Department of Education link.

https://coronavirus.delaware.gov/wp-content/uploads/sites/177/2020/09/School-Age-Child-Care-One-Pager-For-Families-FINAL-9-1.pdf",https://facebook.com/story.php?story_fbid=3688263304536791&id=162277077135449,"CORONAVIRUS.DELAWARE.GOV
coronavirus.delaware.gov",5.0,"Looking for childcare for your school-aged children? Check out this Department of Education link.

https://coronavirus.delaware.gov/wp-content/uploads/sites/177/2020/09/School-Age-Child-Care-One-Pager-For-Families-FINAL-9-1.pdf

CORONAVIRUS.DELAWARE.GOV
coronavirus.delaware.gov",2020-09-03 06:34:36,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118747609_3683971298299325_6598142262096673838_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=OxvSmOGqyhgAX-eABgT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f5d0ea4bf2bb9017770ecef048fb73b0&oe=5F82CD7F,21.0,,3683974351632353,School starts in just 1 week. Welcome back Cougars!,https://facebook.com/story.php?story_fbid=3683974351632353&id=162277077135449,,0.0,School starts in just 1 week. Welcome back Cougars!,2020-09-01 23:27:39,,
3,0.0,,3.0,https://www.varsitytutors.com/virtual-summer-camps,3520875124608944,Varsity Tutors is offering free virtual summer camps (https://www.varsitytutors.com/virtual-summer-camps) for students K-12,https://facebook.com/story.php?story_fbid=3520875124608944&id=162277077135449,"VARSITYTUTORS.COM
Virtual Summer Camps",0.0,"Varsity Tutors is offering free virtual summer camps (https://www.varsitytutors.com/virtual-summer-camps) for students K-12

VARSITYTUTORS.COM
Virtual Summer Camps",2020-07-10 08:37:33,,
4,0.0,,7.0,https://docs.google.com/forms/d/e/1FAIpQLSdGolBVivUBkGpHPt8yUT0ie2kRbr0Mm8iQbqzOmC6kHWtiwQ/viewform?usp=sf_link,3519509974745459,https://docs.google.com/forms/d/e/1FAIpQLSdGolBVivUBkGpHPt8yUT0ie2kRbr0Mm8iQbqzOmC6kHWtiwQ/viewform?usp=sf_link,https://facebook.com/story.php?story_fbid=3519509974745459&id=162277077135449,"DOCS.GOOGLE.COM
Drive-Thru Mobile Pantry",4.0,"https://docs.google.com/forms/d/e/1FAIpQLSdGolBVivUBkGpHPt8yUT0ie2kRbr0Mm8iQbqzOmC6kHWtiwQ/viewform?usp=sf_link

DOCS.GOOGLE.COM
Drive-Thru Mobile Pantry",2020-07-09 18:31:31,,
5,9.0,,29.0,https://youtu.be/z7y_ksvEQ6Q,3422646724431785,"We are so proud of our 8th grade class. Cheers to great memories of your time at Campus and best wishes for an awesome future! Make sure you watch to the very end.

https://youtu.be/z7y_ksvEQ6Q",https://facebook.com/story.php?story_fbid=3422646724431785&id=162277077135449,"YOUTUBE.COM
CCS Class of 2020 Final",12.0,"We are so proud of our 8th grade class. Cheers to great memories of your time at Campus and best wishes for an awesome future! Make sure you watch to the very end.

https://youtu.be/z7y_ksvEQ6Q

YOUTUBE.COM
CCS Class of 2020 Final",2020-06-04 17:28:58,,
6,21.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/102938333_3414682051894919_7935659018092019712_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=WAs9akz_rpwAX8FdoO2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=86e1d3c4404c4c2d13200e7512cb6764&oe=5F8437BD,47.0,,3414695701893554,"Each year it is our tradition to recognize the 8th graders who scored the highest in their classes, those who have been at Campus their entire school career (called “Lifers”), and one boy and one girl who best exemplify the school’s values (the Cougar Award). Please help me in congratulating this year’s recipients:

**Chad Cerutti - Top Performing Student in PE
**Wesley Garcia - Top Performing Student in Art
**Aziel Hill - Top Performing Student in Art
**Charles Johnson - Top Performing Student in ELA and Science
**Madison Lupo - Cougar Award! Top Performing Student in Spanish, ELA, Social Studies and Math
**Mahlani McDonald - CCS Lifer!
**Samaria Mensah - CCS Lifer! Top Performing Student in PE and Algebra
**Maloney Tutu - Cougar Award!
**Paula Zamora-Carrillo - Top Performing Student in Art",https://facebook.com/story.php?story_fbid=3414695701893554&id=162277077135449,,0.0,"Each year it is our tradition to recognize the 8th graders who scored the highest in their classes, those who have been at Campus their entire school career (called “Lifers”), and one boy and one girl who best exemplify the school’s values (the Cougar Award). Please help me in congratulating this year’s recipients:

**Chad Cerutti - Top Performing Student in PE
**Wesley Garcia - Top Performing Student in Art
**Aziel Hill - Top Performing Student in Art
**Charles Johnson - Top Performing Student in ELA and Science
**Madison Lupo - Cougar Award! Top Performing Student in Spanish, ELA, Social Studies and Math
**Mahlani McDonald - CCS Lifer!
**Samaria Mensah - CCS Lifer! Top Performing Student in PE and Algebra
**Maloney Tutu - Cougar Award!
**Paula Zamora-Carrillo - Top Performing Student in Art",2020-06-01 20:46:18,,
7,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/100046222_3393353307361127_5656168545227112448_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=JMsCWaRqrLIAX-BBcBm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1bb496d5856edb8b6a1a171f019ed918&oe=5F82858F,28.0,,3393367304026394,Check out all the fun things the mini versions of our K/1 teachers have been doing! Students were sent these plastic cut-outs of their teachers to take on adventures and use as the basis of a writing piece. So cute! 💕,https://facebook.com/story.php?story_fbid=3393367304026394&id=162277077135449,,0.0,Check out all the fun things the mini versions of our K/1 teachers have been doing! Students were sent these plastic cut-outs of their teachers to take on adventures and use as the basis of a writing piece. So cute! 💕,2020-05-24 08:40:00,,
8,15.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98058487_3375443125818812_8800348518754549760_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=4RcRpmtYUsEAX8LOCz3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0d9e58517d1e15aff85b88e097fce484&oe=5F841D1C,41.0,,3375481075815017,"Last but not least, the AWESOME CCS Admin and Leadership Team: Mrs. Greene, Mrs. Lyon, Mrs. DiVietro, Mr. G, and Ms. Summers. Thank you for your dedication to Campus Community staff, students, and families! Proud to be a Cougar!",https://facebook.com/story.php?story_fbid=3375481075815017&id=162277077135449,,0.0,"Last but not least, the AWESOME CCS Admin and Leadership Team: Mrs. Greene, Mrs. Lyon, Mrs. DiVietro, Mr. G, and Ms. Summers. Thank you for your dedication to Campus Community staff, students, and families! Proud to be a Cougar!",2020-05-17 09:03:22,,
9,27.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97745568_3372173809479077_8998441176474320896_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=cBa4PKsAkqMAX_Ma2l1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f947ea0b3dfd8027afb7e1d77435ceae&oe=5F825209,41.0,,3372180276145097,"Our office staff - Amy Burhop, Tracey Chapman, and Tracy Goodbred - are simply the BEST! They wear many hats and do whatever it takes to keep things running smoothly. We ❤️ and appreciate you!",https://facebook.com/story.php?story_fbid=3372180276145097&id=162277077135449,,0.0,"Our office staff - Amy Burhop, Tracey Chapman, and Tracy Goodbred - are simply the BEST! They wear many hats and do whatever it takes to keep things running smoothly. We ❤️ and appreciate you!",2020-05-16 09:17:45,,
