,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,7.0,,779938279439456,"This message is from your Athletic Director. New York State and Section 2 have finally made a decision regarding Fall sports.

Fall Sports will begin on September 21st and will include boys and girls soccer, girls tennis, golf and cross country. Please sign up now.

If your child is in 9th – 12th grade, please email Holly Hebb at hhebb@catskillcsd.org and provide the following information:

Name
Grade
Sport

If your child is in 7th or 8th grade, please contact Sue Weber at sweber@catskillcsd.org and provide the following information:

Name
Grade
Sport

If your child is in 7th or 8th grade and would be interested in attempting to play a JV sport, please contact Eric Joyce at ejoyce@catskillcsd.org for more information.

IT IS VERY IMPORTANT THIS IS COMPLETED BY MONDAY, SEPTEMBER 14th

Thank you,

Your Athletic Director

Eric Joyce",https://facebook.com/story.php?story_fbid=779938279439456&id=134759290624028,,0.0,"This message is from your Athletic Director. New York State and Section 2 have finally made a decision regarding Fall sports.

Fall Sports will begin on September 21st and will include boys and girls soccer, girls tennis, golf and cross country. Please sign up now.

If your child is in 9th – 12th grade, please email Holly Hebb at hhebb@catskillcsd.org and provide the following information:

Name
Grade
Sport

If your child is in 7th or 8th grade, please contact Sue Weber at sweber@catskillcsd.org and provide the following information:

Name
Grade
Sport

If your child is in 7th or 8th grade and would be interested in attempting to play a JV sport, please contact Eric Joyce at ejoyce@catskillcsd.org for more information.

IT IS VERY IMPORTANT THIS IS COMPLETED BY MONDAY, SEPTEMBER 14th

Thank you,

Your Athletic Director

Eric Joyce",2020-09-11 07:42:11,,
1,3.0,,3.0,https://catskillcsd.org/2020/09/08/important-information-from-dr-cook-welcome-back-information-for-parents-first-day-of-virtual-instruction-for-students-monday-september-14-2020/,777774176322533,"Please visit our website for Important Information from Dr. Cook: Welcome Back Information for Parents- First Day of Virtual Instruction for Students, Monday, September 14

https://catskillcsd.org/2020/09/08/important-information-from-dr-cook-welcome-back-information-for-parents-first-day-of-virtual-instruction-for-students-monday-september-14-2020/",https://facebook.com/story.php?story_fbid=777774176322533&id=134759290624028,"CATSKILLCSD.ORG
Important Information from Dr. Cook: Welcome Back Information for Parents- First Day of Virtual Instruction for Students- Monday, September 14 – Catskill Central School District",18.0,"Please visit our website for Important Information from Dr. Cook: Welcome Back Information for Parents- First Day of Virtual Instruction for Students, Monday, September 14

https://catskillcsd.org/2020/09/08/important-information-from-dr-cook-welcome-back-information-for-parents-first-day-of-virtual-instruction-for-students-monday-september-14-2020/

CATSKILLCSD.ORG
Important Information from Dr. Cook: Welcome Back Information for Parents- First Day of Virtual Instruction for Students- Monday, September 14 – Catskill Central School District",2020-09-08 08:46:00,,
2,0.0,,10.0,,3213781678741199,,,"WED, SEP 9
Grades 3-5 Virtual Town Hall Meeting – Back-to-School Orientation for Parents",0.0,"WED, SEP 9
Grades 3-5 Virtual Town Hall Meeting – Back-to-School Orientation for Parents",2020-08-31 16:20:43,,
3,0.0,,18.0,,3746037095409299,,,"TUE, SEP 8
Grades PreK-2 Virtual Town Hall Meeting – Back-to-School Orientation for Parents",0.0,"TUE, SEP 8
Grades PreK-2 Virtual Town Hall Meeting – Back-to-School Orientation for Parents",2020-08-31 16:16:49,,
4,1.0,,11.0,,2352374388391670,,,"WED, SEP 9
CMS Virtual Town Hall Meeting-Back to School Orientation for Parents",0.0,"WED, SEP 9
CMS Virtual Town Hall Meeting-Back to School Orientation for Parents",2020-08-31 16:01:18,,
5,0.0,,15.0,,921719888323232,,,"TUE, SEP 8
CHS Virtual Town Hall Meeting-Back to School Orientation for Parents",0.0,"TUE, SEP 8
CHS Virtual Town Hall Meeting-Back to School Orientation for Parents",2020-08-31 15:48:31,,
6,0.0,,3.0,https://us02web.zoom.us/j/88606371162?pwd=cDBCcnN3YmJWNjhiNmdPb3g4cUZQZz09,771954733571144,,https://facebook.com/story.php?story_fbid=771954733571144&id=134759290624028,,12.0,,2020-08-31 15:44:02,,
7,0.0,,18.0,,3398208456901893,,,"THU, SEP 3
Virtual Parent Reentry Guide – Social and Emotional Support Workshop for Parents to Help Their Children",0.0,"THU, SEP 3
Virtual Parent Reentry Guide – Social and Emotional Support Workshop for Parents to Help Their Children",2020-08-28 20:51:35,,
8,4.0,,6.0,https://catskillcsd.org/2020/08/28/virtual-parent-reentry-guide-social-emotional-support-workshop-september-3/,769893627110588,"The District will be facilitating our Virtual Parent Reentry Guide – Social and Emotional Support Workshop for Parents to Help Their Children During the 100% Virtual Instruction Period on Thursday, September 3, 7:00 p.m. via Zoom webinar. The purpose of this workshop is to provide our parents with resources to support their child’s social and emotional well being during the pandemic and 100% virtual learning periods. Please visit our website for event information and to review the materials we've posted prior to the meeting.

https://catskillcsd.org/2020/08/28/virtual-parent-reentry-guide-social-emotional-support-workshop-september-3/",https://facebook.com/story.php?story_fbid=769893627110588&id=134759290624028,"CATSKILLCSD.ORG
Virtual Parent Reentry Guide – Social & Emotional Support Workshop September 3 – Catskill Central School District",5.0,"The District will be facilitating our Virtual Parent Reentry Guide – Social and Emotional Support Workshop for Parents to Help Their Children During the 100% Virtual Instruction Period on Thursday, September 3, 7:00 p.m. via Zoom webinar. The purpose of this workshop is to provide our parents with resources to support their child’s social and emotional well being during the pandemic and 100% virtual learning periods. Please visit our website for event information and to review the materials we've posted prior to the meeting.

https://catskillcsd.org/2020/08/28/virtual-parent-reentry-guide-social-emotional-support-workshop-september-3/

CATSKILLCSD.ORG
Virtual Parent Reentry Guide – Social & Emotional Support Workshop September 3 – Catskill Central School District",2020-08-28 20:12:58,,
9,5.0,,8.0,https://catskillcsd.org/2020/08/28/classroom-material-and-chromebook-pick-up-schedule/,769887287111222,"All classroom materials and Chromebooks will be made available for pick-up on Thursday, September 10, 2020 and Friday, September 11, 2020. Visit our website for the schedule and pick-up locations.",https://facebook.com/story.php?story_fbid=769887287111222&id=134759290624028,"CATSKILLCSD.ORG
Classroom Material and Chromebook Pick-Up Schedule – Catskill Central School District",61.0,"All classroom materials and Chromebooks will be made available for pick-up on Thursday, September 10, 2020 and Friday, September 11, 2020. Visit our website for the schedule and pick-up locations.

CATSKILLCSD.ORG
Classroom Material and Chromebook Pick-Up Schedule – Catskill Central School District",2020-08-28 19:58:41,,
