,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119107690_4958203554205839_3572923075876267417_o.jpg?_nc_cat=108&_nc_sid=9e2e56&_nc_ohc=e143t9H9apkAX93RPMm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=497e0890425ff49d90b21195be85715f&oe=5F81B34C,4.0,,4958203594205835,"Reminder, elementary school virtual Curriculum Nights are tonight at 7pm! Check your email or text messages for a direct link!",https://facebook.com/story.php?story_fbid=4958203594205835&id=517602064932699,,0.0,"Reminder, elementary school virtual Curriculum Nights are tonight at 7pm! Check your email or text messages for a direct link!",2020-09-09 18:42:13,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119023398_4950397798319748_5828285411305834565_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=KbKVy8Mjq7MAX_iQ0hJ&_nc_ht=scontent-atl3-1.xx&oh=d47aa627291fdc0114b101afd58cf238&oe=5F82361D,5.0,https://conta.cc/31ZUiFC,4950398318319696,"In case you missed it, check out CCSD93's 9/4/20 Enews here: https://conta.cc/31ZUiFC",https://facebook.com/story.php?story_fbid=4950398318319696&id=517602064932699,,0.0,"In case you missed it, check out CCSD93's 9/4/20 Enews here: https://conta.cc/31ZUiFC",2020-09-08 08:58:10,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118762377_4912883315404530_8335716934031665467_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=WLM7K1JNNhwAX_QVVOk&_nc_ht=scontent-atl3-1.xx&oh=f924b72255c91b0dea283645c996aab1&oe=5F828073,4.0,https://myemail.constantcontact.com/8-28-20-Enews-from-CCSD93.html?soid=1102722410727&aid=Tzg1vvZq6Fo,4912884542071074,"In case you missed it, check out CCSD93's 8/28/20 Enews here:https://myemail.constantcontact.com/8-28-20-Enews-from-CCSD93.html?soid=1102722410727&aid=Tzg1vvZq6Fo",https://facebook.com/story.php?story_fbid=4912884542071074&id=517602064932699,,0.0,"In case you missed it, check out CCSD93's 8/28/20 Enews here:https://myemail.constantcontact.com/8-28-20-Enews-from-CCSD93.html?soid=1102722410727&aid=Tzg1vvZq6Fo",2020-09-01 09:56:49,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118266415_4875732952452900_2942354813230776857_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=fq0mqjxx8BQAX9I8frE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=06526adaf92ebf9b03d8ede76db97435&oe=5F839EAC,6.0,,4875734212452774,Please SHARE!,https://facebook.com/story.php?story_fbid=4875734212452774&id=517602064932699,,0.0,Please SHARE!,2020-08-27 20:00:00,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117413221_4809685772390952_8446668643229802307_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=CMu-AiMYiRIAX_ULGPM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2d23a4938777f4e39a104aff6e14d226&oe=5F81EDA1,3.0,,4809686775724185,Please SHARE!,https://facebook.com/story.php?story_fbid=4809686775724185&id=517602064932699,,0.0,Please SHARE!,2020-08-12 20:00:01,,
5,21.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117265412_4805626126130250_4192694603577973730_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=7tdq5qOjWWoAX851d9D&_nc_ht=scontent-atl3-1.xx&tp=14&oh=90c49a696d836a8ef5c075c2d493e7ee&oe=5F846C41,31.0,http://www.ccsd93.com/remotereopening,4805626152796914,Visit www.ccsd93.com/remotereopening for more.,https://facebook.com/story.php?story_fbid=4805626152796914&id=517602064932699,,0.0,Visit www.ccsd93.com/remotereopening for more.,2020-08-11 18:44:12,,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/115990104_4733409466685250_2039157775437039406_o.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=ZB8gpRouuvAAX8YKpgG&_nc_ht=scontent-atl3-1.xx&oh=c252db30e1c475ba0ce3a4831c7095a6&oe=5F83ABD6,11.0,http://www.ccsd93.com/townhall,4733414270018103,Join us for the 2020-21 School Year Virtual Town Hall Meeting tonight at 7pm at www.ccsd93.com/townhall to find out more about CCSD93’s reopening plan and ask questions.,https://facebook.com/story.php?story_fbid=4733414270018103&id=517602064932699,,0.0,Join us for the 2020-21 School Year Virtual Town Hall Meeting tonight at 7pm at www.ccsd93.com/townhall to find out more about CCSD93’s reopening plan and ask questions.,2020-07-28 10:32:56,,
7,21.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/109568484_4696654627027401_6665178065691233656_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=58bGqJh9iDgAX8rvyCm&_nc_ht=scontent-atl3-1.xx&oh=93f5209597a776fcba388dcdd883ba16&oe=5F84CE09,47.0,http://www.ccsd93.com/reopening,4696657617027102,"CCSD93’s Board of Education has approved the Reopening CCSD93 Plan. Please review it in its entirety at www.ccsd93.com/reopening to understand the method and guidelines behind the Plan, the health and safety requirements for participation in in-person education, and the option for families to choose between Hybrid Learning and Remote Learning.",https://facebook.com/story.php?story_fbid=4696657617027102&id=517602064932699,,0.0,"CCSD93’s Board of Education has approved the Reopening CCSD93 Plan. Please review it in its entirety at www.ccsd93.com/reopening to understand the method and guidelines behind the Plan, the health and safety requirements for participation in in-person education, and the option for families to choose between Hybrid Learning and Remote Learning.",2020-07-20 18:30:02,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/107895132_4685854244774106_156015641460427028_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=PZmg5bvf7cwAX99uekD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=df0ba393f96f35ae1f0767db2e27b422&oe=5F82CF9D,3.0,http://www.ccsd93.com/SL7-18-20,4685854288107435,"For more information, visit www.ccsd93.com/SL7-18-20!",https://facebook.com/story.php?story_fbid=4685854288107435&id=517602064932699,,0.0,"For more information, visit www.ccsd93.com/SL7-18-20!",2020-07-18 11:24:42,,
9,3.0,,29.0,,4677136582312539,,,,0.0,,2020-07-16 20:00:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/110102312_807345963140491_5335180016769727494_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=6VvSShTTRnsAX9UPORV&_nc_ht=video-atl3-1.xx&oh=abf9ecfc7d7abd7e5a24a93f90575243&oe=5F5D8EFE,
