,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,,84.0,,2108741792526207,"Central Square School District is happy to share our information, our triumphs and our memories with you on Facebook. We appreciate the supportive and constructive Facebook comments that you continue to provide. As we cannot monitor all comments on Facebook, we want to remind you that if you have questions or concerns, the quickest and most effective way to get a response is to call or email someone in the District. Please continue to enjoy our page! :)",https://facebook.com/story.php?story_fbid=2108741792526207&id=603800679687000,,0.0,"Central Square School District is happy to share our information, our triumphs and our memories with you on Facebook. We appreciate the supportive and constructive Facebook comments that you continue to provide. As we cannot monitor all comments on Facebook, we want to remind you that if you have questions or concerns, the quickest and most effective way to get a response is to call or email someone in the District. Please continue to enjoy our page! :)",2018-12-14 13:23:39,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119200541_3435044619895911_8757507801624864302_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=Qdbu2nk-x-cAX8XHJMN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a0c577789b9a6786fcb436a4f536595e&oe=5F8285E7,32.0,,3435046936562346,,https://facebook.com/story.php?story_fbid=3435046936562346&id=603800679687000,,0.0,,2020-09-11 08:56:46,,
2,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119204704_3434975529902820_6550853101205423716_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=JN0gNVAUmH0AX_EVDfd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c15be4c63b7005ded392306d319edb9d&oe=5F85D2F4,77.0,,3434978619902511,"On this day...19 years ago…246 people awoke and prepared for their morning flights. 2,606 people awoke to report for a typical workday. 343 firefighters awoke for their morning shift. 60 police officers awoke for morning patrol. 8 paramedics awoke for their morning shifts of saving lives. None of them saw past 10:00am that morning, on Sept 11, 2001. :(

In one single moment life can change and may never be the same. As you live and enjoy the breaths you take today and before you go to sleep, kiss the ones you love, snuggle them a little tighter, and never take one second of life for granted.
We will never forget! #CentralSquareRedhawks #RedhawkPride #NeverForget #911",https://facebook.com/story.php?story_fbid=3434978619902511&id=603800679687000,,0.0,"On this day...19 years ago…246 people awoke and prepared for their morning flights. 2,606 people awoke to report for a typical workday. 343 firefighters awoke for their morning shift. 60 police officers awoke for morning patrol. 8 paramedics awoke for their morning shifts of saving lives. None of them saw past 10:00am that morning, on Sept 11, 2001. :(

In one single moment life can change and may never be the same. As you live and enjoy the breaths you take today and before you go to sleep, kiss the ones you love, snuggle them a little tighter, and never take one second of life for granted.
We will never forget! #CentralSquareRedhawks #RedhawkPride #NeverForget #911",2020-09-11 08:30:31,,
3,0.0,,2.0,https://forms.gle/iTtbujQ8MrYz5vADA,3432834973450209,CSSD Revised Fall Sports Survey: https://forms.gle/iTtbujQ8MrYz5vADA,https://facebook.com/story.php?story_fbid=3432834973450209&id=603800679687000,,0.0,CSSD Revised Fall Sports Survey: https://forms.gle/iTtbujQ8MrYz5vADA,2020-09-10 15:28:44,,
4,7.0,,11.0,https://drive.google.com/file/d/1wqbTr0q9CqYbM2Q2NzGqs0ZJsO6SiLDh/view?usp=sharing,3432390153494691,CSSD parent update regarding Canvas: https://drive.google.com/file/d/1wqbTr0q9CqYbM2Q2NzGqs0ZJsO6SiLDh/view?usp=sharing,https://facebook.com/story.php?story_fbid=3432390153494691&id=603800679687000,,0.0,CSSD parent update regarding Canvas: https://drive.google.com/file/d/1wqbTr0q9CqYbM2Q2NzGqs0ZJsO6SiLDh/view?usp=sharing,2020-09-10 12:14:42,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118909617_3419828494750857_3809531050035852590_o.jpg?_nc_cat=102&_nc_sid=dd9801&_nc_ohc=O-7i-y7ucKEAX-iQfwV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e22cfc19857831246ffd1b280b07f4f3&oe=5F8543A4,56.0,,3419829274750779,,,,0.0,,2020-09-06 11:43:55,,
6,6.0,,3.0,https://drive.google.com/file/d/1FLMd69Lhvqj01kpmWfiro9aE4pnDkwzH/view?usp=sharing,3410457759021264,CSSD School Lunch Update for ALL Parents: https://drive.google.com/file/d/1FLMd69Lhvqj01kpmWfiro9aE4pnDkwzH/view?usp=sharing,https://facebook.com/story.php?story_fbid=3410457759021264&id=603800679687000,,0.0,CSSD School Lunch Update for ALL Parents: https://drive.google.com/file/d/1FLMd69Lhvqj01kpmWfiro9aE4pnDkwzH/view?usp=sharing,2020-09-03 10:00:37,,
7,5.0,,7.0,https://youtu.be/-lzpwunrgWA,3408005105933196,CSSD Brief Video with Reminders prior to the first day of School (Sept 10): https://youtu.be/-lzpwunrgWA,https://facebook.com/story.php?story_fbid=3408005105933196&id=603800679687000,,0.0,CSSD Brief Video with Reminders prior to the first day of School (Sept 10): https://youtu.be/-lzpwunrgWA,2020-09-02 15:14:58,,
8,3.0,,0.0,https://forms.gle/L4MEkDTL7nwXGzQE9,3407157332684640,CSSD Fall Sports Parent Survey: https://forms.gle/L4MEkDTL7nwXGzQE9,https://facebook.com/story.php?story_fbid=3407157332684640&id=603800679687000,,0.0,CSSD Fall Sports Parent Survey: https://forms.gle/L4MEkDTL7nwXGzQE9,2020-09-02 09:32:54,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118518262_3401936469873393_892903069388737057_o.jpg?_nc_cat=104&_nc_sid=dd9801&_nc_ohc=WWY-IqGFZrgAX-QYFEd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3de4572b02b7ee8c6c70f983723c12fd&oe=5F84D2DB,0.0,,3401936573206716,,,,0.0,,2020-08-31 16:41:04,,
