,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101139438_2747665982122792_4194522068374519808_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=yCVIjet0y6IAX-WosU0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6ca17471017f4302429bac0704d2e47c&oe=5F82AB0B,0.0,,2747666042122786,It's Fitness Friday and the last day of our virtual boredom calendar! Thank you to everyone who participated. We hope everyone has a fun and safe summer vacation - here’s some fun activities to try!,https://facebook.com/story.php?story_fbid=2747666042122786&id=1740783856144348,,0.0,It's Fitness Friday and the last day of our virtual boredom calendar! Thank you to everyone who participated. We hope everyone has a fun and safe summer vacation - here’s some fun activities to try!,2020-05-29 08:58:20,,
1,0.0,,0.0,http://www.rockalingua.com/,2746747585547965,It's Thinking Thursday! Check out the website Rockalingua for free online resources for kids that teach basic Spanish! Comment below with a word you learned in Spanish! www.rockalingua.com,https://facebook.com/story.php?story_fbid=2746747585547965&id=1740783856144348,"Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

See more at
rockalingua.com",0.0,"It's Thinking Thursday! Check out the website Rockalingua for free online resources for kids that teach basic Spanish! Comment below with a word you learned in Spanish! www.rockalingua.com

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

Rockalingua
Rockalingua is an online collection of videos, games, worksheets, and more, designed to make learning Spanish fun and easy for kids around the world.

See more at
rockalingua.com",2020-05-28 09:28:04,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101360977_2746022562287134_740317723195604992_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=YIltW7joiMMAX_4doAQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=57742f14da7143dc3cd51ec4e35e018e&oe=5F848D43,0.0,,2746022665620457,Today is Wild n' Out Wednesday! Re-purpose something that is old/unused around the house into something you can use. Post a photo of your creation!,https://facebook.com/story.php?story_fbid=2746022665620457&id=1740783856144348,,0.0,Today is Wild n' Out Wednesday! Re-purpose something that is old/unused around the house into something you can use. Post a photo of your creation!,2020-05-27 11:56:33,,
3,0.0,,0.0,https://www.nature.org/en-us/about-us/who-we-are/how-we-work/youth-engagement/nature-lab/,2745117519044305,"It's Travel Tuesday! In today's adventure, we are going to explore the environment and different types of ecosystems. Click the link below to find cool virtual resources by the Nature Conservancy.

https://www.nature.org/en-us/about-us/who-we-are/how-we-work/youth-engagement/nature-lab/",https://facebook.com/story.php?story_fbid=2745117519044305&id=1740783856144348,"NATURE.ORG
Nature Lab",0.0,"It's Travel Tuesday! In today's adventure, we are going to explore the environment and different types of ecosystems. Click the link below to find cool virtual resources by the Nature Conservancy.

https://www.nature.org/en-us/about-us/who-we-are/how-we-work/youth-engagement/nature-lab/

NATURE.ORG
Nature Lab",2020-05-26 10:08:58,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/100503330_2741769372712453_7666845918502584320_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=aqYx8K0ffqIAX9SDzwz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ac8efe24f0eed3d31ce9e7e07f727a2d&oe=5F83B5F6,2.0,,2741769399379117,Today is Fitness Friday! Try out a healthy new recipe and share a photo of your dish!,https://facebook.com/story.php?story_fbid=2741769399379117&id=1740783856144348,,0.0,Today is Fitness Friday! Try out a healthy new recipe and share a photo of your dish!,2020-05-22 10:04:44,,
5,0.0,,0.0,,2740965396126184,It's Thinking Thursday! Do you have a favorite book or author? Comment with your favorites so we can have some great new suggestions!,https://facebook.com/story.php?story_fbid=2740965396126184&id=1740783856144348,,0.0,It's Thinking Thursday! Do you have a favorite book or author? Comment with your favorites so we can have some great new suggestions!,2020-05-21 09:56:31,,
6,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97811091_2740239226198801_1630350009100664832_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=_CA5jQVh89gAX8ePXt9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=56f68c46488d900bf29d36d6ff537c40&oe=5F83D909,6.0,,2740239262865464,Look at our 8th Graders!,https://facebook.com/story.php?story_fbid=2740239262865464&id=1740783856144348,,0.0,Look at our 8th Graders!,2020-05-20 13:00:24,,
7,5.0,,2.0,,855696191619771,,,,0.0,,2020-05-20 13:00:22,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_170269408047162_3921242744346147816_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=Jlczm1REaakAX-_RQPk&_nc_oc=AQnteP3QJmvJhIbAUI6z2oN-64YeXeaFPzd98WpJZ_G3bfdcjPTtUKTtHeaWP3qJ7VY&_nc_ht=video-atl3-1.xx&oh=851bc694f956e49a7bab77edc5f4463d&oe=5F5F2D4F,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98453758_2740181309537926_6136679182677049344_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=GiO9L9YpwS8AX9PRCYp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cc83c82ee91bda21fdfb45c16268a957&oe=5F868772,5.0,,2740181339537923,"Chapelside Chargers, We look forward in seeing how far you will go! Armor is your education! Congrats 2020",https://facebook.com/story.php?story_fbid=2740181339537923&id=1740783856144348,,0.0,"Chapelside Chargers, We look forward in seeing how far you will go! Armor is your education! Congrats 2020",2020-05-20 11:25:35,,
9,1.0,,3.0,,289391465559644,,,,0.0,,2020-05-20 11:14:02,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/48827538_583337185653966_958099141238966367_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=Fg7wATpZz5UAX-sB6gJ&_nc_ht=scontent-atl3-1.xx&oh=988687d7d5a6726be4e41eb6a92b5827&oe=5F850358,
10,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/98807610_2740128256209898_5628524473557712896_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=_6Kl6j0o48cAX9qgrj0&_nc_ht=scontent-atl3-1.xx&oh=afd55859837197824db801e1938e16b2&oe=5F82E19A,2.0,,2740128426209881,Today is Wild n' Out Wednesday! How many jelly beans do you think are in the jar? Post your guess!,https://facebook.com/story.php?story_fbid=2740128426209881&id=1740783856144348,,0.0,Today is Wild n' Out Wednesday! How many jelly beans do you think are in the jar? Post your guess!,2020-05-20 10:13:24,,
11,0.0,,1.0,https://www.nationalgeographic.com/news-features/son-doong-cave/2/#s=pano60,2739271329628924,"Today is Travel Tuesday! Today we are going to explore the world's largest cave with National Geographic. It's called the Son Doong Cave, and it's located in Vietnam! Have you ever been in a cave? Let us know below!

https://www.nationalgeographic.com/news-features/son-doong-cave/2/#s=pano60",https://facebook.com/story.php?story_fbid=2739271329628924&id=1740783856144348,"NATIONALGEOGRAPHIC.COM
Dive Into ‘Infinity’ With Dizzying Views of A Colossal Cave",0.0,"Today is Travel Tuesday! Today we are going to explore the world's largest cave with National Geographic. It's called the Son Doong Cave, and it's located in Vietnam! Have you ever been in a cave? Let us know below!

https://www.nationalgeographic.com/news-features/son-doong-cave/2/#s=pano60

NATIONALGEOGRAPHIC.COM
Dive Into ‘Infinity’ With Dizzying Views of A Colossal Cave",2020-05-19 09:26:48,,
12,0.0,,2.0,,843540806133498,,,"WED, MAY 20
Wishing Well Ceremony - 8th Grade",0.0,"WED, MAY 20
Wishing Well Ceremony - 8th Grade",2020-05-18 15:20:16,,
13,0.0,,3.0,,380156209589486,,,"WED, MAY 20
Wishing Well Ceremony - Kindergarten",0.0,"WED, MAY 20
Wishing Well Ceremony - Kindergarten",2020-05-18 15:17:32,,
14,20.0,,4.0,,299444407742815,,,,0.0,,2020-05-18 13:03:08,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_1455533511306906_3459647901168083924_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=WMBNjffHp-4AX9F67OS&_nc_ht=scontent-atl3-1.xx&oh=ec4422b1e4f77f9b4ecfd403ed1f0ac2&oe=5F858291,
15,29.0,,13.0,,282257929463255,,,,6.0,,2020-05-18 11:00:37,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_345853309774514_6284900270257416303_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=bTT86Rsv_fMAX_x_ZNm&_nc_ht=video-atl3-1.xx&oh=dea827e87ee7a270400ce1c4f3ed66bd&oe=5F5F236B,
16,0.0,,5.0,,2738396583049732,Good morning Chapelside Chargers. We will have our promotion ceremonies today! Kindergarten at 11:00 am and 8th grade at 1:00pm. See you soon.,https://facebook.com/story.php?story_fbid=2738396583049732&id=1740783856144348,,0.0,Good morning Chapelside Chargers. We will have our promotion ceremonies today! Kindergarten at 11:00 am and 8th grade at 1:00pm. See you soon.,2020-05-18 10:22:11,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99090636_2738370033052387_1137615448049713152_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=IOWtQiCgD6IAX8FwVu2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=821de90cd9771e47996c3cbf5b22beb1&oe=5F832C3D,2.0,,2738370236385700,It's Motivational Monday! Today's activity is to write a virtual letter to someone and send it by email! Who are you going to write to? Comment below!,https://facebook.com/story.php?story_fbid=2738370236385700&id=1740783856144348,,0.0,It's Motivational Monday! Today's activity is to write a virtual letter to someone and send it by email! Who are you going to write to? Comment below!,2020-05-18 09:40:54,,
