,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,30.0,https://bit.ly/2B1QxnS,1324465701096654,"Lake Superior State University Saint Helen Campus Survey - https://bit.ly/2B1QxnS

Please complete the survey if you are interested in taking courses, earning a degree, or continuing education at the LSSU Satellite Campus in Saint Helen, MI. None of this information will be used by anyone outside of the LSSU admissions department. Courses will be offered in-seat, online, or via zoom.",https://facebook.com/story.php?story_fbid=1324465701096654&id=273119846231250,"DOCS.GOOGLE.COM
Lake Superior State University Saint Helen Campus",72.0,"Lake Superior State University Saint Helen Campus Survey - https://bit.ly/2B1QxnS

Please complete the survey if you are interested in taking courses, earning a degree, or continuing education at the LSSU Satellite Campus in Saint Helen, MI. None of this information will be used by anyone outside of the LSSU admissions department. Courses will be offered in-seat, online, or via zoom.

DOCS.GOOGLE.COM
Lake Superior State University Saint Helen Campus",2020-06-10 22:27:11,,
1,2.0,,21.0,http://www.charltonhestonacademy.com/,1396912920518598,,https://facebook.com/story.php?story_fbid=1396912920518598&id=273119846231250,,7.0,,2020-09-07 17:57:30,,
2,2.0,,41.0,,1395085114034712,"TEAM CHA

I HAVE HAD THE OPPORTUNITY TO BE PART OF SOME GREAT TEAMS IN LIFE. NONE COMPARE TO TEAM CHA. WE HAVE EMPLOYEES STILL ON SITE THIS WEEKEND PUTTING THE FINAL TOUCHES ON PREPARING FOR OUR STUDENT BODY TO RETURN ON TUESDAY!

THANK YOU ALL FOR YOUR COMMITMENT AND RESILENCE.

WE STAND UNITED!!

David Patterson, Superintendent
Charlton Heston Academy",https://facebook.com/story.php?story_fbid=1395085114034712&id=273119846231250,,0.0,"TEAM CHA

I HAVE HAD THE OPPORTUNITY TO BE PART OF SOME GREAT TEAMS IN LIFE. NONE COMPARE TO TEAM CHA. WE HAVE EMPLOYEES STILL ON SITE THIS WEEKEND PUTTING THE FINAL TOUCHES ON PREPARING FOR OUR STUDENT BODY TO RETURN ON TUESDAY!

THANK YOU ALL FOR YOUR COMMITMENT AND RESILENCE.

WE STAND UNITED!!

David Patterson, Superintendent
Charlton Heston Academy",2020-09-05 13:19:13,,
3,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118422937_1390007784542445_9102986881634171247_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=_sGaCGEdNz8AX-t4NXf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=77a53253f4b436784943f960bfa539ca&oe=5F82F77B,33.0,,1390008144542409,"CHA STARTS SCHOOL ON SEPT. 8th

UNITY AND COMMUNICATION WILL ALLOW US TO RISE ABOVE!!!!!

All parents can look forward to a phone call tomorrow from your child’s teacher. The call will provide an initial introduction and give parents an opportunity to gain any additional clarification needed relative to the new school year. The letter below was mailed out this weekend. However, due to potential delays with the postal service we also wanted to place this letter on social media.

Call the main office if you have additional needs; 989-632-3390.

PATRIOT PRIDE!

David Patterson, Superintendent
Charlton Heston Academy",https://facebook.com/story.php?story_fbid=1390008144542409&id=273119846231250,,0.0,"CHA STARTS SCHOOL ON SEPT. 8th

UNITY AND COMMUNICATION WILL ALLOW US TO RISE ABOVE!!!!!

All parents can look forward to a phone call tomorrow from your child’s teacher. The call will provide an initial introduction and give parents an opportunity to gain any additional clarification needed relative to the new school year. The letter below was mailed out this weekend. However, due to potential delays with the postal service we also wanted to place this letter on social media.

Call the main office if you have additional needs; 989-632-3390.

PATRIOT PRIDE!

David Patterson, Superintendent
Charlton Heston Academy",2020-08-30 17:43:13,,
4,0.0,,8.0,,1389290141280876,"Greetings Patriot Volleyball Fans,

Our first home game has been moved to next Wednesday, September 2 @ 6:00 vs AuGres and Hale.

We are asking that all fans wear a mask and enter through the doors near the gym, no more than 20 minutes prior to game time. There will be a table set up in the trophy room to collect entry fees and offer sanitizer. The cost of entry will be $5/person or $10/family. Please bring an exact amount if possible to avoid unnecessary exchanges.

Please reach out if you have any questions or concerns at 989-632-3390.",https://facebook.com/story.php?story_fbid=1389290141280876&id=273119846231250,,0.0,"Greetings Patriot Volleyball Fans,

Our first home game has been moved to next Wednesday, September 2 @ 6:00 vs AuGres and Hale.

We are asking that all fans wear a mask and enter through the doors near the gym, no more than 20 minutes prior to game time. There will be a table set up in the trophy room to collect entry fees and offer sanitizer. The cost of entry will be $5/person or $10/family. Please bring an exact amount if possible to avoid unnecessary exchanges.

Please reach out if you have any questions or concerns at 989-632-3390.",2020-08-29 21:46:30,,
5,0.0,,8.0,https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf?fbclid=IwAR3_Nir8rdip0ZEOq63brQLW3ZKs9CZoKMT00RsUW_GVUQCpaZ0NCD7ZBGY,1374263929450164,"CHA’s RETURN TO LEARN PLAN

https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf?fbclid=IwAR3_Nir8rdip0ZEOq63brQLW3ZKs9CZoKMT00RsUW_GVUQCpaZ0NCD7ZBGY

Superintendent David Patterson will post a video tomorrow afternoon that provides even more clarification of the Plan and learning options for all students.

STAY UNITED!",https://facebook.com/story.php?story_fbid=1374263929450164&id=273119846231250,"CHARLTONHESTONACADEMY.COM
charltonhestonacademy.com",14.0,"CHA’s RETURN TO LEARN PLAN

https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf?fbclid=IwAR3_Nir8rdip0ZEOq63brQLW3ZKs9CZoKMT00RsUW_GVUQCpaZ0NCD7ZBGY

Superintendent David Patterson will post a video tomorrow afternoon that provides even more clarification of the Plan and learning options for all students.

STAY UNITED!

CHARLTONHESTONACADEMY.COM
charltonhestonacademy.com",2020-08-11 23:37:26,,
6,0.0,,11.0,https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf,1374258596117364,"CHA’s 2020-2021 Return to Learn Plan.

https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf

Tomorrow afternoon Superintendent David Patterson will upload a video presentation-providing even more clarification of the plan.

STAY UNITED!",https://facebook.com/story.php?story_fbid=1374258596117364&id=273119846231250,"CHARLTONHESTONACADEMY.COM
charltonhestonacademy.com",7.0,"CHA’s 2020-2021 Return to Learn Plan.

https://charltonhestonacademy.com/wp-content/uploads/2020/08/CHA-Return-to-Learn-Plan-Official.pdf

Tomorrow afternoon Superintendent David Patterson will upload a video presentation-providing even more clarification of the plan.

STAY UNITED!

CHARLTONHESTONACADEMY.COM
charltonhestonacademy.com",2020-08-11 23:28:14,,
7,0.0,,9.0,https://charltonhestonacademy.com/employment-opportunities/,1371424246400799,"CHA VACANCIES

Charlton Heston Academy is currently hiring the following positions in preparation for the new school year. Please submit a cover letter and resume, or contact Superintendent David Patterson if interested at dpatterson@charltonhestonacademy

These are time sensitive positions, so interviews will be conducted as soon as possible and will continue until a person is hired.

-Director of Health and Safety/COVID Coordinator (full-time)

-Assistant Director of Health and Safety (part-time and third shift)

-School Nurse (part-time or full-time)

-Technology Coordinator (part-time)

-Bus Driver (part-time)

Thank you,
David Patterson, Superintendent",https://facebook.com/story.php?story_fbid=1371424246400799&id=273119846231250,"CHARLTONHESTONACADEMY.COM
Employment",39.0,"CHA VACANCIES

Charlton Heston Academy is currently hiring the following positions in preparation for the new school year. Please submit a cover letter and resume, or contact Superintendent David Patterson if interested at dpatterson@charltonhestonacademy

These are time sensitive positions, so interviews will be conducted as soon as possible and will continue until a person is hired.

-Director of Health and Safety/COVID Coordinator (full-time)

-Assistant Director of Health and Safety (part-time and third shift)

-School Nurse (part-time or full-time)

-Technology Coordinator (part-time)

-Bus Driver (part-time)

Thank you,
David Patterson, Superintendent

CHARLTONHESTONACADEMY.COM
Employment",2020-08-08 12:28:06,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117315613_1369802983229592_8176617275823965294_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=P-z3C9PoMdUAX9e1vy5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ab5620bec7b34b6cf6cba47cc60cf54e&oe=5F827ED4,6.0,,1369802543229636,"It's time! Fall sports begin next week! Please see the attached letter for COVID related details.

First practices dates and times are as follows:

Football (Middle School Optional)-Monday, August 10 4:30-6:30

Cheer-Monday, August 10 1:00-3:00

Volleyball (High School Only)-Wednesday, August 12 9:00-11:00

Cross Country-Wednesday, August 12 4:00-5:00

Please contact any coach or Aimee Whittaker (awhittaker@charltonhestonacademy.com) if you have any questions or concerns.",https://facebook.com/story.php?story_fbid=1369802543229636&id=273119846231250,,0.0,"It's time! Fall sports begin next week! Please see the attached letter for COVID related details.

First practices dates and times are as follows:

Football (Middle School Optional)-Monday, August 10 4:30-6:30

Cheer-Monday, August 10 1:00-3:00

Volleyball (High School Only)-Wednesday, August 12 9:00-11:00

Cross Country-Wednesday, August 12 4:00-5:00

Please contact any coach or Aimee Whittaker (awhittaker@charltonhestonacademy.com) if you have any questions or concerns.",2020-08-06 13:35:46,,
9,0.0,,5.0,https://instagram.com/charltonhestonacademy,1365305480346009,Make sure to follow our Instagram account!,https://facebook.com/story.php?story_fbid=1365305480346009&id=273119846231250,"INSTAGRAM.COM
Charlton Heston Academy (@charltonhestonacademy) • Instagram photos and videos",4.0,"Make sure to follow our Instagram account!

INSTAGRAM.COM
Charlton Heston Academy (@charltonhestonacademy) • Instagram photos and videos",2020-07-31 23:07:44,,
