,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,45.0,,2954528841318215,"🙌 Another great day!! 🙌 Thank you to our school teams, students, parents, and community for all you do to support our school division!",,,0.0,"🙌 Another great day!! 🙌 Thank you to our school teams, students, parents, and community for all you do to support our school division!",2020-09-15 15:57:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118975154_3546792362017703_2435501890461525391_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=OsOgNgnvyYIAX9bTMvp&_nc_ht=video-atl3-1.xx&oh=99f6e9fbebfc27fba058a478648270af&oe=5F652701,
1,2.0,,59.0,,2942961519141614,It’s been a GREAT week with our students! Thanks to everyone that’s helped make this possible!,,,0.0,It’s been a GREAT week with our students! Thanks to everyone that’s helped make this possible!,2020-09-11 17:01:40,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118925992_612904909374713_1851976414526197674_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=QBCdTokqtykAX_6afZy&_nc_ht=video-atl3-1.xx&oh=ed50f1c980047bcda43827bf8f124e63&oe=5F6527F7,
2,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119001545_2942827732488326_4017120908112724784_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=aaSPVSYZhkcAX9wTCtU&_nc_ht=scontent-atl3-1.xx&oh=49f165b6b90b55b21f111fd31a2e623f&oe=5F88EEAD,19.0,,2942828199154946,"CHPS Families --

Bus routes are being updated and work through, and you should be getting a call from your bus driver if your child(ren) has been added to a route.

We appreciate your patience and understanding as we navigate through these unprecedented times.",https://facebook.com/story.php?story_fbid=2942828199154946&id=534732829964507,,0.0,"CHPS Families --

Bus routes are being updated and work through, and you should be getting a call from your bus driver if your child(ren) has been added to a route.

We appreciate your patience and understanding as we navigate through these unprecedented times.",2020-09-11 15:51:36,,
3,14.0,,63.0,,2939322842838815,"At approximately 12 noon today, an unidentified male approached the playground at Tussing Elementary. School safety procedures were activated, and the school implemented a lockdown. At no time were the students or staff in danger. The Colonial Heights Police Department arrived on site and addressed the concern. The male exited the property and the normal school schedule resumed.",https://facebook.com/story.php?story_fbid=2939322842838815&id=534732829964507,,0.0,"At approximately 12 noon today, an unidentified male approached the playground at Tussing Elementary. School safety procedures were activated, and the school implemented a lockdown. At no time were the students or staff in danger. The Colonial Heights Police Department arrived on site and addressed the concern. The male exited the property and the normal school schedule resumed.",2020-09-10 12:46:09,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119114127_2935801839857582_9104823800538058989_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=HbFfzcCbVbMAX_q6I6U&_nc_ht=scontent-atl3-1.xx&oh=13044902f928b8a7b606443e58f280bd&oe=5F89567B,21.0,,2935813713189728,"As we navigate supporting both virtual and in-person students, please note our Chromebook tech support times and email address. Thank you for your support!

We are located at the CHHS Tech Center.",https://facebook.com/story.php?story_fbid=2935813713189728&id=534732829964507,,0.0,"As we navigate supporting both virtual and in-person students, please note our Chromebook tech support times and email address. Thank you for your support!

We are located at the CHHS Tech Center.",2020-09-09 09:28:43,,
5,7.0,,171.0,,2933629710074795,Thanks to Publix Super Market at Colonial Square Shopping Center for their support of our schools.,https://facebook.com/story.php?story_fbid=2933629710074795&id=534732829964507,,0.0,Thanks to Publix Super Market at Colonial Square Shopping Center for their support of our schools.,2020-09-08 15:55:10,,
6,18.0,,146.0,,2933434153427684,"🙌 It’s been a GREAT first day of school!! 🙌
Thanks to everyone that worked diligently to make this a special day for our students & families! It’s wonderful to have our students back! #GoColonials",,,0.0,"🙌 It’s been a GREAT first day of school!! 🙌
Thanks to everyone that worked diligently to make this a special day for our students & families! It’s wonderful to have our students back! #GoColonials",2020-09-08 14:26:37,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119031496_1024135951357426_201544756329903560_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=dxdTIxRXxXgAX9pJnrb&_nc_ht=video-atl3-1.xx&oh=22de05a1a21f74d3d587d347d0857359&oe=5F652917,
7,5.0,,34.0,,2922465824524517,"Drivers will be calling the students on their routes this weekend, and a robo call and email will be sent to the students that have been routed. Thank you.",https://facebook.com/story.php?story_fbid=2922465824524517&id=534732829964507,,0.0,"Drivers will be calling the students on their routes this weekend, and a robo call and email will be sent to the students that have been routed. Thank you.",2020-09-04 20:26:34,,
8,6.0,,54.0,,2921981961239570,"Good afternoon, this is Dr. William Sroufe, Colonial Heights Public Schools Superintendent.

We’re so excited that our school year is about to begin on Tuesday, September 8th. Our school teams have been preparing for a school year that looks a little different. As our opening day approaches, I would ask that everyone have a little grace and patience. We may run into issues, but we will work through each of them.

Typically this weekend is one for celebration with friends and family. I would ask that you please wear a mask and practice social distancing to help keep our community safe.

We’re looking forward to seeing everyone either virtually or in person on Tuesday. Have a great weekend.

You were safe at home, it’s time to go back to school.",https://facebook.com/story.php?story_fbid=2921981961239570&id=534732829964507,,0.0,"Good afternoon, this is Dr. William Sroufe, Colonial Heights Public Schools Superintendent.

We’re so excited that our school year is about to begin on Tuesday, September 8th. Our school teams have been preparing for a school year that looks a little different. As our opening day approaches, I would ask that everyone have a little grace and patience. We may run into issues, but we will work through each of them.

Typically this weekend is one for celebration with friends and family. I would ask that you please wear a mask and practice social distancing to help keep our community safe.

We’re looking forward to seeing everyone either virtually or in person on Tuesday. Have a great weekend.

You were safe at home, it’s time to go back to school.",2020-09-04 16:03:50,,
9,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118996237_2928068170630949_5619355151437603616_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=iGQatOYtnrIAX_XNw6m&_nc_ht=scontent-atl3-1.xx&tp=14&oh=10b4346f472338fa92348f2e03fd32f1&oe=5F8C63D2,21.0,,2921975807906852,"Here is more information regarding school meals. Through December 18th, the USDA has approved all students to receive FREE meals.

Virtual students will be able to pick up meals at the CHMS Bus Loop at the times listed on the flyer.

Pickup: CHMS Bus Loop",https://facebook.com/story.php?story_fbid=2921975807906852&id=534732829964507,,0.0,"Here is more information regarding school meals. Through December 18th, the USDA has approved all students to receive FREE meals.

Virtual students will be able to pick up meals at the CHMS Bus Loop at the times listed on the flyer.

Pickup: CHMS Bus Loop",2020-09-04 16:00:37,,
