,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119083335_3399060316781615_3395934715833093519_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=Qia6txV6hi0AX-XgmJY&_nc_ht=scontent-atl3-1.xx&oh=f93f4a1c828d5fc1fb4dec2c238a3164&oe=5F847567,0.0,,10158806046297722,,https://facebook.com/story.php?story_fbid=10158806046297722&id=182840527721,"Red Stick Ready
Yesterday at 9:00 AM ·

#NatlPrep If the power goes out remember these food and water safety tips. #RedStickReady #BeReady",0.0,"Red Stick Ready
Yesterday at 9:00 AM ·

#NatlPrep If the power goes out remember these food and water safety tips. #RedStickReady #BeReady",2020-09-12 14:15:42,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119197970_10158803204022722_5048744404216587963_n.png?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=0EPZkN-QSAMAX_Rk2IT&_nc_ht=scontent-atl3-1.xx&oh=72a0a08ebb74bb989ff18b80ad0f8ffa&oe=5F8493A3,2.0,http://brla.gov/jobs,10158803204002722,"We have great jobs open this week that may be a fit for you or someone you know! From helping to support the career development of our residents, to working for our City Court or our public works departments, there are a number of exciting opportunities for anyone looking for a new job or to make a career change. The positions we’re hiring for this week include:

- LIBRARY PAGE
- LIBRARY TECHNICIAN I
- ANIMAL CONTROL OFFICER I
- EMERGENCY COMMUNICATIONS OFFICER
- SENIOR NETWORK TECHNICIAN
- PC LAN SPECIALIST
- SERVER ANALYST
- HEAD START PRACTICE-BASED COACH
- TEACHER ADVANCED
- DEVELOPMENT PROJECT DIRECTOR
- CLERICAL SPECIALIST
- SENIOR CLERICAL SPECIALIST
- SENIOR FISCAL SPECIALIST

If you’re interested in any of these positions, head on over to brla.gov/jobs. Be sure to act fast – applications for many of these positions must be submitted by 5 p.m. on September 17th! #BRjobs",,,0.0,"We have great jobs open this week that may be a fit for you or someone you know! From helping to support the career development of our residents, to working for our City Court or our public works departments, there are a number of exciting opportunities for anyone looking for a new job or to make a career change. The positions we’re hiring for this week include:

- LIBRARY PAGE
- LIBRARY TECHNICIAN I
- ANIMAL CONTROL OFFICER I
- EMERGENCY COMMUNICATIONS OFFICER
- SENIOR NETWORK TECHNICIAN
- PC LAN SPECIALIST
- SERVER ANALYST
- HEAD START PRACTICE-BASED COACH
- TEACHER ADVANCED
- DEVELOPMENT PROJECT DIRECTOR
- CLERICAL SPECIALIST
- SENIOR CLERICAL SPECIALIST
- SENIOR FISCAL SPECIALIST

If you’re interested in any of these positions, head on over to brla.gov/jobs. Be sure to act fast – applications for many of these positions must be submitted by 5 p.m. on September 17th! #BRjobs",2020-09-11 14:00:35,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119065214_3402050879815892_3447604298331826786_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=aX9U0-zd1QsAX9aTAeU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8ed8b1e636778a4015688b4d6dafbef0&oe=5F819E5B,0.0,,10158800160172722,,https://facebook.com/story.php?story_fbid=10158800160172722&id=182840527721,"Red Stick Ready
September 10 at 9:14 AM ·

#NatlPrep How much water do you need in your disaster supply kit? 1 Gallon of water💧per🧍‍♂️person per 📅 day for 🗓 at least 3 days. Don’t forget about your pets too! 🐱🐶🐰🐴 #RedStickReady #BeReady",0.0,"Red Stick Ready
September 10 at 9:14 AM ·

#NatlPrep How much water do you need in your disaster supply kit? 1 Gallon of water💧per🧍‍♂️person per 📅 day for 🗓 at least 3 days. Don’t forget about your pets too! 🐱🐶🐰🐴 #RedStickReady #BeReady",2020-09-10 12:49:29,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119097776_3399020396785607_589673512101591106_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=dHGASPEKI0sAX-ge8Nt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9178ba9855aafe4135c1b5516223e2a4&oe=5F847F18,0.0,,10158799675457722,,https://facebook.com/story.php?story_fbid=10158799675457722&id=182840527721,"Red Stick Ready
September 9 at 9:28 AM ·

#NatlPrep Emergencies can happen anywhere. Keep an emergency kit in your vehicle. Include the below items:

💧 Water

🥫 Non-perishable food

⛑ First aid kit

🧰 Tool kit - jumper cables, tire pressure gauge, air pump, screw drivers, wrenches, etc.

☔️ Rain poncho

🧤Gloves

📱Car cellphone charger

🚨Emergency numbers of family, friends, insurance companies, and roadside assistance

🗺 Map

🔦 Flashlight and extra batteries🔋

#RedStickReady #BeReady",0.0,"Red Stick Ready
September 9 at 9:28 AM ·

#NatlPrep Emergencies can happen anywhere. Keep an emergency kit in your vehicle. Include the below items:

💧 Water

🥫 Non-perishable food

⛑ First aid kit

🧰 Tool kit - jumper cables, tire pressure gauge, air pump, screw drivers, wrenches, etc.

☔️ Rain poncho

🧤Gloves

📱Car cellphone charger

🚨Emergency numbers of family, friends, insurance companies, and roadside assistance

🗺 Map

🔦 Flashlight and extra batteries🔋

#RedStickReady #BeReady",2020-09-10 08:25:25,,
4,0.0,,2.0,http://www.brla.gov/councilcomment,242570520410560,"TUNE IN: The Metro Council meets today, September 9 at 4 p.m. The meeting will be held via video conference due to public gathering restrictions associated with the COVID-19 pandemic.
As a reminder, this meeting will only involve essential government business. If you would like to submit a public comment on any of the agenda items (other than introductions), email publiccomment@brla.gov with the agenda item number, your name, your address, and your comment. You can also submit an online form with your comment at http://www.brla.gov/councilcomment.
For more information on tonight's meeting and the full meeting agenda, click here:
https://www.brla.gov/AgendaCenter/ViewFile/Agenda/_09092020-875",,,4.0,"TUNE IN: The Metro Council meets today, September 9 at 4 p.m. The meeting will be held via video conference due to public gathering restrictions associated with the COVID-19 pandemic.
As a reminder, this meeting will only involve essential government business. If you would like to submit a public comment on any of the agenda items (other than introductions), email publiccomment@brla.gov with the agenda item number, your name, your address, and your comment. You can also submit an online form with your comment at http://www.brla.gov/councilcomment.
For more information on tonight's meeting and the full meeting agenda, click here:
https://www.brla.gov/AgendaCenter/ViewFile/Agenda/_09092020-875",2020-09-09 09:59:30,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_3270730956326462_8228418476180894639_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=49EPBTSU6CsAX8wAwbs&_nc_ht=scontent-atl3-1.xx&oh=dcb334e29237d2bd9096ed7a861c000b&oe=5F84732F,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118883608_3383855048302142_2334389390858936911_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=pnfwAzEEpLoAX_s5j-m&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c1002f8cea18d93611d72ab5042b83f6&oe=5F84010E,3.0,http://redstickready.com/,10158791988742722,,https://facebook.com/story.php?story_fbid=10158791988742722&id=182840527721,"Red Stick Ready
September 7 at 9:00 AM ·

#NatlPrep This week's theme is, ""Build A Kit."" Include the following items in your disaster supply kit. Visit redstickready.com for more information and tips.

💧 Water - 1 Gallon of water per person in your household, per day, for 3 days.

🥫 3 day supply of non-perishable food and a can opener.

😷 Face Coverings for every person in your household.

🖐 Hand Sanitizer and disinfectant supplies.

⛑ First-Aid kit

💊 Medications - All medications your household takes and a list of medications for each member of your family.

🔦 Flashlight with extra batteries.

📱 Cellphone chargers and chargers for all electronic devices.

📄 Important Documents - Copies of insurance policies, bank account records, and personal information. Store in a safe area.

🧸 Toys and items for your children to keep them entertained.

📻 Weather Radio to keep you informed of the current conditions.

🐶🐱 Supplies for all your pets - food, water, toys, leashes, cages, and identification.

#RedStickReady #DisastersDontWait",0.0,"Red Stick Ready
September 7 at 9:00 AM ·

#NatlPrep This week's theme is, ""Build A Kit."" Include the following items in your disaster supply kit. Visit redstickready.com for more information and tips.

💧 Water - 1 Gallon of water per person in your household, per day, for 3 days.

🥫 3 day supply of non-perishable food and a can opener.

😷 Face Coverings for every person in your household.

🖐 Hand Sanitizer and disinfectant supplies.

⛑ First-Aid kit

💊 Medications - All medications your household takes and a list of medications for each member of your family.

🔦 Flashlight with extra batteries.

📱 Cellphone chargers and chargers for all electronic devices.

📄 Important Documents - Copies of insurance policies, bank account records, and personal information. Store in a safe area.

🧸 Toys and items for your children to keep them entertained.

📻 Weather Radio to keep you informed of the current conditions.

🐶🐱 Supplies for all your pets - food, water, toys, leashes, cages, and identification.

#RedStickReady #DisastersDontWait",2020-09-07 10:06:53,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118717663_10158790352887722_6374873243910393106_n.png?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=k84UcZ-MECEAX-DszYk&_nc_ht=scontent-atl3-1.xx&oh=717433106ec6c8e5bf9011e9340ae4df&oe=5F847136,1.0,http://www.ebrpl.com/,10158790352882722,"All locations of the East Baton Rouge Parish Library will be closed Monday, September 7, in observance of Labor Day. The Library will reopen and resume hours of operation on Tuesday, September 8.

All our resources, e-books, downloads and other information still will be available – as always – 24/7 online at www.ebrpl.com. For more information about this closure, call (225) 231-3750.",,,0.0,"All locations of the East Baton Rouge Parish Library will be closed Monday, September 7, in observance of Labor Day. The Library will reopen and resume hours of operation on Tuesday, September 8.

All our resources, e-books, downloads and other information still will be available – as always – 24/7 online at www.ebrpl.com. For more information about this closure, call (225) 231-3750.",2020-09-06 17:00:22,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118886002_3386866088001038_7037166385566043332_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=AGbG9-fmYcsAX_efBBs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9ad16a182ba277afb06472c2f317df18&oe=5F827144,0.0,,10158786352737722,,https://facebook.com/story.php?story_fbid=10158786352737722&id=182840527721,"Red Stick Ready
September 5 at 9:36 AM ·

#NatlPrep We are in the peak of hurricane season. Stay informed with these hurricane facts.🌀 #RedStickReady",0.0,"Red Stick Ready
September 5 at 9:36 AM ·

#NatlPrep We are in the peak of hurricane season. Stay informed with these hurricane facts.🌀 #RedStickReady",2020-09-05 10:41:42,,
8,1.0,,0.0,http://www.brla.gov/councilcomment,1520031944851397,"TUNE IN: The Metro Council meets today, September 2 at 4 p.m. The meeting will be held via video conference due to public gathering restrictions associated with the COVID-19 pandemic.
As a reminder, this meeting will only involve essential government business. If you would like to submit a public comment on any of the agenda items (other than introductions), email publiccomment@brla.gov with the agenda item number, your name, your address, and your comment. You can also submit an online form with your comment at http://www.brla.gov/councilcomment.
For more information on tonight's meeting and the full meeting agenda, click here:
https://www.brla.gov/AgendaCenter/ViewFile/Agenda/_09022020-866",,,2.0,"TUNE IN: The Metro Council meets today, September 2 at 4 p.m. The meeting will be held via video conference due to public gathering restrictions associated with the COVID-19 pandemic.
As a reminder, this meeting will only involve essential government business. If you would like to submit a public comment on any of the agenda items (other than introductions), email publiccomment@brla.gov with the agenda item number, your name, your address, and your comment. You can also submit an online form with your comment at http://www.brla.gov/councilcomment.
For more information on tonight's meeting and the full meeting agenda, click here:
https://www.brla.gov/AgendaCenter/ViewFile/Agenda/_09022020-866",2020-09-02 12:33:27,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_142873020861998_1718979579906914611_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=BmE-7ZbmNMwAX--IRAp&_nc_oc=AQnAZCF396HygmAUyhfiik-yAsUBP8CjQQWELad7xado5nF4lLJq9QnfbWDCVgaz_MU&_nc_ht=scontent-atl3-1.xx&oh=892b97379618bbb642c635a4646094ab&oe=5F82DAEB,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118233452_1240001373018171_411690262821699412_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=Ufnp7GaT1a0AX8PdMJC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7baff8f5ac0edf018f739a27e8b652b0&oe=5F84BB38,29.0,,10158770408487722,Mayor-President Sharon Weston Broome and ARCCO have partnered to provide support to our neighbors in Lake Charles! #LouisianaStrong,https://facebook.com/story.php?story_fbid=10158770408487722&id=182840527721,"Mayor-President Sharon Weston Broome
August 30 at 12:17 PM ·

As part of the ongoing Hurricane Laura relief efforts for the City of Lake Charles, we are proud to partner with ARCCO to provide emergency power by lending and installing City of Baton Rouge sewer generators throughout the city.

ARCCO, its team of contractors, and Generac are on our way to @Lake Charles City Hall with these generators. We stand ready to assist in any way we can to help all those impacted by this devastating disaster.

#ARCCO
#Generac
#LouisianaSTRONG
#hurricanelaura
#emergencypower",6.0,"Mayor-President Sharon Weston Broome and ARCCO have partnered to provide support to our neighbors in Lake Charles! #LouisianaStrong

Mayor-President Sharon Weston Broome
August 30 at 12:17 PM ·

As part of the ongoing Hurricane Laura relief efforts for the City of Lake Charles, we are proud to partner with ARCCO to provide emergency power by lending and installing City of Baton Rouge sewer generators throughout the city.

ARCCO, its team of contractors, and Generac are on our way to @Lake Charles City Hall with these generators. We stand ready to assist in any way we can to help all those impacted by this devastating disaster.

#ARCCO
#Generac
#LouisianaSTRONG
#hurricanelaura
#emergencypower",2020-08-30 13:26:35,,
