,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,33.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119116903_10157848703529682_1335473438032108443_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=fcS-U-saRJMAX9VrFw_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b6c9c2b9c8d6a47b360a9d8fe1b0c1aa&oe=5F80E6A4,215.0,https://tinyurl.com/y37xfyj3,10157848705244682,"Superintendent Dr. Sheila Quinn announced on Thursday, September 10th, that Clover School District applied for and has received approval to provide free meals to all students.

The federal program requires students to receive a complete meal to have the fee waived. Items purchased from the a la carte menu or extras will still be charged to the student’s account. This will be an automated process requiring no action on the part of families.

https://tinyurl.com/y37xfyj3",https://facebook.com/story.php?story_fbid=10157848705244682&id=130873304681,,0.0,"Superintendent Dr. Sheila Quinn announced on Thursday, September 10th, that Clover School District applied for and has received approval to provide free meals to all students.

The federal program requires students to receive a complete meal to have the fee waived. Items purchased from the a la carte menu or extras will still be charged to the student’s account. This will be an automated process requiring no action on the part of families.

https://tinyurl.com/y37xfyj3",2020-09-10 16:19:29,,
1,0.0,,42.0,https://www.youtube.com/watch?v=aWpn6eC__9E,10157823568399682,"Dr. Quinn shared a progress report and updates the district following the first two weeks back on campus for staff and the first week for students.

https://www.youtube.com/watch?v=aWpn6eC__9E",https://facebook.com/story.php?story_fbid=10157823568399682&id=130873304681,"YOUTUBE.COM
Message from Dr. Quinn - Aug. 30",26.0,"Dr. Quinn shared a progress report and updates the district following the first two weeks back on campus for staff and the first week for students.

https://www.youtube.com/watch?v=aWpn6eC__9E

YOUTUBE.COM
Message from Dr. Quinn - Aug. 30",2020-08-30 15:45:42,,
2,0.0,,18.0,http://www.wrhi.com/2020/08/082520-bryan-dillon-clover-school-district-160679,10157813715514682,Mr. Dillon updated WRHI's Palmetto Morning Show on the restart of school,https://facebook.com/story.php?story_fbid=10157813715514682&id=130873304681,"WRHI.COM
08/25/20: Bryan Dillon - Clover School District",0.0,"Mr. Dillon updated WRHI's Palmetto Morning Show on the restart of school

WRHI.COM
08/25/20: Bryan Dillon - Clover School District",2020-08-26 16:04:57,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118152582_3258641167549277_3348313121373792919_n.jpg?_nc_cat=104&_nc_sid=da1649&_nc_ohc=KEidrCtxEtEAX9YdLXf&_nc_oc=AQnb5EOMJXAQUiCo3mXvZoq9iY_NPyB9hBeb5hGsr0MJh0mOj8scWh-RzTqzj_smlCU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=af63b2d775d55511b30140a3391b785e&oe=5F83F170,27.0,http://yorkcountysc.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1971&Inline=True,10157811333489682,Please join us virtually this evening as the York County Council will hold a special called meeting to discuss the proposed Clover School District Impact Fee.,https://facebook.com/story.php?story_fbid=10157811333489682&id=130873304681,"York County SC
August 25 at 1:23 PM ·

County Council Special Called Meeting (Impact Fee in Clover School District No. 2)
Tues, Aug 25-6:00 PM
McCelvey Center-212 E. Jefferson Street, York
Agenda: http://yorkcountysc.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1971&Inline=True
This will be streamed live at https://www.yorkcountygov.com/681/Watch-Council-Meetings-Live & the York County SC YouTube page.",13.0,"Please join us virtually this evening as the York County Council will hold a special called meeting to discuss the proposed Clover School District Impact Fee.

York County SC
August 25 at 1:23 PM ·

County Council Special Called Meeting (Impact Fee in Clover School District No. 2)
Tues, Aug 25-6:00 PM
McCelvey Center-212 E. Jefferson Street, York
Agenda: http://yorkcountysc.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1971&Inline=True
This will be streamed live at https://www.yorkcountygov.com/681/Watch-Council-Meetings-Live & the York County SC YouTube page.",2020-08-25 14:52:57,,
4,0.0,,120.0,,10157809642264682,"IT WAS SO GREAT TO SEE OUR STUDENTS BACK ON CAMPUS!

#CSDinAction",,,0.0,"IT WAS SO GREAT TO SEE OUR STUDENTS BACK ON CAMPUS!

#CSDinAction",2020-08-24 19:45:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118374929_4451864704888400_2468326846767198095_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=qhZxlTw_5XcAX_xIykJ&_nc_ht=video-atl3-1.xx&oh=2bbb04c483e86a52a40f18d846274e2d&oe=5F5CA3C3,
5,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118339924_10157800774594682_1688469219323293618_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=TPFPkfGekFMAX9kXiat&_nc_ht=scontent-atl3-1.xx&tp=14&oh=53bebdf021b38f80af25c9f1aba6ebfb&oe=5F81F1CC,72.0,https://youtu.be/Uf-lnAeSEyY,10157800777774682,"A message from Dr. Sheila Quinn:

https://youtu.be/Uf-lnAeSEyY",https://facebook.com/story.php?story_fbid=10157800777774682&id=130873304681,,0.0,"A message from Dr. Sheila Quinn:

https://youtu.be/Uf-lnAeSEyY",2020-08-20 19:50:00,,
6,14.0,,73.0,,10157758929604682,"In partnership with the Medical University of South Carolina, the York County Legislative Delegation has organized free, drive-up COVID testing for York County residents.

In conjunction with the York County Legislative Delegation, Clover School District has granted permission to utilize Oakridge Middle School as a host for drive-thru testing. Testing will be offered on Tuesday, August 4th, 2020, from 9:00 a.m. until 12:00 p.m. OMS is located at 5657 Oakridge Road, Clover, SC 29710.

Additionally, through collaboration with Affinity Health Care, drive-thru testing will be available at First Baptist Church in Clover from 10:00 a.m. until 2:00 p.m. This service will be available every first Friday, beginning Friday, August 7th, 2020.",https://facebook.com/story.php?story_fbid=10157758929604682&id=130873304681,,0.0,"In partnership with the Medical University of South Carolina, the York County Legislative Delegation has organized free, drive-up COVID testing for York County residents.

In conjunction with the York County Legislative Delegation, Clover School District has granted permission to utilize Oakridge Middle School as a host for drive-thru testing. Testing will be offered on Tuesday, August 4th, 2020, from 9:00 a.m. until 12:00 p.m. OMS is located at 5657 Oakridge Road, Clover, SC 29710.

Additionally, through collaboration with Affinity Health Care, drive-thru testing will be available at First Baptist Church in Clover from 10:00 a.m. until 2:00 p.m. This service will be available every first Friday, beginning Friday, August 7th, 2020.",2020-08-02 19:07:16,,
7,32.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116065037_10157736155474682_4206928653254864_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=pZ2drQgs2_8AX8CztR7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a027cda64147a630633e19efabe821e&oe=5F836209,61.0,https://tinyurl.com/y4grsv42,10157736156539682,"CSD Update:

https://tinyurl.com/y4grsv42",https://facebook.com/story.php?story_fbid=10157736156539682&id=130873304681,,0.0,"CSD Update:

https://tinyurl.com/y4grsv42",2020-07-24 18:59:04,,
8,45.0,,97.0,https://www.clover.k12.sc.us/cms/lib/SC01001948/Centricity/Domain/4/2020-21--APPROVED-DISTRICT-CALENDAR.pdf,10157731086214682,,https://facebook.com/story.php?story_fbid=10157731086214682&id=130873304681,,52.0,,2020-07-22 19:30:03,,
9,33.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109720653_10157715086789682_4507342436957697961_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=uTGaE57xexkAX_oEz4s&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cacbd1f0f3bb08cbfc363447209be702&oe=5F8292B4,92.0,,10157715088614682,"Clover School District is extending the deadline for registration to the Clover Virtual Academy.

The new deadline will be Friday, July 24, 2020.",https://facebook.com/story.php?story_fbid=10157715088614682&id=130873304681,,0.0,"Clover School District is extending the deadline for registration to the Clover Virtual Academy.

The new deadline will be Friday, July 24, 2020.",2020-07-16 19:00:48,,
