,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,14.0,,2794132117533498,"Parents, due to the inclement weather today, 8-24-20, we will not deliver meals by bus. The meals today will be given in Grab-N-Go fashion. Parents, students or designee may pick up meals designated for bus drop off from 11am-12pm at the schools closest to their residence.
Thanks",https://facebook.com/story.php?story_fbid=2794132117533498&id=1574680076145381,,0.0,"Parents, due to the inclement weather today, 8-24-20, we will not deliver meals by bus. The meals today will be given in Grab-N-Go fashion. Parents, students or designee may pick up meals designated for bus drop off from 11am-12pm at the schools closest to their residence.
Thanks",2020-08-24 08:44:28,,
1,0.0,,22.0,,2791665307780179,"Dear Parents, we have now embarked on this virtual first quarter, and as we continue to embrace the challenges of remote learning, I want to convey my sincere gratitude for your patience and support in making the last two days great! We are aware that we had some challenges with logins, passwords, scheduled meal drop offs, etc. However, our employees were great in resolving those issues and you remained supportive.
Please know that we had fewer issues on today than yesterday. Next week we will have even less. We are committed to addressing each issue that we may encounter. And as we continue to practice and login each day, we will get through these challenging times and bring some sense of normalcy to our families. Again, thanks for your support and patience.

Respectfully,
Zickeyous Byrd, Ed.D
Superintendent

In Conecuh, We are Great… We Do Whatever it Takes!",https://facebook.com/story.php?story_fbid=2791665307780179&id=1574680076145381,,0.0,"Dear Parents, we have now embarked on this virtual first quarter, and as we continue to embrace the challenges of remote learning, I want to convey my sincere gratitude for your patience and support in making the last two days great! We are aware that we had some challenges with logins, passwords, scheduled meal drop offs, etc. However, our employees were great in resolving those issues and you remained supportive.
Please know that we had fewer issues on today than yesterday. Next week we will have even less. We are committed to addressing each issue that we may encounter. And as we continue to practice and login each day, we will get through these challenging times and bring some sense of normalcy to our families. Again, thanks for your support and patience.

Respectfully,
Zickeyous Byrd, Ed.D
Superintendent

In Conecuh, We are Great… We Do Whatever it Takes!",2020-08-21 16:20:47,,
2,17.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117975648_2790624211217622_6603930044107039466_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=cuSQxbPdD7AAX_09E7a&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f03dc112b2fbbebec0f7b8f8542000bb&oe=5F836394,38.0,,2790625881217455,"We are pleased to announce that students in Conecuh County will be eligible to receive free access to high-speed internet through the Alabama Broadband Connectivity (ABC) for Students Program for the remainder of 2020!

Students who receive free or reduced lunch at schools will be receiving a letter and voucher in the mail next week. DO NOT THROW THE LETTER AWAY!! It will contain the prepaid voucher number that will cover the cost of equipment, installation and internet service through the remainder of 2020. Your internet provider must be a participant in this program in order for you to receive this offer. Please see the additional information listed below.",https://facebook.com/story.php?story_fbid=2790625881217455&id=1574680076145381,,0.0,"We are pleased to announce that students in Conecuh County will be eligible to receive free access to high-speed internet through the Alabama Broadband Connectivity (ABC) for Students Program for the remainder of 2020!

Students who receive free or reduced lunch at schools will be receiving a letter and voucher in the mail next week. DO NOT THROW THE LETTER AWAY!! It will contain the prepaid voucher number that will cover the cost of equipment, installation and internet service through the remainder of 2020. Your internet provider must be a participant in this program in order for you to receive this offer. Please see the additional information listed below.",2020-08-20 16:15:45,,
3,0.0,,5.0,https://drive.google.com/file/d/12yE9iTxe4gAeLVWC47ux6xPNOYr-9bIu/view?usp=sharing,2788738964739480,"Dear Parents,
Welcome Back to School, How to enter a Virtual classroom in Conecuh County Schools

https://drive.google.com/file/d/12yE9iTxe4gAeLVWC47ux6xPNOYr-9bIu/view?usp=sharing",https://facebook.com/story.php?story_fbid=2788738964739480&id=1574680076145381,"DRIVE.GOOGLE.COM
Copy of Welcome Back to School! [How to Enter a Virtual Classroom in Conecuh County Schools].pdf",12.0,"Dear Parents,
Welcome Back to School, How to enter a Virtual classroom in Conecuh County Schools

https://drive.google.com/file/d/12yE9iTxe4gAeLVWC47ux6xPNOYr-9bIu/view?usp=sharing

DRIVE.GOOGLE.COM
Copy of Welcome Back to School! [How to Enter a Virtual Classroom in Conecuh County Schools].pdf",2020-08-18 22:15:41,,
4,8.0,,10.0,,2788473891432654,"Dear Parents,
We have received word that due to Covid-19 related issues and statewide demand, our installers who were contracted to install WiFi on our buses have been delayed. Therefore, our WiFi buses will not be available until September 4, 2020. If you were planning to use our WiFi buses as your child’s primary internet access, please contact your child’s school. Schools will make provisions based on the delay of our WiFi buses.",https://facebook.com/story.php?story_fbid=2788473891432654&id=1574680076145381,,0.0,"Dear Parents,
We have received word that due to Covid-19 related issues and statewide demand, our installers who were contracted to install WiFi on our buses have been delayed. Therefore, our WiFi buses will not be available until September 4, 2020. If you were planning to use our WiFi buses as your child’s primary internet access, please contact your child’s school. Schools will make provisions based on the delay of our WiFi buses.",2020-08-18 15:51:09,,
5,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118088704_2787376298209080_117828796774800016_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=NmmsnpN6cVgAX9Skj2Z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d460b0e67381f53d9cb982698d5a2071&oe=5F831C41,33.0,,2787372921542751,"The Conecuh County Board of Education is proud to announce our first ever meal delivery service to our students. Our school cafeterias and bus drivers will partner to deliver school breakfast and lunch to our students between the hours of 9:00am - 11:30am, Monday through Friday! The meals will be delivered using our current school bus pickup and drop off routes. The first meal delivery is scheduled for Thursday, August 20, 2020. Again, this will be our first ever meal delivery service, so please be patient as we strive to correct any problems that may exist.",https://facebook.com/story.php?story_fbid=2787372921542751&id=1574680076145381,,0.0,"The Conecuh County Board of Education is proud to announce our first ever meal delivery service to our students. Our school cafeterias and bus drivers will partner to deliver school breakfast and lunch to our students between the hours of 9:00am - 11:30am, Monday through Friday! The meals will be delivered using our current school bus pickup and drop off routes. The first meal delivery is scheduled for Thursday, August 20, 2020. Again, this will be our first ever meal delivery service, so please be patient as we strive to correct any problems that may exist.",2020-08-17 12:30:18,,
6,20.0,,11.0,https://drive.google.com/file/d/18OdEQAUc3FOU_sda6ivwVKG4MquZWlLr/view?usp=sharing,2767779200168790,"Parents, please click on the link below for an important announcement regarding the change to our reopening plan.

https://drive.google.com/file/d/18OdEQAUc3FOU_sda6ivwVKG4MquZWlLr/view?usp=sharing",https://facebook.com/story.php?story_fbid=2767779200168790&id=1574680076145381,,0.0,"Parents, please click on the link below for an important announcement regarding the change to our reopening plan.

https://drive.google.com/file/d/18OdEQAUc3FOU_sda6ivwVKG4MquZWlLr/view?usp=sharing",2020-07-27 14:34:35,,
7,0.0,,11.0,https://docs.google.com/forms/d/1SeZVpyP7SQmROilSFbS_BI-cTGfTGfQruQu1o_70D4I,2762432220703488,"The safety and security of our students and employees is our main priority in Conecuh County Schools. Across the state and country, school leaders are making tough decisions about how to reopen schools as concerns grow regarding the increase in Coronavirus cases.
We are seeking your input in order to determine the best option for our students and employees. At this time, approximately 600 parents/guardians have completed our declaration survey for the upcoming school year. Approximately 40% of families have chosen the traditional option (face-to-face instruction) and about 60% have chosen the remote option (online learning). The results have also indicated that over 40% of our students, do not have access to internet at home. This means that online (remote)education could be extremely difficult.

With that in mind, Conecuh County Board of Education is anticipating offering a holistic approach, which includes a choice of either remote(online) or a traditional approach. With the holistic approach, we are trying to address the needs of all families.

As concerns continue to grow and with the rapid changes, we need to hear from ALL of our parents and guardians. If you have not completed our parental declaration survey, we are asking that you please take the time to complete it now. Thank you for your input.
Please find the link below:

https://docs.google.com/forms/d/1SeZVpyP7SQmROilSFbS_BI-cTGfTGfQruQu1o_70D4I",https://facebook.com/story.php?story_fbid=2762432220703488&id=1574680076145381,"DOCS.GOOGLE.COM
To Our Conecuh County Schools' Parents and Guardians: Conecuh County School System is planning for our return to school. As we prepare for the 2020-2021 school year, we need you to complete the survey below for either traditional instruction at...",17.0,"The safety and security of our students and employees is our main priority in Conecuh County Schools. Across the state and country, school leaders are making tough decisions about how to reopen schools as concerns grow regarding the increase in Coronavirus cases.
We are seeking your input in order to determine the best option for our students and employees. At this time, approximately 600 parents/guardians have completed our declaration survey for the upcoming school year. Approximately 40% of families have chosen the traditional option (face-to-face instruction) and about 60% have chosen the remote option (online learning). The results have also indicated that over 40% of our students, do not have access to internet at home. This means that online (remote)education could be extremely difficult.

With that in mind, Conecuh County Board of Education is anticipating offering a holistic approach, which includes a choice of either remote(online) or a traditional approach. With the holistic approach, we are trying to address the needs of all families.

As concerns continue to grow and with the rapid changes, we need to hear from ALL of our parents and guardians. If you have not completed our parental declaration survey, we are asking that you please take the time to complete it now. Thank you for your input.
Please find the link below:

https://docs.google.com/forms/d/1SeZVpyP7SQmROilSFbS_BI-cTGfTGfQruQu1o_70D4I

DOCS.GOOGLE.COM
To Our Conecuh County Schools' Parents and Guardians: Conecuh County School System is planning for our return to school. As we prepare for the 2020-2021 school year, we need you to complete the survey below for either traditional instruction at...",2020-07-21 13:26:38,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105362985_2741474309465946_2079798891839315394_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=cZSFiG7mnagAX-4a-Sg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=eb84be5ecbfca040c89d585929ccc3bb&oe=5F80E301,7.0,,2741475209465856,"For parents of Summer Enrichment 2020 students, Grades K-3",https://facebook.com/story.php?story_fbid=2741475209465856&id=1574680076145381,,0.0,"For parents of Summer Enrichment 2020 students, Grades K-3",2020-06-27 21:58:25,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/105488866_2736537549959622_4175380683179043450_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=WS-LucZXIDwAX9FXUgL&_nc_ht=scontent-atl3-1.xx&oh=4b0b9413b22157e4a4973691291ab814&oe=5F82E01C,10.0,,2736537763292934,Please contact Mrs. Monica Mitchell for more info!,https://facebook.com/story.php?story_fbid=2736537763292934&id=1574680076145381,,0.0,Please contact Mrs. Monica Mitchell for more info!,2020-06-22 10:35:33,,
