,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,27.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/18119465_1013414875460362_5586811536869459712_n.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=kVyvwjc0MocAX_7UTlZ&_nc_ht=scontent-atl3-1.xx&oh=c8fe1fb54304299ebfadec7d5e22546e&oe=5F832B28,205.0,https://www.usnews.com/education/best-high-schools/search?state-urlname=montana,1013414875460362,"Congratulations to CHS students, staff, and community for being recognized as a top high school in Montana (top 10% nationally) including a 96% graduation rate.https://www.usnews.com/education/best-high-schools/search?state-urlname=montana",,,0.0,"Congratulations to CHS students, staff, and community for being recognized as a top high school in Montana (top 10% nationally) including a 96% graduation rate.https://www.usnews.com/education/best-high-schools/search?state-urlname=montana",2017-04-26 10:39:15,,
1,3.0,,33.0,https://youtu.be/Bj5RLU7MV3w,2151968164938355,"A BIG THANK YOU TO CORVALLIS STAFF AND SCHOOL BOARD FROM CHS STUDENTS -- Much appreciated and this is why we love our students!

https://youtu.be/Bj5RLU7MV3w",https://facebook.com/story.php?story_fbid=2151968164938355&id=534759623325892,"YOUTUBE.COM
Thank You, Corvallis -- From Students!",5.0,"A BIG THANK YOU TO CORVALLIS STAFF AND SCHOOL BOARD FROM CHS STUDENTS -- Much appreciated and this is why we love our students!

https://youtu.be/Bj5RLU7MV3w

YOUTUBE.COM
Thank You, Corvallis -- From Students!",2020-09-11 10:24:49,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119109054_2151490208319484_2717064937893298300_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=4pgzgezdYLYAX88ozp8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0569c6ee7f8e6af9257231de2baee846&oe=5F84D38A,22.0,,2151490721652766,"BOY’S SOCCER VS LOYOLA —0-1 loss to the Rams, but an amazing game, men!",https://facebook.com/story.php?story_fbid=2151490721652766&id=534759623325892,,0.0,"BOY’S SOCCER VS LOYOLA —0-1 loss to the Rams, but an amazing game, men!",2020-09-10 23:58:07,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119158965_2151489124986259_7330251503203189918_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=RCiylfa9yCYAX_un2oK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3acfed036de70b5b09d84a9b504dc10b&oe=5F81C876,30.0,,2151489331652905,"3-3 TIE GIRL’S SOCCER VS. LOYOLA —great game, ladies!",https://facebook.com/story.php?story_fbid=2151489331652905&id=534759623325892,,0.0,"3-3 TIE GIRL’S SOCCER VS. LOYOLA —great game, ladies!",2020-09-10 23:56:21,,
4,2.0,,40.0,,2151457021656136,3-0 over Florence! Enjoy the final point!,,,0.0,3-0 over Florence! Enjoy the final point!,2020-09-10 23:09:50,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119075702_680014876273162_7513635355426045609_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=a-vaVcVTLTcAX8kldnT&_nc_ht=video-atl3-1.xx&oh=2017f9c4bd950ae2781847dbbb637f53&oe=5F5DF2C8,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119172383_2151298005005371_7704997880437430584_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=A5jMv5EqndUAX-G-QRz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc200ef0f78b17d7ba9b7aea89cc55ae&oe=5F845EDC,2.0,,2151298071672031,,https://facebook.com/story.php?story_fbid=2151298071672031&id=534759623325892,,0.0,,2020-09-10 19:24:50,,
6,0.0,,4.0,http://www.mpsn406.com/,2151032771698561,"TODAY'S SOCCER GAMES WILL BE TELEVISED HERE! 4 PM Girls and 6 PM Boys
www.mpsn406.com",https://facebook.com/story.php?story_fbid=2151032771698561&id=534759623325892,"MPSN406.COM
www.mpsn406.com",0.0,"TODAY'S SOCCER GAMES WILL BE TELEVISED HERE! 4 PM Girls and 6 PM Boys
www.mpsn406.com

MPSN406.COM
www.mpsn406.com",2020-09-10 12:53:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118558852_1296411284038943_5863436811884891479_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=gGeRRfyxrp4AX_pKZFj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b7499d386a3708154b2126db2a3c65f6&oe=5F8448BF,0.0,https://www.csfmontana.com/raffle-tickets,2150911988377306,Check out this item from the CSF online raffle! It will be cold and snowy before we know it!,https://facebook.com/story.php?story_fbid=2150911988377306&id=534759623325892,"Corvallis Schools Foundation
September 8 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting one of the Unique Raffle Offerings:
LET'S GO SKIING. Enjoy a day out on the slopes at Lost Trail Powder Mountain. This offering includes two adult lift tickets good through April 2021.

Don’t wait too long, raffle drawing is September 18th.",0.0,"Check out this item from the CSF online raffle! It will be cold and snowy before we know it!

Corvallis Schools Foundation
September 8 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting one of the Unique Raffle Offerings:
LET'S GO SKIING. Enjoy a day out on the slopes at Lost Trail Powder Mountain. This offering includes two adult lift tickets good through April 2021.

Don’t wait too long, raffle drawing is September 18th.",2020-09-10 10:21:50,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118580482_1296413504038721_2729037735132835401_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=AzVtTWkj5CkAX9V2xs8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=412cafb67db217107889d7f41592ed8e&oe=5F82CA27,0.0,https://www.csfmontana.com/raffle-tickets,2150909815044190,Another great offering from the Corvallis Schools Foundation!,https://facebook.com/story.php?story_fbid=2150909815044190&id=534759623325892,"Corvallis Schools Foundation
September 9 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting another of the Unique Raffle Offerings:
OUT ON THE TOWN. Delight in an evening out at the Bitterroot Brewing. Two appetizers, two pints and a $25 gift card are included in this offering.

Don’t wait too long, raffle drawing is September 18th.",0.0,"Another great offering from the Corvallis Schools Foundation!

Corvallis Schools Foundation
September 9 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting another of the Unique Raffle Offerings:
OUT ON THE TOWN. Delight in an evening out at the Bitterroot Brewing. Two appetizers, two pints and a $25 gift card are included in this offering.

Don’t wait too long, raffle drawing is September 18th.",2020-09-10 10:20:56,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118580482_1296413504038721_2729037735132835401_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=AzVtTWkj5CkAX9V2xs8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=412cafb67db217107889d7f41592ed8e&oe=5F82CA27,3.0,https://www.csfmontana.com/raffle-tickets,2150067288461776,"Please support those that support us!

https://m.facebook.com/story.php?story_fbid=1296413887372016&id=156063534740396",https://facebook.com/story.php?story_fbid=2150067288461776&id=534759623325892,"Corvallis Schools Foundation
September 9 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting another of the Unique Raffle Offerings:
OUT ON THE TOWN. Delight in an evening out at the Bitterroot Brewing. Two appetizers, two pints and a $25 gift card are included in this offering.

Don’t wait too long, raffle drawing is September 18th.",0.0,"Please support those that support us!

https://m.facebook.com/story.php?story_fbid=1296413887372016&id=156063534740396

Corvallis Schools Foundation
September 9 at 4:00 PM ·

Check out the CSF On-Line Raffle Ticket offerings at https://www.csfmontana.com/raffle-tickets.

Today we are highlighting another of the Unique Raffle Offerings:
OUT ON THE TOWN. Delight in an evening out at the Bitterroot Brewing. Two appetizers, two pints and a $25 gift card are included in this offering.

Don’t wait too long, raffle drawing is September 18th.",2020-09-09 14:28:10,,
10,1.0,,41.0,https://406mtsports.com/high-school/volleyball/defending-state-a-champion-corvallis-uses-lift-from-newcomer-in-tight-sweep-over-hamilton/article_f77b4426-6b36-5a09-b0a6-1330e9f492da.html,2149487705186401,"Congrats, ladies!",https://facebook.com/story.php?story_fbid=2149487705186401&id=534759623325892,"406MTSPORTS.COM
Defending State A champion Corvallis uses lift from newcomer in tight sweep over Hamilton",0.0,"Congrats, ladies!

406MTSPORTS.COM
Defending State A champion Corvallis uses lift from newcomer in tight sweep over Hamilton",2020-09-09 02:09:34,,
11,3.0,,25.0,https://ravallirepublic.com/news/local/article_f762c9d3-2088-5fcb-974f-ca9059b8e789.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=facebook_Ravalli_Republic,2149478941853944,,https://facebook.com/story.php?story_fbid=2149478941853944&id=534759623325892,"RAVALLIREPUBLIC.COM
School is back in session - Florence and Corvallis schools have successful first day",3.0,"RAVALLIREPUBLIC.COM
School is back in session - Florence and Corvallis schools have successful first day",2020-09-09 01:53:49,,
12,8.0,,4.0,,354135412383534,,,,0.0,,2020-09-08 20:03:40,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_2641517956101990_8166677202667763656_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=trZC8LpOApsAX8lShth&_nc_oc=AQlBT7yzJ15I51rqloGBrWUemDpiQ5eCgOWtrVlbXM7N11-YatKZJvrTmtMbbMYMRPg&_nc_ht=scontent-atl3-1.xx&oh=e1823124c0d7b3160a58d3e59d19f3e1&oe=5F828164,
