,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119045738_3326176007497068_4934401585914132079_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=kGetPLPVsBsAX-vfdmP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8391c6aaa29303e9ae7c6a48924d7139&oe=5F80E597,4.0,,3326176050830397,Information from public health.,https://facebook.com/story.php?story_fbid=3326176050830397&id=430165613764803,,0.0,Information from public health.,2020-09-09 20:38:13,,
1,0.0,,16.0,,3321581664623169,"We will now be locking our doors at all times during the day. This is to give us better tracking data about who is coming in our building at the beginning and end of the school day.

Also if you need to pick-up your child from school early during the day to call the office at 515-882-3357 when you arrive and we will bring your child out to you. It may take us a few minutes as we will go to the classroom and pick-up your child.

Thank you for helping us!",https://facebook.com/story.php?story_fbid=3321581664623169&id=430165613764803,,0.0,"We will now be locking our doors at all times during the day. This is to give us better tracking data about who is coming in our building at the beginning and end of the school day.

Also if you need to pick-up your child from school early during the day to call the office at 515-882-3357 when you arrive and we will bring your child out to you. It may take us a few minutes as we will go to the classroom and pick-up your child.

Thank you for helping us!",2020-09-08 10:50:54,,
2,0.0,,0.0,,3310366959077973,Final reminder that we will dismiss today at 2:30. Have a great long holiday weekend!,https://facebook.com/story.php?story_fbid=3310366959077973&id=430165613764803,,0.0,Final reminder that we will dismiss today at 2:30. Have a great long holiday weekend!,2020-09-04 14:25:49,,
3,0.0,,7.0,,3307012266080109,"Just a reminder that tomorrow, Friday, September 4th we have an Early Dismissal at 2:30 p.m. and there is no school on Monday, September 7, 2020 due to the Labor Day Holiday.",https://facebook.com/story.php?story_fbid=3307012266080109&id=430165613764803,,0.0,"Just a reminder that tomorrow, Friday, September 4th we have an Early Dismissal at 2:30 p.m. and there is no school on Monday, September 7, 2020 due to the Labor Day Holiday.",2020-09-03 11:45:16,,
4,0.0,,5.0,,3301061493341853,"Just want to remind parents to please take your child's temperature before they come to school each day. We are looking for their temperature to be below 100.4.

Also if your child is not feeling well please keep them home and contact your healthcare provider.

Thank you for your help!",https://facebook.com/story.php?story_fbid=3301061493341853&id=430165613764803,,0.0,"Just want to remind parents to please take your child's temperature before they come to school each day. We are looking for their temperature to be below 100.4.

Also if your child is not feeling well please keep them home and contact your healthcare provider.

Thank you for your help!",2020-09-01 13:01:39,,
5,2.0,,25.0,,3289183687862967,What a great first week of school!!! Next week we add our preschool students. After a long 6 months our school feels alive again.,https://facebook.com/story.php?story_fbid=3289183687862967&id=430165613764803,,0.0,What a great first week of school!!! Next week we add our preschool students. After a long 6 months our school feels alive again.,2020-08-28 14:09:32,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118640328_3285681338213202_7971623272458807464_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=26p9ljvD60sAX8OpAvO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ab38784db0de0366999455af17823b2d&oe=5F830905,0.0,,3285690938212242,"Iowa Lakes CC is offering FREE ESL classes for adults. See flyers below. Classes begin September 14, 2020 - Algona Campus.

Gratis Clases De Ingles
Como Segundo Idioma Para Adultos
Clases Comienzan el
14 de Septiembre del 2020
Sitio de Algona",https://facebook.com/story.php?story_fbid=3285690938212242&id=430165613764803,,0.0,"Iowa Lakes CC is offering FREE ESL classes for adults. See flyers below. Classes begin September 14, 2020 - Algona Campus.

Gratis Clases De Ingles
Como Segundo Idioma Para Adultos
Clases Comienzan el
14 de Septiembre del 2020
Sitio de Algona",2020-08-27 10:54:52,,
7,0.0,,3.0,https://www.luvernecmtysd.ia.schools.bz/docs/district/covid%20guidance%20start%20of%20school%20kcph%20082020%20(1).pdf?id=2247,3265548773559792,"UPDATE:

CWL families please read!

This document is from Kossuth County Public Health on changes to our health policies in relation to COVID-19.

https://www.luvernecmtysd.ia.schools.bz/docs/district/covid%20guidance%20start%20of%20school%20kcph%20082020%20(1).pdf?id=2247",https://facebook.com/story.php?story_fbid=3265548773559792&id=430165613764803,"LUVERNECMTYSD.IA.SCHOOLS.BZ
www.luvernecmtysd.ia.schools.bz",2.0,"UPDATE:

CWL families please read!

This document is from Kossuth County Public Health on changes to our health policies in relation to COVID-19.

https://www.luvernecmtysd.ia.schools.bz/docs/district/covid%20guidance%20start%20of%20school%20kcph%20082020%20(1).pdf?id=2247

LUVERNECMTYSD.IA.SCHOOLS.BZ
www.luvernecmtysd.ia.schools.bz",2020-08-20 15:39:05,,
8,0.0,,1.0,https://www.luvernecmtysd.ia.schools.bz/docs/district/parent%20document%20-%20start%20year.pdf?id=2246,3265343846913618,"We have posted information for parents on how they can help us in our mitigation efforts with the COVID-19 pandemic going on. This document also has some information about what we would do if the numbers warrant changes in our learning status.

We can't wait to have our students back, it feels so much better now that staff is in the building as well. Keep in mind it has been almost 6 months for our students and staff and we will all be tired the first couple of weeks!

https://www.luvernecmtysd.ia.schools.bz/docs/district/parent%20document%20-%20start%20year.pdf?id=2246",https://facebook.com/story.php?story_fbid=3265343846913618&id=430165613764803,"LUVERNECMTYSD.IA.SCHOOLS.BZ
www.luvernecmtysd.ia.schools.bz",2.0,"We have posted information for parents on how they can help us in our mitigation efforts with the COVID-19 pandemic going on. This document also has some information about what we would do if the numbers warrant changes in our learning status.

We can't wait to have our students back, it feels so much better now that staff is in the building as well. Keep in mind it has been almost 6 months for our students and staff and we will all be tired the first couple of weeks!

https://www.luvernecmtysd.ia.schools.bz/docs/district/parent%20document%20-%20start%20year.pdf?id=2246

LUVERNECMTYSD.IA.SCHOOLS.BZ
www.luvernecmtysd.ia.schools.bz",2020-08-20 14:04:14,,
9,0.0,,4.0,,3265188856929117,We are working to finalize bus route times and will be in touch with you soon. On Monday school starts for Middle School and High School in Algona. If you live in Lu Verne the Shuttle will leave the Lu Verne School at 7:18 a.m. Make sure you are here and ready to go.,https://facebook.com/story.php?story_fbid=3265188856929117&id=430165613764803,,0.0,We are working to finalize bus route times and will be in touch with you soon. On Monday school starts for Middle School and High School in Algona. If you live in Lu Verne the Shuttle will leave the Lu Verne School at 7:18 a.m. Make sure you are here and ready to go.,2020-08-20 12:52:40,,
