,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,https://highschoolofficials.com/?share=NFS-0088-Coaches-Send02,4160932340600566,,https://facebook.com/story.php?story_fbid=4160932340600566&id=359812377379267,"HIGHSCHOOLOFFICIALS.COM
Apply To Be a High School Official!",0.0,"HIGHSCHOOLOFFICIALS.COM
Apply To Be a High School Official!",2020-09-15 13:43:33,,
1,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119518842_4156206371073163_1662057814913355840_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=At-zBdg5cS8AX9l8O6r&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9bf274abe81784e1b14b962ccd109145&oe=5F869EC0,55.0,,4156208161072984,Congratulations to the Cranberry Student of the Week: Mackenzie Karnes. Great Job!,https://facebook.com/story.php?story_fbid=4156208161072984&id=359812377379267,,0.0,Congratulations to the Cranberry Student of the Week: Mackenzie Karnes. Great Job!,2020-09-14 06:59:29,,
2,0.0,,10.0,https://www.youtube.com/channel/UC1meJa3HKFdCbmWt9GjYM4Q,4146806105346523,"The school will be using the Cranberry Chronicles Youtube channel to live stream home volleyball games. Please click on the link and subscribe to the channel to view the games.

For our co-op sports, Oil City will also be using their Youtube channel for live streaming home games. Click on the link and subscribe to Oil City High School Youtube to view those games.

Please share this information with your family and friends! We look forward to sharing our CHS students' athletic competitions with you!

https://www.youtube.com/channel/UC1meJa3HKFdCbmWt9GjYM4Q

https://www.youtube.com/user/oilernews",https://facebook.com/story.php?story_fbid=4146806105346523&id=359812377379267,"YOUTUBE.COM
Cran News",4.0,"The school will be using the Cranberry Chronicles Youtube channel to live stream home volleyball games. Please click on the link and subscribe to the channel to view the games.

For our co-op sports, Oil City will also be using their Youtube channel for live streaming home games. Click on the link and subscribe to Oil City High School Youtube to view those games.

Please share this information with your family and friends! We look forward to sharing our CHS students' athletic competitions with you!

https://www.youtube.com/channel/UC1meJa3HKFdCbmWt9GjYM4Q

https://www.youtube.com/user/oilernews

YOUTUBE.COM
Cran News",2020-09-12 13:00:40,,
3,0.0,,11.0,https://www.youtube.com/channel/UCkU5fb46eqG69MtQUz-pjsg/featured,4146798745347259,"Tune in to the Oil City at Franklin Route 8 Rivalry tonight, Friday, September 11 at 7 PM. This game will be live-streamed on FHS Studios Youtube Channel. Click on the link and subscribe to watch as these two rivals battle it out on the football field!
https://www.youtube.com/channel/UCkU5fb46eqG69MtQUz-pjsg/featured",https://facebook.com/story.php?story_fbid=4146798745347259&id=359812377379267,"YOUTUBE.COM
FHS Studios",4.0,"Tune in to the Oil City at Franklin Route 8 Rivalry tonight, Friday, September 11 at 7 PM. This game will be live-streamed on FHS Studios Youtube Channel. Click on the link and subscribe to watch as these two rivals battle it out on the football field!
https://www.youtube.com/channel/UCkU5fb46eqG69MtQUz-pjsg/featured

YOUTUBE.COM
FHS Studios",2020-09-11 12:16:38,,
4,0.0,,4.0,,4144389712254829,,https://facebook.com/story.php?story_fbid=4144389712254829&id=359812377379267,"Riverview Intermediate Unit #6
September 9 at 10:18 AM ·

Guest Teacher Training at RIU6 – Substitutes needed for RIU6 Region Schools

September 15 @ RIU6 from 8-3pm.

If you have a College Degree, an Emergency Teaching Permit can be issued for you to do day to day subbing in our schools as much or as little as needed. This training is a small preparatory program with some virtual videos, lots of paperwork, a few key special education topics, and a $25 processing fee, and you can get your emergency teaching permit to substitute in our schools and make some money on off days or every day as our schools are desperate. Email mlaverde@riu6.org or call 814-297-5103.



Future Training Days:

9/15/20, 11/10/20, 1/26/21, 3/30/21

9/7/21, 11/9/21, 1/25/22, 3/29/22",7.0,"Riverview Intermediate Unit #6
September 9 at 10:18 AM ·

Guest Teacher Training at RIU6 – Substitutes needed for RIU6 Region Schools

September 15 @ RIU6 from 8-3pm.

If you have a College Degree, an Emergency Teaching Permit can be issued for you to do day to day subbing in our schools as much or as little as needed. This training is a small preparatory program with some virtual videos, lots of paperwork, a few key special education topics, and a $25 processing fee, and you can get your emergency teaching permit to substitute in our schools and make some money on off days or every day as our schools are desperate. Email mlaverde@riu6.org or call 814-297-5103.



Future Training Days:

9/15/20, 11/10/20, 1/26/21, 3/30/21

9/7/21, 11/9/21, 1/25/22, 3/29/22",2020-09-10 20:46:58,,
5,0.0,,0.0,,,"Guest Teacher Training at RIU6 – Substitutes needed for RIU6 Region Schools

September 15 @ RIU6 from 8-3pm.

If you have a College Degree, an Emergency Teaching Permit can be issued for you to do day to day subbing in our schools as much or as little as needed. This training is a small preparatory program with some virtual videos, lots of paperwork, a few key special education topics, and a $25 processing fee, and you can get your emergency teaching permit to substitute in our schools and make some money on off days or every day as our schools are desperate. Email mlaverde@riu6.org or call 814-297-5103.



Future Training Days:

9/15/20, 11/10/20, 1/26/21, 3/30/21

9/7/21, 11/9/21, 1/25/22, 3/29/22",https://facebook.com/story.php?story_fbid=2722904824696723&id=2284456305208246,,0.0,"Guest Teacher Training at RIU6 – Substitutes needed for RIU6 Region Schools

September 15 @ RIU6 from 8-3pm.

If you have a College Degree, an Emergency Teaching Permit can be issued for you to do day to day subbing in our schools as much or as little as needed. This training is a small preparatory program with some virtual videos, lots of paperwork, a few key special education topics, and a $25 processing fee, and you can get your emergency teaching permit to substitute in our schools and make some money on off days or every day as our schools are desperate. Email mlaverde@riu6.org or call 814-297-5103.



Future Training Days:

9/15/20, 11/10/20, 1/26/21, 3/30/21

9/7/21, 11/9/21, 1/25/22, 3/29/22",2020-09-16 19:23:37.168693,,
6,0.0,,14.0,https://www.youtube.com/watch?v=uxMqLl66e-c&ab_channel=CranNews,4143488325678301,"Livestreaming TONIGHT, 9/10 @ 6PM. CHS vs Moniteau Volleyball. See you there.

https://www.youtube.com/watch?v=uxMqLl66e-c&ab_channel=CranNews",https://facebook.com/story.php?story_fbid=4143488325678301&id=359812377379267,"YOUTUBE.COM
Cranberry VS. Moniteau Volleyball Scrimmage",0.0,"Livestreaming TONIGHT, 9/10 @ 6PM. CHS vs Moniteau Volleyball. See you there.

https://www.youtube.com/watch?v=uxMqLl66e-c&ab_channel=CranNews

YOUTUBE.COM
Cranberry VS. Moniteau Volleyball Scrimmage",2020-09-10 14:18:59,,
7,0.0,,14.0,,4140825009277966,,https://facebook.com/story.php?story_fbid=4140825009277966&id=359812377379267,,3.0,,2020-09-09 20:08:08,,
8,0.0,,26.0,https://youtu.be/A5p642kN4ec,4137645672929233,,https://facebook.com/story.php?story_fbid=4137645672929233&id=359812377379267,"YOUTUBE.COM
Welcome Back CHS!",11.0,"YOUTUBE.COM
Welcome Back CHS!",2020-09-08 21:48:55,,
9,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119118911_4136804153013385_7466424590656799766_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=21XjgVlHs30AX-yvu8i&_nc_ht=scontent-atl3-1.xx&tp=14&oh=abb827e7323f7a86f1d2d02e834650a7&oe=5F87FF9A,78.0,,4136804559680011,Congratulations to the Cranberry Student of the Week: Devin Zerbe. Great Job!,https://facebook.com/story.php?story_fbid=4136804559680011&id=359812377379267,,0.0,Congratulations to the Cranberry Student of the Week: Devin Zerbe. Great Job!,2020-09-08 15:44:21,,
