,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,4.0,http://sports1.tjsport.xyz/hsfootball.php,3558736580825550,Football tonight at Lennox!,https://facebook.com/story.php?story_fbid=3558736580825550&id=494795017219737,"SPORTS1.TJSPORT.XYZ
4K Sports - Live Stream",3.0,"Football tonight at Lennox!

SPORTS1.TJSPORT.XYZ
4K Sports - Live Stream",2020-09-11 15:27:16,,
1,1.0,,6.0,https://custer2020.itemorder.com/,3552483358117539,"ONE MORE DAY TO GET YOUR ON LINE ORDER IN OR YOUR STUCK BUYING THE LEFTOVERS FROM LAST YEAR. STORE CLOSES TOMORROW AT MIDNIGHT!!
https://custer2020.itemorder.com/",https://facebook.com/story.php?story_fbid=3552483358117539&id=494795017219737,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",3.0,"ONE MORE DAY TO GET YOUR ON LINE ORDER IN OR YOUR STUCK BUYING THE LEFTOVERS FROM LAST YEAR. STORE CLOSES TOMORROW AT MIDNIGHT!!
https://custer2020.itemorder.com/

CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",2020-09-09 15:15:38,,
2,0.0,,2.0,https://www.nfhsnetwork.com/schools/Lennox-high-school-Lennox-sd,3551971738168701,,https://facebook.com/story.php?story_fbid=3551971738168701&id=494795017219737,,0.0,,2020-09-09 11:55:25,,
3,0.0,,0.0,,3549894851709723,"The Custer Ravens are needing help! They need people to announce and run the clock on these days!
Please contact
Amanda O'Connor - 440-0384.
Schedule would be

9/26: 10:30 - 3:30ish
10/3: 11:30 - 4:30 is
10/10: 11:30 - 4:30ish
10/17: 10:30 - 3:30 ish
If you can’t do the whole day I’m sure they’d be happy to have you for any portion of it!",https://facebook.com/story.php?story_fbid=3549894851709723&id=494795017219737,,0.0,"The Custer Ravens are needing help! They need people to announce and run the clock on these days!
Please contact
Amanda O'Connor - 440-0384.
Schedule would be

9/26: 10:30 - 3:30ish
10/3: 11:30 - 4:30 is
10/10: 11:30 - 4:30ish
10/17: 10:30 - 3:30 ish
If you can’t do the whole day I’m sure they’d be happy to have you for any portion of it!",2020-09-08 20:13:19,,
4,0.0,,3.0,https://custer2020.itemorder.com/,3546872122011996,,https://facebook.com/story.php?story_fbid=3546872122011996&id=494795017219737,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",0.0,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",2020-09-07 20:20:39,,
5,0.0,,3.0,https://custer2020.itemorder.com/,3546474682051740,"Today is a great day to do some online shopping for Wildcat gear while you’re snuggled inside away from the cold. Check out the new logo. The store closed on Thursday 9-11-20 at midnight!!!

https://custer2020.itemorder.com/",https://facebook.com/story.php?story_fbid=3546474682051740&id=494795017219737,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",4.0,"Today is a great day to do some online shopping for Wildcat gear while you’re snuggled inside away from the cold. Check out the new logo. The store closed on Thursday 9-11-20 at midnight!!!

https://custer2020.itemorder.com/

CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",2020-09-07 16:41:32,,
6,0.0,,4.0,https://www.nfhsnetwork.com/schools/Lennox-high-school-Lennox-sd,3544120162287192,,https://facebook.com/story.php?story_fbid=3544120162287192&id=494795017219737,"NFHSNETWORK.COM
Lennox High School - Lennox, SD

David Williams shared a link to the group: Custer Football/Coach’s Corner.
September 6 at 8:27 PM ·

Football game this Friday against Lennox will live stream at",0.0,"NFHSNETWORK.COM
Lennox High School - Lennox, SD

David Williams shared a link to the group: Custer Football/Coach’s Corner.
September 6 at 8:27 PM ·

Football game this Friday against Lennox will live stream at",2020-09-06 22:32:16,,
7,0.0,,0.0,https://www.nfhsnetwork.com/schools/Lennox-high-school-Lennox-sd,,,https://facebook.com/story.php?story_fbid=10214735952831101&id=394632404737116,"David Williams shared a link to the group: Custer Football/Coach’s Corner.
September 6 at 8:27 PM ·

Football game this Friday against Lennox will live stream at",0.0,"David Williams shared a link to the group: Custer Football/Coach’s Corner.
September 6 at 8:27 PM ·

Football game this Friday against Lennox will live stream at",2020-09-12 04:11:33.145331,,
8,0.0,,2.0,https://custer2020.itemorder.com/,3531611983538010,Don’t forget to get your Wildcat gear! It will be here for homecoming! We did a store with this company last winter and they were amazing!,https://facebook.com/story.php?story_fbid=3531611983538010&id=494795017219737,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",8.0,"Don’t forget to get your Wildcat gear! It will be here for homecoming! We did a store with this company last winter and they were amazing!

CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",2020-09-02 20:40:38,,
9,1.0,,8.0,,3528091077223434,"Message from the Activities Office ~
Hello, Wildcat Fans!

Here’s what’s happening with this week’s activities:

Tuesday, Sept 1 Boys Golf @ Hot Springs (Pre Regions) 10:00am
Volleyball @ Douglas (C, JV, V) 5:00/6:00/7:00 bus leaves at 3:15pm

Thursday, Sept 3 JH Volleyball v. Hermosa (scrimmage game at high school) 4:15
Competitive Cheer @ Belle Fourche High School 4:30pm
Volleyball @ Belle Fourche Middle School (C, JV, V) 5:00/6:00/7:00 bus leaves at 2:30pm

Friday, Sept 4 Cross Country @ Spearfish (V, JV) 10:00am bus leaves at 7:00am
MS Cross Country @ Spearfish 1:00pm bus leaves at 10:00am
Football v. Spearfish 6:00 pm",https://facebook.com/story.php?story_fbid=3528091077223434&id=494795017219737,,0.0,"Message from the Activities Office ~
Hello, Wildcat Fans!

Here’s what’s happening with this week’s activities:

Tuesday, Sept 1 Boys Golf @ Hot Springs (Pre Regions) 10:00am
Volleyball @ Douglas (C, JV, V) 5:00/6:00/7:00 bus leaves at 3:15pm

Thursday, Sept 3 JH Volleyball v. Hermosa (scrimmage game at high school) 4:15
Competitive Cheer @ Belle Fourche High School 4:30pm
Volleyball @ Belle Fourche Middle School (C, JV, V) 5:00/6:00/7:00 bus leaves at 2:30pm

Friday, Sept 4 Cross Country @ Spearfish (V, JV) 10:00am bus leaves at 7:00am
MS Cross Country @ Spearfish 1:00pm bus leaves at 10:00am
Football v. Spearfish 6:00 pm",2020-09-01 18:32:23,,
10,0.0,,3.0,,3527943737238168,If you are attending you must where a mask.,https://facebook.com/story.php?story_fbid=3527943737238168&id=494795017219737,"Matt Selena Spring
September 1 at 1:07 PM ·",0.0,"If you are attending you must where a mask.

Matt Selena Spring
September 1 at 1:07 PM ·",2020-09-01 17:17:20,,
11,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=5017856578240658&id=100000490954239,,0.0,,2020-09-12 04:11:33.145340,,
12,2.0,,31.0,,3514197831946092,,https://facebook.com/story.php?story_fbid=3514197831946092&id=494795017219737,,0.0,,2020-08-28 08:14:35,,
13,1.0,,1.0,,3509983285700880,,https://facebook.com/story.php?story_fbid=3509983285700880&id=494795017219737,"David Williams‎Custer Football/Coach’s Corner
August 26 at 9:44 PM ·",2.0,"David Williams‎Custer Football/Coach’s Corner
August 26 at 9:44 PM ·",2020-08-26 23:46:27,,
14,0.0,,0.0,,,,,,0.0,,2020-09-12 04:11:33.145345,,
15,0.0,,3.0,https://custer2020.itemorder.com/,3505411486158060,"The Booster club store is back on line. Check it out and get your orders in before September 10th when the store closes. This is a local Rapid company who does good quality work and stands behind their products. Orders will be delivered the week of Homecoming.

https://custer2020.itemorder.com/",https://facebook.com/story.php?story_fbid=3505411486158060&id=494795017219737,"CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",50.0,"The Booster club store is back on line. Check it out and get your orders in before September 10th when the store closes. This is a local Rapid company who does good quality work and stands behind their products. Orders will be delivered the week of Homecoming.

https://custer2020.itemorder.com/

CUSTER2020.ITEMORDER.COM
Custer Booster Club 2020",2020-08-25 12:18:53,,
16,0.0,,3.0,http://liveticket.tv/,3503675096331699,,https://facebook.com/story.php?story_fbid=3503675096331699&id=494795017219737,"LIVETICKET.TV
Live Ticket",8.0,"LIVETICKET.TV
Live Ticket",2020-08-24 22:25:01,,
17,0.0,,3.0,,3499428640089678,,https://facebook.com/story.php?story_fbid=3499428640089678&id=494795017219737,"Jill Hohn
August 23 at 9:36 AM ·

Middle school volleyball will start practice on Monday, August 31st. Practice will be at the high school from 4:00-5:30. Lucy Goebel will be coaching 7th grade and Heather Cooper will be coaching 8th grade. I will give more information about 6th grade soon. Thank you!!",0.0,"Jill Hohn
August 23 at 9:36 AM ·

Middle school volleyball will start practice on Monday, August 31st. Practice will be at the high school from 4:00-5:30. Lucy Goebel will be coaching 7th grade and Heather Cooper will be coaching 8th grade. I will give more information about 6th grade soon. Thank you!!",2020-08-23 12:06:20,,
18,0.0,,0.0,,,"Middle school volleyball will start practice on Monday, August 31st. Practice will be at the high school from 4:00-5:30. Lucy Goebel will be coaching 7th grade and Heather Cooper will be coaching 8th grade. I will give more information about 6th grade soon. Thank you!!",https://facebook.com/story.php?story_fbid=10157626642132742&id=575772741,,0.0,"Middle school volleyball will start practice on Monday, August 31st. Practice will be at the high school from 4:00-5:30. Lucy Goebel will be coaching 7th grade and Heather Cooper will be coaching 8th grade. I will give more information about 6th grade soon. Thank you!!",2020-09-12 04:11:33.145352,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117998346_3210715369018821_7789488368802965040_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=p34-VU4rU9UAX9SlGD7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2a2b0a6b28e520cd470f9935267391fe&oe=5F8112A4,3.0,,3499084613457414,,https://facebook.com/story.php?story_fbid=3499084613457414&id=494795017219737,"Custer Elementary School
August 22 at 2:31 PM ·

Countdown to the FIRST DAY OF SCHOOL! In town bus stops reposted for your convenience!🚌",0.0,"Custer Elementary School
August 22 at 2:31 PM ·

Countdown to the FIRST DAY OF SCHOOL! In town bus stops reposted for your convenience!🚌",2020-08-23 09:48:17,,
20,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118081047_3488611804504695_982107237221732838_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=eyNz5YsEhAsAX_2rg6I&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f5caf41be3522717290494c2be3eb226&oe=5F81F4B9,59.0,,3488620461170496,"These are the 2019-20 seniors who were awarded the Booster Club scholarships. Josie Dvorak, Ember Fluck and Hunter Rice. Congratulations and good luck in your future endeavors.",https://facebook.com/story.php?story_fbid=3488620461170496&id=494795017219737,,0.0,"These are the 2019-20 seniors who were awarded the Booster Club scholarships. Josie Dvorak, Ember Fluck and Hunter Rice. Congratulations and good luck in your future endeavors.",2020-08-19 22:21:04,,
21,0.0,,0.0,,3446994018666474,,https://facebook.com/story.php?story_fbid=3446994018666474&id=494795017219737,"Jill Hohn
August 5 at 12:03 PM ·

Volleyball practice starts on August 13th for girls grades 9-12. We will have a parent meeting on August 12th at 5:30 at the armory. Please let me know if you have any questions!",0.0,"Jill Hohn
August 5 at 12:03 PM ·

Volleyball practice starts on August 13th for girls grades 9-12. We will have a parent meeting on August 12th at 5:30 at the armory. Please let me know if you have any questions!",2020-08-05 18:16:35,,
22,0.0,,0.0,,,Volleyball practice starts on August 13th for girls grades 9-12. We will have a parent meeting on August 12th at 5:30 at the armory. Please let me know if you have any questions!,https://facebook.com/story.php?story_fbid=10157583919477742&id=575772741,,0.0,Volleyball practice starts on August 13th for girls grades 9-12. We will have a parent meeting on August 12th at 5:30 at the armory. Please let me know if you have any questions!,2020-09-12 04:11:33.145359,,
23,0.0,,4.0,,3443649209000955,,https://facebook.com/story.php?story_fbid=3443649209000955&id=494795017219737,"Custer Elementary School
August 4 at 9:11 AM ·",0.0,"Custer Elementary School
August 4 at 9:11 AM ·",2020-08-04 13:49:39,,
24,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=3156968527726839&id=717375101686206,,0.0,,2020-09-12 04:11:33.145362,,
