,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119162991_766353587480725_5646231281672553081_n.png?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=rD9chfTIvKIAX9M7tYc&_nc_ht=scontent-atl3-1.xx&oh=5f8fb909ad8e7a17282a8bbf80a2a468&oe=5F8138FD,12.0,,766353584147392,"Today, September 12, is National Day of Encouragement. Take a moment to uplift those around you and make a positive impact. Make that call or send a text, and make it a habit to encourage others. We are all in this together. #DeSotoStrong",,,0.0,"Today, September 12, is National Day of Encouragement. Take a moment to uplift those around you and make a positive impact. Make that call or send a text, and make it a habit to encourage others. We are all in this together. #DeSotoStrong",2020-09-12 10:00:10,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119227406_765868434195907_6767957551506584843_n.png?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=erqGs1J4AqMAX8ru9Lu&_nc_ht=scontent-atl3-1.xx&oh=5cd42389350cd4644d0f251e9ed9c53d&oe=5F83ACBA,3.0,,765868430862574,#DeSotoStrong,,,0.0,#DeSotoStrong,2020-09-11 17:15:52,,
2,0.0,,28.0,,765579787558105,"Today, September 11th, we celebrate Patriot Day. On this day, let us all come together to remember the nearly 3000 victims who died on 9.11.01. Together, we are #DeSotoStrong #NeverForget #PatriotDay",,,0.0,"Today, September 11th, we celebrate Patriot Day. On this day, let us all come together to remember the nearly 3000 victims who died on 9.11.01. Together, we are #DeSotoStrong #NeverForget #PatriotDay",2020-09-11 08:30:01,,
3,5.0,,9.0,https://webpams.desotopsb.com/progress/,764976810951736,"You can now access your student's skills based report card (Flex Card) or progress report by visiting the Student Progress Center at https://webpams.desotopsb.com/progress/. Once you login, please make sure you review your contact information carefully. You can open the progress report by clicking on your student’s picture, and then click the Document button.

Technology has provided two videos for additional help. Please use the following link to access these videos. https://www.desotopsb.com/page/90954",https://facebook.com/story.php?story_fbid=764976810951736&id=273917803390975,"WEBPAMS.DESOTOPSB.COM
Student Progress Center",14.0,"You can now access your student's skills based report card (Flex Card) or progress report by visiting the Student Progress Center at https://webpams.desotopsb.com/progress/. Once you login, please make sure you review your contact information carefully. You can open the progress report by clicking on your student’s picture, and then click the Document button.

Technology has provided two videos for additional help. Please use the following link to access these videos. https://www.desotopsb.com/page/90954

WEBPAMS.DESOTOPSB.COM
Student Progress Center",2020-09-10 15:00:11,,
4,37.0,,42.0,,765081740941243,"Beginning Monday, September 21, students in grades 6th-12th who are currently on the A/B Hybrid schedule will transition to face to face learning Monday-Thursday, with Friday remaining virtual only.",https://facebook.com/story.php?story_fbid=765081740941243&id=273917803390975,,0.0,"Beginning Monday, September 21, students in grades 6th-12th who are currently on the A/B Hybrid schedule will transition to face to face learning Monday-Thursday, with Friday remaining virtual only.",2020-09-10 15:00:04,,
5,0.0,,9.0,https://louisianateacherprep.com/,764894780959939,FYI...The La Dept of Education has a new website that will help soon-to-be educators choose the teacher preparation program that fits them best. Please visit https://louisianateacherprep.com/ for more information. We are #DeSotoStrong!,https://facebook.com/story.php?story_fbid=764894780959939&id=273917803390975,,0.0,FYI...The La Dept of Education has a new website that will help soon-to-be educators choose the teacher preparation program that fits them best. Please visit https://louisianateacherprep.com/ for more information. We are #DeSotoStrong!,2020-09-10 09:15:15,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119170965_764363327679751_4730243845929295086_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=E-kQfBkWi34AX8SRskb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=66dc76ba7c57c287e056be1c355277cf&oe=5F81FDDE,12.0,,764363811013036,We are #DeSotoStrong,https://facebook.com/story.php?story_fbid=764363811013036&id=273917803390975,,0.0,We are #DeSotoStrong,2020-09-09 17:30:01,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118961055_763702031079214_3460351311797994313_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=F1WWwpx5GY0AX_wylSj&_nc_ht=scontent-atl3-1.xx&oh=ae4e738a9aaa6ac8428a223490068cd0&oe=5F84D107,4.0,https://youtu.be/oGLZlDCfkqk,763702797745804,"Did you know the 2020 Census count impacts the federal funds that communities receive each year for programs and services critical to our schools, students and younger children? Please make sure you complete so our students are counted. Message from our State Superintendent: https://youtu.be/oGLZlDCfkqk . #DeSotoStrong",https://facebook.com/story.php?story_fbid=763702797745804&id=273917803390975,,0.0,"Did you know the 2020 Census count impacts the federal funds that communities receive each year for programs and services critical to our schools, students and younger children? Please make sure you complete so our students are counted. Message from our State Superintendent: https://youtu.be/oGLZlDCfkqk . #DeSotoStrong",2020-09-09 09:15:00,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118995820_763672751082142_8505940987891134695_n.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=pqsjQHeQaZ4AX-XVWCl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1a4b4530f313df7d7ced7d6fde3ee0a0&oe=5F8108C6,2.0,http://www.dcfs.louisiana.gov/page/pebt-program#faq,763672747748809,"For eligible families who did not apply for the P-EBT program in May & June, the state has opened a 2nd application window for 3 weeks, which begins today, Sep. 8. For more information on this $285 per child benefit, visit http://www.dcfs.louisiana.gov/page/pebt-program#faq.",,,0.0,"For eligible families who did not apply for the P-EBT program in May & June, the state has opened a 2nd application window for 3 weeks, which begins today, Sep. 8. For more information on this $285 per child benefit, visit http://www.dcfs.louisiana.gov/page/pebt-program#faq.",2020-09-08 15:30:06,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119000799_763424507773633_8447865020902341045_n.png?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=RVfey7wLPc0AX8WdbYS&_nc_ht=scontent-atl3-1.xx&oh=c33f391105a3fb36ec3565e8c0b5ce86&oe=5F840363,14.0,,763424504440300,"Long weekend is over, so wake up and let's have a great day! #DeSotoStrong",,,0.0,"Long weekend is over, so wake up and let's have a great day! #DeSotoStrong",2020-09-08 08:15:06,,
