,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,4.0,https://forms.gle/K4oHeXaX3naFdLP86,3383619115029843,"District 205 is constantly looking for the best ways to accommodate all of our students, faculty, and community members! With your best interest in mind, we have made surveys to assist District 205 administration in determining if designating Fridays as Instructional Support Days truly benefits our District 205 student’s learning needs. Please fill out our student and parent surveys below to help us gauge what’s in your best interest:

Student Survey Link
https://forms.gle/K4oHeXaX3naFdLP86

Parent/Community Survey Link
https://forms.gle/V7dYi6ZGeCqzK3zB9",https://facebook.com/story.php?story_fbid=3383619115029843&id=160722767319510,"DOCS.GOOGLE.COM
Thornton Township High Schools District 205 Parent/Guardian/Community Member Friday Instructional Support Day Survey 2020",12.0,"District 205 is constantly looking for the best ways to accommodate all of our students, faculty, and community members! With your best interest in mind, we have made surveys to assist District 205 administration in determining if designating Fridays as Instructional Support Days truly benefits our District 205 student’s learning needs. Please fill out our student and parent surveys below to help us gauge what’s in your best interest:

Student Survey Link
https://forms.gle/K4oHeXaX3naFdLP86

Parent/Community Survey Link
https://forms.gle/V7dYi6ZGeCqzK3zB9

DOCS.GOOGLE.COM
Thornton Township High Schools District 205 Parent/Guardian/Community Member Friday Instructional Support Day Survey 2020",2020-09-08 09:05:35,,
1,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119040336_3383549655036789_3621105761302543714_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=WnxxD6eyj00AX8G7JqL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=034733f352c5a4eeb7c9ca0af1d18a81&oe=5F85206F,9.0,,3383550741703347,Join the District 205 Student Board of Education this evening at 4pm for our first SBOE meeting of the year! The 2020-2021 SBOE is excited to have another great year leading the District 205 students toward success!,https://facebook.com/story.php?story_fbid=3383550741703347&id=160722767319510,,0.0,Join the District 205 Student Board of Education this evening at 4pm for our first SBOE meeting of the year! The 2020-2021 SBOE is excited to have another great year leading the District 205 students toward success!,2020-09-08 08:38:16,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118692443_3365594630165625_6484594976654137147_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=WYC3RHIQX7YAX8_BCRd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e153a89fb2c118642e4e8932a48958de&oe=5F821AA9,4.0,,3365595073498914,"2020 Drivers Ed Remote Learning Communication:

“During Remote Learning, Drivers Education will be conducted in the virtual classroom only via Google Classroom. Behind the Wheel options will be reinstated once classes and activities have been restored at the District’s schools and programs.”
(taken from the District 205 Remote Learning Plan, pg. 34)

Until District 205 returns to in-person learning, students will be placed on a waiting list to complete the required Behind the Wheel hours, still required per the state of Illinois. Once a student turns 18, the student is no longer required to complete the behind the wheel hours, and may apply for their license.

This school year 20-21 student permits will be issued following the recommendations of the secretary of state. This may take longer than usual. You will receive explicit directions from your driver's education teacher.",https://facebook.com/story.php?story_fbid=3365595073498914&id=160722767319510,,0.0,"2020 Drivers Ed Remote Learning Communication:

“During Remote Learning, Drivers Education will be conducted in the virtual classroom only via Google Classroom. Behind the Wheel options will be reinstated once classes and activities have been restored at the District’s schools and programs.”
(taken from the District 205 Remote Learning Plan, pg. 34)

Until District 205 returns to in-person learning, students will be placed on a waiting list to complete the required Behind the Wheel hours, still required per the state of Illinois. Once a student turns 18, the student is no longer required to complete the behind the wheel hours, and may apply for their license.

This school year 20-21 student permits will be issued following the recommendations of the secretary of state. This may take longer than usual. You will receive explicit directions from your driver's education teacher.",2020-09-02 13:32:40,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118583706_3346510772074011_7459458720424815731_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=0P6zI7O02i8AX-yu67N&_nc_ht=scontent-atl3-1.xx&oh=2b18451c71f502639b204a68b714350a&oe=5F845056,3.0,https://vimeo.com/378896975/6b144572e5,3346510865407335,"District 205 has joined forces with Honest Game to ensure that all of our students are academically eligible to play at the NCAA, DI, DII and NAIA levels!

Honest Game takes students’ transcript/test scores and translates it into a College Athletic Report on Eligibility (CARETM). CARETM tracks all the academic requirements and ensures you know what to do before it’s too late. College coaches love the CARETM, because it does all the calculations for them and shows them you have a plan. There’s also a section where parents can consent for teachers to share their CARE™ with college coaches, so you don’t have to ask for permission every time a request comes in. With this new tool, District 205 will ensure our student athletes are ready for the next level!



Watch this 90 second video on Honest Game to see why we've teamed up with them!
https://vimeo.com/378896975/6b144572e5

Watch this 5 minute demo video on how Honest Game works!
https://youtu.be/YQgkI2Gq8cQ",https://facebook.com/story.php?story_fbid=3346510865407335&id=160722767319510,,0.0,"District 205 has joined forces with Honest Game to ensure that all of our students are academically eligible to play at the NCAA, DI, DII and NAIA levels!

Honest Game takes students’ transcript/test scores and translates it into a College Athletic Report on Eligibility (CARETM). CARETM tracks all the academic requirements and ensures you know what to do before it’s too late. College coaches love the CARETM, because it does all the calculations for them and shows them you have a plan. There’s also a section where parents can consent for teachers to share their CARE™ with college coaches, so you don’t have to ask for permission every time a request comes in. With this new tool, District 205 will ensure our student athletes are ready for the next level!



Watch this 90 second video on Honest Game to see why we've teamed up with them!
https://vimeo.com/378896975/6b144572e5

Watch this 5 minute demo video on how Honest Game works!
https://youtu.be/YQgkI2Gq8cQ",2020-08-27 11:52:48,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118580611_3346503842074704_6380008528021187592_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=KZiT8G7ei1cAX-ja0Yt&_nc_ht=scontent-atl3-1.xx&oh=bea97fc12b712ec9179643bb9c4221ba&oe=5F825F91,4.0,https://www.district205.net/cms/lib/IL01001003/Centricity/ModuleInstance/4129/OA%20Back%20to%20School%20Night%20Plan.2020-2021.pdf,3346506392074449,"Outlook Academy Welcomes Parents and Students to the Outlook Academy Virtual Back to School Night! You will have the opportunity to drop in and virtually meet with our teachers and staff on Thursday, September 3, 2020 between 5:00 pm and 7:00 pm. Click on the link below to see more information!

https://www.district205.net/cms/lib/IL01001003/Centricity/ModuleInstance/4129/OA%20Back%20to%20School%20Night%20Plan.2020-2021.pdf",https://facebook.com/story.php?story_fbid=3346506392074449&id=160722767319510,,0.0,"Outlook Academy Welcomes Parents and Students to the Outlook Academy Virtual Back to School Night! You will have the opportunity to drop in and virtually meet with our teachers and staff on Thursday, September 3, 2020 between 5:00 pm and 7:00 pm. Click on the link below to see more information!

https://www.district205.net/cms/lib/IL01001003/Centricity/ModuleInstance/4129/OA%20Back%20to%20School%20Night%20Plan.2020-2021.pdf",2020-08-27 11:50:58,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118309627_3337378319653923_1169079850946122340_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=bDSOsORev3sAX-f1KWa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=12219276fae4534ad3d8eff9fd9d28d2&oe=5F822607,4.0,,3337380179653737,"On Tuesday, August 25th, Dr. Nathaniel Cunningham, Jr. will be a special guest speaker during the “Community Talk” virtual roundtable via Zoom! Tune in at 3pm to hear him in the discussion concerning “School and Community in the mist of COVID-19”!",https://facebook.com/story.php?story_fbid=3337380179653737&id=160722767319510,,0.0,"On Tuesday, August 25th, Dr. Nathaniel Cunningham, Jr. will be a special guest speaker during the “Community Talk” virtual roundtable via Zoom! Tune in at 3pm to hear him in the discussion concerning “School and Community in the mist of COVID-19”!",2020-08-24 14:56:52,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118209639_3321149101276845_2616974496067547930_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=2CHRuIb1dc8AX8VfLwS&_nc_ht=scontent-atl3-1.xx&oh=f059eea00a3cb203342d548788c9a903&oe=5F83C79C,21.0,http://www.district205.net/,3321151001276655,"District 205 is extremely excited to give a warm welcome to all of our new and returning students! Today is the first day of school and we’re excited to learn even if it’s remotely! Parents and students, please remember to always check our website for constant updates, copies of the student daily schedules, Remote Learning tips, and “How-To” videos on using all of our remote learning tools!

Let’s make this a year to remember!

www.district205.net",https://facebook.com/story.php?story_fbid=3321151001276655&id=160722767319510,,0.0,"District 205 is extremely excited to give a warm welcome to all of our new and returning students! Today is the first day of school and we’re excited to learn even if it’s remotely! Parents and students, please remember to always check our website for constant updates, copies of the student daily schedules, Remote Learning tips, and “How-To” videos on using all of our remote learning tools!

Let’s make this a year to remember!

www.district205.net",2020-08-19 11:32:23,,
7,0.0,,2.0,https://www.district205.net/,3318848184840270,"Overnight, the District 205 Public Relations and Communications Department launched an updated version of the District 205 website!

We know this has caused some consternation as some links (i.e. webmail) were not available this morning. We apologize for any inconvenience and confusion. The District PR team and technology team are working to correct some of the errors that developed during the transition.

However, please note that the new website is just a new face. All the content and links are still there. We hope to have the kinks worked out and back to normal by the end of the week!

Meanwhile, please don't hesitate to visit our new website!

https://www.district205.net",https://facebook.com/story.php?story_fbid=3318848184840270&id=160722767319510,"Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

See more at
district205.net",0.0,"Overnight, the District 205 Public Relations and Communications Department launched an updated version of the District 205 website!

We know this has caused some consternation as some links (i.e. webmail) were not available this morning. We apologize for any inconvenience and confusion. The District PR team and technology team are working to correct some of the errors that developed during the transition.

However, please note that the new website is just a new face. All the content and links are still there. We hope to have the kinks worked out and back to normal by the end of the week!

Meanwhile, please don't hesitate to visit our new website!

https://www.district205.net

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

Thornton Township High Schools District 205 / Overview

See more at
district205.net",2020-08-18 17:19:52,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117947415_3318598278198594_8008738185549140894_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=fUazzv1UpYYAX9_0tbE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=08f47ee9839d6d4ab0ed65e5924eba19&oe=5F82BF5E,16.0,https://www.district205.net/Page/2577,3318617891529966,"Since March 17, 2020, District 205 has handed out lunches at designated sites throughout the township. As of August, we have delivered over 100,000 meals to our District 205 students! We are extremely proud of our administrators, security, and kitchen workers as they have all certainly met the needs of our community day after day. In meeting those needs, we have partnered with Harvey, South Holland, Thornton Township, and the state to ensure our students have meals everyday! Representative Davis, Representative Jones, and Senator Harris have worked with us to ensure that we will always have places to distribute food. As we continue remote learning this fall, our food distribution will continue as well. Students will be able to pick up food on Mondays and Thursdays. On those days, from 11:00am-12:30pm, you will receive enough food until the next pick-up day. We here at District 205 will continue to put the needs of our students and community first in everything we do!

To see all of our meal pick-up locations visit our website here:

https://www.district205.net/Page/2577",https://facebook.com/story.php?story_fbid=3318617891529966&id=160722767319510,,0.0,"Since March 17, 2020, District 205 has handed out lunches at designated sites throughout the township. As of August, we have delivered over 100,000 meals to our District 205 students! We are extremely proud of our administrators, security, and kitchen workers as they have all certainly met the needs of our community day after day. In meeting those needs, we have partnered with Harvey, South Holland, Thornton Township, and the state to ensure our students have meals everyday! Representative Davis, Representative Jones, and Senator Harris have worked with us to ensure that we will always have places to distribute food. As we continue remote learning this fall, our food distribution will continue as well. Students will be able to pick up food on Mondays and Thursdays. On those days, from 11:00am-12:30pm, you will receive enough food until the next pick-up day. We here at District 205 will continue to put the needs of our students and community first in everything we do!

To see all of our meal pick-up locations visit our website here:

https://www.district205.net/Page/2577",2020-08-18 15:28:09,,
9,0.0,,1.0,https://www.calendly.com/twregistration/new-student,3315245871867168,"From Thornwood High School:

Registration continues for all students. All returning students must utilize the online registration portal located on the school’s registration page, to submit residency and registration documents. Incoming 12th graders will also need proof of the meningitis vaccination. Incoming freshmen and transfer students must continue to make appointments to verify residency and registration documents. Appointments are officially available using the link below:

www.calendly.com/twregistration/new-student.

We have appointments available for Monday, August 17, 2020 to Friday, August 21, 2020 from 9:00a.m.-3:00pm. Chromebooks will also be available at Door 28 (autoshop) Monday—Friday, August 17th-Agust 21st, from 9:00a.m-3:00p.m. You must have completed residency and registration in order to procure a Chromebook.

If you have any questions, or are in need of registration support, please email Mr. Scott Stessl at stessl.scott@district205.net.

Please don’t delay. We are eager to provide your student with high quality education and support.",https://facebook.com/story.php?story_fbid=3315245871867168&id=160722767319510,"CALENDLY.COM
Thornwood High School New Student Registration - Maria M. Brown, Assistant Principal",0.0,"From Thornwood High School:

Registration continues for all students. All returning students must utilize the online registration portal located on the school’s registration page, to submit residency and registration documents. Incoming 12th graders will also need proof of the meningitis vaccination. Incoming freshmen and transfer students must continue to make appointments to verify residency and registration documents. Appointments are officially available using the link below:

www.calendly.com/twregistration/new-student.

We have appointments available for Monday, August 17, 2020 to Friday, August 21, 2020 from 9:00a.m.-3:00pm. Chromebooks will also be available at Door 28 (autoshop) Monday—Friday, August 17th-Agust 21st, from 9:00a.m-3:00p.m. You must have completed residency and registration in order to procure a Chromebook.

If you have any questions, or are in need of registration support, please email Mr. Scott Stessl at stessl.scott@district205.net.

Please don’t delay. We are eager to provide your student with high quality education and support.

CALENDLY.COM
Thornwood High School New Student Registration - Maria M. Brown, Assistant Principal",2020-08-17 11:45:00,,
