,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,https://bit.ly/32lqnHX,10161763568692355,Learn the latest news about ordering meals with District 287: https://bit.ly/32lqnHX #287edchat,https://facebook.com/story.php?story_fbid=10161763568692355&id=133728177354,"DISTRICT287.ORG
Serving meals in the 2020-21 school year - District 287",0.0,"Learn the latest news about ordering meals with District 287: https://bit.ly/32lqnHX #287edchat

DISTRICT287.ORG
Serving meals in the 2020-21 school year - District 287",2020-09-11 16:24:40,,
1,0.0,,4.0,,10161757446457355,,https://facebook.com/story.php?story_fbid=10161757446457355&id=133728177354,"MESSENGER
Intermediate District 287 updated their info in the about section.",0.0,"MESSENGER
Intermediate District 287 updated their info in the about section.",2020-09-09 15:45:55,,
2,0.0,,4.0,https://bit.ly/2Z5HSKx,10161757216602355,"287 Families: This week's newsletter includes important updates to our Return-to-School plan, including which student groups may return to school in each step, and the timeline for increasing steps. If our return-to-school metrics indicate it is safe to do so, we will notify families next Monday should we decide to move to step 1 starting September 28. It’s possible all 287 students will have access to in-person learning as early as October 12. We will give families a two-week notice before increasing a step. Watch for communications in the coming weeks.

English: https://bit.ly/2Z5HSKx

Spanish: https://bit.ly/3bqcRG2

Somali: https://bit.ly/3lPXnA1

#287edchat",https://facebook.com/story.php?story_fbid=10161757216602355&id=133728177354,"US10.CAMPAIGN-ARCHIVE.COM
2020-21 School Planning Update for September 8",0.0,"287 Families: This week's newsletter includes important updates to our Return-to-School plan, including which student groups may return to school in each step, and the timeline for increasing steps. If our return-to-school metrics indicate it is safe to do so, we will notify families next Monday should we decide to move to step 1 starting September 28. It’s possible all 287 students will have access to in-person learning as early as October 12. We will give families a two-week notice before increasing a step. Watch for communications in the coming weeks.

English: https://bit.ly/2Z5HSKx

Spanish: https://bit.ly/3bqcRG2

Somali: https://bit.ly/3lPXnA1

#287edchat

US10.CAMPAIGN-ARCHIVE.COM
2020-21 School Planning Update for September 8",2020-09-09 13:47:58,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118582867_10161736991002355_4879051379140417101_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=iYpGpEp58P8AX9cO77c&_nc_oc=AQmSCE5_7Lpe8rjx-NqNVBX6ZmXPFDLpmvzAQaEeePyr7Nkcm8xg3u9UZz5ovPw4Nck&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b04e3ad6d1a6ad198b3174ee37677ea7&oe=5F83D250,12.0,https://bit.ly/34wnF4b,10161736995757355,"287 families, your student can receive meals during Connected Learning. But they must be ordered & picked up through the student’s school. Please fill out your student's school order form for the upcoming week before Friday, 6 a.m. - https://bit.ly/34wnF4b #287edchat",https://facebook.com/story.php?story_fbid=10161736995757355&id=133728177354,,0.0,"287 families, your student can receive meals during Connected Learning. But they must be ordered & picked up through the student’s school. Please fill out your student's school order form for the upcoming week before Friday, 6 a.m. - https://bit.ly/34wnF4b #287edchat",2020-09-02 14:27:49,,
4,0.0,,11.0,https://youtu.be/cbZfIJyE91Q,10161729355137355,Watch the latest 287 Family Vibes episode about family rights and the IEP process: https://youtu.be/cbZfIJyE91Q #287edchat,https://facebook.com/story.php?story_fbid=10161729355137355&id=133728177354,"YOUTUBE.COM
287 Family Vibes_Family Rights and IEP Planning Process",2.0,"Watch the latest 287 Family Vibes episode about family rights and the IEP process: https://youtu.be/cbZfIJyE91Q #287edchat

YOUTUBE.COM
287 Family Vibes_Family Rights and IEP Planning Process",2020-08-30 19:35:37,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118457546_10161712939857355_1177536941493782764_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=h_VZtue4mhYAX9gZhFP&_nc_ht=scontent-atl3-1.xx&oh=5472ea233c7513353148d74ea67a2ab0&oe=5F83FE60,3.0,https://bit.ly/3ldyrSP,10161712940727355,"287 Families: This week's update includes how to order meals, family rights and the IEP planning process, our classroom and school cleaning procedures, and more!

English: https://bit.ly/3ldyrSP

Spanish: https://bit.ly/3liYmsi

Somali: https://bit.ly/3aR013w

#287edchat",https://facebook.com/story.php?story_fbid=10161712940727355&id=133728177354,,0.0,"287 Families: This week's update includes how to order meals, family rights and the IEP planning process, our classroom and school cleaning procedures, and more!

English: https://bit.ly/3ldyrSP

Spanish: https://bit.ly/3liYmsi

Somali: https://bit.ly/3aR013w

#287edchat",2020-08-25 10:33:29,,
6,0.0,,3.0,https://bit.ly/34wnF4b,10161712717617355,"287 families, your student can receive meals during Connected Learning. But they must be ordered & picked up through the student’s school. Please fill out your student's school order form by Aug. 28th at 6 am - https://bit.ly/34wnF4b. The Sept. 8-11 pack includes 4 breakfasts & 4 lunches. #287edchat",https://facebook.com/story.php?story_fbid=10161712717617355&id=133728177354,"DISTRICT287.ORG
Families: Order Student Meals by August 28 - District 287",2.0,"287 families, your student can receive meals during Connected Learning. But they must be ordered & picked up through the student’s school. Please fill out your student's school order form by Aug. 28th at 6 am - https://bit.ly/34wnF4b. The Sept. 8-11 pack includes 4 breakfasts & 4 lunches. #287edchat

DISTRICT287.ORG
Families: Order Student Meals by August 28 - District 287",2020-08-25 09:16:19,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118217899_10161693236537355_2209922688089356199_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=Daa7acf-q7UAX-8seIV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f894c579498b06bf6c3a00854c6546a3&oe=5F81756D,1.0,https://paypams.com/OnlineApp.aspx,10161693237212355,"287 Families, is it time to start thinking about school? Fill out a meal application: https://paypams.com/OnlineApp.aspx.
#287edchat",https://facebook.com/story.php?story_fbid=10161693237212355&id=133728177354,,0.0,"287 Families, is it time to start thinking about school? Fill out a meal application: https://paypams.com/OnlineApp.aspx.
#287edchat",2020-08-19 09:22:44,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117034820_10161643603777355_4391714470688964066_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=8ZI7TE4_-coAX9ZunRT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=69bab02827e475e0445d06f7a6cb686c&oe=5F8299B9,2.0,https://bit.ly/3i593My,10161643604052355,"Education for Liberation Minnesota is seeking Black, Indigenous, People of Color Educators who center Ethnic Studies and Indigenous Studies to become mentors. Join the virtual kickoff, Aug 6, 10-11:45 am: https://bit.ly/3i593My. More info: https://bit.ly/2XozTan #287edchat",https://facebook.com/story.php?story_fbid=10161643604052355&id=133728177354,,0.0,"Education for Liberation Minnesota is seeking Black, Indigenous, People of Color Educators who center Ethnic Studies and Indigenous Studies to become mentors. Join the virtual kickoff, Aug 6, 10-11:45 am: https://bit.ly/3i593My. More info: https://bit.ly/2XozTan #287edchat",2020-08-04 12:55:36,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117161427_10161642870122355_2415726051060801783_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=Sbuv5902gAEAX970iN2&_nc_ht=scontent-atl3-1.xx&oh=c45e3e61b187235ba37e368976aa1bf7&oe=5F8275FE,2.0,https://bit.ly/31cWN5P,10161642873832355,"287 Families: This week's update includes 287's promise during COVID-19 and the draft back to school plan.
English: https://bit.ly/31cWN5P
Spanish: https://bit.ly/30p4ZAY
Somali: https://bit.ly/3fqzHOj
#287edchat",https://facebook.com/story.php?story_fbid=10161642872022355&id=133728177354,,0.0,"287 Families: This week's update includes 287's promise during COVID-19 and the draft back to school plan.
English: https://bit.ly/31cWN5P
Spanish: https://bit.ly/30p4ZAY
Somali: https://bit.ly/3fqzHOj
#287edchat",2020-08-03 21:00:00,,
