,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
<<<<<<< HEAD
0,0.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118523727_1713128055506736_5081830208331841521_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=pSU14LLMiR4AX8WBix2&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=a5dd703b36f33c309c902b112e9eb766&oe=5F84EDAE,4.0,,1713128142173394,Here is the health screening form for parents to use daily and also an Arabic translation.,https://facebook.com/story.php?story_fbid=1713128142173394&id=828192750666942,,0.0,Here is the health screening form for parents to use daily and also an Arabic translation.,2020-08-31 21:50:16,,
1,2.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119394057_1723403981145810_6579679819588004086_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=9E7RMN4gcVIAX990FHi&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=c0c60868e9bb2c1f489f5114c836e22c&oe=5F84BCEE,6.0,https://dhsd7.zoom.us/j/83864522476?pwd=dVI2U1ZQNmk3ZzNUWEJXSkdCQlQ3dz09,1723403977812477,"September 16th, 2020 Board of Education Meeting to be held Virtually at 7pm - Attached is the audience agenda for the September 16th Board meeting. Please note this is a virtual zoom meeting. You do not need to pre-register for this meeting.
=======
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118523727_1713128055506736_5081830208331841521_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=pSU14LLMiR4AX8C7kda&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3d9ca1e887c202d6ae1c6de477086439&oe=5F84EDAE,4.0,,1713128142173394,Here is the health screening form for parents to use daily and also an Arabic translation.,https://facebook.com/story.php?story_fbid=1713128142173394&id=828192750666942,,0.0,Here is the health screening form for parents to use daily and also an Arabic translation.,2020-08-31 21:50:16,,
1,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119394057_1723403981145810_6579679819588004086_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=9E7RMN4gcVIAX_OXUXm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1754e347ab82f5c41eb879b218868b1d&oe=5F84BCEE,6.0,https://dhsd7.zoom.us/j/83864522476?pwd=dVI2U1ZQNmk3ZzNUWEJXSkdCQlQ3dz09,1723403977812477,"September 16th, 2020 Board of Education Meeting to be held Virtually at 7pm - Attached is the audience agenda for the September 16th Board meeting. Please note this is a virtual zoom meeting. You do not need to pre-register for this meeting.
>>>>>>> master

Please click the link below to join the webinar:
https://dhsd7.zoom.us/j/83864522476?pwd=dVI2U1ZQNmk3ZzNUWEJXSkdCQlQ3dz09 http://edl.io/n1264818",,,0.0,"September 16th, 2020 Board of Education Meeting to be held Virtually at 7pm - Attached is the audience agenda for the September 16th Board meeting. Please note this is a virtual zoom meeting. You do not need to pre-register for this meeting.

Please click the link below to join the webinar:
https://dhsd7.zoom.us/j/83864522476?pwd=dVI2U1ZQNmk3ZzNUWEJXSkdCQlQ3dz09 http://edl.io/n1264818",2020-09-11 14:39:11,,
<<<<<<< HEAD
2,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119087057_1723174321168776_7010947435534153184_n.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=iox5XzSwqNUAX_KAspz&_nc_oc=AQkJ_1QQMmNScUJBOOzKZ8HUV34uBTFrT_wYv778FrJKTlj_8jYTB3QptDAgg79Rzv8&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=a04bf9c742fe0bdf8710641d3052a518&oe=5F831E83,9.0,https://www.resa.net/community,1723174317835443,"We want to inform you about a RENEWAL of a current school millage that will be on the November ballot - Keeping our schools strong is a key part of keeping our community strong. Learn about the Wayne RESA regional enhancement millage renewal on the Tuesday, November 3, ballot:
https://www.resa.net/community http://edl.io/n1288781",,,0.0,"We want to inform you about a RENEWAL of a current school millage that will be on the November ballot - Keeping our schools strong is a key part of keeping our community strong. Learn about the Wayne RESA regional enhancement millage renewal on the Tuesday, November 3, ballot:
https://www.resa.net/community http://edl.io/n1288781",2020-09-11 09:06:05,,
3,5.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118962775_1723145097838365_8935227549588683000_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=x8ciYXsScZwAX9Yj1D_&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=3ecf6ae8ceef2765cd695165d657d8cc&oe=5F8497CE,51.0,,1723145094505032,We will never forget those we lost on 9/11. 🇺🇸🗽,,,0.0,We will never forget those we lost on 9/11. 🇺🇸🗽,2020-09-11 08:30:12,,
