,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119142549_3304877852935327_6898665621050857238_o.jpg?_nc_cat=100&_nc_sid=e007fa&_nc_ohc=svCP3Ean1CwAX-HUFRr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=99ff7770923035b5de93c6ecf509cf7f&oe=5F8285F1,18.0,,,,,"Dobbs Ferry School District added 23 new photos.
September 9 at 3:33 PM ·

Principal Patrick Mussolini welcomed the initial cohort of Middle School students back on campus and teachers, staff and students were excited to reunite. Everyone fell right into step with in-person and remote instruction and the students even got to experience a ""mask break"" during their first day. A gorgeous fall morning to kick-off the new school year!",0.0,"Dobbs Ferry School District added 23 new photos.
September 9 at 3:33 PM ·

Principal Patrick Mussolini welcomed the initial cohort of Middle School students back on campus and teachers, staff and students were excited to reunite. Everyone fell right into step with in-person and remote instruction and the students even got to experience a ""mask break"" during their first day. A gorgeous fall morning to kick-off the new school year!",2020-09-09 15:33:43,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119030964_3304799276276518_5099559231177583596_o.jpg?_nc_cat=108&_nc_sid=e007fa&_nc_ohc=xGhUIFRs6kgAX9e93Gt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d9687ec505bf36454ab4b13934037c74&oe=5F84409C,24.0,,,,,"Dobbs Ferry School District added 29 new photos.
September 9 at 3:08 PM ·

Principal John Falino welcomed Dobbs Ferry High School students back-to-school for either remote or in-person orientations for each grade. DFHS teachers and staff are ready to go and are looking forward to a smooth start to classes which begin this morning. Have a great year!",0.0,"Dobbs Ferry School District added 29 new photos.
September 9 at 3:08 PM ·

Principal John Falino welcomed Dobbs Ferry High School students back-to-school for either remote or in-person orientations for each grade. DFHS teachers and staff are ready to go and are looking forward to a smooth start to classes which begin this morning. Have a great year!",2020-09-09 15:08:46,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119081290_3304738686282577_5324641889380863052_o.jpg?_nc_cat=103&_nc_sid=e007fa&_nc_ohc=N183B22V0WIAX_oOM6O&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3b3613f2232e8cbe8e95c3301fecab5d&oe=5F82C709,55.0,,,,,"Dobbs Ferry School District added 55 new photos.
September 9 at 2:34 PM ·

Principal Julia Drake said it best, ""Today was a wonderful first day of school, and a historic one at that! It was incredible to have the students back in the building and so worthwhile to walk the halls and see all of our teachers and staff interacting with one another and the children. This has been a long time coming and it was so heartwarming to see."" Welcome BTS!",0.0,"Dobbs Ferry School District added 55 new photos.
September 9 at 2:34 PM ·

Principal Julia Drake said it best, ""Today was a wonderful first day of school, and a historic one at that! It was incredible to have the students back in the building and so worthwhile to walk the halls and see all of our teachers and staff interacting with one another and the children. This has been a long time coming and it was so heartwarming to see."" Welcome BTS!",2020-09-09 14:34:09,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118951208_3299650250124754_7865276386858742412_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=kIPsyNwSt9sAX-CsWpX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=674933f3566fe96ca5aa550be86c1ac6&oe=5F8547E5,23.0,https://entry.neric.org/dobbsferryschools,3299662340123545,"WELCOME BACK-TO-SCHOOL DOBBS FERRY!
Please remember to take the online medical assessment every morning before leaving for school. Click on https://entry.neric.org/dobbsferryschools",https://facebook.com/story.php?story_fbid=3299662340123545&id=317915818298227,,0.0,"WELCOME BACK-TO-SCHOOL DOBBS FERRY!
Please remember to take the online medical assessment every morning before leaving for school. Click on https://entry.neric.org/dobbsferryschools",2020-09-07 23:48:56,,
4,2.0,,27.0,,3290096954413417,TGIF with Francis...practicing the correct way to wear his mask in school!,,,0.0,TGIF with Francis...practicing the correct way to wear his mask in school!,2020-09-04 22:07:09,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118783858_3285683668188079_2900943464734084905_o.jpg?_nc_cat=106&_nc_sid=e007fa&_nc_ohc=iijLL8P2EnwAX92HZ-K&_nc_oc=AQkxJBpcWEtLofLAK2Fdst9Tv959O0bZLjNA0nA9oVLbLPnT9hbgiDZ-ThxT8b4QyiY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a5ae46a0f59b0186ddfd26670ec8e221&oe=5F84FBC9,39.0,,,,,"Dobbs Ferry School District added 30 new photos.
September 3 at 12:32 PM ·

For the 2020-2021 school year, we are delighted to welcome approximately 124 new kindergarten students and their parents to Springhurst Elementary School this fall. Principal Julia Drake and Assistant Principal Ray Cavallo held a wonderful in-person social distancing variation on the annual Kindergarten Visiting Day in the all-purpose room. Our youngest students and their family were able to talk to kindergarten teachers, become familiar with the building and even meet some of the other children in their class. Students also had the opportunity to walk through a school bus on their own, which was the highlight of the visit! Springhurst Rocks!",0.0,"Dobbs Ferry School District added 30 new photos.
September 3 at 12:32 PM ·

For the 2020-2021 school year, we are delighted to welcome approximately 124 new kindergarten students and their parents to Springhurst Elementary School this fall. Principal Julia Drake and Assistant Principal Ray Cavallo held a wonderful in-person social distancing variation on the annual Kindergarten Visiting Day in the all-purpose room. Our youngest students and their family were able to talk to kindergarten teachers, become familiar with the building and even meet some of the other children in their class. Students also had the opportunity to walk through a school bus on their own, which was the highlight of the visit! Springhurst Rocks!",2020-09-03 12:32:32,,
6,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118652677_3282591805163932_2438591195121151032_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=WqMXOfAAX9YAX8KsuwR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=68ea2891b65c80da33da449b330c2381&oe=5F84B906,67.0,,3282610698495376,"Today was the all-District Superintendents conference and faculty and staff came back to campus after many 6 months apart. THANK YOU for the heartwarming chalks signs created by students and parents last night (It was not supposed to rain!!!) to welcome back our wonderful DFSD teachers and staff! Some parents were even there this morning with welcome signs that were taped to the entrances.

Shout out to Lisa Salvetti for this thoughtful gesture and organizing, and Rita Kennedy for sharing some night owl photos! Can't say enough about our terrific Dobbs Ferry school family!",https://facebook.com/story.php?story_fbid=3282610698495376&id=317915818298227,,0.0,"Today was the all-District Superintendents conference and faculty and staff came back to campus after many 6 months apart. THANK YOU for the heartwarming chalks signs created by students and parents last night (It was not supposed to rain!!!) to welcome back our wonderful DFSD teachers and staff! Some parents were even there this morning with welcome signs that were taped to the entrances.

Shout out to Lisa Salvetti for this thoughtful gesture and organizing, and Rita Kennedy for sharing some night owl photos! Can't say enough about our terrific Dobbs Ferry school family!",2020-09-02 13:39:11,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118766343_3282070598549386_8749314663446974769_o.jpg?_nc_cat=108&_nc_sid=e007fa&_nc_ohc=PNOZX9rafrkAX9PLmDt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8af7d9f7b82b2f8938434bcec875f463&oe=5F82E6F0,35.0,,,,,"Dobbs Ferry School District added 15 new photos.
September 2 at 10:39 AM ·

Administrators welcomed new teachers to the Dobbs Ferry School District last week. Even with social distancing, the atmosphere was inviting, and teacher mentors also met with their individual charges to offer advice and guidance for the coming year. So excited to have you join our DFSD team!",0.0,"Dobbs Ferry School District added 15 new photos.
September 2 at 10:39 AM ·

Administrators welcomed new teachers to the Dobbs Ferry School District last week. Even with social distancing, the atmosphere was inviting, and teacher mentors also met with their individual charges to offer advice and guidance for the coming year. So excited to have you join our DFSD team!",2020-09-02 10:39:02,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118791688_3282025078553938_8066176426721682254_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=f5C1Bct85OQAX8H5sZI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=760af927550f35396e651de62b5a0af7&oe=5F82D76F,27.0,https://entry.neric.org/dobbsferryschools,3282027111887068,,https://facebook.com/story.php?story_fbid=3282027111887068&id=317915818298227,,0.0,,2020-09-02 10:03:38,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117763850_3253836834706096_7154771927614112483_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=Sa4hum5xJYUAX8v1t8r&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d320064ccff5570ed661787bbbaf43ee&oe=5F853CD0,12.0,,3253837164706063,"Dobbs Ferry, Section 1 and NYSPHSAA Athletic Update:

Fall sports registration on Family ID is currently postponed until districts have a clear understanding of the status of fall sports and what this entails. Governor Cuomo made an announcement at 11:45am today that addressed fall sports. NYSPHAA, Executive Directors throughout the state, and Section 1 will be meeting within the next 24-48 hours to formulate a plan based on today's announcement. I will continue to keep you updated on fall sports and the registration process as information becomes available.",https://facebook.com/story.php?story_fbid=3253837164706063&id=317915818298227,,0.0,"Dobbs Ferry, Section 1 and NYSPHSAA Athletic Update:

Fall sports registration on Family ID is currently postponed until districts have a clear understanding of the status of fall sports and what this entails. Governor Cuomo made an announcement at 11:45am today that addressed fall sports. NYSPHAA, Executive Directors throughout the state, and Section 1 will be meeting within the next 24-48 hours to formulate a plan based on today's announcement. I will continue to keep you updated on fall sports and the registration process as information becomes available.",2020-08-24 13:30:15,,
