,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118786479_209831220567144_4312294555621169903_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=xPdRihxqOFsAX93q1Zo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=748b09ff6f2c657e9128b5eb4d43c195&oe=5F810E7D,3.0,https://www.desch.org/sites/desch.org/files/files/Private_User/lauraberndt/Web%20docs/COVID_9.11.2020_1.pdf,209831363900463,"Here is the latest update from Dover-Eyota Schools.

The full article, with larger text, can be found here: https://www.desch.org/sites/desch.org/files/files/Private_User/lauraberndt/Web%20docs/COVID_9.11.2020_1.pdf

The decision tree this guidance is based upon:
https://www.health.state.mn.us/diseases/coronavirus/schools/exguide.pdf

Clarification on the decision tree released today:
https://drive.google.com/file/d/1f3o-QAKsMTvODbwX8TT4uEuGmflRSTvx/view?usp=sharing

Ways parents can help protect their children:
https://familyvoicesofminnesota.org/wp-content/uploads/2020/08/Back-to-School-Planning-for-In-Person-Classes.",https://facebook.com/story.php?story_fbid=209831363900463&id=116602689889998,,0.0,"Here is the latest update from Dover-Eyota Schools.

The full article, with larger text, can be found here: https://www.desch.org/sites/desch.org/files/files/Private_User/lauraberndt/Web%20docs/COVID_9.11.2020_1.pdf

The decision tree this guidance is based upon:
https://www.health.state.mn.us/diseases/coronavirus/schools/exguide.pdf

Clarification on the decision tree released today:
https://drive.google.com/file/d/1f3o-QAKsMTvODbwX8TT4uEuGmflRSTvx/view?usp=sharing

Ways parents can help protect their children:
https://familyvoicesofminnesota.org/wp-content/uploads/2020/08/Back-to-School-Planning-for-In-Person-Classes.",2020-09-11 15:37:53,,
1,0.0,,2.0,https://desch.org/page/3390,209758143907785,"Starting on Monday, September 14, there will be OPTIONAL 7-12 volleyball, 7 & 8 football, and 9-12 football practices.

**These are not required practices; this is an opportunity given by MSHSL to allow athletes and coaches to get together to practice since there is no fall season.**

For more information, call or stop in the MS/HS Office, or visit desch.org/page/3390. No participation fee will be charged for these practices.
🏐🏈🦅",https://facebook.com/story.php?story_fbid=209758143907785&id=116602689889998,"DESCH.ORG
HS/MS Daily Announcements - High School Home - Dover-Eyota Public Schools",0.0,"Starting on Monday, September 14, there will be OPTIONAL 7-12 volleyball, 7 & 8 football, and 9-12 football practices.

**These are not required practices; this is an opportunity given by MSHSL to allow athletes and coaches to get together to practice since there is no fall season.**

For more information, call or stop in the MS/HS Office, or visit desch.org/page/3390. No participation fee will be charged for these practices.
🏐🏈🦅

DESCH.ORG
HS/MS Daily Announcements - High School Home - Dover-Eyota Public Schools",2020-09-11 10:01:41,,
2,0.0,,1.0,,939213113219257,,,"MON, JAN 11, 2021 AT 5:30 PM CST
School Board Meeting",0.0,"MON, JAN 11, 2021 AT 5:30 PM CST
School Board Meeting",2020-09-10 15:00:01,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118950952_209545700595696_8276404971596968312_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=utET6Ru31C8AX9IU9s3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bf7ceacc70ef48b53b48155bf1c98cf8&oe=5F808960,0.0,https://www.desch.org/page/3605,209532747263658,"Applications for Educational Benefits are available at:
https://www.desch.org/page/3605

Read the full article, with larger text, here:
https://www.desch.org/sites/desch.org/files/files/Private_User/lauraberndt/Web%20docs/F%26N%20Update%209.10.20_updated%20link.pdf",https://facebook.com/story.php?story_fbid=209532747263658&id=116602689889998,,0.0,"Applications for Educational Benefits are available at:
https://www.desch.org/page/3605

Read the full article, with larger text, here:
https://www.desch.org/sites/desch.org/files/files/Private_User/lauraberndt/Web%20docs/F%26N%20Update%209.10.20_updated%20link.pdf",2020-09-10 13:43:21,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118946822_209517417265191_6895629799480998149_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=wng48D0cXVwAX962_og&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fa60d74bca4ff2be6cddb7e362592dde&oe=5F821AE1,0.0,https://www.generalasp.com/desch/OnlineApp/default.aspx,209517450598521,"Check out this opportunity with Dover-Eyota Public Schools!

Apply here: https://www.generalasp.com/desch/OnlineApp/default.aspx",https://facebook.com/story.php?story_fbid=209517450598521&id=116602689889998,,0.0,"Check out this opportunity with Dover-Eyota Public Schools!

Apply here: https://www.generalasp.com/desch/OnlineApp/default.aspx",2020-09-10 12:36:12,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118999397_208677450682521_7979838147110411094_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=Q89F8bcz3hkAX-kntdV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8f295dce6a19726712f51057308136f4&oe=5F829B3A,2.0,https://www.generalasp.com/desch/OnlineApp/default.aspx,208677480682518,"Check out this opportunity with Dover-Eyota Public Schools!

Apply here: https://www.generalasp.com/desch/OnlineApp/default.aspx",https://facebook.com/story.php?story_fbid=208677480682518&id=116602689889998,,0.0,"Check out this opportunity with Dover-Eyota Public Schools!

Apply here: https://www.generalasp.com/desch/OnlineApp/default.aspx",2020-09-08 12:40:43,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118972646_208658257351107_3415801660775507948_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=3IPScgqzADsAX_l8kpd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=138ae603a588d4f00a1fa34b37e6f64d&oe=5F8324A1,44.0,,208658527351080,"Today is the first day of in-person learning for students (in Group A) at D-E MS/HS. Welcome back! Have a great school year, everyone! 🍏📕📝💗",https://facebook.com/story.php?story_fbid=208658527351080&id=116602689889998,,0.0,"Today is the first day of in-person learning for students (in Group A) at D-E MS/HS. Welcome back! Have a great school year, everyone! 🍏📕📝💗",2020-09-08 11:01:15,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118559435_206673624216237_5005971918084017802_o.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=DJcLwWb9LlAAX9JO_dq&_nc_ht=scontent-atl3-1.xx&oh=fd2bcb990c17f167beb94c95ffb1290c&oe=5F8265E1,0.0,,206673707549562,"Reminder: There is no school on Monday, September 7th. Have a safe and fun Labor Day!",https://facebook.com/story.php?story_fbid=206673707549562&id=116602689889998,,0.0,"Reminder: There is no school on Monday, September 7th. Have a safe and fun Labor Day!",2020-09-04 09:00:00,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118848837_206884460861820_2113757259919902340_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=0GKBcMyjXvMAX8lFEl9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7857502fd00d7c384e04f2b24d55e217&oe=5F81E86B,69.0,,206884770861789,"Today is the first day of school! Our Dover-Eyota staff are thrilled to welcome back students (both in person, and online!) Have a great school year, everyone! 📖🍏📝💗",https://facebook.com/story.php?story_fbid=206884770861789&id=116602689889998,,0.0,"Today is the first day of school! Our Dover-Eyota staff are thrilled to welcome back students (both in person, and online!) Have a great school year, everyone! 📖🍏📝💗",2020-09-03 10:51:45,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118510087_206673340882932_1170326912380399395_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=4YJYsdz2MGAAX_zCxtY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=85e4806d22a8fd7b82a2ce703d776ada&oe=5F8414CA,34.0,,206673454216254,,https://facebook.com/story.php?story_fbid=206673454216254&id=116602689889998,,0.0,,2020-09-03 07:00:14,,
