,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118915439_3390181921059282_4808575302455604867_o.jpg?_nc_cat=108&_nc_sid=9e2e56&_nc_ohc=fSvDr737bmsAX-BQ39_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0f0aeeb2f8c693d322f23d8db8ef9aee&oe=5F821939,1.0,,3390181971059277,"Good rainy morning! If your student is blended or remote and working at home today, don’t forget to complete the daily attendance! Elementary students will have their parents mark the attendance in their IC Parent Portal. Select ‘today’ and then your student and you should see the option to mark attendance under your child’s picture. Secondary students should be doing this through their IC Student Portal. Attendance guides for students and parents are on the website!",https://facebook.com/story.php?story_fbid=3390181971059277&id=135063636571143,,0.0,"Good rainy morning! If your student is blended or remote and working at home today, don’t forget to complete the daily attendance! Elementary students will have their parents mark the attendance in their IC Parent Portal. Select ‘today’ and then your student and you should see the option to mark attendance under your child’s picture. Secondary students should be doing this through their IC Student Portal. Attendance guides for students and parents are on the website!",2020-09-10 11:33:05,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118849950_3384286078315533_4688374289589908253_o.jpg?_nc_cat=106&_nc_sid=9e2e56&_nc_ohc=HinQHYIWGyAAX_SA2AY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d6cc22f0c8a095d91384619f64e66963&oe=5F826CE5,15.0,,3384286104982197,"Guess who is back open for curbside business?! Common Grounds Cafe! Located inside the public library and ran by students with disabilities, this cafe offers specialty drinks (some that the kids created like this Corey’s Chocolate Chai!), sandwiches from Bread and the freshest muffins. Stop by and place your order on the phone and they will deliver to the curb. Open week days from 10-2!",https://facebook.com/story.php?story_fbid=3384286104982197&id=135063636571143,,0.0,"Guess who is back open for curbside business?! Common Grounds Cafe! Located inside the public library and ran by students with disabilities, this cafe offers specialty drinks (some that the kids created like this Corey’s Chocolate Chai!), sandwiches from Bread and the freshest muffins. Stop by and place your order on the phone and they will deliver to the curb. Open week days from 10-2!",2020-09-08 13:54:10,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118572607_3359621307448677_6920394709720865102_o.jpg?_nc_cat=109&_nc_sid=9e2e56&_nc_ohc=6qBRjiPoUTgAX_7ma3B&_nc_ht=scontent-atl3-1.xx&tp=14&oh=485928b25559d0014dca3847890b0451&oe=5F8289F7,35.0,,3359622140781927,Happy first day of school! We are so excited to have students and staff back in action. #firstdayofschool #welcomeback #durango,https://facebook.com/story.php?story_fbid=3359622140781927&id=135063636571143,,0.0,Happy first day of school! We are so excited to have students and staff back in action. #firstdayofschool #welcomeback #durango,2020-08-31 14:35:03,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118239958_3350484238362384_1932544943019729837_o.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=8t6jUIvlp5wAX-KFESn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ff82e02075930fc1c02b9721292b95c8&oe=5F8236B2,2.0,http://durangoschools.org/,3350484235029051,School starts Monday! And we couldn't be more excited. Please see our website at durangoschools.org for a welcome back video and important reminders.,,,0.0,School starts Monday! And we couldn't be more excited. Please see our website at durangoschools.org for a welcome back video and important reminders.,2020-08-28 15:03:38,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118363589_3347823748628433_1190078343244069514_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=JRhI1ms0K7wAX9QUYPJ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dd9a268dfdcbcaff8dc5d6bf58776482&oe=5F8246E9,2.0,http://Durangoschools.org/,3347823745295100,"Check out our website at Durangoschools.org for a new article about meal services, preordering meals, online meal calendar and meals in the classroom!",,,0.0,"Check out our website at Durangoschools.org for a new article about meal services, preordering meals, online meal calendar and meals in the classroom!",2020-08-27 19:01:33,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117893245_3323482031062605_39693106112954579_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=cJ7Pu7oL41EAX9Tto0V&_nc_ht=scontent-atl3-1.xx&tp=14&oh=db0c858020043c72f58057f2e6aee2da&oe=5F816C9C,0.0,https://www.durangoschools.org/apps/news/article/1277173,3323482027729272,"Durango School District 9-R’s after school enrichment program is hiring Program Site Coordinators, Aides, and Substitutes (pick your own schedule!) for the 2020/21 school year.

We are an enrichment program providing educational activities and fun for elementary school students after school. Positions begin ASAP and runs through June 3, 2021.

More info:
https://www.durangoschools.org/apps/news/article/1277173",,,0.0,"Durango School District 9-R’s after school enrichment program is hiring Program Site Coordinators, Aides, and Substitutes (pick your own schedule!) for the 2020/21 school year.

We are an enrichment program providing educational activities and fun for elementary school students after school. Positions begin ASAP and runs through June 3, 2021.

More info:
https://www.durangoschools.org/apps/news/article/1277173",2020-08-19 18:41:26,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117813879_3319453858132089_5538499838915939038_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=-W06TVpXQAYAX-BrR7g&_nc_ht=scontent-atl3-1.xx&tp=14&oh=317e816c7a64580ba323b815cef7d4bd&oe=5F83C992,14.0,,3319453854798756,"We are so grateful to Discover Goodwill of Southern and Western Colorado ! All these gift cards will help kids get what they need as they head back to school. Be sure to donate to Goodwill on our behalf in support of this awesome program. If you need some for your student, check in with your school during the upcoming open houses/fall check ins. #grateful #thanks",,,0.0,"We are so grateful to Discover Goodwill of Southern and Western Colorado ! All these gift cards will help kids get what they need as they head back to school. Be sure to donate to Goodwill on our behalf in support of this awesome program. If you need some for your student, check in with your school during the upcoming open houses/fall check ins. #grateful #thanks",2020-08-18 10:43:09,,
7,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116623710_3299321193478689_1060954233334881825_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=FI-BwGXlbHQAX9oqSxf&_nc_oc=AQnbGrmCc9F45g5Fja2eU9nAxzR6XaLj3d7XSEmlIZeOVOiVZikNM7Zquo9gDRXvt80&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0f2846c8db2427eae0cf65fa098f6cbe&oe=5F82FEBE,4.0,,3299321190145356,"The Student Learning Model Selection Form is now closed. Thank you to all the families that completed this form, as this information is so important to plan for a successful return! If you didn’t complete the form, please contact your school to inform them of your decision to go back in person, try the blended model or do the 9-R remote learning model. Also, don’t forget to register your student(s) in your IC Parent Portal!",,,0.0,"The Student Learning Model Selection Form is now closed. Thank you to all the families that completed this form, as this information is so important to plan for a successful return! If you didn’t complete the form, please contact your school to inform them of your decision to go back in person, try the blended model or do the 9-R remote learning model. Also, don’t forget to register your student(s) in your IC Parent Portal!",2020-08-11 17:10:58,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116859498_3280917745319034_3876199260955483459_n.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=1eMv3fO1I-MAX__k6du&_nc_ht=scontent-atl3-1.xx&tp=14&oh=25dea369f485bacaecc6ff5121320e7c&oe=5F812BC9,5.0,http://www.durangoschools.org/returntolearn9R/,3280917741985701,"Thank you for all your great feedback and participation in helping develop a final Return to Learn 9-R plan for the fall. Visit the website at www.durangoschools.org/returntolearn9R/ for a video message and highlights on the changes to the plan, as well as to access the plan itself. We have two more days of community engagements sessions. Mark your calendars for 8/6 at 7:30 am, 12:00 and 6:00 pm and for 8/7 at 7:30 am and 12:00 pm. Zoom login details are available in the calendar sections of all websites!",,,0.0,"Thank you for all your great feedback and participation in helping develop a final Return to Learn 9-R plan for the fall. Visit the website at www.durangoschools.org/returntolearn9R/ for a video message and highlights on the changes to the plan, as well as to access the plan itself. We have two more days of community engagements sessions. Mark your calendars for 8/6 at 7:30 am, 12:00 and 6:00 pm and for 8/7 at 7:30 am and 12:00 pm. Zoom login details are available in the calendar sections of all websites!",2020-08-05 12:47:25,,
9,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116433008_3267234996687309_6099261659044981015_n.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=aQat4VHeyWEAX946fvQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=39f0f63b05cacdae1706d4f3e3a8c918&oe=5F83BC47,3.0,http://durangoschools.org/,3267234993353976,Visit our website at durangoschools.org for updates from the district about the Return to Learn plan and selecting your learning models. Hope you all have a great weekend!,,,0.0,Visit our website at durangoschools.org for updates from the district about the Return to Learn plan and selecting your learning models. Hope you all have a great weekend!,2020-07-31 19:45:30,,
