,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,52.0,,1218342211834696,"Continuing the first week of school excitement, this morning Group B attended their first in-person day of the 2020-2021 year! Assistant Superintendent Dr. Dave Casamento visited WTCMS/HS and Bowling Green to help welcome everyone back. #GreatHappensHere20_21",https://facebook.com/story.php?story_fbid=1218342211834696&id=482260688776189,,0.0,"Continuing the first week of school excitement, this morning Group B attended their first in-person day of the 2020-2021 year! Assistant Superintendent Dr. Dave Casamento visited WTCMS/HS and Bowling Green to help welcome everyone back. #GreatHappensHere20_21",2020-09-10 14:11:04,,
1,0.0,,15.0,,1217628268572757,"🎥 A “Welcome Back” message from Superintendent of Schools, Dr. Card! #GreatHappensHere20_21",,,0.0,"🎥 A “Welcome Back” message from Superintendent of Schools, Dr. Card! #GreatHappensHere20_21",2020-09-09 15:31:12,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118927012_651740108881333_5170613113801544503_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=gXpM9rgl-_sAX86e1Yg&_nc_ht=video-atl3-1.xx&oh=59a943c2a21c38cf5e6629d5896abaa2&oe=5F5ECEF8,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119037804_1217582981910619_6266588755017710299_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=IFp_b0iY36gAX9X0sDW&_nc_ht=scontent-atl3-1.xx&oh=a3727e6f63c77696a8a7d0c9835d1e99&oe=5F85291D,34.0,,1217585388577045,"Five students from East Meadow and W.T. Clarke High Schools have been named semifinalists in the 2021 National Merit Scholarship Program. Congratulations to Isabella Conti, Patrick Donnelly, Faiz Irshad, Shruti Patel and Justin Guo on their impressive accomplishment! #GreatHappensHere20_21",https://facebook.com/story.php?story_fbid=1217585388577045&id=482260688776189,,0.0,"Five students from East Meadow and W.T. Clarke High Schools have been named semifinalists in the 2021 National Merit Scholarship Program. Congratulations to Isabella Conti, Patrick Donnelly, Faiz Irshad, Shruti Patel and Justin Guo on their impressive accomplishment! #GreatHappensHere20_21",2020-09-09 14:15:35,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118788049_1216661918669392_3905997154659751730_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=UnqtnXWKHOgAX9nx7cF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b82750312553c9b93d231c71fd240bfd&oe=5F8546E7,100.0,,1216663852002532,"Welcome back, East Meadow 📚💻😄 The first group of students returned in person today, while some tuned in from home for virtual learning. Superintendent Dr. Card helped to welcome Parkway and East Meadow High School students, here are some highlights! #GreatHappensHere20_21",https://facebook.com/story.php?story_fbid=1216663852002532&id=482260688776189,,0.0,"Welcome back, East Meadow 📚💻😄 The first group of students returned in person today, while some tuned in from home for virtual learning. Superintendent Dr. Card helped to welcome Parkway and East Meadow High School students, here are some highlights! #GreatHappensHere20_21",2020-09-08 11:37:40,,
4,0.0,,55.0,https://youtu.be/nmT2U1vFo18,1213408212328096,"On behalf of the entire East Meadow School District, our principals would like to welcome students and the community to the 2020-2021 school year. While things may looks different this year, we are ready and excited for the first day on September 8. Always remember, whether in person or virtual, #GreatHappensHere thanks to each and every one of you!

https://youtu.be/nmT2U1vFo18",https://facebook.com/story.php?story_fbid=1213408212328096&id=482260688776189,"YOUTUBE.COM
EastMeadow WelcomeBack 083120",9.0,"On behalf of the entire East Meadow School District, our principals would like to welcome students and the community to the 2020-2021 school year. While things may looks different this year, we are ready and excited for the first day on September 8. Always remember, whether in person or virtual, #GreatHappensHere thanks to each and every one of you!

https://youtu.be/nmT2U1vFo18

YOUTUBE.COM
EastMeadow WelcomeBack 083120",2020-09-04 11:02:26,,
5,0.0,,8.0,,1205100339825550,,,,0.0,,2020-08-25 14:34:04,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117616854_1201157210219863_2840251960733395870_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=Pipymny3zVQAX-8tnbO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8c64ddb5d0e1dff1402ad79fe2c771c8&oe=5F85B3B8,4.0,https://www.emufsd.us/our_district/district_reopening_plan,1201157410219843,"Visit the district reopening page to access recordings of previous town hall meetings: https://www.emufsd.us/our_district/district_reopening_plan

#GreatHappensHere20_21",https://facebook.com/story.php?story_fbid=1201157410219843&id=482260688776189,,0.0,"Visit the district reopening page to access recordings of previous town hall meetings: https://www.emufsd.us/our_district/district_reopening_plan

#GreatHappensHere20_21",2020-08-20 20:30:57,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117775406_1195403474128570_7314947132001858577_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=lCrTJLeD2NAAX8mUnrS&_nc_ht=scontent-atl3-1.xx&oh=18d6c6b9eec8903c27583e6c99f6a528&oe=5F83D1D4,3.0,https://zoom.us/j/98593199822,1198410520494532,"Elementary meeting is tonight @ 6:00 p.m.
Link: https://zoom.us/j/98593199822",https://facebook.com/story.php?story_fbid=1198410520494532&id=482260688776189,"East Meadow School District
August 14 at 9:38 AM ·

The following Town Hall Meetings will be held for the East Meadow community based on grade levels. The link to all of these webinars is: https://zoom.us/j/98593199822

Elementary Schools
Monday, August 17 from 6:00 p.m. to 7:30 p.m.

Middle Schools
Tuesday, August 18 from 6:00 p.m. to 7:30 p.m.

High Schools
Wednesday, August 19 from 6:00 p.m. to 7:30 p.m.",0.0,"Elementary meeting is tonight @ 6:00 p.m.
Link: https://zoom.us/j/98593199822

East Meadow School District
August 14 at 9:38 AM ·

The following Town Hall Meetings will be held for the East Meadow community based on grade levels. The link to all of these webinars is: https://zoom.us/j/98593199822

Elementary Schools
Monday, August 17 from 6:00 p.m. to 7:30 p.m.

Middle Schools
Tuesday, August 18 from 6:00 p.m. to 7:30 p.m.

High Schools
Wednesday, August 19 from 6:00 p.m. to 7:30 p.m.",2020-08-17 16:44:55,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117428659_1198406570494927_9039361147775697188_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=YZmxwm_HZqIAX85qAaV&_nc_ht=scontent-atl3-1.xx&oh=32171d2b62ae7b7efe5a4d9403078161&oe=5F830379,42.0,,1198407123828205,"🚨IMPORTANT INFO: The Board of Education approved a change to the 2020/2021 School Calendar. The new student start date will be on Tuesday, September 8. Superintendent’s Conference Day will be on September 1 through September 4.

#GreatHappensHere20_21",https://facebook.com/story.php?story_fbid=1198407123828205&id=482260688776189,,0.0,"🚨IMPORTANT INFO: The Board of Education approved a change to the 2020/2021 School Calendar. The new student start date will be on Tuesday, September 8. Superintendent’s Conference Day will be on September 1 through September 4.

#GreatHappensHere20_21",2020-08-17 16:38:19,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117775406_1195403474128570_7314947132001858577_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=lCrTJLeD2NAAX8mUnrS&_nc_ht=scontent-atl3-1.xx&oh=18d6c6b9eec8903c27583e6c99f6a528&oe=5F83D1D4,16.0,https://zoom.us/j/98593199822,1195404327461818,"The following Town Hall Meetings will be held for the East Meadow community based on grade levels. The link to all of these webinars is: https://zoom.us/j/98593199822

Elementary Schools
Monday, August 17 from 6:00 p.m. to 7:30 p.m.

Middle Schools
Tuesday, August 18 from 6:00 p.m. to 7:30 p.m.

High Schools
Wednesday, August 19 from 6:00 p.m. to 7:30 p.m.",https://facebook.com/story.php?story_fbid=1195404327461818&id=482260688776189,,0.0,"The following Town Hall Meetings will be held for the East Meadow community based on grade levels. The link to all of these webinars is: https://zoom.us/j/98593199822

Elementary Schools
Monday, August 17 from 6:00 p.m. to 7:30 p.m.

Middle Schools
Tuesday, August 18 from 6:00 p.m. to 7:30 p.m.

High Schools
Wednesday, August 19 from 6:00 p.m. to 7:30 p.m.",2020-08-14 09:38:07,,
