,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://www.surveymonkey.com/r/QN6BN3G,1440560582817402,"Seeking responses from residents of Windham and Tolland Counties!

Health Equity Solutions is collecting information to ensure that Connecticut’s COVID-19 response and recovery efforts include health equity.

The survey asks respondents to identify concerns and proposed solutions to those concerns. These results are shared with policymakers, other decision-makers, philanthropy, and Health Equity Solutions’ partners on a regular basis. The survey can be taken multiple times, and can be found here:

English Survey Link: https://www.surveymonkey.com/r/QN6BN3G
Spanish Survey Link: https://www.surveymonkey.com/r/HES_Spanish
Haitian-Creole Survey Link: https://www.surveymonkey.com/r/HES_Haitian-Creole

Summary results are available on their website and will be updated, http://hesct.org/covid-19/covid-19-health-equity-community-assessment-summary/.

Lastly, Health Equity Solutions is holding listening sessions, which can be found here: https://bit.ly/2RfLogR",https://facebook.com/story.php?story_fbid=1440560582817402&id=180844012122405,"HESCT.SALSALABS.ORG
Come join Health Equity Solutions Listening Sessions",0.0,"Seeking responses from residents of Windham and Tolland Counties!

Health Equity Solutions is collecting information to ensure that Connecticut’s COVID-19 response and recovery efforts include health equity.

The survey asks respondents to identify concerns and proposed solutions to those concerns. These results are shared with policymakers, other decision-makers, philanthropy, and Health Equity Solutions’ partners on a regular basis. The survey can be taken multiple times, and can be found here:

English Survey Link: https://www.surveymonkey.com/r/QN6BN3G
Spanish Survey Link: https://www.surveymonkey.com/r/HES_Spanish
Haitian-Creole Survey Link: https://www.surveymonkey.com/r/HES_Haitian-Creole

Summary results are available on their website and will be updated, http://hesct.org/covid-19/covid-19-health-equity-community-assessment-summary/.

Lastly, Health Equity Solutions is holding listening sessions, which can be found here: https://bit.ly/2RfLogR

HESCT.SALSALABS.ORG
Come join Health Equity Solutions Listening Sessions",2020-09-10 14:21:46,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118993889_1439668969573230_1748664345871423639_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=VPSYjJCaNf4AX-rBrro&_nc_ht=scontent-atl3-1.xx&oh=7e44a31db49c65248a28fc42c878d0c8&oe=5F8304A4,0.0,https://docs.google.com/document/d/1n3-eY1GZ2yvsChowM32Xyji78mZdlwA-5stoLyywrHM/edit,1439669946239799,"COABE wants to share your stories with our national leaders. Send Your Videos for
Adult Education and Family Literacy Week

Take videos on your cell phone, and COABE will add the pizzaz!
Due 9/15/2020 to advocacy@coabe.org.
Review their guidelines (https://docs.google.com/document/d/1n3-eY1GZ2yvsChowM32Xyji78mZdlwA-5stoLyywrHM/edit).",https://facebook.com/story.php?story_fbid=1439669946239799&id=180844012122405,,0.0,"COABE wants to share your stories with our national leaders. Send Your Videos for
Adult Education and Family Literacy Week

Take videos on your cell phone, and COABE will add the pizzaz!
Due 9/15/2020 to advocacy@coabe.org.
Review their guidelines (https://docs.google.com/document/d/1n3-eY1GZ2yvsChowM32Xyji78mZdlwA-5stoLyywrHM/edit).",2020-09-09 11:52:00,,
2,0.0,,0.0,http://normthedog.org/,1433435236863270,Meet Norm,https://facebook.com/story.php?story_fbid=1433435236863270&id=180844012122405,"Generations Family Health Center
September 1 at 2:40 PM ·

Meet Norm! The COVID-19 Community Watchdog! Norm is here to teach us some tricks to keep us as safe as possible. Let's all make friends with the new NORM - the official ""mask-ot"" of ALL generations! To learn about Norm, click the link: normthedog.org",0.0,"Meet Norm

Generations Family Health Center
September 1 at 2:40 PM ·

Meet Norm! The COVID-19 Community Watchdog! Norm is here to teach us some tricks to keep us as safe as possible. Let's all make friends with the new NORM - the official ""mask-ot"" of ALL generations! To learn about Norm, click the link: normthedog.org",2020-09-02 09:25:35,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118315449_676900812916205_1038220677552623048_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=jzA9F4QLKW8AX9nmK2S&_nc_ht=video-atl3-1.xx&oh=6320e584c8cd0d1ece190cb96f5e50e0&oe=5F5CECA4,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118265341_1422681374605323_2749851423893089163_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=hsSbd9fe4SUAX96OilN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=80b097d3c36c428f9c29a3e5a8d52ef0&oe=5F808C3B,7.0,,1422681534605307,"Here is what Adriana Pardo from Colombia said about our virtual ESL class, “I enrolled for ESL summer semester at EASTCONN and I really enjoyed the ESL classes. I practiced speaking in English on Zoom and my technology skills also improved. Thank you to Elizabeth and Shelly for their patience. It was a very good experience!”",https://facebook.com/story.php?story_fbid=1422681534605307&id=180844012122405,,0.0,"Here is what Adriana Pardo from Colombia said about our virtual ESL class, “I enrolled for ESL summer semester at EASTCONN and I really enjoyed the ESL classes. I practiced speaking in English on Zoom and my technology skills also improved. Thank you to Elizabeth and Shelly for their patience. It was a very good experience!”",2020-08-21 12:50:33,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118138612_1420964024777058_7539347797054728322_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=pQjF77OXhDsAX8C1DPJ&_nc_ht=scontent-atl3-1.xx&oh=a121377a95a019bbd3d22cd58cda0641&oe=5F830D06,2.0,,1420966331443494,"A letter to our new and returning students. If you haven't registered for classes this year, reach out to us as soon as possible.",https://facebook.com/story.php?story_fbid=1420966331443494&id=180844012122405,,0.0,"A letter to our new and returning students. If you haven't registered for classes this year, reach out to us as soon as possible.",2020-08-19 18:25:51,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117442682_1419921261548001_6633633599568691495_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=8noCkZzqGhcAX9amBtC&_nc_ht=scontent-atl3-1.xx&oh=56fda011c3db81ea215d4514bdee61bb&oe=5F81C981,5.0,,1419922128214581,"Marinho and Katiane (a married couple from Brazil) participated in our summer ESL online classes. Here is what they said about our virtual ESL program:

""Dynamic classes, with current topics that motivate discussion. The teachers are excellent--they allow the students to be comfortable for conversation and help them to overcome difficulties with the English language. In addition to conversational skills, there are also reading and grammar activities offered. EASTCONN also offers technological support, so that students have all the necessary tools and supports to learn a new language.""",https://facebook.com/story.php?story_fbid=1419922128214581&id=180844012122405,,0.0,"Marinho and Katiane (a married couple from Brazil) participated in our summer ESL online classes. Here is what they said about our virtual ESL program:

""Dynamic classes, with current topics that motivate discussion. The teachers are excellent--they allow the students to be comfortable for conversation and help them to overcome difficulties with the English language. In addition to conversational skills, there are also reading and grammar activities offered. EASTCONN also offers technological support, so that students have all the necessary tools and supports to learn a new language.""",2020-08-19 12:06:00,,
6,0.0,,1.0,,1416418431898284,,https://facebook.com/story.php?story_fbid=1416418431898284&id=180844012122405,,0.0,,2020-08-14 14:14:19,,
7,0.0,,1.0,,1413822608824533,Fall classes are starting the week of September 14th. Have you done the new school year paperwork yet? Call 860-779-3770 or 860-423-2591 and leave a message or message us on facebook and we will be reaching out to you .,https://facebook.com/story.php?story_fbid=1413822608824533&id=180844012122405,,0.0,Fall classes are starting the week of September 14th. Have you done the new school year paperwork yet? Call 860-779-3770 or 860-423-2591 and leave a message or message us on facebook and we will be reaching out to you .,2020-08-11 13:51:34,,
8,0.0,,4.0,https://rb.gy/1w4osf,1412812995592161,"Virtual House Call for Parents and Families.
The State Department of Education, together with health care providers, such as pediatricians and school medical experts, will host a virtual house call for parents and families to ask the medical experts about COVID-19 and safe strategies for back-to-school.

Date: Thursday, August 13, 2020
Time: 5:00 pm to 6:00 pm
Link to register https://rb.gy/1w4osf",https://facebook.com/story.php?story_fbid=1412812995592161&id=180844012122405,"CTSERC.ZOOM.US
Welcome! You are invited to join a meeting: Connecticut State Department of Education School Medical Advisors: Supporting School Health & Safety Webinar #3. After registering, you will receive a confirmation email about joining the meeting.",3.0,"Virtual House Call for Parents and Families.
The State Department of Education, together with health care providers, such as pediatricians and school medical experts, will host a virtual house call for parents and families to ask the medical experts about COVID-19 and safe strategies for back-to-school.

Date: Thursday, August 13, 2020
Time: 5:00 pm to 6:00 pm
Link to register https://rb.gy/1w4osf

CTSERC.ZOOM.US
Welcome! You are invited to join a meeting: Connecticut State Department of Education School Medical Advisors: Supporting School Health & Safety Webinar #3. After registering, you will receive a confirmation email about joining the meeting.",2020-08-10 09:28:46,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116042067_1403406253199502_4838699800516804193_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=4AMwN4DCBq8AX85Y1SK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5a88018aee2a73de6314ba0b6ff8182e&oe=5F8320FE,2.0,,1403406566532804,Are you aged 17-24 and out of school? Contact us today to learn about this FREE program! #Learn2Earn #JET #EASTCONNAdultPrograms,https://facebook.com/story.php?story_fbid=1403406566532804&id=180844012122405,,0.0,Are you aged 17-24 and out of school? Contact us today to learn about this FREE program! #Learn2Earn #JET #EASTCONNAdultPrograms,2020-07-30 09:19:41,,
10,0.0,,1.0,http://2020CENSUS.GOV/,1391169567756504,"It's not too late, you still have time to fill out your census.",https://facebook.com/story.php?story_fbid=1391169567756504&id=180844012122405,"U.S. Census Bureau
June 28 at 3:00 PM ·

The #2020Census is your once-in-a-decade chance to shape the future of your family and community. Complete the census today. Learn more at 2020CENSUS.GOV.",0.0,"It's not too late, you still have time to fill out your census.

U.S. Census Bureau
June 28 at 3:00 PM ·

The #2020Census is your once-in-a-decade chance to shape the future of your family and community. Complete the census today. Learn more at 2020CENSUS.GOV.",2020-07-15 11:47:23,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/106683253_293763215148749_2428149605075279693_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=k8UoX5wQRq0AX-jl6m5&_nc_ht=video-atl3-1.xx&oh=dfba00b5ef85a91e4d22aac810ced6c7&oe=5F5CEE2A,
11,0.0,,2.0,http://WWW.2020CENSUS.GOV/,1384633635076764,It's not too late.,https://facebook.com/story.php?story_fbid=1384633635076764&id=180844012122405,"U.S. Census Bureau
January 15 at 6:10 PM ·

The U.S. Census Bureau proudly presents this powerful rendition of “This is Me” performed by Native Hawaiian and Pacific Islander artists and dancers from across the country to invite and inspire their community to be seen, heard, and counted in the 2020 Census.

Shape our future. Start here. Learn more WWW.2020CENSUS.GOV.",0.0,"It's not too late.

U.S. Census Bureau
January 15 at 6:10 PM ·

The U.S. Census Bureau proudly presents this powerful rendition of “This is Me” performed by Native Hawaiian and Pacific Islander artists and dancers from across the country to invite and inspire their community to be seen, heard, and counted in the 2020 Census.

Shape our future. Start here. Learn more WWW.2020CENSUS.GOV.",2020-07-07 08:35:44,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_1023119188049824_939167970196717568_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=MFISlt7bb98AX9TE2-p&_nc_ht=video-atl3-1.xx&oh=2871b81db4087bb3b475655a8d8869d7&oe=5F5CEEA9,
12,0.0,,2.0,http://ct.gov/coronavirus,1380678802138914,"Governor Lamont is encouraging Connecticut residents to sign up for CTAlert, the state’s emergency alert system, which provides text message notifications to users. To subscribe, text the keyword COVIDCT to 888-777.

Providing information to Connecticut residents

For the most up-to-date information from the State of Connecticut on COVID-19, including an FAQ and other guidance and resources, residents are encouraged to visit ct.gov/coronavirus.",https://facebook.com/story.php?story_fbid=1380678802138914&id=180844012122405,"PORTAL.CT.GOV
Connecticut COVID-19 Response",0.0,"Governor Lamont is encouraging Connecticut residents to sign up for CTAlert, the state’s emergency alert system, which provides text message notifications to users. To subscribe, text the keyword COVIDCT to 888-777.

Providing information to Connecticut residents

For the most up-to-date information from the State of Connecticut on COVID-19, including an FAQ and other guidance and resources, residents are encouraged to visit ct.gov/coronavirus.

PORTAL.CT.GOV
Connecticut COVID-19 Response",2020-07-02 10:19:34,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104697035_10158331781834491_4840444367090155605_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=DolB2d8ogZIAX-hPzNz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d941039232827a17a7b015c795f9e5de&oe=5F827B7F,1.0,https://www.eastconn.org/csacademy,1379342312272563,,https://facebook.com/story.php?story_fbid=1379342312272563&id=180844012122405,"EASTCONN
June 30 at 5:00 AM ·

Classes start Monday, July 13!
EASTCONN's Customer Service Academy invites eastern Connecticut adults to participate in a new, FREE, 5-week online customer service training program, made possible by a generous grant from Walmart. There are NO income eligibility requirements to participate in the Customer Service Academy - participants attend for FREE, thanks to the Walmart grant.
To learn more and to register, go to: https://www.eastconn.org/csacademy",5.0,"EASTCONN
June 30 at 5:00 AM ·

Classes start Monday, July 13!
EASTCONN's Customer Service Academy invites eastern Connecticut adults to participate in a new, FREE, 5-week online customer service training program, made possible by a generous grant from Walmart. There are NO income eligibility requirements to participate in the Customer Service Academy - participants attend for FREE, thanks to the Walmart grant.
To learn more and to register, go to: https://www.eastconn.org/csacademy",2020-06-30 16:16:04,,
14,0.0,,1.0,https://my2020census.gov/,1374508632755931,"Su comunidad lo necesita! Llene su formulario del Censo del 2020 hoy!

https://my2020census.gov/",https://facebook.com/story.php?story_fbid=1374508632755931&id=180844012122405,"YOUTUBE.COM
Dale forma a su futuro: el Censo del 2020",0.0,"Su comunidad lo necesita! Llene su formulario del Censo del 2020 hoy!

https://my2020census.gov/

YOUTUBE.COM
Dale forma a su futuro: el Censo del 2020",2020-06-24 16:51:11,,
15,0.0,,2.0,https://my2020census.gov/,1374502872756507,"Due to the COVID-19 outbreak, the deadline for the 2020 Census has been EXTENDED to provide you additional time to get your Census form completed.

Visit https://my2020census.gov/ and make sure you and your family GET COUNTED today!",https://facebook.com/story.php?story_fbid=1374502872756507&id=180844012122405,"YOUTUBE.COM
2020 Census PSA: What is the 2020 Census? (:30)",0.0,"Due to the COVID-19 outbreak, the deadline for the 2020 Census has been EXTENDED to provide you additional time to get your Census form completed.

Visit https://my2020census.gov/ and make sure you and your family GET COUNTED today!

YOUTUBE.COM
2020 Census PSA: What is the 2020 Census? (:30)",2020-06-24 16:38:50,,
16,0.0,,0.0,,1374305482776246,,https://facebook.com/story.php?story_fbid=1374305482776246&id=180844012122405,,0.0,,2020-06-24 11:31:18,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/105968576_1374200846120043_4706164056325005037_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=cCYKmu6xth0AX_m8yiW&_nc_ht=scontent-atl3-1.xx&oh=05b0cc66263149c6cc2903e9bb896fe0&oe=5F82EB47,0.0,,1374201482786646,"Windham: Free summer meals for kids
Windham: Comidas gratis de Verano para niños",https://facebook.com/story.php?story_fbid=1374201482786646&id=180844012122405,,0.0,"Windham: Free summer meals for kids
Windham: Comidas gratis de Verano para niños",2020-06-24 09:29:26,,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104816686_1372813119592149_6326906985101439136_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=K3IaW_UcxFMAX9rLZ7-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4b24fb5bcccd013324b3daff945d8bb6&oe=5F809C26,5.0,https://drive.google.com/file/d/18hxrW4LTAu25WEscR1MOLHmz77LlvjjT/view?usp=sharing,1372813426258785,"Congratulations, Alexis Petersdorff, Class of 2020! You deserve to be proud of yourself for achieving this goal. Thanks for sharing your story: https://drive.google.com/file/d/18hxrW4LTAu25WEscR1MOLHmz77LlvjjT/view?usp=sharing #adulteducation #graduate2020",https://facebook.com/story.php?story_fbid=1372813426258785&id=180844012122405,,0.0,"Congratulations, Alexis Petersdorff, Class of 2020! You deserve to be proud of yourself for achieving this goal. Thanks for sharing your story: https://drive.google.com/file/d/18hxrW4LTAu25WEscR1MOLHmz77LlvjjT/view?usp=sharing #adulteducation #graduate2020",2020-06-23 06:30:06,,
19,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104373163_1369395756600552_7362390886915415137_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=bei-uVkKd5cAX86CRQx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bbb9c5fb2f90e64c612259753635b0d7&oe=5F82FF0B,4.0,https://drive.google.com/file/d/1bCUlBIAtHHmke3WfQM7F7FyNC0P3Ro93/view?usp=sharing,1369396983267096,"Congratulations, Desiree Courtemanche, Class of 2020! Desiree's advice to a teenager now is ""Don't wait! It's harder when you are older. I wanted nothing more than to be done with school. When I finally was, I missed it. Now that I'm almost 30, I would give anything to go back and do it the right way."" Learn more about Desiree in her graduate profile: https://drive.google.com/file/d/1bCUlBIAtHHmke3WfQM7F7FyNC0P3Ro93/view?usp=sharing
#adulteducation #graduate2020 #ged2020",https://facebook.com/story.php?story_fbid=1369396983267096&id=180844012122405,,0.0,"Congratulations, Desiree Courtemanche, Class of 2020! Desiree's advice to a teenager now is ""Don't wait! It's harder when you are older. I wanted nothing more than to be done with school. When I finally was, I missed it. Now that I'm almost 30, I would give anything to go back and do it the right way."" Learn more about Desiree in her graduate profile: https://drive.google.com/file/d/1bCUlBIAtHHmke3WfQM7F7FyNC0P3Ro93/view?usp=sharing
#adulteducation #graduate2020 #ged2020",2020-06-22 06:30:40,,
20,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104410970_1369391526600975_8419066712994239636_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=sDldLEvtLtQAX85cgo1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8b04bb754fb681c87458a4774cf037fc&oe=5F8174EA,6.0,https://drive.google.com/file/d/1J-v_Ek2rNzLq36Ps7maxQws9vY7NKIvz/view?usp=sharing,1369392096600918,"Congratulations, Elizabeth Hunt, Class of 2020! Elizabeth's favorite quote is ""You've been given this life because you are strong enough to handle it."" She dedicates her diploma to her beautiful daughter, Ava. Learn more about Elizabeth in her graduate profile: https://drive.google.com/file/d/1J-v_Ek2rNzLq36Ps7maxQws9vY7NKIvz/view?usp=sharing
#adulteducation #graduate2020",https://facebook.com/story.php?story_fbid=1369392096600918&id=180844012122405,,0.0,"Congratulations, Elizabeth Hunt, Class of 2020! Elizabeth's favorite quote is ""You've been given this life because you are strong enough to handle it."" She dedicates her diploma to her beautiful daughter, Ava. Learn more about Elizabeth in her graduate profile: https://drive.google.com/file/d/1J-v_Ek2rNzLq36Ps7maxQws9vY7NKIvz/view?usp=sharing
#adulteducation #graduate2020",2020-06-19 06:27:24,,
21,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/104320160_1369386053268189_1930096343744034682_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=Y2w2nFMfXKUAX_T6FSl&_nc_ht=scontent-atl3-1.xx&oh=bfbdfe6a5fda19a9e38511316b1383f7&oe=5F80B875,4.0,https://drive.google.com/file/d/1zxI8yzHx35HEN2EQuq2gEPKKQOf5M52F/view?usp=sharing,1369390249934436,"As part of an ESL class project, Rosi interviewed a friend about his immigration experience. https://drive.google.com/file/d/1zxI8yzHx35HEN2EQuq2gEPKKQOf5M52F/view?usp=sharing",https://facebook.com/story.php?story_fbid=1369390249934436&id=180844012122405,,0.0,"As part of an ESL class project, Rosi interviewed a friend about his immigration experience. https://drive.google.com/file/d/1zxI8yzHx35HEN2EQuq2gEPKKQOf5M52F/view?usp=sharing",2020-06-18 14:45:37,,
22,0.0,,1.0,,1367663983440396,Congratulations class of 2020! You stayed focused and finished despite tremendous obstacles- you are strong and you are determined. Now go change the world!,https://facebook.com/story.php?story_fbid=1367663983440396&id=180844012122405,"EASTCONN Adult Education Program
June 8 at 2:46 PM ·

EASTCONN's teachers and staff congratulating our students on their success.",0.0,"Congratulations class of 2020! You stayed focused and finished despite tremendous obstacles- you are strong and you are determined. Now go change the world!

EASTCONN Adult Education Program
June 8 at 2:46 PM ·

EASTCONN's teachers and staff congratulating our students on their success.",2020-06-16 18:37:39,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/103913311_203963507341080_7135450089490110376_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=-hC5s12kQkoAX9DKc5M&_nc_ht=video-atl3-1.xx&oh=316154e9f2ca4aa330752dad69a846f9&oe=5F5CF3E8,
23,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104187355_1363245360548925_4128732968141087493_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=GOd-dh5mvSsAX8sXHDs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc4d1b5bbe76964b6b3464124140d6a5&oe=5F83EC52,0.0,,1363245710548890,Sharing some resources for our students and friends in Windham area.,https://facebook.com/story.php?story_fbid=1363245710548890&id=180844012122405,,0.0,Sharing some resources for our students and friends in Windham area.,2020-06-11 13:17:24,,
24,0.0,,7.0,,1360737820799679,EASTCONN's teachers and staff congratulating our students on their success.,,,0.0,EASTCONN's teachers and staff congratulating our students on their success.,2020-06-08 14:50:47,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/103913311_203963507341080_7135450089490110376_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=-hC5s12kQkoAX9DKc5M&_nc_ht=video-atl3-1.xx&oh=316154e9f2ca4aa330752dad69a846f9&oe=5F5CF3E8,
