,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,4.0,,2150573868405825,"Good morning ECHO Charter Teachers, parents and students! Happy first day of school. Let's have some fun and post a picture of your student. If you would like to have a parent's support group let me know by message or text. If students would like to have one of their own, we can do that too. As always, I'm available by phone or text at 320-522-3773. Have a productive first day. Debbie",https://facebook.com/story.php?story_fbid=2150573868405825&id=187302064733025,,0.0,"Good morning ECHO Charter Teachers, parents and students! Happy first day of school. Let's have some fun and post a picture of your student. If you would like to have a parent's support group let me know by message or text. If students would like to have one of their own, we can do that too. As always, I'm available by phone or text at 320-522-3773. Have a productive first day. Debbie",2020-08-24 10:31:24,,
1,0.0,,6.0,,2154003278062884,Thinking of cooler days,https://facebook.com/story.php?story_fbid=2154003278062884&id=187302064733025,"SUN, SEP 27 AT 11:00 AM CDT
Sunday, Sept. 27",0.0,"Thinking of cooler days

SUN, SEP 27 AT 11:00 AM CDT
Sunday, Sept. 27",2020-08-27 17:39:31,,
2,0.0,,0.0,,2767613583495085,,,"THU, OCT 8 AND 2 MORE
Board Meeting",0.0,"THU, OCT 8 AND 2 MORE
Board Meeting",2020-08-13 10:52:45,,
3,0.0,,0.0,,2130290770434135,,https://facebook.com/story.php?story_fbid=2130290770434135&id=187302064733025,,0.0,,2020-08-05 11:03:12,,
4,0.0,,0.0,,2810330959200370,,,"MON, AUG 3
Emergency Board Meeting",0.0,"MON, AUG 3
Emergency Board Meeting",2020-07-31 16:28:40,,
5,0.0,,0.0,,289626315683533,,,"THU, JUL 16
Board Meeting",0.0,"THU, JUL 16
Board Meeting",2020-07-09 11:50:55,,
6,0.0,,1.0,,2094698200660059,We are looking for local growers who are willing to sell produce to our school in the event we are funded for extended lunch service though the summer! Please contact Dawn Fischer at 507-925-4143 or DFischer@echo.charter.k12.mn.us.,https://facebook.com/story.php?story_fbid=2094698200660059&id=187302064733025,,0.0,We are looking for local growers who are willing to sell produce to our school in the event we are funded for extended lunch service though the summer! Please contact Dawn Fischer at 507-925-4143 or DFischer@echo.charter.k12.mn.us.,2020-07-01 13:05:23,,
7,0.0,,0.0,,2094694943993718,"The ECHO Charter school is asking for face mask donations for the upcoming school year. If you are willing to donate, please contact Helen Blue-Redner at 507-925-4143 or HBlue.Redner@echo.charter.k12.mn.us.",https://facebook.com/story.php?story_fbid=2094694943993718&id=187302064733025,,0.0,"The ECHO Charter school is asking for face mask donations for the upcoming school year. If you are willing to donate, please contact Helen Blue-Redner at 507-925-4143 or HBlue.Redner@echo.charter.k12.mn.us.",2020-07-01 13:01:46,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/75572059_2092670890862790_8854457516324677927_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=_iCf9Mg3UqcAX8tK9GV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e0ba12db2a8f1117bd11cd9351be226b&oe=5F81604D,9.0,,2092670964196116,,https://facebook.com/story.php?story_fbid=2092670964196116&id=187302064733025,,0.0,,2020-06-29 15:15:30,,
9,0.0,,0.0,,2089430494520163,,https://facebook.com/story.php?story_fbid=2089430494520163&id=187302064733025,"Dilys Thompson
June 8 at 12:09 PM ·

Goosebumps 🥰 Sit down & watch all the way through x",0.0,"Dilys Thompson
June 8 at 12:09 PM ·

Goosebumps 🥰 Sit down & watch all the way through x",2020-06-26 18:50:35,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/102868687_539513100061030_6518178009201086926_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=7ZmOqwcXxqAAX_QWC0z&_nc_ht=video-atl3-1.xx&oh=7401e11f6c08529c1435e80e8f64f4db&oe=5F5D165F,
