,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,9.0,,2465056953793537,,https://facebook.com/story.php?story_fbid=2465056953793537&id=1922969218002316,"Jason Schoettmer
20 hrs ·

Come get your car washed and support the 7th and 8th grade boys basketball teams. They are set up at the bus garage at the high school.",3.0,"Jason Schoettmer
20 hrs ·

Come get your car washed and support the 7th and 8th grade boys basketball teams. They are set up at the bus garage at the high school.",2020-09-12 14:07:06,,
1,0.0,,31.0,,2464304070535492,"USDA has allowed a nationwide waiver to allow school meals to be served to ALL students for free for a short time period as a result of COVID-19. Effective Monday, September 14, 2020 ALL Edinburgh Community School Corp students who want can eat one breakfast and one lunch FREE per school day through December 31, 2020, unless federal funds run out before that date. Students will continue to pay for a la carte items, second trays, and extra milk. If a student brings their lunch and wants milk they will be charged $.50 unless they take a free meal tray. Adults will still need to pay for their meals.

This institution is an equal opportunity provider.",https://facebook.com/story.php?story_fbid=2464304070535492&id=1922969218002316,,0.0,"USDA has allowed a nationwide waiver to allow school meals to be served to ALL students for free for a short time period as a result of COVID-19. Effective Monday, September 14, 2020 ALL Edinburgh Community School Corp students who want can eat one breakfast and one lunch FREE per school day through December 31, 2020, unless federal funds run out before that date. Students will continue to pay for a la carte items, second trays, and extra milk. If a student brings their lunch and wants milk they will be charged $.50 unless they take a free meal tray. Adults will still need to pay for their meals.

This institution is an equal opportunity provider.",2020-09-11 15:15:02,,
2,0.0,,4.0,,2464167747215791,Please remind your friends and family about the car wash fundraiser tomorrow! Let's support our Lancers!,https://facebook.com/story.php?story_fbid=2464167747215791&id=1922969218002316,"SAT, SEP 12
7th and 8th Grade Boys Basketball Team Car Wash Fundraiser",0.0,"Please remind your friends and family about the car wash fundraiser tomorrow! Let's support our Lancers!

SAT, SEP 12
7th and 8th Grade Boys Basketball Team Car Wash Fundraiser",2020-09-11 11:26:54,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119117780_2464071687225397_169479303205784001_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=pVFDB3YZF3kAX8hD8HM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=86ac741ad01638d514f0e9741eeb728e&oe=5F84CC97,30.0,,2464071903892042,Mrs. Andrew’s Peer Mentors sprucing things up and showing their Lancer Pride! Great job!,https://facebook.com/story.php?story_fbid=2464071903892042&id=1922969218002316,,0.0,Mrs. Andrew’s Peer Mentors sprucing things up and showing their Lancer Pride! Great job!,2020-09-11 09:05:41,,
4,0.0,,18.0,,2464069787225587,"Congratulations to the 2020-2021 Football Homecoming Court!

Queen: Annelise Lollar, Gracie Long, Kaitlyn Bailey, Grace Kindred and Morgan Calhoun

King: Austin Streeval, Evan Goddard, Zack Clarkson, Braxton Cannon-Weber and Noah Detling",https://facebook.com/story.php?story_fbid=2464069787225587&id=1922969218002316,,0.0,"Congratulations to the 2020-2021 Football Homecoming Court!

Queen: Annelise Lollar, Gracie Long, Kaitlyn Bailey, Grace Kindred and Morgan Calhoun

King: Austin Streeval, Evan Goddard, Zack Clarkson, Braxton Cannon-Weber and Noah Detling",2020-09-11 09:02:46,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119007235_2464067580559141_6587410344722425545_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=UPzkXkEJXdwAX9g5l3B&_nc_ht=scontent-atl3-1.xx&tp=14&oh=88e09bf522e9d68fab5bfab18210e97c&oe=5F83A9D9,19.0,,2464068940559005,Congratulations to the Renaissance Students! Renaissance Students are nominated because of their classroom achievement and behavior.,https://facebook.com/story.php?story_fbid=2464068940559005&id=1922969218002316,,0.0,Congratulations to the Renaissance Students! Renaissance Students are nominated because of their classroom achievement and behavior.,2020-09-11 09:01:33,,
6,0.0,,3.0,,1604689433045024,,,"MON, SEP 21 AT 6:00 PM EDT
Board Meeting",0.0,"MON, SEP 21 AT 6:00 PM EDT
Board Meeting",2020-09-11 07:34:32,,
7,0.0,,4.0,,241414707199539,,,"MON, SEP 14 AT 5:00 PM EDT
Public Hearing Board Meeting",0.0,"MON, SEP 14 AT 5:00 PM EDT
Public Hearing Board Meeting",2020-09-11 07:31:28,,
8,0.0,,4.0,,701817383743794,,,"WED, SEP 23 AT 7:00 AM EDT
Fellowship of Christian Athletes See You At The Field",0.0,"WED, SEP 23 AT 7:00 AM EDT
Fellowship of Christian Athletes See You At The Field",2020-09-09 08:18:32,,
9,0.0,,7.0,,640330300201485,,,"SAT, SEP 12
7th and 8th Grade Boys Basketball Team Car Wash Fundraiser",0.0,"SAT, SEP 12
7th and 8th Grade Boys Basketball Team Car Wash Fundraiser",2020-09-08 10:22:26,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118651435_2457769771188922_1238577941952589444_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=7lFHeuCvagUAX9A7kx2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=36d1219e2e9121f5342bb0b236aaffa7&oe=5F85AF30,31.0,,2457771601188739,"Stop Means Stop!
If a school bus is at a full stop with stop signs out and lights blaring, it means to STOP! This is the most crucial point in school bus safety, as kids are exiting and entering the bus, and they may not be aware of other vehicles on the road. When even adults have issues with looking both ways before crossing the street, it’s no surprise that children have problems remembering that as well.

You MUST stop if the bus stops, and resume moving when the bus deems it appropriate

*Originally posted by the Antlers Police Department fin Oklahoma*",https://facebook.com/story.php?story_fbid=2457771601188739&id=1922969218002316,,0.0,"Stop Means Stop!
If a school bus is at a full stop with stop signs out and lights blaring, it means to STOP! This is the most crucial point in school bus safety, as kids are exiting and entering the bus, and they may not be aware of other vehicles on the road. When even adults have issues with looking both ways before crossing the street, it’s no surprise that children have problems remembering that as well.

You MUST stop if the bus stops, and resume moving when the bus deems it appropriate

*Originally posted by the Antlers Police Department fin Oklahoma*",2020-09-03 09:53:44,,
