,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,3.0,http://2020census.gov/,3683315081687957,"Come one, come all!! Hope to see you at 10AM for FREE water bottles and hand sanitizer giveaway📣
Let's all MAKE PICO RIVERA COUNT!
ONLINE: http://2020census.gov
PHONE: (Eng) 1.844.330.2020 or (Span) 1.844.468.202
Or simply mail in the form you may have received weeks ago.",,,0.0,"Come one, come all!! Hope to see you at 10AM for FREE water bottles and hand sanitizer giveaway📣
Let's all MAKE PICO RIVERA COUNT!
ONLINE: http://2020census.gov
PHONE: (Eng) 1.844.330.2020 or (Span) 1.844.468.202
Or simply mail in the form you may have received weeks ago.",2020-09-12 09:56:35,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119285551_864141150784134_1468594957371795433_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=krqTtGSnIWUAX8BQxa3&_nc_ht=video-atl3-1.xx&oh=7f04b3fc98ba399fa9e6564850fdf848&oe=5F5EFFFB,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140137_852977325633772_3091141670120801_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=oIPhBuziPPAAX8T9JmW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dfcb3f85d99daff04d57fe87c1bfe087&oe=5F82A9D1,2.0,http://ow.ly/g6Tz50BiFaV,852977322300439,"How is distance learning going for you? Please take our survey. Date extended. ¿Cómo te va con el aprendizaje a distancia? Por favor responda nuestra encuesta. 📈 IG users - link is available on ERUSD website.
http://ow.ly/g6Tz50BiFaV",,,0.0,"How is distance learning going for you? Please take our survey. Date extended. ¿Cómo te va con el aprendizaje a distancia? Por favor responda nuestra encuesta. 📈 IG users - link is available on ERUSD website.
http://ow.ly/g6Tz50BiFaV",2020-09-11 22:00:04,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119175975_852564519008386_4957086666706062851_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=itNdM1QCtqUAX81Q4Vh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a6ef410dbeda662d2a8a52b082de450f&oe=5F8483E4,42.0,,852564515675053,Remembering 9/11. . . ❤️ Never forget.,,,0.0,Remembering 9/11. . . ❤️ Never forget.,2020-09-11 09:00:56,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118862152_850472569217581_3446185421161692580_o.jpg?_nc_cat=107&_nc_sid=da1649&_nc_ohc=yfx32vq59vAAX8Oe12J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=421ffc2462a628e15fb73afb8b68d102&oe=5F84A2DD,20.0,,850472562550915,"EL RANCHO UNIFIED SCHOOL DISTRICT STUDENTS/TEACHERS MAY BE EXPERIENCING TECHNICAL DIFFICULTIES 😱
LOS ESTUDIANTES / MAESTROS DEL DISTRITO ESCOLAR UNIFICADO DE EL RANCHO PUEDEN ESTAR EXPERIMENTANDO DIFICULTADES TÉCNICAS",,,0.0,"EL RANCHO UNIFIED SCHOOL DISTRICT STUDENTS/TEACHERS MAY BE EXPERIENCING TECHNICAL DIFFICULTIES 😱
LOS ESTUDIANTES / MAESTROS DEL DISTRITO ESCOLAR UNIFICADO DE EL RANCHO PUEDEN ESTAR EXPERIMENTANDO DIFICULTADES TÉCNICAS",2020-09-08 13:29:13,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118889677_847619369502901_1186745478096800827_o.jpg?_nc_cat=109&_nc_sid=da1649&_nc_ohc=kTf9R_c5xxkAX8QVn03&_nc_ht=scontent-atl3-1.xx&tp=14&oh=75056fc319cfe903a3afa603618de983&oe=5F835765,10.0,http://ow.ly/g6Tz50BiFaV,847619362836235,"How is distance learning going for you? Please take our survey.¿Cómo te va con el aprendizaje a distancia? Por favor responda nuestra encuesta. 📈 IG users - link is available on ERUSD website.
http://ow.ly/g6Tz50BiFaV",,,0.0,"How is distance learning going for you? Please take our survey.¿Cómo te va con el aprendizaje a distancia? Por favor responda nuestra encuesta. 📈 IG users - link is available on ERUSD website.
http://ow.ly/g6Tz50BiFaV",2020-09-04 21:00:06,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118851079_847386986192806_2686058816251618667_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=-X8Do_dmgTMAX-BTDtI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=441f4e64ab96b51099b0376a081666ad&oe=5F83D54C,31.0,,847386979526140,Each worker contributes to the collective success of El Rancho Unified School District. This is why we thank you for all that you have done to contribute to our district. Enjoy your three day weekend! 🏖️,,,0.0,Each worker contributes to the collective success of El Rancho Unified School District. This is why we thank you for all that you have done to contribute to our district. Enjoy your three day weekend! 🏖️,2020-09-04 12:51:45,,
6,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118779702_846902389574599_9977159347847427_o.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=MwZzYWjZjDwAX8p96Jq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d7714a14af17cf2ca9cc78167ac5545a&oe=5F854DDC,33.0,,846902382907933,"We are saddened to inform you that Larry Patino, Baseball Coach & SSO @ El Rancho High School, has passed away. Please know the District will be providing mental health support services to any student or staff member who has a need. Call 562-801-7380 for more information.🌹",,,0.0,"We are saddened to inform you that Larry Patino, Baseball Coach & SSO @ El Rancho High School, has passed away. Please know the District will be providing mental health support services to any student or staff member who has a need. Call 562-801-7380 for more information.🌹",2020-09-03 22:15:21,,
7,0.0,,18.0,,2645998948948233,"You are commended for your dedication, commitment & outstanding service to staff, students, families, and the community. 🏆 Congratulations Tony!",,,2.0,"You are commended for your dedication, commitment & outstanding service to staff, students, families, and the community. 🏆 Congratulations Tony!",2020-09-02 14:49:08,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118499650_625464358403783_6519005778643221961_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ZQsT-x4wrTEAX_byxOS&_nc_ht=video-atl3-1.xx&oh=6e03413fc50f5baa1c0df17d634c43e1&oe=5F5F07D3,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118736507_845600773038094_2307258944913698845_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=mAGytGuVD2cAX9OiMq2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=57f2334e8a31e1a59303f407fa7a5f3a&oe=5F85CCD0,8.0,,845600769704761,"As we recognize Labor Day this coming Monday (No School 9/7), we want to say ""Thank you"" to our wonderful cafeteria crew for their hard work in providing our students meals on a daily basis! Please share! 🥕🍅Como reconocemos el Día del Trabajo el próximo lunes (No hay clases, el 7 de septiembre), queremos decir ""Gracias"" a nuestro maravilloso equipo de la cafetería por su arduo trabajo en proporcionar comidas a nuestros estudiantes todos los días. ¡Por favor comparte!",,,0.0,"As we recognize Labor Day this coming Monday (No School 9/7), we want to say ""Thank you"" to our wonderful cafeteria crew for their hard work in providing our students meals on a daily basis! Please share! 🥕🍅Como reconocemos el Día del Trabajo el próximo lunes (No hay clases, el 7 de septiembre), queremos decir ""Gracias"" a nuestro maravilloso equipo de la cafetería por su arduo trabajo en proporcionar comidas a nuestros estudiantes todos los días. ¡Por favor comparte!",2020-09-02 09:00:54,,
9,167.0,,10.0,,2892479544186930,,,,4.0,,2020-09-01 19:23:14,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_308522316879657_4264358948588461108_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=R2TpC3c3JTYAX-6NbGb&_nc_ht=scontent-atl3-1.xx&oh=e8ec7fcbe8cb12a867e2988d34d2970b&oe=5F82F700,
