,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119077448_2752231471667442_1605301440854808719_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=NyBnMVuWCsoAX-cInhF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=549ce4e8abd47f6fbd0137aa93a542a1&oe=5F8483A9,19.0,,2752232178334038,,https://facebook.com/story.php?story_fbid=2752232178334038&id=1524809657742969,,0.0,,2020-09-11 09:04:09,,
1,0.0,,6.0,https://www.emhcharter.org/career-opportunities,2753795941510995,"We're hiring! https://www.emhcharter.org/career-opportunities

Apply today! We're currently seeking:
- Chief Executive Officer
- Middle School Social Studies Teacher
- Elementary School Music Teacher
- much, much more!",https://facebook.com/story.php?story_fbid=2753795941510995&id=1524809657742969,"EUGENIO MARíA DE HOSTOS CHARTER SCHOOL - ROCHESTER, NY
Social Studies Teacher",0.0,"We're hiring! https://www.emhcharter.org/career-opportunities

Apply today! We're currently seeking:
- Chief Executive Officer
- Middle School Social Studies Teacher
- Elementary School Music Teacher
- much, much more!

EUGENIO MARíA DE HOSTOS CHARTER SCHOOL - ROCHESTER, NY
Social Studies Teacher",2020-09-10 09:18:06,,
2,0.0,,13.0,,2752243674999555,"REMINDER: The first day of school has been moved to Monday, Sept 14. Please mark your calendars and get ready for the new year!",https://facebook.com/story.php?story_fbid=2752243674999555&id=1524809657742969,,0.0,"REMINDER: The first day of school has been moved to Monday, Sept 14. Please mark your calendars and get ready for the new year!",2020-09-08 11:59:14,,
3,0.0,,4.0,https://emhcssept2020.itemorder.com/sale,2748697225354200,We have a new link to purchase uniforms. Shop now: https://emhcssept2020.itemorder.com/sale,https://facebook.com/story.php?story_fbid=2748697225354200&id=1524809657742969,"EMHCSSEPT2020.ITEMORDER.COM
EMHCS Uniforms Sept 2020",0.0,"We have a new link to purchase uniforms. Shop now: https://emhcssept2020.itemorder.com/sale

EMHCSSEPT2020.ITEMORDER.COM
EMHCS Uniforms Sept 2020",2020-09-04 10:42:32,,
4,0.0,,14.0,,2747057042184885,"At EMHCS, reading isn't just a passive activity! We bring our books to life to make reading more fun for our students.

We're celebrating 20 years of EMHCS all month. Participate by using the hashtag #20YRCHARTER and share your photos and videos over the years!",https://facebook.com/story.php?story_fbid=2747057042184885&id=1524809657742969,,0.0,"At EMHCS, reading isn't just a passive activity! We bring our books to life to make reading more fun for our students.

We're celebrating 20 years of EMHCS all month. Participate by using the hashtag #20YRCHARTER and share your photos and videos over the years!",2020-09-02 13:17:32,,
5,0.0,,9.0,,2745959415627981,"We're excited to celebrate 20 years serving Rochester students and families. All month, we'll spotlight staff, alumni and share old photos throughout the years.

You can add yours by using the hashtag #20YRCHARTER or posting to our page!",,,0.0,"We're excited to celebrate 20 years serving Rochester students and families. All month, we'll spotlight staff, alumni and share old photos throughout the years.

You can add yours by using the hashtag #20YRCHARTER or posting to our page!",2020-09-01 16:38:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118387394_340694243963336_4007354116665967877_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ehW7geK2C38AX-LRH2V&_nc_ht=video-atl3-1.xx&oh=13904688278cd3be2296cbe320e1c452&oe=5F5ED194,
6,0.0,,7.0,https://www.emhcharter.org/post/change-in-calendar-parent-letter,2745958048961451,"Please note the date change for the first day of school:

https://www.emhcharter.org/post/change-in-calendar-parent-letter",https://facebook.com/story.php?story_fbid=2745958048961451&id=1524809657742969,"EMHCHARTER.ORG
Change in Calendar Parent Letter",6.0,"Please note the date change for the first day of school:

https://www.emhcharter.org/post/change-in-calendar-parent-letter

EMHCHARTER.ORG
Change in Calendar Parent Letter",2020-09-01 13:58:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118702814_2745157749041481_2188906519924442682_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=JuLjeHoWrjIAX8xp86r&_nc_ht=scontent-atl3-1.xx&tp=14&oh=54c0a3bfa6b6de8cebd07a514489e765&oe=5F8608DD,18.0,,2745158019041454,"If you're struggling with your technology, you can always reach out for help!

Here are photos from our parent and student technology training session, where we helped families get ready for the new school year and understand the tools they'll be using.",https://facebook.com/story.php?story_fbid=2745158019041454&id=1524809657742969,,0.0,"If you're struggling with your technology, you can always reach out for help!

Here are photos from our parent and student technology training session, where we helped families get ready for the new school year and understand the tools they'll be using.",2020-08-31 17:39:06,,
8,0.0,,4.0,https://www.emhcharter.org/post/in-person-uniform-sale--venta-de-uniformes-en-persona,2745123672378222,"Ready for our uniform sale this week? You can even add the details to your personal calendar so you don't forget.

Head to our website: https://www.emhcharter.org/post/in-person-uniform-sale--venta-de-uniformes-en-persona",https://facebook.com/story.php?story_fbid=2745123672378222&id=1524809657742969,"EMHCHARTER.ORG
In-Person Uniform Sale/ Venta de Uniformes en Persona",0.0,"Ready for our uniform sale this week? You can even add the details to your personal calendar so you don't forget.

Head to our website: https://www.emhcharter.org/post/in-person-uniform-sale--venta-de-uniformes-en-persona

EMHCHARTER.ORG
In-Person Uniform Sale/ Venta de Uniformes en Persona",2020-08-31 11:30:01,,
9,1.0,,7.0,,2742424499314806,Our in-person uniform sale is next week! Stop by our Zimbrich campus for easy back-to-school shopping:,,,0.0,Our in-person uniform sale is next week! Stop by our Zimbrich campus for easy back-to-school shopping:,2020-08-28 10:07:06,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118635064_345093380011796_3869915492013437118_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=bMqDQD3XCr0AX8nMOwW&_nc_ht=video-atl3-1.xx&oh=be009eb7cc35f04d03f142d6392f80de&oe=5F5ED0BE,
