,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119286844_1233869023636215_1164145914102467466_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=21ARToxhWe0AX9C5WwQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dadf85215c0e112cc823422cc97d3659&oe=5F82009F,21.0,,1411142379089456,Want to relive Friday's big win against Bishop Kelly. Peruse these amazing photos by Bruce. Thank you for capturing the wonderful moments of each and every game.,https://facebook.com/story.php?story_fbid=1411142379089456&id=146651565538550,"Emmett Huskies - Bruce BPhotography Sports Page
17 hrs ·

EHS Varsity v BK",0.0,"Want to relive Friday's big win against Bishop Kelly. Peruse these amazing photos by Bruce. Thank you for capturing the wonderful moments of each and every game.

Emmett Huskies - Bruce BPhotography Sports Page
17 hrs ·

EHS Varsity v BK",2020-09-12 10:33:15,,
1,18.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140284_1410804989123195_5941684152525970194_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=QkCIw1J1CVAAX-PUwmk&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4abd0b6ca109a815a00251d3f7395158&oe=5F82053E,167.0,,1410805012456526,The Huskies did everything right tonight to beat Bishop Kelly on their own turf! Way to go Emmett High School!,https://facebook.com/story.php?story_fbid=1410805012456526&id=146651565538550,,0.0,The Huskies did everything right tonight to beat Bishop Kelly on their own turf! Way to go Emmett High School!,2020-09-12 00:07:33,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119026775_1410617015808659_6642426363698099059_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=wob4o5KDFRMAX8RS0cA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6021683b9ccbfd92ad264d96973228d7&oe=5F84914D,1.0,https://youtu.be/xQBqXvFuxUw,1410618659141828,"Agenda for the September Regular Board Meeting on September 14, 2020 at 6:00 p.m.
This is the Live Stream link as well.
https://youtu.be/xQBqXvFuxUw",https://facebook.com/story.php?story_fbid=1410618659141828&id=146651565538550,,0.0,"Agenda for the September Regular Board Meeting on September 14, 2020 at 6:00 p.m.
This is the Live Stream link as well.
https://youtu.be/xQBqXvFuxUw",2020-09-11 18:09:35,,
3,0.0,,1.0,,1409750622561965,"Karen Sharpnack from The Idaho Immunization Coalition interviewed our school nurse, Suzi Morgan; Pediatrician Dr. Lisa Barker; State Epidemiologist, Dr. Kathryn Turner and Heather Gagliano, a parent and Chair of Idaho Immunization Coalition to discuss the importance of childhood vaccines. Check it out! She's awesome!",https://facebook.com/story.php?story_fbid=1409750622561965&id=146651565538550,"Get Immunized, Idaho
September 9 at 10:00 AM ·

In Episode 2 of Shot Talk, our distinguished panel of experts talk about the back-to-school vaccine schedule and the importance of getting those immunizations as your little ones head back to the classroom or start online learning from home.",0.0,"Karen Sharpnack from The Idaho Immunization Coalition interviewed our school nurse, Suzi Morgan; Pediatrician Dr. Lisa Barker; State Epidemiologist, Dr. Kathryn Turner and Heather Gagliano, a parent and Chair of Idaho Immunization Coalition to discuss the importance of childhood vaccines. Check it out! She's awesome!

Get Immunized, Idaho
September 9 at 10:00 AM ·

In Episode 2 of Shot Talk, our distinguished panel of experts talk about the back-to-school vaccine schedule and the importance of getting those immunizations as your little ones head back to the classroom or start online learning from home.",2020-09-10 16:11:04,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_2445521369081595_6375926039118108696_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ezYWRVEkILoAX-PMIHh&_nc_ht=video-atl3-1.xx&oh=dbce7779e5927dabd9f0d328187748c2&oe=5F5D6445,
4,0.0,,3.0,,1409576872579340,"Come to Emmett Middle School for a night to learn more about the school and what we offer. We will have Infinite Campus information, Technology station, student involvement opportunities, raffle, food, department presentations, and much more! More information to follow! Hope to see you then!",https://facebook.com/story.php?story_fbid=1409576872579340&id=146651565538550,"TUE, SEP 15 AT 5:00 PM MDT
EMS Showcase for Parents",0.0,"Come to Emmett Middle School for a night to learn more about the school and what we offer. We will have Infinite Campus information, Technology station, student involvement opportunities, raffle, food, department presentations, and much more! More information to follow! Hope to see you then!

TUE, SEP 15 AT 5:00 PM MDT
EMS Showcase for Parents",2020-09-10 11:07:01,,
5,5.0,,8.0,https://www.nfhsnetwork.com/schools/bishop-kelly-high-school-boise-id,1409106069293087,"Varsity Football Friday, September 11 at 7 p.m. This is an away game at Bishop Kelly. Because Central District Health has issued a public health order limiting groups of more than 50 people in Boise, tickets to that game will ONLY be offered to parents of Emmett's senior athletes.

Additionally, all students, staff, and guests at Bishop Kelly are required to wear a face mask while on campus, and observe physical distancing, including at Nick Ysursa Field.

The good news is: The game will be streamed live on Bishop Kelly's NFHS Network - https://www.nfhsnetwork.com/schools/bishop-kelly-high-school-boise-id
It will cost $10.99 to subscribe for a month.",https://facebook.com/story.php?story_fbid=1409106069293087&id=146651565538550,"NFHSNETWORK.COM
Bishop Kelly High School - Boise, ID",0.0,"Varsity Football Friday, September 11 at 7 p.m. This is an away game at Bishop Kelly. Because Central District Health has issued a public health order limiting groups of more than 50 people in Boise, tickets to that game will ONLY be offered to parents of Emmett's senior athletes.

Additionally, all students, staff, and guests at Bishop Kelly are required to wear a face mask while on campus, and observe physical distancing, including at Nick Ysursa Field.

The good news is: The game will be streamed live on Bishop Kelly's NFHS Network - https://www.nfhsnetwork.com/schools/bishop-kelly-high-school-boise-id
It will cost $10.99 to subscribe for a month.

NFHSNETWORK.COM
Bishop Kelly High School - Boise, ID",2020-09-09 21:02:47,,
6,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119091491_1408790179324676_1504531045380404147_o.jpg?_nc_cat=105&_nc_sid=dd9801&_nc_ohc=qT7Emh3PbocAX98kCaP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6ffaa8f654ee6cfe1cec340845f7bfa8&oe=5F84C757,43.0,https://huskieathletics.org/,1408790725991288,"Special thanks to Bruce Bates for his fantastic photos! https://www.facebook.com/EmmettHuskySports

Looking for the schedule? https://huskieathletics.org/",,,0.0,"Special thanks to Bruce Bates for his fantastic photos! https://www.facebook.com/EmmettHuskySports

Looking for the schedule? https://huskieathletics.org/",2020-09-09 12:15:51,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118912338_1408778249325869_8533905490794613344_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=q4_WiiOh1lkAX_bdWVJ&_nc_oc=AQnJIfBHTX4obR1ZsYcbfJQwFBCR7fCbDV29nbbLiPk3sOq3psgppBhA1aXTLfJWf2g&_nc_ht=scontent-atl3-1.xx&oh=12b45b21d3c7ba8d0cbfd451799da779&oe=5F83097C,14.0,,1408781699325524,,https://facebook.com/story.php?story_fbid=1408781699325524&id=146651565538550,,0.0,,2020-09-09 12:06:30,,
8,0.0,,0.0,,812955562811497,,,"MON, SEP 14 AT 6:00 PM MDT
September Regular Board Meeting",0.0,"MON, SEP 14 AT 6:00 PM MDT
September Regular Board Meeting",2020-09-09 10:34:07,,
9,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119023091_1408176386052722_6543129771565355650_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=zeksABsaH5gAX8FDU33&_nc_ht=scontent-atl3-1.xx&oh=c7e5566d6c0f3478f58d773c2b176c65&oe=5F83D524,40.0,,1408176922719335,,https://facebook.com/story.php?story_fbid=1408176922719335&id=146651565538550,,0.0,,2020-09-08 18:01:58,,
