,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119178052_861799077561012_4369301346595759463_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=Dcs3BQtNJB4AX85Oise&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b9e7f31d7022f951d40dc482b5c93023&oe=5F82CB34,44.0,,861799234227663,May we never forget.,https://facebook.com/story.php?story_fbid=861799234227663&id=161775030896757,,0.0,May we never forget.,2020-09-10 20:38:25,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118818192_857186204688966_7802447146393493084_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=xAIM3hgP5aUAX9hu3pA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=73e6ca6cf0652c1669e385b3cab0b42d&oe=5F82E1D0,30.0,https://enoriveracademy.org/news/,857193124688274,"Can you believe we've been in school already for 4 weeks! Check out some of our STEAM Activities our K-8 students and teachers have created over this time!

Aug. 14 - Minecraft Selfies
Aug. 21 - All About Me Silhouette
Aug. 28 - 100 Item Towers

The ERA Padlets are still open to view and receive more pictures if your family would like to try these activities or do them again! Our News section of our website contains the directions for each activity. (https://enoriveracademy.org/news/)

Email our K8 Dean of Students with questions!",https://facebook.com/story.php?story_fbid=857193124688274&id=161775030896757,,0.0,"Can you believe we've been in school already for 4 weeks! Check out some of our STEAM Activities our K-8 students and teachers have created over this time!

Aug. 14 - Minecraft Selfies
Aug. 21 - All About Me Silhouette
Aug. 28 - 100 Item Towers

The ERA Padlets are still open to view and receive more pictures if your family would like to try these activities or do them again! Our News section of our website contains the directions for each activity. (https://enoriveracademy.org/news/)

Email our K8 Dean of Students with questions!",2020-09-04 09:35:36,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118146691_843800642694189_3778924639785851912_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=3116T_6Q8i0AX8zXHHa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=61fddcc36a593fd925c80f0e1b3d2348&oe=5F84B14C,41.0,,843800806027506,We appreciate this more than you know!!,https://facebook.com/story.php?story_fbid=843800806027506&id=161775030896757,,0.0,We appreciate this more than you know!!,2020-08-17 09:27:56,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117305303_836042980136622_3591509197274260667_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=9I33Hgdih20AX9Yx0Bf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ca46f07385ca9fbdf06a277229471d5d&oe=5F851420,57.0,,836043873469866,Wishing you all an amazing first day! We know this isn’t the way we would prefer but it will be a great one anyway!!,https://facebook.com/story.php?story_fbid=836043873469866&id=161775030896757,,0.0,Wishing you all an amazing first day! We know this isn’t the way we would prefer but it will be a great one anyway!!,2020-08-06 07:27:22,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/106700935_814492938958293_2809214579450543381_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=7ZkjtnWCyWkAX8XNOFX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a01bf0b2915edba62251b6c75366f408&oe=5F857BD6,25.0,,814493098958277,Enjoy your holiday!,https://facebook.com/story.php?story_fbid=814493098958277&id=161775030896757,,0.0,Enjoy your holiday!,2020-07-04 11:04:37,,
5,1.0,,3.0,https://thetimesmachine.com/,808630316211222,Do you have a student that struggles with multiplication or just loves math? Check out this new book from Danica McKellar. It’s geared for 7-10 yo. https://thetimesmachine.com,https://facebook.com/story.php?story_fbid=808630316211222&id=161775030896757,"THETIMESMACHINE.COM
The Times Machine by Danica McKellar",0.0,"Do you have a student that struggles with multiplication or just loves math? Check out this new book from Danica McKellar. It’s geared for 7-10 yo. https://thetimesmachine.com

THETIMESMACHINE.COM
The Times Machine by Danica McKellar",2020-06-25 08:07:22,,
6,2.0,,32.0,https://drive.google.com/file/d/10cEzI7N4LHG802OxHxilDlrkf0aH_u5W/view?usp=sharing,789233838150870,"One more round of applause for the ERA Class of 2020! Congratulations and best wishes, we know you will make us proud!
https://drive.google.com/file/d/10cEzI7N4LHG802OxHxilDlrkf0aH_u5W/view?usp=sharing

Special thanks to Mrs. Daw and the Chorus students for this awesome tribute.",https://facebook.com/story.php?story_fbid=789233838150870&id=161775030896757,"DRIVE.GOOGLE.COM
Tribute to ERA 2020 Seniors (1).mp4",4.0,"One more round of applause for the ERA Class of 2020! Congratulations and best wishes, we know you will make us proud!
https://drive.google.com/file/d/10cEzI7N4LHG802OxHxilDlrkf0aH_u5W/view?usp=sharing

Special thanks to Mrs. Daw and the Chorus students for this awesome tribute.

DRIVE.GOOGLE.COM
Tribute to ERA 2020 Seniors (1).mp4",2020-05-26 11:10:06,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99068548_10157391547640838_2854886193538007040_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=eIgPPoZXUKcAX9awnBe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5e81af8a96de875babba95b76b8ec7fd&oe=5F83C953,42.0,,786304558443798,Thank you News of Orange County for these pictures!,https://facebook.com/story.php?story_fbid=786304558443798&id=161775030896757,"News of Orange County
May 21 at 8:09 PM ·

Graduation underway at Eno River Academy! Congratulations to the Class of 2020!",0.0,"Thank you News of Orange County for these pictures!

News of Orange County
May 21 at 8:09 PM ·

Graduation underway at Eno River Academy! Congratulations to the Class of 2020!",2020-05-21 16:59:40,,
8,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98133348_10157391505625838_455795836555624448_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=UDYFb4oXtv4AX9LbdpP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=18dd7c0d6a77f7814e527b1325d1ad9b&oe=5F852E12,72.0,,786304318443822,Drive through Graduation today! Thank you News of Orange County!,https://facebook.com/story.php?story_fbid=786304318443822&id=161775030896757,"News of Orange County
May 21 at 7:51 PM ·

Graduation ceremony getting ready at Eno River Academy.",5.0,"Drive through Graduation today! Thank you News of Orange County!

News of Orange County
May 21 at 7:51 PM ·

Graduation ceremony getting ready at Eno River Academy.",2020-05-21 16:59:18,,
9,22.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97470023_782108282196759_8473196874088579072_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=oY_Oa608evMAX_7PixS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8c023d48798c3dddd8bbf5749af63051&oe=5F82DCE4,89.0,,782109185530002,Please join us in congratulating Steven DePolo as ERA's Salutatorian and Jennifer Wright as ERA's Valedictorian for the Graduating Class of 2020! 🎉👩‍🎓👨‍🎓,https://facebook.com/story.php?story_fbid=782109185530002&id=161775030896757,,0.0,Please join us in congratulating Steven DePolo as ERA's Salutatorian and Jennifer Wright as ERA's Valedictorian for the Graduating Class of 2020! 🎉👩‍🎓👨‍🎓,2020-05-19 17:00:21,,
