,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119446913_356546769050798_2771925746827303958_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=HIOTGhIfe_sAX_E5MF2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1c3dfe6957c4f9474db1b0c509af2c11&oe=5F84050C,81.0,,356546799050795,A huge shoutout to our new superintendent and former elementary principal Mr. Temple for always leading from the front. 👍,https://facebook.com/story.php?story_fbid=356546799050795&id=111451883560289,,0.0,A huge shoutout to our new superintendent and former elementary principal Mr. Temple for always leading from the front. 👍,2020-09-12 11:26:59,,
1,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119157215_356544009051074_2966871746539071153_o.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=tcdMK7FrE4EAX94-6IP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3031477a423750aaada393defc67b679&oe=5F819B80,41.0,,356544072384401,What a difference!! Time ➕Hard work ➕Good equipment➕Tons of helpers,https://facebook.com/story.php?story_fbid=356544072384401&id=111451883560289,,0.0,What a difference!! Time ➕Hard work ➕Good equipment➕Tons of helpers,2020-09-12 11:22:50,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119162479_356514222387386_3336003197208938206_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Bd8IeC9AuZYAX-oYdFJ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=137e09cbea31987c8500746a758d0bc9&oe=5F8202FA,30.0,,356514322387376,Thank you to all of our volunteers for helping make our schools look great! We have such an amazing community!,https://facebook.com/story.php?story_fbid=356514322387376&id=111451883560289,,0.0,Thank you to all of our volunteers for helping make our schools look great! We have such an amazing community!,2020-09-12 10:37:44,,
3,0.0,,10.0,https://youtu.be/afNXzVnjvpE,355970829108392,"Week 1 update:

https://youtu.be/afNXzVnjvpE",https://facebook.com/story.php?story_fbid=355970829108392&id=111451883560289,"YOUTUBE.COM
Week 1 update",0.0,"Week 1 update:

https://youtu.be/afNXzVnjvpE

YOUTUBE.COM
Week 1 update",2020-09-11 16:31:12,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119217556_355647799140695_7014091918186219197_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=Umo1Qw-8NRwAX-UL1gK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=abd598261724c5115dfbdb28a9a17ba2&oe=5F83DE0D,29.0,,355647939140681,"Happy Birthday this week to the following students:
Oliver Gibson, Brady St. Clair, Sawyer VanDeCasteele, Augustus Harsted, Ella Mowder, David Scott, Devyn Lugo, Nicolas Varela, Tatum Jacobs, Logan McCorkle, Bane McCorkle, and Jack Wages.",https://facebook.com/story.php?story_fbid=355647939140681&id=111451883560289,,0.0,"Happy Birthday this week to the following students:
Oliver Gibson, Brady St. Clair, Sawyer VanDeCasteele, Augustus Harsted, Ella Mowder, David Scott, Devyn Lugo, Nicolas Varela, Tatum Jacobs, Logan McCorkle, Bane McCorkle, and Jack Wages.",2020-09-11 07:32:23,,
5,0.0,,1.0,https://www.nickteddy5k.com/,355642055807936,"The Nick Teddy Foundation is hosting its annual 5K virtually beginning tomorrow. If interested please register by following the link below.

https://www.nickteddy5k.com/",https://facebook.com/story.php?story_fbid=355642055807936&id=111451883560289,"NICKTEDDY5K.COM
5k | Port Byron | Nick Teddy 5k Virtual Run",0.0,"The Nick Teddy Foundation is hosting its annual 5K virtually beginning tomorrow. If interested please register by following the link below.

https://www.nickteddy5k.com/

NICKTEDDY5K.COM
5k | Port Byron | Nick Teddy 5k Virtual Run",2020-09-11 07:22:06,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119159851_354439452594863_5601375856831497348_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=s35b1V1LvsoAX82Z6pa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fc32aea4dd593a93b7a0005cc208fa89&oe=5F83B5B2,32.0,,354439495928192,"Our first day with “B” group was great!

It’s been great to see so many excited students back in the building!",https://facebook.com/story.php?story_fbid=354439495928192&id=111451883560289,,0.0,"Our first day with “B” group was great!

It’s been great to see so many excited students back in the building!",2020-09-09 16:08:09,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119199080_354133012625507_5443162873966082554_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=UwWkALRTIPkAX81nYvy&_nc_ht=scontent-atl3-1.xx&oh=2d42c72ba2c4fc8d66ae6aac5fa504c5&oe=5F8552D4,3.0,,354133059292169,,https://facebook.com/story.php?story_fbid=354133059292169&id=111451883560289,,0.0,,2020-09-09 07:34:28,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119085190_353717266000415_8603938377914637791_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_aid=0&_nc_ohc=-44D5U5u6GEAX9w3Cla&_nc_ht=scontent-atl3-1.xx&tp=14&oh=076aaf1fd06e156dc2c310836517769a&oe=5F829453,56.0,,353717299333745,"It was a great 1st day back! We had a lot of fun!

We look forward to seeing our “B” group tomorrow!

Please reach out with questions as they come up, and we will continue to assess our plans daily and communicate any changes when needed.",https://facebook.com/story.php?story_fbid=353717299333745&id=111451883560289,,0.0,"It was a great 1st day back! We had a lot of fun!

We look forward to seeing our “B” group tomorrow!

Please reach out with questions as they come up, and we will continue to assess our plans daily and communicate any changes when needed.",2020-09-08 20:12:18,,
9,0.0,,0.0,https://youtu.be/RGBchv5u6JA,350366009668874,How to complete student COVID screenings,https://facebook.com/story.php?story_fbid=350366009668874&id=111451883560289,"YOUTUBE.COM
COVID Student Screenings",5.0,"How to complete student COVID screenings

YOUTUBE.COM
COVID Student Screenings",2020-09-04 11:27:07,,
10,0.0,,9.0,https://youtu.be/dnkXp89dwCw,350364589669016,How to check in on remote learning days,https://facebook.com/story.php?story_fbid=350364589669016&id=111451883560289,"YOUTUBE.COM
Student Attendance Check In",16.0,"How to check in on remote learning days

YOUTUBE.COM
Student Attendance Check In",2020-09-04 11:25:14,,
11,0.0,,18.0,,350240603014748,,,,0.0,,2020-09-04 08:14:03,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118823637_3124065354358872_7017118494735148394_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=TlVm7Ee5aV8AX_gvXdC&_nc_ht=video-atl3-1.xx&oh=c926a29bae999951df08f995f7af28fc&oe=5F5E107D,
12,1.0,,1.0,,349725299732945,"Next Saturday, September 12th at 9am we will be having a community-led Riverdale Schools Beautification/Clean Up Project!!!
https://www.facebook.com/events/2299200760205169",https://facebook.com/story.php?story_fbid=349725299732945&id=111451883560289,"SAT, SEP 12
Riverdale Schools Beautification/Clean Up Project!!!",0.0,"Next Saturday, September 12th at 9am we will be having a community-led Riverdale Schools Beautification/Clean Up Project!!!
https://www.facebook.com/events/2299200760205169

SAT, SEP 12
Riverdale Schools Beautification/Clean Up Project!!!",2020-09-03 15:13:07,,
13,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118795472_349615046410637_4332779534171780132_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=391BuPxfb_AAX_KeeCb&_nc_ht=scontent-atl3-1.xx&oh=16ea813e38c72f1ff50ef7d76f02f0b1&oe=5F81A5AE,2.0,,349615829743892,River Valley District Library presents a magic show!,https://facebook.com/story.php?story_fbid=349615829743892&id=111451883560289,,0.0,River Valley District Library presents a magic show!,2020-09-03 12:03:41,,
14,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118517245_348256026546539_3073991240723096697_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=I8VST8xILY4AX-BhPqb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e72912f7b79f7fe66fe8ad491081ddb3&oe=5F818A59,33.0,,348256079879867,"Day 2 is in the books! ￼

We are excited to see more students and families over the next few days!

Thank you to the PTO for the welcome back treats and goodies, and to our amazing teachers for all of their efforts to make sure we have a great start to the year!",https://facebook.com/story.php?story_fbid=348256079879867&id=111451883560289,,0.0,"Day 2 is in the books! ￼

We are excited to see more students and families over the next few days!

Thank you to the PTO for the welcome back treats and goodies, and to our amazing teachers for all of their efforts to make sure we have a great start to the year!",2020-09-01 20:32:10,,
15,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118727999_347849249920550_8689155013981568735_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=sxxco1XpDHYAX8SNaZC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8d8c8f098286d52db1d5a2fff6a93148&oe=5F8412BB,31.0,,347849306587211,Good Morning! Thank you to everyone who made Our first day of back to school conferences a success! We look forward to seeing more students and families this afternoon!,https://facebook.com/story.php?story_fbid=347849306587211&id=111451883560289,,0.0,Good Morning! Thank you to everyone who made Our first day of back to school conferences a success! We look forward to seeing more students and families this afternoon!,2020-09-01 08:43:37,,
