,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119107031_3373262372693960_4692970949815480340_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=wnV1OOXiBm8AX85mdEL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7f1ee5364c73fdfee6c7a380a551d5b1&oe=5F84776F,2.0,http://ow.ly/dqHY50BnoWR,3373265852693612,Check out the next virtual FAN - Family Action Network event with Nancy Koehn. “Riding the Crisis Roller Coaster: Positioning Yourself Emotionally Amidst Volatility” is on September 17 at 7pm via Zoom. Learn more: http://ow.ly/dqHY50BnoWR,https://facebook.com/story.php?story_fbid=3373265852693612&id=140368792650017,,0.0,Check out the next virtual FAN - Family Action Network event with Nancy Koehn. “Riding the Crisis Roller Coaster: Positioning Yourself Emotionally Amidst Volatility” is on September 17 at 7pm via Zoom. Learn more: http://ow.ly/dqHY50BnoWR,2020-09-10 14:06:40,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118968934_3369885999698264_512655060406280789_o.jpg?_nc_cat=101&_nc_sid=da1649&_nc_ohc=3PZLHDlx_7cAX-mgTfv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4ae5e31c476a112b281475e828259b55&oe=5F83B984,2.0,http://2020census.gov/,3369885996364931,"Census data guides how more than $675 billion in federal funding is distributed to states & communities each year for schools, healthcare facilities, roads, transportation, rec centers, social services, & more. Complete the 2020 Census by September 30. 2020census.gov",,,0.0,"Census data guides how more than $675 billion in federal funding is distributed to states & communities each year for schools, healthcare facilities, roads, transportation, rec centers, social services, & more. Complete the 2020 Census by September 30. 2020census.gov",2020-09-09 11:49:23,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118837118_3354490857904445_2142874099615837016_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=Ew8-r8N8ndsAX9e-ZAq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=18cf6aabe7a6696304553767d35f8429&oe=5F829A3E,6.0,http://ow.ly/B5ce50Bigsq,3354500591236805,Did you miss E-Town LIVE this morning? Watch it now and get the latest district information from Dr. Witherspoon and Dr. Campbell. http://ow.ly/B5ce50Bigsq,https://facebook.com/story.php?story_fbid=3354500591236805&id=140368792650017,,0.0,Did you miss E-Town LIVE this morning? Watch it now and get the latest district information from Dr. Witherspoon and Dr. Campbell. http://ow.ly/B5ce50Bigsq,2020-09-04 11:58:54,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118653546_3352020684818129_1263346798797540863_o.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=xdUWz7ldVPAAX87iLqD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=abc9e380dedebeec1c3bec628a73b142&oe=5F824E68,10.0,http://ow.ly/D4nV50BhioI,3352020678151463,"Tune in tomorrow morning at 8:00am for E-Town LIVE! Dr. Witherspoon & Dr. Campbell will discuss the last district updates, including assessments for this school year and student well being.
http://ow.ly/D4nV50BhioI",,,0.0,"Tune in tomorrow morning at 8:00am for E-Town LIVE! Dr. Witherspoon & Dr. Campbell will discuss the last district updates, including assessments for this school year and student well being.
http://ow.ly/D4nV50BhioI",2020-09-03 16:00:58,,
4,0.0,,31.0,http://ow.ly/7xvR50BgbyD,3348614375158760,"The Nutrition Services Departments (D65 & D202) are excited to announce they are offering meals free of charge, beginning September 8 through December 31, to children ages 18 and under.
Meals will be available for pick-up at 7 sites in the community. More: http://ow.ly/7xvR50BgbyD",https://facebook.com/story.php?story_fbid=3348614375158760&id=140368792650017,,0.0,"The Nutrition Services Departments (D65 & D202) are excited to announce they are offering meals free of charge, beginning September 8 through December 31, to children ages 18 and under.
Meals will be available for pick-up at 7 sites in the community. More: http://ow.ly/7xvR50BgbyD",2020-09-02 14:34:25,,
5,0.0,,11.0,http://ow.ly/4zhz50BfPty,3347933261893538,"ETHS teachers are working in new and innovative ways to help students get the most out of Enhanced E-learning. On Monday, September 14, Wildkit parents and guardians will have an opportunity to learn more about it. More: http://ow.ly/4zhz50BfPty",https://facebook.com/story.php?story_fbid=3347933261893538&id=140368792650017,,0.0,"ETHS teachers are working in new and innovative ways to help students get the most out of Enhanced E-learning. On Monday, September 14, Wildkit parents and guardians will have an opportunity to learn more about it. More: http://ow.ly/4zhz50BfPty",2020-09-02 10:01:43,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118161291_3332694903417374_4530180478929194787_o.jpg?_nc_cat=110&_nc_sid=da1649&_nc_ohc=SBwoOH2Yhw8AX-YBgoP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=213063a67829b5b576084842fb1b8181&oe=5F8254BC,9.0,http://ow.ly/i5Ts50BbWTU,3332694900084041,"ICYMI: Check out today's E-Town LIVE. Dr. Witherspoon and Dr. Campbell discuss the first two weeks of Enhanced E-learning, student well being, and more. http://ow.ly/i5Ts50BbWTU",,,0.0,"ICYMI: Check out today's E-Town LIVE. Dr. Witherspoon and Dr. Campbell discuss the first two weeks of Enhanced E-learning, student well being, and more. http://ow.ly/i5Ts50BbWTU",2020-08-28 13:06:33,,
7,0.0,,3.0,http://ow.ly/Ip4f50Bb5kX,3330027890350742,Hey Wildkits! Here are some important calendar reminders & updates for the 2020-21 school year: http://ow.ly/Ip4f50Bb5kX,https://facebook.com/story.php?story_fbid=3330027890350742&id=140368792650017,,0.0,Hey Wildkits! Here are some important calendar reminders & updates for the 2020-21 school year: http://ow.ly/Ip4f50Bb5kX,2020-08-27 16:30:05,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118598009_3329905003696364_2838724234518447196_o.jpg?_nc_cat=110&_nc_sid=da1649&_nc_ohc=MKp4qyr7hWsAX-ZPCRp&_nc_oc=AQlWVjrVjW8iQZyNxumBqCWglILfkRMBNmVZNpHNK-Juq-8so4nu9QL4hd0baahdve4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f5eeb32109213dd0f4b7fefb13edb5d5&oe=5F848899,1.0,http://ow.ly/xLuX50Bb1AA,3329904997029698,"Be sure to catch E-Town LIVE this Friday, August 28, at 8am. Dr. Witherspoon and Dr. Campbell will provide the latest district information to the ETHS community. http://ow.ly/xLuX50Bb1AA",,,0.0,"Be sure to catch E-Town LIVE this Friday, August 28, at 8am. Dr. Witherspoon and Dr. Campbell will provide the latest district information to the ETHS community. http://ow.ly/xLuX50Bb1AA",2020-08-27 15:29:45,,
9,0.0,,2.0,http://ow.ly/cFHV50B9VKu,3326698310683700,"ETHS District 202 Superintendent Eric Witherspoon shares a message about the shooting of Jacob Blake.
http://ow.ly/cFHV50B9VKu",https://facebook.com/story.php?story_fbid=3326698310683700&id=140368792650017,,0.0,"ETHS District 202 Superintendent Eric Witherspoon shares a message about the shooting of Jacob Blake.
http://ow.ly/cFHV50B9VKu",2020-08-26 14:56:11,,
10,0.0,,13.0,http://ow.ly/ZuL150B7mTd,3320052428014955,"Emphasizing equitable and engaging learning experiences for ETHS students, Dr. Eric Witherspoon shares his 2020-21 back-to-school essay with the Evanston community. More: http://ow.ly/ZuL150B7mTd",https://facebook.com/story.php?story_fbid=3320052428014955&id=140368792650017,,0.0,"Emphasizing equitable and engaging learning experiences for ETHS students, Dr. Eric Witherspoon shares his 2020-21 back-to-school essay with the Evanston community. More: http://ow.ly/ZuL150B7mTd",2020-08-24 09:59:02,,
