,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119166785_1437793539764151_2184973609073320854_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=Cpjo3hoCbjwAX99aRc9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d08154af94a3c9298c40344b23855add&oe=5F89CC5E,15.0,,1437794046430767,New 9th/10th grade lockers are starting to be installed.,https://facebook.com/story.php?story_fbid=1437794046430767&id=154577508085767,,0.0,New 9th/10th grade lockers are starting to be installed.,2020-09-16 16:33:00,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119237110_109852834199714_7088946238126138080_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=9J-Y4gKlYm4AX-7lhfl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=66af27acd890f81f5f9e6c9767a2d306&oe=5F891F99,2.0,https://docs.google.com/forms/d/1M-AwoP2o2l94Br0HcIx8YanCqzIfLUWh21emeGhTnNU/viewform?edit_requested=true,1437782996431872,,https://facebook.com/story.php?story_fbid=1437782996431872&id=154577508085767,"Executive Education Cyber Charter School
4 hrs ·

If you live in the Commonwealth of Pennsylvania and believe families should have a school option, please take the time to complete this short petition.
👇👇click and sign ✍️✍️✍️👇👇 PLEASE.
https://docs.google.com/forms/d/1M-AwoP2o2l94Br0HcIx8YanCqzIfLUWh21emeGhTnNU/viewform?edit_requested=true",0.0,"Executive Education Cyber Charter School
4 hrs ·

If you live in the Commonwealth of Pennsylvania and believe families should have a school option, please take the time to complete this short petition.
👇👇click and sign ✍️✍️✍️👇👇 PLEASE.
https://docs.google.com/forms/d/1M-AwoP2o2l94Br0HcIx8YanCqzIfLUWh21emeGhTnNU/viewform?edit_requested=true",2020-09-16 16:12:18,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119399295_1437727766437395_3633936752099487392_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=Rpwu9pM2-JQAX83WOG3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=19a9d57a6b49662e7c9a87949315218d&oe=5F873076,3.0,,1437729923103846,Girls Volleyball vs Northwestern Lehigh Wildcats tomorrow in Founders Hall. Varsity is at 4:30 and JV immediately after. No spectators aloud and this game will be streaming live on YOU TUBE. Search FOUNDERS HALL. #GoRaptors,https://facebook.com/story.php?story_fbid=1437729923103846&id=154577508085767,,0.0,Girls Volleyball vs Northwestern Lehigh Wildcats tomorrow in Founders Hall. Varsity is at 4:30 and JV immediately after. No spectators aloud and this game will be streaming live on YOU TUBE. Search FOUNDERS HALL. #GoRaptors,2020-09-16 14:41:28,,
3,0.0,,7.0,http://share.here.com/r/mylocation/e-eyJuYW1lIjoiRXhlY3V0aXZlIEVkdWNhdGlvbiBBY2FkZW15IENoYXJ0ZXIgU2Nob29sIiwiYWRkcmVzcyI6IjU1NSBVbmlvbiBCb3VsZXZhcmQsIEFsbGVudG93biwgUEEgMTgxMDkiLCJsYXRpdHVkZSI6NDAuNjIxMjExLCJsb25naXR1ZGUiOi03NS40NTMyNTYsInByb3ZpZGVyTmFtZSI6ImZhY2Vib29rIiwicHJvdmlkZXJJZCI6MTU0NTc3NTA4MDg1NzY3fQ==?link=addresses&fb_locale=en_US&ref=fb_mobile,1437662973110541,,https://facebook.com/story.php?story_fbid=1437662973110541&id=154577508085767,Executive Education Academy Charter School updated their address.,0.0,Executive Education Academy Charter School updated their address.,2020-09-16 13:20:18,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119471771_1437661213110717_1148693267392246970_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=AXWubF145eYAX8ycfnf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=81b97039d4b239a6928091638ea68c5a&oe=5F88B65D,6.0,,1437661293110709,,https://facebook.com/story.php?story_fbid=1437661293110709&id=154577508085767,,0.0,,2020-09-16 13:17:26,,
5,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119665984_1437592139784291_5461642498362056200_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=RrI0hlvydnsAX8tBR6r&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6de01f89c9c3463859de9584918a365f&oe=5F89AF1F,19.0,,1437593096450862,"We at Executive Education Academy Charter School once again would like to thank ""The Lisa Libraries"" foundation of Kingston, New York for their generous donation of 254 books for our middle school students. The books cover many different types of genres and some are even in Spanish and the books themselves.. phenomenal. We couldn't be happier!!!
(pictured left to right..Robert J. Lysek/CEO, Stephanie Hutzayluk/Director of Curriculum & Instruction, Cliff Harmon/Principal Middle School, Robert E. Fulcher/Chief Staff Officer)",https://facebook.com/story.php?story_fbid=1437593096450862&id=154577508085767,,0.0,"We at Executive Education Academy Charter School once again would like to thank ""The Lisa Libraries"" foundation of Kingston, New York for their generous donation of 254 books for our middle school students. The books cover many different types of genres and some are even in Spanish and the books themselves.. phenomenal. We couldn't be happier!!!
(pictured left to right..Robert J. Lysek/CEO, Stephanie Hutzayluk/Director of Curriculum & Instruction, Cliff Harmon/Principal Middle School, Robert E. Fulcher/Chief Staff Officer)",2020-09-16 11:46:01,,
6,38.0,,16.0,,3187821647982809,,,,0.0,,2020-09-16 08:01:16,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_324985035389918_9006380307236333033_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=FIniCEcIFbwAX9xuJAQ&_nc_ht=scontent-atl3-1.xx&oh=94c9ac35fdd38b4d9b26b79ec8cc8828&oe=5F86EA31,
7,0.0,,5.0,https://instagram.com/eeccscyber?igshid=10wg51rv9zzij,1437061823170656,,https://facebook.com/story.php?story_fbid=1437061823170656&id=154577508085767,"INSTAGRAM.COM
EECCS Cyber Charter's (@eeccscyber) Instagram profile • 2 photos and videos",3.0,"INSTAGRAM.COM
EECCS Cyber Charter's (@eeccscyber) Instagram profile • 2 photos and videos",2020-09-15 22:03:17,,
8,3.0,,12.0,https://www.google.com/amp/s/blog.pavcsk12.org/what-are-the-advantages-of-cyber-charter-schools%3fhs_amp=true,1437048596505312,Please support Executive Education Cyber Charter School.,https://facebook.com/story.php?story_fbid=1437048596505312&id=154577508085767,"BLOG.PAVCSK12.ORG
What are the Advantages of Cyber Charter Schools?",3.0,"Please support Executive Education Cyber Charter School.

BLOG.PAVCSK12.ORG
What are the Advantages of Cyber Charter Schools?",2020-09-15 21:38:28,,
9,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119605223_1436579249885580_776439203083002261_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=sAebM4HHoPMAX89mxDx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fa55320293bf5d684af53369cee2b330&oe=5F882DA7,7.0,,1436580136552158,"ATTENTION!!!

HS Basketball Workouts

Tuesday/Wednesday/Thursday

Boys workouts 230p-5p
Girls workouts 5p- 745p

COVID protocols will be followed and administered by LVHN-CH",https://facebook.com/story.php?story_fbid=1436580136552158&id=154577508085767,,0.0,"ATTENTION!!!

HS Basketball Workouts

Tuesday/Wednesday/Thursday

Boys workouts 230p-5p
Girls workouts 5p- 745p

COVID protocols will be followed and administered by LVHN-CH",2020-09-15 09:06:49,,
10,22.0,,12.0,,784678829358704,,,,0.0,,2020-09-15 08:00:17,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_319508215994193_3669778236915891471_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=KNiBnydTBMYAX_dGOq6&_nc_ht=scontent-atl3-1.xx&oh=7ba7175a9dea2c2ef930fea092cdc24b&oe=5F884B6A,
11,0.0,,3.0,https://docs.google.com/forms/d/1M-AwoP2o2l94Br0HcIx8YanCqzIfLUWh21emeGhTnNU/viewform?edit_requested=true,1436112663265572,,https://facebook.com/story.php?story_fbid=1436112663265572&id=154577508085767,,0.0,,2020-09-14 19:45:54,,
