,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,3.0,,3212635152188440,Calling all creative and inspirational teachers of science!,https://facebook.com/story.php?story_fbid=3212635152188440&id=517392141712768,"EXPLORE ACADEMY ABQ
Science Teacher",0.0,"Calling all creative and inspirational teachers of science!

EXPLORE ACADEMY ABQ
Science Teacher",2020-08-31 13:36:30,,
1,1.0,,4.0,,3212630288855593,The selected teacher will teach five middle school science classes per day in accordance with Explore Academy's flavored curriculum. Teaching will start online and return to full in-person once the school resumes in-person teaching.,https://facebook.com/story.php?story_fbid=3212630288855593&id=517392141712768,"EXPLORE ACADEMY ABQ
Science Teacher (Middle School)",0.0,"The selected teacher will teach five middle school science classes per day in accordance with Explore Academy's flavored curriculum. Teaching will start online and return to full in-person once the school resumes in-person teaching.

EXPLORE ACADEMY ABQ
Science Teacher (Middle School)",2020-08-31 13:34:24,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118118716_3197793853672570_8485379706419543128_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=qsskVcCe120AX88wQhv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0ca1e51d76dc2afa4f9f7c4c4ec31918&oe=5F82895D,10.0,http://www.explore.academy/,3197795830339039,"Thank you to all who attended our virtual Parent Orientation night. If you missed it, it can be found on our website. www.explore.academy
#ExploreLearn #ExploreAcademyABQ",https://facebook.com/story.php?story_fbid=3197795830339039&id=517392141712768,,0.0,"Thank you to all who attended our virtual Parent Orientation night. If you missed it, it can be found on our website. www.explore.academy
#ExploreLearn #ExploreAcademyABQ",2020-08-26 15:31:50,,
3,1.0,,16.0,https://animoto.com/play/KNN4sTW65ROiD9KljA3eDg,3197706320347990,Our first Spirit day was a huge success! We appreciate everyone who participate in it. Be on the look out for the next event. #ExploreLearn #ExploreAcademyABQ,https://facebook.com/story.php?story_fbid=3197706320347990&id=517392141712768,"ANIMOTO.COM
Disney Day",0.0,"Our first Spirit day was a huge success! We appreciate everyone who participate in it. Be on the look out for the next event. #ExploreLearn #ExploreAcademyABQ

ANIMOTO.COM
Disney Day",2020-08-26 14:49:38,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118495200_3192631954188760_6186800602202101793_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=-Q3zSf4ka8MAX-hnV59&_nc_ht=scontent-atl3-1.xx&tp=14&oh=615b10a27649773c0b11abf6cae88b94&oe=5F84030C,0.0,,3192632094188746,"To join tonight please follow the link and use your students account to join

Thank you for your patience.",https://facebook.com/story.php?story_fbid=3192632094188746&id=517392141712768,,0.0,"To join tonight please follow the link and use your students account to join

Thank you for your patience.",2020-08-24 21:10:29,,
5,2.0,,6.0,,3192625570856065,If you are joining our live stream please back out and log back in with your child’s account,https://facebook.com/story.php?story_fbid=3192625570856065&id=517392141712768,,0.0,If you are joining our live stream please back out and log back in with your child’s account,2020-08-24 21:06:55,,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117891853_3192591757526113_7661160502946067329_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=rdBlSCYz3xMAX_PHYSC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=45add39bf159d62bb72c317d26099a93&oe=5F849D3B,1.0,,3192591830859439,We are about ten minutes away from tonight’s event! Can’t wait to see you there. #ExploreLearn #ExploreAcademyABQ,https://facebook.com/story.php?story_fbid=3192591830859439&id=517392141712768,,0.0,We are about ten minutes away from tonight’s event! Can’t wait to see you there. #ExploreLearn #ExploreAcademyABQ,2020-08-24 20:48:01,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118309491_3192416614210294_1065130202517498230_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=h1veU891NFMAX8TuYoV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=052d65c368c72ab78a1ced0dca3069d6&oe=5F83FC45,4.0,,3192417480876874,Can’t wait to see everyone tonight at 7:00 for our 2020-2021 Parent Orientation.,https://facebook.com/story.php?story_fbid=3192417480876874&id=517392141712768,,0.0,Can’t wait to see everyone tonight at 7:00 for our 2020-2021 Parent Orientation.,2020-08-24 19:03:03,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117643702_3183625751756047_5430918059746179688_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=HFzJpYMxQIAAX8E4yuN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b85108604199b865431dfa82b738328f&oe=5F82B64E,18.0,,3183629275089028,"New Parent Orientation will take place on Monday, August 24, 2020
From 7:00 - 8:00pm
Please check your email with the link to join us. We cannot wait to see you Monday.
#ExploreLearn #ExploreAcademyABQ",https://facebook.com/story.php?story_fbid=3183629275089028&id=517392141712768,,0.0,"New Parent Orientation will take place on Monday, August 24, 2020
From 7:00 - 8:00pm
Please check your email with the link to join us. We cannot wait to see you Monday.
#ExploreLearn #ExploreAcademyABQ",2020-08-21 17:16:19,,
9,0.0,,24.0,,3135622139889742,‪Welcome back to school!! We have missed our Wolf Pack!! It’s going to be a great school year! #ExploreLearn #ExploreAcademyABQ ‬,https://facebook.com/story.php?story_fbid=3135622139889742&id=517392141712768,,0.0,‪Welcome back to school!! We have missed our Wolf Pack!! It’s going to be a great school year! #ExploreLearn #ExploreAcademyABQ ‬,2020-08-05 00:49:54,,
