,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119128341_2835237749909258_1617692266180012936_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=o9glVnXqz88AX8KuIja&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4a774c5ab04ecf0bd3a3af461ac95647&oe=5F81EC80,47.0,,2835238139909219,"In addition to SACS/CASI accreditation through AdvancEd, all five schools and the school system are “Accredited with Quality” by the Georgia Accrediting Commission (GAC). This accrediting process, completed annually, ensures that schools and school districts provide quality, safe facilities and offer a viable, appropriate instructional program for all students. Congratulations to all of our schools for earning this distinction!",https://facebook.com/story.php?story_fbid=2835238139909219&id=424150517684672,,0.0,"In addition to SACS/CASI accreditation through AdvancEd, all five schools and the school system are “Accredited with Quality” by the Georgia Accrediting Commission (GAC). This accrediting process, completed annually, ensures that schools and school districts provide quality, safe facilities and offer a viable, appropriate instructional program for all students. Congratulations to all of our schools for earning this distinction!",2020-09-10 19:01:58,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119181343_2835227919910241_9090126835959078633_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=RwqnnwF3JhYAX-XfHue&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0e2ec6585e83175ec13f2ce952ddbfc3&oe=5F80C91F,21.0,,2835229289910104,"During last month's Board meeting, a video was shown showcasing students that qualified for FCCLA National Conference Competitive Events. This month those students were able to be personally recognized. We are very proud of these students and their hard work that was recognized at a national level!
FCCLA National Awards:
Career Investigation Level 3, Sydney Tarpley, 11th grade- Gold Medal
Chapter Service Project Portfolio Level 2, Anna Rhodes and Gracie Stewart, 9th grade- Gold Medal
Chapter Service Project Portfolio Level 3- Bailey Pettit, 10th grade and Alexis Hill, 11th grade- Gold Medal
Interpersonal Communications Level 3, Isabella Tocci, 11th grade- Silver Medal
Say Yes to FCS Level 3, Sierra Reynolds, 11th grade- Gold Medal",https://facebook.com/story.php?story_fbid=2835229289910104&id=424150517684672,,0.0,"During last month's Board meeting, a video was shown showcasing students that qualified for FCCLA National Conference Competitive Events. This month those students were able to be personally recognized. We are very proud of these students and their hard work that was recognized at a national level!
FCCLA National Awards:
Career Investigation Level 3, Sydney Tarpley, 11th grade- Gold Medal
Chapter Service Project Portfolio Level 2, Anna Rhodes and Gracie Stewart, 9th grade- Gold Medal
Chapter Service Project Portfolio Level 3- Bailey Pettit, 10th grade and Alexis Hill, 11th grade- Gold Medal
Interpersonal Communications Level 3, Isabella Tocci, 11th grade- Silver Medal
Say Yes to FCS Level 3, Sierra Reynolds, 11th grade- Gold Medal",2020-09-10 18:56:24,,
2,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119153753_2835214696578230_6907118438130845181_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=uTk96XHR2H8AX8DTWQS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7345829bf08f13cd4f7abfd80fc14b70&oe=5F8321DA,60.0,,2835215036578196,"Congratulations to our wonderful Nutrition Staff for earning Gold Awards in the Shake It Up Program.
BRES - GOLD
EFES - GOLD
WFES - GOLD
FCMS - GOLD
FCHS - GOLD
DISTRICT - GOLD
What is Shake It Up?
A movement to change the culture of school nutrition by focusing on three key areas; Tasty Meals, Friendly Cafeterias and Happy Schools.This initiative was created by the Georgia Department of Education (GaDOE) School Nutrition Team in partnership with the State School Superintendent and State Board of Education.",https://facebook.com/story.php?story_fbid=2835215036578196&id=424150517684672,,0.0,"Congratulations to our wonderful Nutrition Staff for earning Gold Awards in the Shake It Up Program.
BRES - GOLD
EFES - GOLD
WFES - GOLD
FCMS - GOLD
FCHS - GOLD
DISTRICT - GOLD
What is Shake It Up?
A movement to change the culture of school nutrition by focusing on three key areas; Tasty Meals, Friendly Cafeterias and Happy Schools.This initiative was created by the Georgia Department of Education (GaDOE) School Nutrition Team in partnership with the State School Superintendent and State Board of Education.",2020-09-10 18:48:35,,
3,0.0,,7.0,https://www.youtube.com/watch?v=Qk0oMI5bTrY&ab_channel=FanninRebelTV,2834811513285215,You can view tonight's regularly scheduled BOE meeting at the following link: https://www.youtube.com/watch?v=Qk0oMI5bTrY&ab_channel=FanninRebelTV,https://facebook.com/story.php?story_fbid=2834811513285215&id=424150517684672,"YOUTUBE.COM
Fannin County Board of Education Sept. 10 Monthly Meeting",3.0,"You can view tonight's regularly scheduled BOE meeting at the following link: https://www.youtube.com/watch?v=Qk0oMI5bTrY&ab_channel=FanninRebelTV

YOUTUBE.COM
Fannin County Board of Education Sept. 10 Monthly Meeting",2020-09-10 15:09:06,,
4,0.0,,0.0,,2834681759964857,,https://facebook.com/story.php?story_fbid=2834681759964857&id=424150517684672,"Fannin County High School
September 10 at 6:02 PM ·

In consultation with the Georgia Department of Public Health, the decision has been made to cancel the football game with Gilmer County scheduled September 11, 2020 due to COVID-19. The JV football game scheduled for today has been cancelled.",4.0,"Fannin County High School
September 10 at 6:02 PM ·

In consultation with the Georgia Department of Public Health, the decision has been made to cancel the football game with Gilmer County scheduled September 11, 2020 due to COVID-19. The JV football game scheduled for today has been cancelled.",2020-09-10 14:05:52,,
5,0.0,,0.0,,,"In consultation with the Georgia Department of Public Health, the decision has been made to cancel the football game with Gilmer County scheduled September 11, 2020 due to COVID-19. The JV football game scheduled for today has been cancelled.",https://facebook.com/story.php?story_fbid=1676928665810365&id=746896432146931,,0.0,"In consultation with the Georgia Department of Public Health, the decision has been made to cancel the football game with Gilmer County scheduled September 11, 2020 due to COVID-19. The JV football game scheduled for today has been cancelled.",2020-09-12 15:09:49.804744,,
6,13.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119100266_2828580030575030_2632172975611782711_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=59Dr9vlhTHkAX-nzmp9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=99b72ad77e852692a59c8096da31b6d3&oe=5F849CBC,109.0,,2828597507239949,,https://facebook.com/story.php?story_fbid=2828597507239949&id=424150517684672,,0.0,,2020-09-08 12:13:53,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118832764_2814245072008526_4197992939685853604_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=QgjFa7uy6w0AX-YiFdj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=948efc58f5f2bf95a361247ff4fbdab8&oe=5F82FDAA,72.0,,2814170528682647,We were honored today to have State Superintendent Richard Woods visit Fannin County High School. He was able to see morning procedures as students arrive and visit some CTAE classes. Superintendent Woods discussed many items with the district leadership team concerning the challenges we are facing right now and how the state can assist districts through these difficult times. Thank you Mr. Woods for visiting and showing your support! @Georgia Department of Education #KeepGALearning #KeepGAFed #FanninFamily,https://facebook.com/story.php?story_fbid=2814170528682647&id=424150517684672,,0.0,We were honored today to have State Superintendent Richard Woods visit Fannin County High School. He was able to see morning procedures as students arrive and visit some CTAE classes. Superintendent Woods discussed many items with the district leadership team concerning the challenges we are facing right now and how the state can assist districts through these difficult times. Thank you Mr. Woods for visiting and showing your support! @Georgia Department of Education #KeepGALearning #KeepGAFed #FanninFamily,2020-09-03 11:15:16,,
8,3.0,,11.0,https://forms.gle/bRaaV2XpAPvgtRgA6,2805792746187092,"Parents, guardians, and community members,

Please take a few moments to provide the school system and our local school board with some feedback regarding our current mission, vision, and belief statements as well as our long-range strategic plan. We would really like to hear from you and know that we have your support as we continue serving students in Fannin County! This survey is open now through Tuesday, September 8th. Thank you for taking a few moments to let us know how you feel. We value your input and partnership!

https://forms.gle/bRaaV2XpAPvgtRgA6",https://facebook.com/story.php?story_fbid=2805792746187092&id=424150517684672,"DOCS.GOOGLE.COM
2020-21 Mission, Vision & Strategic Plan",7.0,"Parents, guardians, and community members,

Please take a few moments to provide the school system and our local school board with some feedback regarding our current mission, vision, and belief statements as well as our long-range strategic plan. We would really like to hear from you and know that we have your support as we continue serving students in Fannin County! This survey is open now through Tuesday, September 8th. Thank you for taking a few moments to let us know how you feel. We value your input and partnership!

https://forms.gle/bRaaV2XpAPvgtRgA6

DOCS.GOOGLE.COM
2020-21 Mission, Vision & Strategic Plan",2020-08-31 15:36:40,,
9,0.0,,13.0,https://www.applitrack.com/fannink12/onlineapp/,2790683417698025,We are looking to hire substitutes for our Nutrition Department and Bus Drivers! You can start the application process at this link: https://www.applitrack.com/fannink12/onlineapp/,https://facebook.com/story.php?story_fbid=2790683417698025&id=424150517684672,,0.0,We are looking to hire substitutes for our Nutrition Department and Bus Drivers! You can start the application process at this link: https://www.applitrack.com/fannink12/onlineapp/,2020-08-26 12:06:15,,
