,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119139543_2715896715318982_7520291490480104295_o.jpg?_nc_cat=107&_nc_sid=0be424&_nc_ohc=DcLVOYaVyrEAX88UqAr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fa07b0da838334975852dabf656aa078&oe=5F84A9D4,86.0,,2715898455318808,,https://facebook.com/story.php?story_fbid=2715898455318808&id=1416937108548289,"Fonda-Fultonville Central School District added 14 new photos.
September 11 at 10:41 AM ·",0.0,"Fonda-Fultonville Central School District added 14 new photos.
September 11 at 10:41 AM ·",2020-09-11 10:41:11,,
1,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119148695_2714997145408939_3278688377198799563_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=j-MNFBXPeSwAX_gNitr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4e39f9b9e5f3e645ec5fbc738c6e694a&oe=5F85A8B5,112.0,,2714999232075397,We missed these smiles! #bravestrong,https://facebook.com/story.php?story_fbid=2714999232075397&id=1416937108548289,,0.0,We missed these smiles! #bravestrong,2020-09-10 10:38:53,,
2,4.0,,116.0,,,,,"Fonda-Fultonville Central School District added 32 new photos.
September 9 at 2:03 PM ·

While the start of the 2020-21 school year looked a little different this year, smiles and excitement were a continued hallmark of the first day at FFCS. Students in grades 7-12 are attending school in-person this week, while students in PK-6 participate in remote learning. Prekindergarten and kindergarten screening is underway as students in grades 1-4 attend one-on-one meetings to tour their classrooms and meet their teachers. We hope all of our students, families and staff have a wonderful start to the school year! #bravestrong",0.0,"Fonda-Fultonville Central School District added 32 new photos.
September 9 at 2:03 PM ·

While the start of the 2020-21 school year looked a little different this year, smiles and excitement were a continued hallmark of the first day at FFCS. Students in grades 7-12 are attending school in-person this week, while students in PK-6 participate in remote learning. Prekindergarten and kindergarten screening is underway as students in grades 1-4 attend one-on-one meetings to tour their classrooms and meet their teachers. We hope all of our students, families and staff have a wonderful start to the school year! #bravestrong",2020-09-09 14:03:24,,
3,1.0,,98.0,,2714312835477370,,,,0.0,,2020-09-09 13:49:08,,
4,38.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117593631_2685956824979638_1705224150051222196_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=zm1YY8mLp2IAX-keRYe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2e2152e1b6352ee4702f1436f77298a7&oe=5F849EA6,223.0,https://www.fondafultonvilleschools.org/ffcs-earns-distinction-as-nys-recognition-schools/,2685957471646240,"We are proud to announce our elementary and high schools have been named Recognition Schools by the New York State Education Department! Just 13 percent of New York State public schools have earned this distinction. Congratulations to our faculty, staff, students, their families and our community. #bravestrong https://www.fondafultonvilleschools.org/ffcs-earns-distinction-as-nys-recognition-schools/",https://facebook.com/story.php?story_fbid=2685957471646240&id=1416937108548289,,0.0,"We are proud to announce our elementary and high schools have been named Recognition Schools by the New York State Education Department! Just 13 percent of New York State public schools have earned this distinction. Congratulations to our faculty, staff, students, their families and our community. #bravestrong https://www.fondafultonvilleschools.org/ffcs-earns-distinction-as-nys-recognition-schools/",2020-08-07 11:24:20,,
5,52.0,,33.0,,264207434999188,,,,14.0,,2020-06-26 19:08:55,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_138560647864198_1311692065791208435_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=QPDfNgJ2ze4AX9QPwx_&_nc_ht=video-atl3-1.xx&oh=5c21e7f15c4c8bf3f840db84caed365e&oe=5F5ED6E8,
6,86.0,,36.0,,316403462729311,,,,16.0,,2020-06-26 17:48:26,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_556998018313899_4111259419619221266_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=BRVG0kgGwBUAX-cvYQ2&_nc_ht=video-atl3-1.xx&oh=856174689d5874625e39d1d05a0e0b16&oe=5F5ECE7A,
7,128.0,,85.0,,1423982264656390,,,,22.0,,2020-06-26 16:18:47,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_722796115217297_5736735307149772360_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=-rq4qKULotAAX9u_18g&_nc_ht=video-atl3-1.xx&oh=18fc77378f677ada7f4f71c2092466c2&oe=5F5EDC23,
8,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105960534_2651328048442516_3677949789224937789_o.jpg?_nc_cat=101&_nc_sid=e007fa&_nc_ohc=7ICjGWE2G5YAX8XfxLX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5d0e360d739826d63108ca7a4ba4a1bc&oe=5F86210C,111.0,,,,,"Fonda-Fultonville Central School District added 150 new photos.
June 25 at 12:21 PM ·

Congratulations to the students who were recognized for their at-home learning in the middle school's fourth quarter character education awards! Staff members delivered a special treat and a certificate to these students at their homes. #bravestrong",0.0,"Fonda-Fultonville Central School District added 150 new photos.
June 25 at 12:21 PM ·

Congratulations to the students who were recognized for their at-home learning in the middle school's fourth quarter character education awards! Staff members delivered a special treat and a certificate to these students at their homes. #bravestrong",2020-06-25 12:21:03,,
9,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105519891_2648906092018045_1288627681879367025_o.jpg?_nc_cat=111&_nc_sid=e007fa&_nc_ohc=GeD68PZMeDAAX9ad7oY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a73cf56ca536ce64ea879a5f1c867529&oe=5F844102,89.0,,,,,"Fonda-Fultonville Central School District added 85 new photos.
June 22 at 12:22 PM ·

Congratulations to our kindergarten students who are moving up to first grade! We hope you have a wonderful summer!",0.0,"Fonda-Fultonville Central School District added 85 new photos.
June 22 at 12:22 PM ·

Congratulations to our kindergarten students who are moving up to first grade! We hope you have a wonderful summer!",2020-06-22 12:22:03,,
10,36.0,,74.0,,899768697171247,Presenting our high school awards ceremony! Congratulations to the exceptional students who have achieved this well-deserved recognition!,,,34.0,Presenting our high school awards ceremony! Congratulations to the exceptional students who have achieved this well-deserved recognition!,2020-06-18 18:00:07,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/104090054_193473731974196_9205324598038655079_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=CnED5bk8ZasAX_CMPNE&_nc_ht=video-atl3-1.xx&oh=f76d5cb1bd7bdebff53c98de4bda1f2b&oe=5F5ED563,
11,1.0,,49.0,,2645816132327041,Presenting our high school awards ceremony! Congratulations to the exceptional students who have achieved this well-deserved recognition!,https://facebook.com/story.php?story_fbid=2645816132327041&id=1416937108548289,Fonda-Fultonville High School Virtual Awards Ceremony 2020,0.0,"Presenting our high school awards ceremony! Congratulations to the exceptional students who have achieved this well-deserved recognition!

Fonda-Fultonville High School Virtual Awards Ceremony 2020",2020-06-18 15:26:04,,
12,23.0,,95.0,,2645207655721222,Congratulations to our retirees! There are not enough words to express our appreciation for everything they've done for this district. You will always be apart of the FFCS family! Best wishes in the next chapter of your lives!,,,0.0,Congratulations to our retirees! There are not enough words to express our appreciation for everything they've done for this district. You will always be apart of the FFCS family! Best wishes in the next chapter of your lives!,2020-06-18 10:00:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/104666633_298724581301185_15092545295000894_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=w3LMiCJvpAQAX-2He-T&_nc_ht=video-atl3-1.xx&oh=a940b6ae8c48cda98e27496d969be2c2&oe=5F5ED94D,
13,52.0,,78.0,https://www.fondafultonvilleschools.org/.../FFMS-Yearbook,718651245535129,"Presenting the Fonda-Fultonville Middle School year-end celebration! Stay with us for a message to students from our staff and tributes to our Citizenship Flag Award winners, retirees and our eighth graders. Congratulations to everyone!

When the program is over, go to our website for the launch of our digital yearbook! https://www.fondafultonvilleschools.org/.../FFMS-Yearbook...
Thanks to the Viscosi family, our PTSA, and of course yearbook advisers Shelly Sanges and Steve Vunk, all students have access to the digital yearbook free of charge.",,,39.0,"Presenting the Fonda-Fultonville Middle School year-end celebration! Stay with us for a message to students from our staff and tributes to our Citizenship Flag Award winners, retirees and our eighth graders. Congratulations to everyone!

When the program is over, go to our website for the launch of our digital yearbook! https://www.fondafultonvilleschools.org/.../FFMS-Yearbook...
Thanks to the Viscosi family, our PTSA, and of course yearbook advisers Shelly Sanges and Steve Vunk, all students have access to the digital yearbook free of charge.",2020-06-16 19:00:20,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_2575408732710697_1025321557511160376_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=rn-FhBUXvXQAX9O5srC&_nc_ht=video-atl3-1.xx&oh=5428a9f3abedae2f2bc17028678227d6&oe=5F5ED384,
14,7.0,,60.0,,2644179512490703,"Join us tonight! Our virtual presentation includes a message to our middle school students from staff, and our tributes to our Citizenship Flag Award winners, retirees, and our eighth graders. Join us in celebrating them! ♥️💛 #bravestrong",https://facebook.com/story.php?story_fbid=2644179512490703&id=1416937108548289,MS Virtual Year-End Celebration 2020,0.0,"Join us tonight! Our virtual presentation includes a message to our middle school students from staff, and our tributes to our Citizenship Flag Award winners, retirees, and our eighth graders. Join us in celebrating them! ♥️💛 #bravestrong

MS Virtual Year-End Celebration 2020",2020-06-16 14:48:37,,
