,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,8.0,,2382346415393796,"Our students are able to come into the school for face to face support along with picking supplies for projects while working virtually. This week our students in Environmental Science are making a Pond Ecosystem in a Bottle. They will create 3 separate but connected chambers: aquatic, decomposition and terrestrial. The aquatic chamber will have fish, snails and seaweed in water. The decomposition chamber will have soil, worms, pill bugs, leaves, grass and decomposing fruit and vegetable remains. The terrestrial chamber will have dirt, worms and seeds planted in it. The students will collect data and learn about interactions between the Earth's biosphere, atmosphere, geosphere and hydrosphere.",,,0.0,"Our students are able to come into the school for face to face support along with picking supplies for projects while working virtually. This week our students in Environmental Science are making a Pond Ecosystem in a Bottle. They will create 3 separate but connected chambers: aquatic, decomposition and terrestrial. The aquatic chamber will have fish, snails and seaweed in water. The decomposition chamber will have soil, worms, pill bugs, leaves, grass and decomposing fruit and vegetable remains. The terrestrial chamber will have dirt, worms and seeds planted in it. The students will collect data and learn about interactions between the Earth's biosphere, atmosphere, geosphere and hydrosphere.",2020-09-11 10:36:15,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119100682_761455914616514_1320856157084933824_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=qsh3A0Bd0ScAX_KxE99&_nc_ht=video-atl3-1.xx&oh=edfe3ed7542143a2a664c115758af8f3&oe=5F5E33F2,
1,0.0,,11.0,,2374551716173266,Here's what some of our students had to say about what it's been like as we started our second week of the school year.,,,0.0,Here's what some of our students had to say about what it's been like as we started our second week of the school year.,2020-09-01 15:03:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118664005_352421166131328_6939324532559539203_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=-1TksrLPVJAAX-YNypD&_nc_ht=video-atl3-1.xx&oh=d3753306c5ca6915fe4e71db66ab4347&oe=5F5E2F95,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118568544_2373466859615085_1661640029160671379_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=-wzYwpuaPKcAX8ZxB6N&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f37a43b189fe615dbde1263caf248f66&oe=5F838C6B,9.0,,2373467022948402,,https://facebook.com/story.php?story_fbid=2373467022948402&id=1812780972350346,,0.0,,2020-08-31 08:19:05,,
3,0.0,,5.0,,2369632259998545,"FlexTech Families - Please check your email for how to send us a message to let us know if you will be changing your student's schedule next week for in-person support. If we do not hear from you, we will assume that your student is keeping the same schedule for next week. We will ask every week for changes. Please respond through email, thank you!",https://facebook.com/story.php?story_fbid=2369632259998545&id=1812780972350346,,0.0,"FlexTech Families - Please check your email for how to send us a message to let us know if you will be changing your student's schedule next week for in-person support. If we do not hear from you, we will assume that your student is keeping the same schedule for next week. We will ask every week for changes. Please respond through email, thank you!",2020-08-26 09:09:30,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118226908_2368130966815341_2318106212449853383_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=xcCmho2n_ygAX8cbNf3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c889b2217e51a28bf3f94ffb2747a0d1&oe=5F8426C5,7.0,,2368131110148660,,https://facebook.com/story.php?story_fbid=2368131110148660&id=1812780972350346,,0.0,,2020-08-25 08:00:31,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117757820_2364295870532184_7851022767358739693_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=f5-vMR-YQA4AX9KNWpW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=632c6995973d39d3bf92a4ed09cce7c9&oe=5F845D11,18.0,,2364296017198836,,https://facebook.com/story.php?story_fbid=2364296017198836&id=1812780972350346,,0.0,,2020-08-24 08:00:15,,
6,0.0,,11.0,,2364293980532373,,https://facebook.com/story.php?story_fbid=2364293980532373&id=1812780972350346,,0.0,,2020-08-21 08:00:28,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117727953_2364290710532700_5863569431073828328_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=HyFNkchww3cAX9d_-4W&_nc_ht=scontent-atl3-1.xx&tp=14&oh=37fb985b500221c016b45329c3ab8072&oe=5F834F4B,10.0,,2364290890532682,,https://facebook.com/story.php?story_fbid=2364290890532682&id=1812780972350346,,0.0,,2020-08-20 08:00:15,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117357396_2362596010702170_4421280258147309759_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=_ODj1_22BSoAX94DpLc&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e083719315ce48f4147290a890e2c9d6&oe=5F84929C,9.0,,2362596067368831,,https://facebook.com/story.php?story_fbid=2362596067368831&id=1812780972350346,,0.0,,2020-08-19 09:00:50,,
9,0.0,,10.0,https://www.themorningsun.com/news/months-of-planning-go-into-flexible-learning-at-morey-flextech/article_d65a1046-e16e-11ea-aa4f-eb666376cba6.html,2363597373935367,It was great seeing all our students today along with all our new families! There’s still time to enroll if you need something flexible for your student 8th - 12th grade.,https://facebook.com/story.php?story_fbid=2363597373935367&id=1812780972350346,"THEMORNINGSUN.COM
Months of planning go into flexible learning at Morey FlexTech",8.0,"It was great seeing all our students today along with all our new families! There’s still time to enroll if you need something flexible for your student 8th - 12th grade.

THEMORNINGSUN.COM
Months of planning go into flexible learning at Morey FlexTech",2020-08-18 16:10:27,,
