,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119796805_3506824426027587_2493344612315503493_o.jpg?_nc_cat=108&_nc_sid=e007fa&_nc_ohc=XilPo_EBSigAX9KGlEY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b83ca9ea08564183ce7b9b46aaefbd68&oe=5F8B3B39,6.0,https://bit.ly/2UL1rXf,,,,"Frederick County Public Schools added 35 new photos.
1 hr ·

Construction of the replacement Robert E. Aylor Middle School is continuing to progress. Classrooms, collaborative learning spaces, the gym, cafeteria and administrative offices are all becoming more visible as construction continues. http://bit.ly/2UL1rXf",0.0,"Frederick County Public Schools added 35 new photos.
1 hr ·

Construction of the replacement Robert E. Aylor Middle School is continuing to progress. Classrooms, collaborative learning spaces, the gym, cafeteria and administrative offices are all becoming more visible as construction continues. http://bit.ly/2UL1rXf",2020-09-18 14:22:18,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119807648_3505936342783062_8210412131343151868_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=JWklVOqW-EEAX9sMqja&_nc_ht=scontent-atl3-1.xx&oh=bee0009418770dd8336da3b502b7e91a&oe=5F8C9608,14.0,https://bit.ly/32EMB8b,3505937092782987,"The Virginia High School League Executive Committee has adopted a “Championships + 1” schedule for the 2020-21 Athletic and Activities Season. Under the plan, winter sports begin December 7 with the first competitions to be held December 21. The fall and spring seasons will begin February 4 and April 12, respectively. https://bit.ly/32EMB8b",https://facebook.com/story.php?story_fbid=3505937092782987&id=412942642082463,,0.0,"The Virginia High School League Executive Committee has adopted a “Championships + 1” schedule for the 2020-21 Athletic and Activities Season. Under the plan, winter sports begin December 7 with the first competitions to be held December 21. The fall and spring seasons will begin February 4 and April 12, respectively. https://bit.ly/32EMB8b",2020-09-18 08:35:26,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119838255_3503188703057826_268079986330434608_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=1Rysl3ybCAwAX8i62Dd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a5cff56e353dff51506edad69d6f1e31&oe=5F88EB27,47.0,,3503192399724123,"The United Way of Northern Shenandoah Valley held its annual Day of Caring yesterday and Frederick County Public Schools was happy to be involved again this year. A number of employees volunteered their time last night to do some cleaning at the Highland Food Pantry. The freezers, floors, cabinets, toys, kitchen equipment and furniture at the pantry all got some special attention last night. #FCPSinspires",https://facebook.com/story.php?story_fbid=3503192399724123&id=412942642082463,,0.0,"The United Way of Northern Shenandoah Valley held its annual Day of Caring yesterday and Frederick County Public Schools was happy to be involved again this year. A number of employees volunteered their time last night to do some cleaning at the Highland Food Pantry. The freezers, floors, cabinets, toys, kitchen equipment and furniture at the pantry all got some special attention last night. #FCPSinspires",2020-09-17 10:44:58,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119741756_3501265353250161_7521134115904104793_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=QCaEJ0kYALoAX_ZD3N0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=39f0dde05acdec5298106114ea567daf&oe=5F8BEBF0,5.0,https://bit.ly/3cdJaZm,3501266556583374,The committee that’s developing a middle school rezoning plan to be considered by the School Board has developed three draft options which can be reviewed at https://bit.ly/3cdJaZm. Citizen feedback on the options being considered by the committee may be submitted in English- https://bit.ly/3iESojs or Spanish- https://bit.ly/3c4gn9k. The rezoning proposal will include the creation of an attendance zone for the replacement Robert E. Aylor Middle School and is only expected to impact the current middle school attendance zones. There will be no impact to current elementary and high school attendance zones. The rezoning will take effect when the replacement Aylor Middle School opens for the 2021-22 school year.,https://facebook.com/story.php?story_fbid=3501266556583374&id=412942642082463,,0.0,The committee that’s developing a middle school rezoning plan to be considered by the School Board has developed three draft options which can be reviewed at https://bit.ly/3cdJaZm. Citizen feedback on the options being considered by the committee may be submitted in English- https://bit.ly/3iESojs or Spanish- https://bit.ly/3c4gn9k. The rezoning proposal will include the creation of an attendance zone for the replacement Robert E. Aylor Middle School and is only expected to impact the current middle school attendance zones. There will be no impact to current elementary and high school attendance zones. The rezoning will take effect when the replacement Aylor Middle School opens for the 2021-22 school year.,2020-09-16 20:04:08,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119630877_3497661816943848_8976885123932602617_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=vtgVS29iFukAX8cRZtn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cff7958d967adb7bbbf9899f03398afa&oe=5F8AA603,21.0,,3497661853610511,"For the eighth consecutive year, the Association of School Business Officials International has presented Frederick County Public Schools with a Meritorious Budget Award for excellence in budget presentation during the 2020-21 budget year. The award recognizes school districts that have met or exceeded specific criteria designed to guide school business officials toward producing a quality school budget presentation.",https://facebook.com/story.php?story_fbid=3497661853610511&id=412942642082463,,0.0,"For the eighth consecutive year, the Association of School Business Officials International has presented Frederick County Public Schools with a Meritorious Budget Award for excellence in budget presentation during the 2020-21 budget year. The award recognizes school districts that have met or exceeded specific criteria designed to guide school business officials toward producing a quality school budget presentation.",2020-09-15 16:41:20,,
5,0.0,,57.0,,3494254597284570,Information recently released by the College Board shows the overall mean score of Frederick County Public Schools’ 2020 graduates who took the SAT was 1094. That exceeds the national mean score of public high school seniors by 64 points.,https://facebook.com/story.php?story_fbid=3494254597284570&id=412942642082463,,0.0,Information recently released by the College Board shows the overall mean score of Frederick County Public Schools’ 2020 graduates who took the SAT was 1094. That exceeds the national mean score of public high school seniors by 64 points.,2020-09-14 14:21:53,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119121873_3484943638215666_3509766280865429013_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=LeSHvJ65kjQAX85SgJ_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e5217b284dd3b5dda154cee1ee3661aa&oe=5F8C232F,18.0,,3484943834882313,"There are still four spots available in the 2020-21 FCPS preschool program at Gainesboro Elementary School. The preschool program is being offered in-person four days each week- Monday, Tuesday, Thursday and Friday. Eligible families living in the Indian Hollow and Gainesboro elementary school attendance zones should contact Preschool Coordinator Angie White at 540-662-3888 for additional information and to learn how to apply to have their preschool aged child enrolled in the program. Students must be four years of age on or before September 30 to participate in the FCPS preschool program.",https://facebook.com/story.php?story_fbid=3484943834882313&id=412942642082463,,0.0,"There are still four spots available in the 2020-21 FCPS preschool program at Gainesboro Elementary School. The preschool program is being offered in-person four days each week- Monday, Tuesday, Thursday and Friday. Eligible families living in the Indian Hollow and Gainesboro elementary school attendance zones should contact Preschool Coordinator Angie White at 540-662-3888 for additional information and to learn how to apply to have their preschool aged child enrolled in the program. Students must be four years of age on or before September 30 to participate in the FCPS preschool program.",2020-09-11 14:31:19,,
7,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119125489_3484201598289870_2493191116933742523_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=MB4VsSfD_YUAX-\-\M1Yk&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6d85d9144f11e20a4b29bf485c4b6f56&oe=5F89A62D,19.0,https://bit.ly/30Uvazp,3484204261622937,,https://facebook.com/story.php?story_fbid=3484204261622937&id=412942642082463,,0.0,,2020-09-11 10:04:18,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119136539_3484021044974592_3580555962493345539_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=8PsvpwZbiZ8AX95HV_m&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6568f7f575747a7dd93fa9dc641f71c7&oe=5F89CC55,74.0,,3484021358307894,"On this Patriot Day/National Day of Service and Remembrance, FCPS remembers those who perished on September 11, 2001. We also want to thank and recognize our community heroes including members of the military, veterans, first responders and other public servants.
(Photos taken at 2018 and 2019 Greenwood Mill Elementary School Community Heroes Celebration)",https://facebook.com/story.php?story_fbid=3484021358307894&id=412942642082463,,0.0,"On this Patriot Day/National Day of Service and Remembrance, FCPS remembers those who perished on September 11, 2001. We also want to thank and recognize our community heroes including members of the military, veterans, first responders and other public servants.
(Photos taken at 2018 and 2019 Greenwood Mill Elementary School Community Heroes Celebration)",2020-09-11 09:06:51,,
9,19.0,,69.0,,3481781481865215,"Please join us in congratulating Gainesboro Elementary School Head Custodian Rick Revetta for being named this year’s Gala Award winner. The Gala Award recognizes an outstanding facilities services employee, custodian, mechanic, courier or school security officer. The Gala Award runner-up was Dowell J. Howard Center Head Custodian Terry Smith.",,,0.0,"Please join us in congratulating Gainesboro Elementary School Head Custodian Rick Revetta for being named this year’s Gala Award winner. The Gala Award recognizes an outstanding facilities services employee, custodian, mechanic, courier or school security officer. The Gala Award runner-up was Dowell J. Howard Center Head Custodian Terry Smith.",2020-09-10 15:47:16,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119281921_313532176600401_1638842672471527236_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=zIHa_PrlHaQAX__IzRK&_nc_ht=video-atl3-1.xx&oh=e99b9fe08070cb4865df9b153caa33e8&oe=5F653030,
10,13.0,,70.0,,3480717021971661,Please join us in congratulating James Wood Middle School School Nutrition Services Manager Michael Logan for being named this year’s Rome Award winner. The Rome Award recognizes an outstanding school nutrition services staff member. The Rome award runner-up was James Wood High School School Nutrition Services Manager Robin Dick.,,,0.0,Please join us in congratulating James Wood Middle School School Nutrition Services Manager Michael Logan for being named this year’s Rome Award winner. The Rome Award recognizes an outstanding school nutrition services staff member. The Rome award runner-up was James Wood High School School Nutrition Services Manager Robin Dick.,2020-09-10 08:47:35,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119182227_339603260740202_8720696347411091153_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=vhkDUfCHWy0AX_uqTSg&_nc_oc=AQnsaR7hdcPpLrIc8N0Ytu-_zF0kHLDZ1-g5wJL1iFm7M9w6xyTnB2Nj6sfsGL3FuJM&_nc_ht=video-atl3-1.xx&oh=a0195265c4f80b67e1b0dcdcf41c422e&oe=5F6534F3,
11,11.0,,49.0,,3477564158953614,"Please join us in congratulating Bass-Hoover Elementary School Instructional Aide Stephanie Barrios for being named this year’s Macintosh Award winner. The Macintosh Award recognizes an outstanding instructional aide, library aide or bus aide. The Macintosh Award runner-up was Indian Hollow Elementary School PALS Aide Rachel Smith.",,,0.0,"Please join us in congratulating Bass-Hoover Elementary School Instructional Aide Stephanie Barrios for being named this year’s Macintosh Award winner. The Macintosh Award recognizes an outstanding instructional aide, library aide or bus aide. The Macintosh Award runner-up was Indian Hollow Elementary School PALS Aide Rachel Smith.",2020-09-09 08:47:55,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119109278_2650272998408532_5724744441892832698_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=8n-F46Y15goAX9uE25h&_nc_ht=video-atl3-1.xx&oh=401830248546198f8057c443b6892a8b&oe=5F652FCB,
12,44.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119036091_3474533302590033_8175328933753719835_o.jpg?_nc_cat=105&_nc_sid=e007fa&_nc_ohc=uD54VgyHWG8AX9aX1Pf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2b3fc340bacc3a0502a0f107c029c407&oe=5F8A92FF,286.0,,,,,"Frederick County Public Schools added 112 new photos.
September 8 at 1:03 PM ·

Although face coverings, temperature checks, physical distancing and the fact that many students are engaging in learning at home made today's first day of school different, we're excited to welcome all students for the start of the 2020-21 school year. Whether your child is in school today or distance learning at home, send us a first day of school photo of them and we'll share some throughout the day.",0.0,"Frederick County Public Schools added 112 new photos.
September 8 at 1:03 PM ·

Although face coverings, temperature checks, physical distancing and the fact that many students are engaging in learning at home made today's first day of school different, we're excited to welcome all students for the start of the 2020-21 school year. Whether your child is in school today or distance learning at home, send us a first day of school photo of them and we'll share some throughout the day.",2020-09-08 13:03:54,,
