,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119005017_955766584835145_4162807004375635552_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=NLwSamva-L0AX_IXoKi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1d7bde29624686f3bf14bd7470a74cf0&oe=5F841A81,5.0,,955766798168457,More pictures of our students today. So proud of their hard work! #everykideveryday,https://facebook.com/story.php?story_fbid=955766798168457&id=444706075941201,,0.0,More pictures of our students today. So proud of their hard work! #everykideveryday,2020-09-11 18:12:36,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119035835_955716588173478_2491747933386565112_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=5i7LZgf0oVoAX-oprPW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=caa6b9f8d0fc108e128dee83010989b5&oe=5F8468A8,4.0,,955717691506701,Today our awesome 7th grade class came in for some social distance testing! They all did amazing! Awesome job FYMS 7th grade class! #everykideveryday #NewSchoolYear2020,https://facebook.com/story.php?story_fbid=955717691506701&id=444706075941201,,0.0,Today our awesome 7th grade class came in for some social distance testing! They all did amazing! Awesome job FYMS 7th grade class! #everykideveryday #NewSchoolYear2020,2020-09-11 16:35:35,,
2,1.0,,9.0,,955660998179037,"HUGE shoutout to our 5th, 6th and 7th grade students for their amazing attendance and magnificent effort these past two days for MAPS testing 💜 Parents/Guardians, we could not have done it without you - thank you!We are looking forward to our 8th grade students on Monday September 14 from 9:00-3:00 💯",https://facebook.com/story.php?story_fbid=955660998179037&id=444706075941201,,0.0,"HUGE shoutout to our 5th, 6th and 7th grade students for their amazing attendance and magnificent effort these past two days for MAPS testing 💜 Parents/Guardians, we could not have done it without you - thank you!We are looking forward to our 8th grade students on Monday September 14 from 9:00-3:00 💯",2020-09-11 15:00:51,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119158069_955008644910939_2601175079461095414_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=Y3UlzDTXK-sAX8N7aOI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=33428725e6b628eea9dd9a1f07054ee4&oe=5F83EDF9,13.0,,955011708243966,Awesome day of testing at the FYMS! Here are some of our wonderful and intelligent 5th & 6th grade students! Testing will continue tomorrow with our 7th grade students and on Monday with our 8th grade. #everykideveryday #FYMS #sixfeetaway #socialdistancing #NewSchoolYear2020,https://facebook.com/story.php?story_fbid=955011708243966&id=444706075941201,,0.0,Awesome day of testing at the FYMS! Here are some of our wonderful and intelligent 5th & 6th grade students! Testing will continue tomorrow with our 7th grade students and on Monday with our 8th grade. #everykideveryday #FYMS #sixfeetaway #socialdistancing #NewSchoolYear2020,2020-09-10 19:09:25,,
4,0.0,,3.0,,954152024996601,"Students must complete the MAPS assessment at FYMS. Students need to bring their school laptop, charger, and headphones with them. Please wear a mask if you have one.

September 10th - 5th & 6th Grade Testing (9 am to 3 pm)
September 11th - 7th Grade Testing (9 am to 3 pm)
September 14th - 8th Grade Testing (9 am to 3 pm)
September 15 – 17 Make-Up Days (9 am to 3 pm)
September 18th – Regular School Day, Students must check in with teachers online.

A gas certificate will be given to parents/guardians who are able to transport their child to and from school on their testing date. Students will not need to log into their scheduled class times in Google during MAPS testing.",https://facebook.com/story.php?story_fbid=954152024996601&id=444706075941201,,0.0,"Students must complete the MAPS assessment at FYMS. Students need to bring their school laptop, charger, and headphones with them. Please wear a mask if you have one.

September 10th - 5th & 6th Grade Testing (9 am to 3 pm)
September 11th - 7th Grade Testing (9 am to 3 pm)
September 14th - 8th Grade Testing (9 am to 3 pm)
September 15 – 17 Make-Up Days (9 am to 3 pm)
September 18th – Regular School Day, Students must check in with teachers online.

A gas certificate will be given to parents/guardians who are able to transport their child to and from school on their testing date. Students will not need to log into their scheduled class times in Google during MAPS testing.",2020-09-09 14:47:19,,
5,0.0,,9.0,,2245551642256737,,,,2.0,,2020-09-09 11:27:18,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/52444686_784827005628553_8915229992985863979_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=lfI9hxuuDMMAX8xZ57E&_nc_ht=scontent-atl3-1.xx&oh=048edd4fdcceab498b9ed00a4abcc48a&oe=5F863115,
6,13.0,,20.0,,1210123266040730,Welcome Back FYMS,,,9.0,Welcome Back FYMS,2020-09-08 20:59:18,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_1017079882070008_6537553244149404810_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=qu_9aqv0JIQAX8fe8mV&_nc_ht=scontent-atl3-1.xx&oh=e30431347721d4ec3834953c9ccb2629&oe=5F858B07,
7,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118829071_953233825088421_7542289374880742007_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=HW3IiFExRbAAX_8d8cB&_nc_ht=scontent-atl3-1.xx&tp=14&oh=eacd9c066aebd7b14ebfbf09f225617c&oe=5F85CCED,10.0,https://www.fort-yates.k12.nd.us/,953238691754601,Just a reminder: Students should log into their Google Classroom today. Math classes are just finishing. Next online classes are grades 5 and 7 Health classes at 10:30 and grades 6 and 8 Health classes will start at 11:15. The Phase 3 Distance Learning Schedule is below and also posted on our school website: https://www.fort-yates.k12.nd.us/ Have a great school day!,https://facebook.com/story.php?story_fbid=953238691754601&id=444706075941201,,0.0,Just a reminder: Students should log into their Google Classroom today. Math classes are just finishing. Next online classes are grades 5 and 7 Health classes at 10:30 and grades 6 and 8 Health classes will start at 11:15. The Phase 3 Distance Learning Schedule is below and also posted on our school website: https://www.fort-yates.k12.nd.us/ Have a great school day!,2020-09-08 11:15:22,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118917049_952684761809994_8814648096463714264_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=jogJSnGouF0AX9ZoJqZ&_nc_ht=scontent-atl3-1.xx&oh=51afb618c03e7027055a0da8ca27833b&oe=5F83B1D2,0.0,,952711878473949,,https://facebook.com/story.php?story_fbid=952711878473949&id=444706075941201,"Ft. Yates Middle School
September 7 at 4:33 PM ·

Welcome back! We are so excited for the 2020-2021 school year! Take a look at our back to school newsletter and remember to watch for important dates and announcements. 😃",2.0,"Ft. Yates Middle School
September 7 at 4:33 PM ·

Welcome back! We are so excited for the 2020-2021 school year! Take a look at our back to school newsletter and remember to watch for important dates and announcements. 😃",2020-09-07 17:31:40,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118917049_952684761809994_8814648096463714264_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=jogJSnGouF0AX9ZoJqZ&_nc_ht=scontent-atl3-1.xx&oh=51afb618c03e7027055a0da8ca27833b&oe=5F83B1D2,8.0,,952685145143289,Welcome back! We are so excited for the 2020-2021 school year! Take a look at our back to school newsletter and remember to watch for important dates and announcements. 😃,https://facebook.com/story.php?story_fbid=952685145143289&id=444706075941201,,0.0,Welcome back! We are so excited for the 2020-2021 school year! Take a look at our back to school newsletter and remember to watch for important dates and announcements. 😃,2020-09-07 16:33:28,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118770849_948007245611079_8569520780781547930_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=d7jHPXmSfhgAX-aVg9d&_nc_ht=scontent-atl3-1.xx&tp=14&oh=79b00c47da1d84c6235f83f3982e4772&oe=5F863C9F,3.0,,948007352277735,"FYMS Families,
The FYPS Board held a special meeting this evening and approved the Phase 3 Distance Learning Schedule. The schedule will be mailed out to all FYMS families tomorrow so please watch your mail. If you have any questions please email me at Robyn.baker@k12.nd.us or call 701-854-3885.",https://facebook.com/story.php?story_fbid=948007352277735&id=444706075941201,,0.0,"FYMS Families,
The FYPS Board held a special meeting this evening and approved the Phase 3 Distance Learning Schedule. The schedule will be mailed out to all FYMS families tomorrow so please watch your mail. If you have any questions please email me at Robyn.baker@k12.nd.us or call 701-854-3885.",2020-09-01 19:29:05,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118536000_945124869232650_2540807916040838519_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=Z5p8SymQX8gAX-HY1DO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e6e9e488bed2286c944ccd022a6d71b8&oe=5F82846A,6.0,,945126232565847,,https://facebook.com/story.php?story_fbid=945126232565847&id=444706075941201,,0.0,,2020-08-29 02:17:39,,
12,0.0,,6.0,https://youtu.be/IgS-hoSIjnw,943238419421295,https://youtu.be/IgS-hoSIjnw,https://facebook.com/story.php?story_fbid=943238419421295&id=444706075941201,"YOUTUBE.COM
How to Use Google Classroom for Parents!",8.0,"https://youtu.be/IgS-hoSIjnw

YOUTUBE.COM
How to Use Google Classroom for Parents!",2020-08-26 16:42:34,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118241398_938694059875731_8301288194441458297_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=ksknY8O9CQcAX8Hr_FV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8159b50cd3695e31b3f4748c752e29c1&oe=5F843F84,9.0,,938694779875659,FYMS families - 2 more opportunities to enroll your child/children 😊,https://facebook.com/story.php?story_fbid=938694779875659&id=444706075941201,,0.0,FYMS families - 2 more opportunities to enroll your child/children 😊,2020-08-21 00:37:23,,
14,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117644382_931888390556298_498180101732774461_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=nHPQgua-C8gAX9i66OD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d918d079e025c5ac4c14bcc15e90cae5&oe=5F83BFCF,22.0,,931888593889611,"The FYPS Board met today and approved the Re-Start & Distance Learning Plan. They also approved the Health and Safety Plan. The two plans will be posted on our website as well as being included in the Student Handbook once revisions are made to both plans, as recommended by the FYPS Board.
After much discussion and deliberation, the FYPS Board also approved re-starting the school year in Phase 3, as described in the Re-Start & Distance Learning Plan. Phase 3 is the “Virtual/Online” Instructional Model.
This decision was based on recommendation by Standing Rock Sioux Tribe, current community trends regarding COVID-19 (North Dakota Department of Health and Standing Rock Incident Command Center)input from parents, students, and staff, as well as the health and safety of students and staff. The FYPS Board will review and assess the instructional model at each monthly board meeting. Any changes to Instructional Phases will be communicated to parents and community.

Superintendent Baker

Here is what Phase 3 looks like:",https://facebook.com/story.php?story_fbid=931888593889611&id=444706075941201,,0.0,"The FYPS Board met today and approved the Re-Start & Distance Learning Plan. They also approved the Health and Safety Plan. The two plans will be posted on our website as well as being included in the Student Handbook once revisions are made to both plans, as recommended by the FYPS Board.
After much discussion and deliberation, the FYPS Board also approved re-starting the school year in Phase 3, as described in the Re-Start & Distance Learning Plan. Phase 3 is the “Virtual/Online” Instructional Model.
This decision was based on recommendation by Standing Rock Sioux Tribe, current community trends regarding COVID-19 (North Dakota Department of Health and Standing Rock Incident Command Center)input from parents, students, and staff, as well as the health and safety of students and staff. The FYPS Board will review and assess the instructional model at each monthly board meeting. Any changes to Instructional Phases will be communicated to parents and community.

Superintendent Baker

Here is what Phase 3 looks like:",2020-08-11 23:48:33,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117641339_931829400562197_5238466802733590212_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=HFgQixT1MQgAX-DdkcR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f1a16a1ac43ae0a8e57f655692bd484c&oe=5F83A421,5.0,,931829503895520,Revised 2020-2021 Calendar - approved today by FYPS Board.,https://facebook.com/story.php?story_fbid=931829503895520&id=444706075941201,,0.0,Revised 2020-2021 Calendar - approved today by FYPS Board.,2020-08-11 21:53:22,,
16,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117757495_931808067230997_5793615376833676731_o.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=ok45c9UZl3gAX-NHaOv&_nc_ht=scontent-atl3-1.xx&oh=45a7cd8d77aa416e91d70ef1ee1f2ca2&oe=5F847477,8.0,,931811230564014,"*****UPDATE****
FYMS Families,
There is an update to the Enrollment Fair on THURSDAY AUGUST 13, 2020 FROM 11:00 AM - 4:00 PM. Originally, we had planned on awarding 21 gift cards by drawing names; however we have decided to award $25 gift cards to our families for completing the enrollment packet and surveys BY AUGUST 20, 2020. The applications can be completed on-site during the Enrollment Fair OR emailed to robyn.baker@k12.nd.us, USPS mail, or dropped off at the designated drop box in front of the main entrance. We hope to see you all on Thursday!!!

Superintendent Baker",https://facebook.com/story.php?story_fbid=931811230564014&id=444706075941201,,0.0,"*****UPDATE****
FYMS Families,
There is an update to the Enrollment Fair on THURSDAY AUGUST 13, 2020 FROM 11:00 AM - 4:00 PM. Originally, we had planned on awarding 21 gift cards by drawing names; however we have decided to award $25 gift cards to our families for completing the enrollment packet and surveys BY AUGUST 20, 2020. The applications can be completed on-site during the Enrollment Fair OR emailed to robyn.baker@k12.nd.us, USPS mail, or dropped off at the designated drop box in front of the main entrance. We hope to see you all on Thursday!!!

Superintendent Baker",2020-08-11 21:18:45,,
17,4.0,,2.0,,294520638630068,,,,0.0,,2020-08-03 15:13:48,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_926919887776889_1465438012400657094_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=TXCUkCARLNEAX8oxAP0&_nc_ht=video-atl3-1.xx&oh=6ef21a5a80c6abb69b399d3a0fe02331&oe=5F5EF881,
18,1.0,,1.0,https://www.surveymonkey.com/r/5X6VBDG,922329774845493,"Parents - please take a few minutes to complete this important survey. Surveys were also mailed out to parents and students last Friday. If you submit by NOON August 3, 2020 you are eligible for prizes. The winners will be live-streamed on this page at 2:00 PM Monday August 3, 2020.",https://facebook.com/story.php?story_fbid=922329774845493&id=444706075941201,"SURVEYMONKEY.COM
Can you spare a few moments to take my survey?",3.0,"Parents - please take a few minutes to complete this important survey. Surveys were also mailed out to parents and students last Friday. If you submit by NOON August 3, 2020 you are eligible for prizes. The winners will be live-streamed on this page at 2:00 PM Monday August 3, 2020.

SURVEYMONKEY.COM
Can you spare a few moments to take my survey?",2020-07-30 01:00:09,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116120847_917999418611862_5377438581166696470_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=-E3WLZJ6VOoAX_CjXeU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c60dcc17964f1613adb863a46d63c031&oe=5F861C51,2.0,,917999718611832,Updated opportunity for students.,https://facebook.com/story.php?story_fbid=917999718611832&id=444706075941201,,0.0,Updated opportunity for students.,2020-07-24 00:01:14,,
20,1.0,,15.0,,917127878699016,"Students and Parents of FYMS:

The FYPS Board met this evening and have decided to push the school's start date back to September 8, 2020 for students. Please watch your mail in the next few weeks for a very important survey regarding FYMS's Distance Learning Plan (virtual/online learning, hybrid (mixture of face-to-face and online), internet access, and transportation. The results of this survey will guide us in making future decisions regarding the 2020-2021 school year. If you have any questions or concerns please do not hesitate to contact me at robyn.baker@k12.nd.us or 854-3885.

Robyn Baker
Superintendent/Principal",https://facebook.com/story.php?story_fbid=917127878699016&id=444706075941201,,0.0,"Students and Parents of FYMS:

The FYPS Board met this evening and have decided to push the school's start date back to September 8, 2020 for students. Please watch your mail in the next few weeks for a very important survey regarding FYMS's Distance Learning Plan (virtual/online learning, hybrid (mixture of face-to-face and online), internet access, and transportation. The results of this survey will guide us in making future decisions regarding the 2020-2021 school year. If you have any questions or concerns please do not hesitate to contact me at robyn.baker@k12.nd.us or 854-3885.

Robyn Baker
Superintendent/Principal",2020-07-22 20:57:37,,
