,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119682510_3375493579155941_1110306115634249708_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=M4mtF5UA-xYAX9I7lfI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4262204345fb773e0ec09d534aec3bd3&oe=5F8880B8,18.0,https://runsignup.com/Race/TX/Gatesville/5KWalkRunCheyenneHarrington?fbclid=IwAR1D6Lw6bdVxie6n_Gg9GleZc5OlF1UnbnTD3ircYlxXWPxCg5GGogWlsQg,3375519829153316,"Cheyenne Harrington was our wonderful 5th grade student who tragically passed away last year. She loved animals and wanted to be a veterinarian. There will be a 5K Walk/Run in her memory on September 19 at 9:00 a.m. in Fauntleroy Park. All proceeds will go to the Bar N Veterinarian Clinic. Please click the link for more details.

https://runsignup.com/Race/TX/Gatesville/5KWalkRunCheyenneHarrington?fbclid=IwAR1D6Lw6bdVxie6n_Gg9GleZc5OlF1UnbnTD3ircYlxXWPxCg5GGogWlsQg",https://facebook.com/story.php?story_fbid=3375519829153316&id=264855823553081,,0.0,"Cheyenne Harrington was our wonderful 5th grade student who tragically passed away last year. She loved animals and wanted to be a veterinarian. There will be a 5K Walk/Run in her memory on September 19 at 9:00 a.m. in Fauntleroy Park. All proceeds will go to the Bar N Veterinarian Clinic. Please click the link for more details.

https://runsignup.com/Race/TX/Gatesville/5KWalkRunCheyenneHarrington?fbclid=IwAR1D6Lw6bdVxie6n_Gg9GleZc5OlF1UnbnTD3ircYlxXWPxCg5GGogWlsQg",2020-09-16 09:46:33,,
1,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119651084_3375417982496834_4869250099592222320_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=Lyhr76fq7QoAX8_f-70&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3d21ade5c7291b1a1db5b70eaa1fad36&oe=5F88FE85,41.0,,3375428189162480,"Please consider supporting Kyle Strmiska and his family. He is one of our outstanding seniors at GHS. Also, please pray for Kyle as he undergoes chemotherapy treatments.",https://facebook.com/story.php?story_fbid=3375428189162480&id=264855823553081,,0.0,"Please consider supporting Kyle Strmiska and his family. He is one of our outstanding seniors at GHS. Also, please pray for Kyle as he undergoes chemotherapy treatments.",2020-09-16 09:11:56,,
2,10.0,,57.0,https://www.kwtx.com/2020/09/09/2020-classroom-champions-gatesvilles-shy-tatum/,3372466276125338,Student Spotlight: GHS Senior Shy Tatum was the KWTX Classroom Champion this past week. Shy is tied for 1st in his class and has been a tennis team captain for the past two years. His goal is for the tennis team to make it to state this year. Shy plans on attending Texas A&M University and majoring in engineering. He is the son of Justin and Marla Tatum. Please help us congratulate this outstanding student and athlete!,https://facebook.com/story.php?story_fbid=3372466276125338&id=264855823553081,"KWTX.COM
2020 Classroom Champions: Gatesville’s Shy Tatum",4.0,"Student Spotlight: GHS Senior Shy Tatum was the KWTX Classroom Champion this past week. Shy is tied for 1st in his class and has been a tennis team captain for the past two years. His goal is for the tennis team to make it to state this year. Shy plans on attending Texas A&M University and majoring in engineering. He is the son of Justin and Marla Tatum. Please help us congratulate this outstanding student and athlete!

KWTX.COM
2020 Classroom Champions: Gatesville’s Shy Tatum",2020-09-15 11:08:06,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119225877_3369131979792101_3799398168586448746_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=MdHmfCYX4zcAX9CeIXi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=75bc4eba5b9bdd2a9f8c7731cd1bdd23&oe=5F89F9B7,9.0,,3369137779791521,Homecoming Pep Rally Ticket Information,https://facebook.com/story.php?story_fbid=3369137779791521&id=264855823553081,,0.0,Homecoming Pep Rally Ticket Information,2020-09-14 09:35:10,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119082546_3360410533997579_6192552839434709030_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=yo7nGjtzAxgAX8kTnto&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5c288d62df12903ae500a244cd12d5bf&oe=5F8A7FC0,90.0,,3360420103996622,"GISD wants to thank the family of Tommy Davidson for sharing him throughout the years with the school and the community. His countless hours of dedication to our students made a lasting impact. At last Friday night's football game, the field was officially dedicated as the Tommy Davidson Field at McKamie Stadium.",https://facebook.com/story.php?story_fbid=3360420103996622&id=264855823553081,,0.0,"GISD wants to thank the family of Tommy Davidson for sharing him throughout the years with the school and the community. His countless hours of dedication to our students made a lasting impact. At last Friday night's football game, the field was officially dedicated as the Tommy Davidson Field at McKamie Stadium.",2020-09-11 13:06:25,,
5,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119207190_3360041480701151_7502399597913137587_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=C7dIoIi_u4MAX-ahtMi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7683653634c21653f9de2b8c1d399cd5&oe=5F879BCD,79.0,,3360062027365763,"GISD students observed a moment of silence today at 8:46 a.m. On September 11, 2001, at 8:46 a.m. American Airlines Flight 11 crashed into the North Tower of the World Trade Center. Flags will also be at half staff today in remembrance of 9-11-01.",https://facebook.com/story.php?story_fbid=3360062027365763&id=264855823553081,,0.0,"GISD students observed a moment of silence today at 8:46 a.m. On September 11, 2001, at 8:46 a.m. American Airlines Flight 11 crashed into the North Tower of the World Trade Center. Flags will also be at half staff today in remembrance of 9-11-01.",2020-09-11 10:45:01,,
6,80.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119142770_3356650111040288_355303273372684236_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=NJ5QJbrHzRQAX-btwxQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5d1fcf99ab294e1ce5955ee2af3529cf&oe=5F87784A,280.0,,3357068297665136,"Student Spotlight: There was a very heavy rainfall at the beginning of Friday night's varsity football game. The President of the Glen Rose Athletic Booster Club was taking photos of the game, but took shelter under the band bleachers to protect his camera from the rain. Gatesville High School student, Aandon Hafercamp, gave this gentleman his jacket so he could protect his camera from the rain.

The Booster President messaged us the following, ""What a tremendous act of kindness for which I am very appreciative. I had a Glen Rose shirt on so he knew I was a guest. It's apparent that young man has been taught well at home and at school on how to treat others. If the simple actions of one are indicative of the actions of all the members of your band, you have a great group of young men and young women.""

Aandon is the son of David and Sandra Christian. Please help us thank Aandon on representing our school and community in such an outstanding way!",https://facebook.com/story.php?story_fbid=3357068297665136&id=264855823553081,,0.0,"Student Spotlight: There was a very heavy rainfall at the beginning of Friday night's varsity football game. The President of the Glen Rose Athletic Booster Club was taking photos of the game, but took shelter under the band bleachers to protect his camera from the rain. Gatesville High School student, Aandon Hafercamp, gave this gentleman his jacket so he could protect his camera from the rain.

The Booster President messaged us the following, ""What a tremendous act of kindness for which I am very appreciative. I had a Glen Rose shirt on so he knew I was a guest. It's apparent that young man has been taught well at home and at school on how to treat others. If the simple actions of one are indicative of the actions of all the members of your band, you have a great group of young men and young women.""

Aandon is the son of David and Sandra Christian. Please help us thank Aandon on representing our school and community in such an outstanding way!",2020-09-10 12:33:40,,
7,31.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119077736_3353397164698916_6599136184265260988_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=-SwIUDLxVosAX8HKIhc&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f3400db7e9825cf5ac4500bad52638d4&oe=5F888DBB,127.0,,3353426954695937,"On what would have been his 72nd birthday, today is officially Dr. Willie Clarke Day here in Gatesville. Last night, Willie's son, Dr. Keith Clarke, as well as other family members were present as the proclamation was approved. In a stirring message to the audience, Keith reminded everyone of his father and mother (Robbie) and their continual message of peace and love.",https://facebook.com/story.php?story_fbid=3353426954695937&id=264855823553081,,0.0,"On what would have been his 72nd birthday, today is officially Dr. Willie Clarke Day here in Gatesville. Last night, Willie's son, Dr. Keith Clarke, as well as other family members were present as the proclamation was approved. In a stirring message to the audience, Keith reminded everyone of his father and mother (Robbie) and their continual message of peace and love.",2020-09-09 09:09:07,,
8,0.0,,1.0,http://www.gatesvillesports.com/article/2830,3353215768050389,,https://facebook.com/story.php?story_fbid=3353215768050389&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - WEDNESDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - WEDNESDAY",2020-09-09 07:49:05,,
9,50.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118982887_3351197931585506_8143539930112578363_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=nCH0mEXF5qUAX_bOif0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1a518bea40a3be4d485226cc5a85aaf8&oe=5F893E5D,289.0,,3351218988250067,"Staff Recognition: On Friday after our students had dismissed from school, custodial staff members Brian Reeder and Kenneth Arrington noticed a man trying to break into a faculty member's vehicle. After confronting the suspect, they called for help and followed the suspect as he fled. Athletic Director Rickey Phillips quickly placed the high school gym on lockdown to protect the athletes and fans. Maintenance Director Toby Williams and School Resource Officer Damian White subdued the suspect. Because of their quick thinking and courageous acts, everyone remained safe. Please help us thank these outstanding GISD staff members.",https://facebook.com/story.php?story_fbid=3351218988250067&id=264855823553081,,0.0,"Staff Recognition: On Friday after our students had dismissed from school, custodial staff members Brian Reeder and Kenneth Arrington noticed a man trying to break into a faculty member's vehicle. After confronting the suspect, they called for help and followed the suspect as he fled. Athletic Director Rickey Phillips quickly placed the high school gym on lockdown to protect the athletes and fans. Maintenance Director Toby Williams and School Resource Officer Damian White subdued the suspect. Because of their quick thinking and courageous acts, everyone remained safe. Please help us thank these outstanding GISD staff members.",2020-09-08 16:18:36,,
10,0.0,,0.0,http://www.gatesvillesports.com/article/2829,3350117141693585,,https://facebook.com/story.php?story_fbid=3350117141693585&id=264855823553081,"GATESVILLESPORTS.COM
Athletics Weekly September 8-12",0.0,"GATESVILLESPORTS.COM
Athletics Weekly September 8-12",2020-09-08 08:37:16,,
11,1.0,,1.0,http://www.gatesvillesports.com/article/2828,3349981061707193,,https://facebook.com/story.php?story_fbid=3349981061707193&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - TUESDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - TUESDAY",2020-09-08 07:39:30,,
12,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118653106_3342086232496676_3311291489743013868_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=TWNUAF4hgQUAX_N61md&_nc_ht=scontent-atl3-1.xx&oh=b3572ee03ea7e41da0f67830258cae97&oe=5F893294,15.0,,3342088755829757,"We will have our 2020-2021 Fishing Club Kickoff meeting on September 8th @ 7PM in the Sid Pruitt Gym at the High School. Face masks will be required.

The fishing club is open to all GISD students in 6th-12th grade. If your student is interested in joining our club, this is the meeting that will give you all of the information about how we work. Come join the fun!",https://facebook.com/story.php?story_fbid=3342088755829757&id=264855823553081,,0.0,"We will have our 2020-2021 Fishing Club Kickoff meeting on September 8th @ 7PM in the Sid Pruitt Gym at the High School. Face masks will be required.

The fishing club is open to all GISD students in 6th-12th grade. If your student is interested in joining our club, this is the meeting that will give you all of the information about how we work. Come join the fun!",2020-09-05 17:29:02,,
13,0.0,,1.0,http://www.gatesvillesports.com/article/2827,3340953869276579,,https://facebook.com/story.php?story_fbid=3340953869276579&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - SATURDAY",3.0,"GATESVILLESPORTS.COM
GHS Athletics - SATURDAY",2020-09-05 09:22:44,,
14,53.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118699655_3337760389595927_4921699523186234984_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=S4FjRSfwp4UAX-HrqqQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3717b5c8efb57cc1d0ad555f8c9c4ed8&oe=5F8AB6CB,177.0,,3337769359595030,"Student Spotlight: Radlee Nichols is a kindergarten student in Mrs. Pat Aslin's class. Mrs. Aslin stated, ""Radlee is a friend to all. He is always ready to help. Radlee has fixed our germ-x container, paper towel holder, and delivers papers to the office. He always has a smile on his face, does his work promptly, and uses manners."" Radlee is the son of Megan and Rocky Nichols. Please help us congratulate this young man on the outstanding job he is doing in the classroom.",https://facebook.com/story.php?story_fbid=3337769359595030&id=264855823553081,,0.0,"Student Spotlight: Radlee Nichols is a kindergarten student in Mrs. Pat Aslin's class. Mrs. Aslin stated, ""Radlee is a friend to all. He is always ready to help. Radlee has fixed our germ-x container, paper towel holder, and delivers papers to the office. He always has a smile on his face, does his work promptly, and uses manners."" Radlee is the son of Megan and Rocky Nichols. Please help us congratulate this young man on the outstanding job he is doing in the classroom.",2020-09-04 09:01:51,,
15,0.0,,0.0,http://www.gatesvillesports.com/article/2826,3337560202949279,,https://facebook.com/story.php?story_fbid=3337560202949279&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - FRIDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - FRIDAY",2020-09-04 07:39:06,,
16,0.0,,14.0,http://www.gatesvillesports.com/article/2825,3334792149892751,,https://facebook.com/story.php?story_fbid=3334792149892751&id=264855823553081,"GATESVILLESPORTS.COM
GISD Stadium to Get New Name Friday Night",0.0,"GATESVILLESPORTS.COM
GISD Stadium to Get New Name Friday Night",2020-09-03 10:26:24,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118780144_3334739316564701_3486504479070280076_o.jpg?_nc_cat=101&_nc_sid=dd9801&_nc_ohc=eknyqKLBQ5gAX_rFmWH&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fddfde26139e65b093aedac267c3b736&oe=5F882422,52.0,,3334739409898025,,,,0.0,,2020-09-03 10:07:12,,
18,0.0,,0.0,http://www.gatesvillesports.com/article/2824,3334377829934183,,https://facebook.com/story.php?story_fbid=3334377829934183&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - THURSDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - THURSDAY",2020-09-03 07:46:28,,
19,0.0,,0.0,http://www.gatesvillesports.com/article/2823,3330915703613729,,https://facebook.com/story.php?story_fbid=3330915703613729&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - WEDNESDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - WEDNESDAY",2020-09-02 07:51:04,,
20,0.0,,1.0,http://www.gatesvillesports.com/article/2822,3327610373944262,,https://facebook.com/story.php?story_fbid=3327610373944262&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - TUESDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - TUESDAY",2020-09-01 07:50:32,,
21,0.0,,1.0,http://www.gatesvillesports.com/article/2821,3324530624252237,,https://facebook.com/story.php?story_fbid=3324530624252237&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - MONDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - MONDAY",2020-08-31 07:59:14,,
22,0.0,,2.0,http://www.gatesvillesports.com/article/2820,3322621991109767,,https://facebook.com/story.php?story_fbid=3322621991109767&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - SUNDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - SUNDAY",2020-08-30 16:16:55,,
23,0.0,,0.0,http://www.gatesvillesports.com/article/2819,3315154501856516,,https://facebook.com/story.php?story_fbid=3315154501856516&id=264855823553081,"GATESVILLESPORTS.COM
GHS Athletics - FRIDAY",0.0,"GATESVILLESPORTS.COM
GHS Athletics - FRIDAY",2020-08-28 07:41:22,,
