,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,6.0,,1472942389446860,,https://facebook.com/story.php?story_fbid=1472942389446860&id=401767889897654,"Staff Gla
May 19, 2017 at 9:41 AM ·

What a fine time we had at our 8th grade trip to Bay City!",0.0,"Staff Gla
May 19, 2017 at 9:41 AM ·

What a fine time we had at our 8th grade trip to Bay City!",2017-05-19 09:44:55,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-2/18572887_440582629650695_8645644904854192128_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=sSNwKdQr6LYAX895OFO&_nc_ht=video-atl3-1.xx&oh=e4c82b2dcc2f4b64c97623ef4472d0a7&oe=5F5E3AC2,
1,1.0,,2.0,,1468710889870010,Ms. Quince and the 6th graders spent the day with the senior citizens of American House - Oakland,,,2.0,Ms. Quince and the 6th graders spent the day with the senior citizens of American House - Oakland,2017-05-15 18:46:41,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-2/18525706_1676420585996568_5512512102608142336_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=T7nbYk3_kwgAX-uSVCD&_nc_ht=video-atl3-1.xx&oh=357e6da36d3daf3d61f08ad3209a7d89&oe=5F5E31C0,
2,0.0,,5.0,https://bit.ly/2rjai0l,1468620703212362,,https://facebook.com/story.php?story_fbid=1468620703212362&id=401767889897654,"THEOAKLANDPRESS.COM
Pontiac sixth graders adopt Auburn Hills seniors for a day",0.0,"THEOAKLANDPRESS.COM
Pontiac sixth graders adopt Auburn Hills seniors for a day",2017-05-15 16:51:38,,
3,0.0,,3.0,,1468122936595472,,https://facebook.com/story.php?story_fbid=1468122936595472&id=401767889897654,"Staff Gla
May 15, 2017 at 8:13 AM ·

Highlights from our Mother's Day Tea! We love our moms! #GLAmoms #gla20years",0.0,"Staff Gla
May 15, 2017 at 8:13 AM ·

Highlights from our Mother's Day Tea! We love our moms! #GLAmoms #gla20years",2017-05-15 08:26:41,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-2/18551485_353262651742746_852517249813053440_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=UgcdY0ZXbZ8AX8LjrZG&_nc_ht=video-atl3-1.xx&oh=33939db1efa6f45abb49fb427de88041&oe=5F5E3D17,
4,0.0,,1.0,,1448047635269669,Join our #GLA family for this upcoming 2017-2018 school year! Contact us for more information! ☺️,,,0.0,Join our #GLA family for this upcoming 2017-2018 school year! Contact us for more information! ☺️,2017-05-03 09:28:06,,
5,1.0,,5.0,,1397214690352964,Grades 3-5 morning assembly with Mr. Waters. We're having a great day at Great Lakes Academy! #gla20years,,,2.0,Grades 3-5 morning assembly with Mr. Waters. We're having a great day at Great Lakes Academy! #gla20years,2017-03-28 10:34:03,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-2/17511013_609839962558617_250686138577059840_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=ezxEO1uXue4AX_TNb_e&_nc_ht=video-atl3-1.xx&oh=cb595b972628b5c4ee1d2acd592663ab&oe=5F5E32E9,
6,1.0,,1.0,http://www.theoaklandpress.com/general-news/20170324/pontiacs-great-lakes-academy-welcomes-new-school-admin,1397208137020286,,https://facebook.com/story.php?story_fbid=1397208137020286&id=401767889897654,"WWW.THEOAKLANDPRESS.COM
Pontiac’s Great Lakes Academy welcomes new school admin",0.0,"WWW.THEOAKLANDPRESS.COM
Pontiac’s Great Lakes Academy welcomes new school admin",2017-03-28 10:25:10,,
7,0.0,,3.0,,1383615475046219,"Our kindergartener, Sincere finished his morning math work, and still had time to draw on the back.! ☺️ #HappyFriday #gla20years",,,0.0,"Our kindergartener, Sincere finished his morning math work, and still had time to draw on the back.! ☺️ #HappyFriday #gla20years",2017-03-17 08:52:44,,
8,0.0,,0.0,,1381941175213649,Enroll today for our 2017-2018 school year! #gla20years,,,0.0,Enroll today for our 2017-2018 school year! #gla20years,2017-03-15 17:00:06,,
9,0.0,,2.0,,1357336967674070,A special thank you goes out to Ms. Terria Siggal and friends for donating purses and handbags to the ladies of #GLA We appreciate you!!,,,0.0,A special thank you goes out to Ms. Terria Siggal and friends for donating purses and handbags to the ladies of #GLA We appreciate you!!,2017-02-21 16:22:42,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-2/16869566_1861992737418989_2870068696770936832_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=fRMUR_riPywAX-84KKZ&_nc_ht=video-atl3-1.xx&oh=0230b49bb6bc3bdd8fc17cc4659737ef&oe=5F5E3800,
