,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118601140_1728024207338033_23251652770189418_n.png?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=6M1QNWRelU4AX_rjO-T&_nc_ht=scontent-atl3-1.xx&oh=414039878d5ff87f3f5648dc12d9e01f&oe=5F82C986,0.0,http://www.d41.org/techathome,1728024204004700,Visit www.d41.org/techathome to view the list of all approved online resources currently available in D41. You can also find troubleshooting tips or submit a tech help desk request.,,,0.0,Visit www.d41.org/techathome to view the list of all approved online resources currently available in D41. You can also find troubleshooting tips or submit a tech help desk request.,2020-08-26 17:52:25,,
1,0.0,,0.0,https://www.smore.com/pea70-district-digest,1741876312619489,,https://facebook.com/story.php?story_fbid=1741876312619489&id=428784940595306,"SMORE.COM
District Digest",0.0,"SMORE.COM
District Digest",2020-09-10 12:22:49,,
2,0.0,,0.0,https://www.smore.com/cqgxv-food-program-update,1741215382685582,,https://facebook.com/story.php?story_fbid=1741215382685582&id=428784940595306,"SMORE.COM
Food Program Update",0.0,"SMORE.COM
Food Program Update",2020-09-09 18:22:50,,
3,16.0,,63.0,,1740981692708951,Thank you to D41 School Board member Ted Estes!,https://facebook.com/story.php?story_fbid=1740981692708951&id=428784940595306,"Ted Estes is with Andrew Estes and Lisa Maher Estes at Abraham LincolnElementarySchool.
September 8 at 7:08 PM · Glen Ellyn, IL ·

The main construction phase of Andrew's Eagle Scout project happened this past weekend. Over two days, he led a team of Troop 41 scouts, friends (including a Troop 45 scout), and scouting dads to build out a sensory garden in a courtyard at Abraham Lincoln Elementary School in Glen Ellyn.

The work included putting down concrete steppers, excavating an area for a zen garden, laying out a sitting area, and sinking several huge pots for herbs. Lots of digging, soil movement, and mulch spreading was involved.

Thanks to everyone who helped out!",0.0,"Thank you to D41 School Board member Ted Estes!

Ted Estes is with Andrew Estes and Lisa Maher Estes at Abraham LincolnElementarySchool.
September 8 at 7:08 PM · Glen Ellyn, IL ·

The main construction phase of Andrew's Eagle Scout project happened this past weekend. Over two days, he led a team of Troop 41 scouts, friends (including a Troop 45 scout), and scouting dads to build out a sensory garden in a courtyard at Abraham Lincoln Elementary School in Glen Ellyn.

The work included putting down concrete steppers, excavating an area for a zen garden, laying out a sitting area, and sinking several huge pots for herbs. Lots of digging, soil movement, and mulch spreading was involved.

Thanks to everyone who helped out!",2020-09-09 11:52:27,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119085190_1740891069384680_2362072677933981120_n.png?_nc_cat=109&_nc_sid=dd9801&_nc_ohc=Niy3YA_XprwAX9sUSl4&_nc_ht=scontent-atl3-1.xx&oh=e56873fe2ee313f9fb03d99442d53160&oe=5F84140A,3.0,,1740891142718006,,,,0.0,,2020-09-09 09:44:04,,
5,0.0,,2.0,https://www.smore.com/jmyqg-update-from-the-superintendent,1736646983142422,,https://facebook.com/story.php?story_fbid=1736646983142422&id=428784940595306,"SMORE.COM
In-Person Learning",2.0,"SMORE.COM
In-Person Learning",2020-09-04 16:32:20,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118729513_1735694199904367_4793713455956046147_n.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=yqlFbAlT4ukAX-FHNxS&_nc_ht=scontent-atl3-1.xx&oh=bec1b725ebd5c5f15dd261b088a39808&oe=5F819ED0,4.0,,1735694196571034,Mark your calendars! Curriculum nights will be held virtually at every school this year. Your school principal will send information out with more details soon. #d41strongertogether,,,0.0,Mark your calendars! Curriculum nights will be held virtually at every school this year. Your school principal will send information out with more details soon. #d41strongertogether,2020-09-03 16:53:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117944371_10163932701880317_3790709278494148410_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=kGv40SfjB9AAX9sfpUE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b55eac441f7b39161f5cbc9ede2150a9&oe=5F820C62,1.0,http://gepl.org/helpnow,1735494919924295,,https://facebook.com/story.php?story_fbid=1735494919924295&id=428784940595306,"Glen Ellyn Public Library
August 21 at 4:38 PM ·

With the start of the school year in Districts 87 and 41 this week and District 89 on Monday, the Glen Ellyn Public Library is excited to introduce one of its new digital resources for grades K-12!

HelpNow from Brainfuse provides one-on-one tutoring from 2-11 pm every day, plus a 24-hour writing lab, opportunities to submit your homework questions, and support for Spanish speakers! The best part of all? It's completely free with your library card! Check it out today: gepl.org/helpnow",0.0,"Glen Ellyn Public Library
August 21 at 4:38 PM ·

With the start of the school year in Districts 87 and 41 this week and District 89 on Monday, the Glen Ellyn Public Library is excited to introduce one of its new digital resources for grades K-12!

HelpNow from Brainfuse provides one-on-one tutoring from 2-11 pm every day, plus a 24-hour writing lab, opportunities to submit your homework questions, and support for Spanish speakers! The best part of all? It's completely free with your library card! Check it out today: gepl.org/helpnow",2020-09-03 11:55:17,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117971385_10163947145095317_4720574849764056051_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=s48J_EDFTgMAX9Hz9MQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6168a91b7728537c66e17499b4ee3451&oe=5F82B3D7,1.0,http://gepl.org/tumblemath,1735493586591095,,https://facebook.com/story.php?story_fbid=1735493586591095&id=428784940595306,"Glen Ellyn Public Library
August 24 at 9:35 PM ·

TumbleMath is our latest digital resource filled with online picture books and lesson plans for families and teachers to help at-home learners this school year! It's also aligned with current grade-level math standards. Try it out at gepl.org/tumblemath!",0.0,"Glen Ellyn Public Library
August 24 at 9:35 PM ·

TumbleMath is our latest digital resource filled with online picture books and lesson plans for families and teachers to help at-home learners this school year! It's also aligned with current grade-level math standards. Try it out at gepl.org/tumblemath!",2020-09-03 11:53:08,,
9,0.0,,0.0,https://www.smore.com/6shrm-district-digest,1734731023334018,,https://facebook.com/story.php?story_fbid=1734731023334018&id=428784940595306,"SMORE.COM
District Digest",0.0,"SMORE.COM
District Digest",2020-09-02 16:15:52,,
